Date,Open,High,Low,Close,Currency
2015-01-01,0.8306,0.8311,0.8287,0.8297,CHF
2015-01-02,0.8296,0.8337,0.8269,0.831,CHF
2015-01-05,0.8307,0.8443,0.8302,0.8417,CHF
2015-01-06,0.8415,0.8536,0.8411,0.8531,CHF
2015-01-07,0.853,0.8557,0.8472,0.8506,CHF
2015-01-08,0.8504,0.8536,0.8471,0.8511,CHF
2015-01-09,0.8508,0.8569,0.8489,0.8557,CHF
2015-01-12,0.8553,0.8595,0.852,0.8575,CHF
2015-01-13,0.8571,0.8684,0.8542,0.865,CHF
2015-01-14,0.8647,0.8769,0.864,0.8681,CHF
2015-01-15,0.8683,0.872,0.6347,0.7389,CHF
2015-01-16,0.7385,0.7555,0.7193,0.7289,CHF
2015-01-19,0.7286,0.749,0.7284,0.7482,CHF
2015-01-20,0.7475,0.749,0.7328,0.7371,CHF
2015-01-21,0.7369,0.746,0.7228,0.7292,CHF
2015-01-22,0.7286,0.7407,0.7242,0.7353,CHF
2015-01-23,0.7346,0.7489,0.7305,0.7479,CHF
2015-01-26,0.7472,0.7638,0.7416,0.7622,CHF
2015-01-27,0.7618,0.7762,0.7562,0.766,CHF
2015-01-28,0.7655,0.7732,0.762,0.7703,CHF
2015-01-29,0.7692,0.7841,0.7685,0.781,CHF
2015-01-30,0.7806,0.7905,0.7782,0.7842,CHF
2015-02-02,0.7835,0.7949,0.7828,0.7895,CHF
2015-02-03,0.7891,0.7945,0.7824,0.7863,CHF
2015-02-04,0.786,0.7917,0.7824,0.7897,CHF
2015-02-05,0.7896,0.7931,0.7831,0.7837,CHF
2015-02-06,0.7835,0.7887,0.7738,0.7778,CHF
2015-02-09,0.7773,0.7823,0.7747,0.7785,CHF
2015-02-10,0.7783,0.781,0.7728,0.7756,CHF
2015-02-11,0.7755,0.7771,0.7681,0.7708,CHF
2015-02-12,0.7707,0.7839,0.7686,0.7816,CHF
2015-02-13,0.7814,0.7868,0.7788,0.7851,CHF
2015-02-16,0.7846,0.7879,0.7821,0.7869,CHF
2015-02-17,0.7866,0.79,0.7813,0.7855,CHF
2015-02-18,0.7851,0.7949,0.7814,0.7932,CHF
2015-02-19,0.793,0.7986,0.7899,0.7983,CHF
2015-02-20,0.7981,0.8041,0.7883,0.7903,CHF
2015-02-23,0.7879,0.8014,0.7869,0.7993,CHF
2015-02-24,0.799,0.8003,0.7927,0.7989,CHF
2015-02-25,0.7987,0.8015,0.7959,0.798,CHF
2015-02-26,0.7976,0.8012,0.795,0.798,CHF
2015-02-27,0.7976,0.8005,0.7913,0.7974,CHF
2015-03-02,0.7978,0.7997,0.7943,0.7976,CHF
2015-03-03,0.797,0.8041,0.7957,0.8027,CHF
2015-03-04,0.8023,0.8088,0.8009,0.8049,CHF
2015-03-05,0.8044,0.8117,0.8015,0.8111,CHF
2015-03-06,0.8109,0.8171,0.8082,0.8161,CHF
2015-03-09,0.8154,0.8174,0.8108,0.8137,CHF
2015-03-10,0.8134,0.8258,0.8101,0.8252,CHF
2015-03-11,0.8251,0.8326,0.8214,0.8311,CHF
2015-03-12,0.8308,0.8341,0.8245,0.8263,CHF
2015-03-13,0.8261,0.8326,0.8254,0.8278,CHF
2015-03-16,0.8275,0.8309,0.826,0.8306,CHF
2015-03-17,0.8303,0.8316,0.8248,0.8292,CHF
2015-03-18,0.8289,0.8303,0.8057,0.8147,CHF
2015-03-19,0.8144,0.8268,0.8128,0.8196,CHF
2015-03-20,0.8195,0.8202,0.8078,0.8125,CHF
2015-03-23,0.8128,0.8175,0.8048,0.807,CHF
2015-03-24,0.8067,0.8097,0.7969,0.8002,CHF
2015-03-25,0.8001,0.8048,0.7987,0.8032,CHF
2015-03-26,0.803,0.8101,0.7999,0.8078,CHF
2015-03-27,0.8077,0.812,0.802,0.8069,CHF
2015-03-30,0.8063,0.8099,0.8018,0.8055,CHF
2015-03-31,0.8053,0.8127,0.8035,0.8096,CHF
2015-04-01,0.8094,0.8118,0.8047,0.8072,CHF
2015-04-02,0.8071,0.809,0.7984,0.8017,CHF
2015-04-03,0.8016,0.8031,0.7943,0.8001,CHF
2015-04-06,0.7999,0.8033,0.7976,0.802,CHF
2015-04-07,0.8017,0.8037,0.7972,0.8032,CHF
2015-04-08,0.8034,0.8061,0.8009,0.8046,CHF
2015-04-09,0.8044,0.812,0.8035,0.8107,CHF
2015-04-10,0.8103,0.8169,0.8085,0.8145,CHF
2015-04-13,0.8146,0.8202,0.8109,0.8141,CHF
2015-04-14,0.8136,0.8182,0.8113,0.815,CHF
2015-04-15,0.8147,0.8175,0.8087,0.8095,CHF
2015-04-16,0.8091,0.8143,0.8016,0.8033,CHF
2015-04-17,0.8029,0.8058,0.799,0.8005,CHF
2015-04-20,0.8008,0.8064,0.7979,0.8024,CHF
2015-04-21,0.8022,0.8054,0.7952,0.7978,CHF
2015-04-22,0.7984,0.8106,0.7949,0.8103,CHF
2015-04-23,0.8102,0.8108,0.7962,0.7984,CHF
2015-04-24,0.7982,0.8032,0.7958,0.8019,CHF
2015-04-27,0.8015,0.8037,0.7965,0.802,CHF
2015-04-28,0.8019,0.8071,0.7992,0.8037,CHF
2015-04-29,0.8035,0.8059,0.7857,0.7895,CHF
2015-04-30,0.7887,0.7948,0.7791,0.7812,CHF
2015-05-01,0.7811,0.7816,0.7736,0.7761,CHF
2015-05-04,0.7758,0.7812,0.7746,0.7772,CHF
2015-05-05,0.7768,0.7828,0.7703,0.7727,CHF
2015-05-06,0.7724,0.7739,0.7636,0.767,CHF
2015-05-07,0.7667,0.7712,0.7602,0.7697,CHF
2015-05-08,0.7695,0.7787,0.7663,0.777,CHF
2015-05-11,0.7776,0.7802,0.7743,0.778,CHF
2015-05-12,0.7777,0.7792,0.767,0.7753,CHF
2015-05-13,0.7749,0.776,0.7683,0.7693,CHF
2015-05-14,0.7692,0.7701,0.761,0.766,CHF
2015-05-15,0.7656,0.7732,0.7623,0.7678,CHF
2015-05-18,0.7674,0.7722,0.7653,0.7722,CHF
2015-05-19,0.772,0.7801,0.7701,0.7762,CHF
2015-05-20,0.776,0.7776,0.7706,0.7724,CHF
2015-05-21,0.7722,0.7751,0.768,0.774,CHF
2015-05-22,0.7738,0.7786,0.7686,0.7768,CHF
2015-05-25,0.7765,0.7787,0.7728,0.7774,CHF
2015-05-26,0.777,0.7786,0.7689,0.7744,CHF
2015-05-27,0.7741,0.7754,0.7655,0.7677,CHF
2015-05-28,0.7675,0.7684,0.7601,0.7613,CHF
2015-05-29,0.7611,0.7649,0.7544,0.7574,CHF
2015-06-01,0.7573,0.7641,0.7564,0.7581,CHF
2015-06-02,0.7578,0.7592,0.75,0.7519,CHF
2015-06-03,0.7516,0.7565,0.7498,0.7515,CHF
2015-06-04,0.7512,0.7544,0.7478,0.7506,CHF
2015-06-05,0.7505,0.7558,0.7444,0.7478,CHF
2015-06-08,0.7474,0.7516,0.7431,0.7449,CHF
2015-06-09,0.7447,0.7509,0.7423,0.7489,CHF
2015-06-10,0.7486,0.7603,0.7468,0.7593,CHF
2015-06-11,0.7595,0.7601,0.7541,0.7563,CHF
2015-06-12,0.7563,0.7592,0.7498,0.753,CHF
2015-06-15,0.7528,0.7607,0.7514,0.7531,CHF
2015-06-16,0.7527,0.7569,0.7497,0.7557,CHF
2015-06-17,0.7553,0.7561,0.7418,0.7477,CHF
2015-06-18,0.7475,0.7512,0.7447,0.7492,CHF
2015-06-19,0.7491,0.7531,0.7467,0.748,CHF
2015-06-22,0.7467,0.7491,0.7427,0.747,CHF
2015-06-23,0.7467,0.7567,0.7458,0.7537,CHF
2015-06-24,0.7536,0.7555,0.7491,0.754,CHF
2015-06-25,0.7535,0.7618,0.7529,0.7578,CHF
2015-06-26,0.7575,0.76,0.7514,0.7533,CHF
2015-06-29,0.7599,0.7712,0.7541,0.7548,CHF
2015-06-30,0.7545,0.7677,0.7539,0.7636,CHF
2015-07-01,0.7635,0.7706,0.7605,0.7699,CHF
2015-07-02,0.7697,0.7708,0.7648,0.7667,CHF
2015-07-03,0.7664,0.769,0.7635,0.7658,CHF
2015-07-06,0.7702,0.7746,0.7673,0.7691,CHF
2015-07-07,0.7688,0.7789,0.7675,0.7726,CHF
2015-07-08,0.772,0.7869,0.7717,0.7833,CHF
2015-07-09,0.783,0.7848,0.7753,0.7812,CHF
2015-07-10,0.781,0.7827,0.7619,0.7651,CHF
2015-07-13,0.7693,0.7709,0.7609,0.7699,CHF
2015-07-14,0.7696,0.773,0.7634,0.7658,CHF
2015-07-15,0.7651,0.7707,0.7641,0.7692,CHF
2015-07-16,0.7689,0.7728,0.767,0.7715,CHF
2015-07-17,0.7708,0.776,0.7699,0.7747,CHF
2015-07-20,0.7744,0.7772,0.7728,0.7762,CHF
2015-07-21,0.7761,0.7769,0.7703,0.7738,CHF
2015-07-22,0.7735,0.7776,0.7722,0.774,CHF
2015-07-23,0.7738,0.7759,0.7694,0.7746,CHF
2015-07-24,0.7741,0.7797,0.7728,0.7778,CHF
2015-07-27,0.7778,0.7827,0.7726,0.7812,CHF
2015-07-28,0.7805,0.7823,0.7772,0.779,CHF
2015-07-29,0.7785,0.7823,0.7758,0.7811,CHF
2015-07-30,0.7809,0.7829,0.7785,0.7808,CHF
2015-07-31,0.7805,0.7819,0.7722,0.7794,CHF
2015-08-03,0.7783,0.7829,0.7773,0.7814,CHF
2015-08-04,0.7813,0.7879,0.779,0.7869,CHF
2015-08-05,0.7864,0.7897,0.7832,0.7839,CHF
2015-08-06,0.7835,0.789,0.7826,0.7863,CHF
2015-08-07,0.7866,0.7933,0.7846,0.7919,CHF
2015-08-10,0.7918,0.7936,0.7865,0.7894,CHF
2015-08-11,0.7891,0.7918,0.7844,0.7894,CHF
2015-08-12,0.7887,0.7929,0.781,0.7853,CHF
2015-08-13,0.7848,0.7876,0.7826,0.7848,CHF
2015-08-14,0.7843,0.7876,0.783,0.785,CHF
2015-08-17,0.7847,0.7875,0.7826,0.7872,CHF
2015-08-18,0.7868,0.7881,0.7838,0.7855,CHF
2015-08-19,0.7852,0.7869,0.7784,0.7796,CHF
2015-08-20,0.7792,0.7807,0.7754,0.7768,CHF
2015-08-21,0.7763,0.7803,0.7745,0.7758,CHF
2015-08-24,0.7759,0.798,0.7738,0.7858,CHF
2015-08-25,0.7849,0.7926,0.7781,0.7902,CHF
2015-08-26,0.7901,0.7982,0.7865,0.7958,CHF
2015-08-27,0.7956,0.8003,0.7898,0.7982,CHF
2015-08-28,0.798,0.7989,0.7898,0.7907,CHF
2015-08-31,0.7904,0.7987,0.7901,0.7977,CHF
2015-09-01,0.7976,0.8048,0.7945,0.8031,CHF
2015-09-02,0.8026,0.8083,0.7976,0.805,CHF
2015-09-03,0.8049,0.815,0.8027,0.8106,CHF
2015-09-04,0.81,0.8205,0.8091,0.8167,CHF
2015-09-07,0.8162,0.8182,0.8126,0.8176,CHF
2015-09-08,0.8169,0.8189,0.8103,0.8167,CHF
2015-09-09,0.8165,0.8175,0.8052,0.8089,CHF
2015-09-10,0.8084,0.8135,0.804,0.807,CHF
2015-09-11,0.8064,0.8118,0.8023,0.8035,CHF
2015-09-14,0.8042,0.8101,0.8014,0.8055,CHF
2015-09-15,0.8047,0.8121,0.8019,0.8083,CHF
2015-09-16,0.8082,0.8104,0.8006,0.8055,CHF
2015-09-17,0.8053,0.8066,0.7967,0.7999,CHF
2015-09-18,0.799,0.809,0.7976,0.807,CHF
2015-09-21,0.8063,0.8095,0.802,0.8061,CHF
2015-09-22,0.8052,0.8143,0.8049,0.8115,CHF
2015-09-23,0.8109,0.8155,0.8079,0.8144,CHF
2015-09-24,0.814,0.8173,0.8101,0.812,CHF
2015-09-25,0.8119,0.816,0.8061,0.8115,CHF
2015-09-28,0.8107,0.8177,0.8105,0.8119,CHF
2015-09-29,0.8116,0.8144,0.8084,0.8114,CHF
2015-09-30,0.8112,0.8169,0.8081,0.8119,CHF
2015-10-01,0.8112,0.818,0.8103,0.8149,CHF
2015-10-02,0.8145,0.8172,0.8081,0.8099,CHF
2015-10-05,0.8088,0.8118,0.8055,0.8095,CHF
2015-10-06,0.8092,0.8122,0.8031,0.8041,CHF
2015-10-07,0.804,0.8129,0.803,0.8113,CHF
2015-10-08,0.8106,0.8125,0.8034,0.8056,CHF
2015-10-09,0.8049,0.8073,0.7968,0.7994,CHF
