Date,Open,High,Low,Close,Currency
2015-01-01,5.0652,5.0694,5.0563,5.0631,CLP
2015-01-02,5.0593,5.1264,5.029,5.0922,CLP
2015-01-05,5.0878,5.1707,5.081,5.1603,CLP
2015-01-06,5.158,5.2265,5.1524,5.2063,CLP
2015-01-07,5.2023,5.2074,5.1304,5.1499,CLP
2015-01-08,5.1442,5.1517,5.1096,5.1216,CLP
2015-01-09,5.1185,5.1945,5.1091,5.1843,CLP
2015-01-12,5.1792,5.215,5.147,5.2094,CLP
2015-01-13,5.2075,5.2817,5.1838,5.253,CLP
2015-01-14,5.2474,5.3889,5.246,5.3337,CLP
2015-01-15,5.3288,5.3857,5.3003,5.3848,CLP
2015-01-16,5.3788,5.3975,5.3304,5.3373,CLP
2015-01-19,5.3353,5.3695,5.3302,5.3423,CLP
2015-01-20,5.3401,5.3471,5.2632,5.2931,CLP
2015-01-21,5.2865,5.3716,5.2852,5.3255,CLP
2015-01-22,5.3201,5.3475,5.2574,5.2705,CLP
2015-01-23,5.2658,5.3304,5.2508,5.311,CLP
2015-01-26,5.3052,5.3323,5.2503,5.263,CLP
2015-01-27,5.2594,5.3121,5.2496,5.2883,CLP
2015-01-28,5.2846,5.3108,5.2667,5.2976,CLP
2015-01-29,5.2913,5.3268,5.2671,5.3059,CLP
2015-01-30,5.3013,5.4148,5.2932,5.3942,CLP
2015-02-02,5.3858,5.4268,5.3492,5.3574,CLP
2015-02-03,5.3523,5.3901,5.3057,5.3208,CLP
2015-02-04,5.3178,5.3546,5.298,5.3452,CLP
2015-02-05,5.3415,5.3572,5.2997,5.308,CLP
2015-02-06,5.3037,5.3238,5.2299,5.2761,CLP
2015-02-09,5.2622,5.3025,5.2497,5.2623,CLP
2015-02-10,5.2583,5.2717,5.2334,5.2456,CLP
2015-02-11,5.2424,5.253,5.2195,5.2295,CLP
2015-02-12,5.229,5.3002,5.2187,5.2217,CLP
2015-02-13,5.2191,5.2602,5.1932,5.2103,CLP
2015-02-16,5.2058,5.256,5.2007,5.2462,CLP
2015-02-17,5.2447,5.2617,5.1867,5.2067,CLP
2015-02-18,5.2008,5.2315,5.1856,5.2174,CLP
2015-02-19,5.2121,5.2423,5.1864,5.2096,CLP
2015-02-20,5.2034,5.2243,5.1619,5.1739,CLP
2015-02-23,5.1726,5.2526,5.1566,5.2439,CLP
2015-02-24,5.2383,5.2403,5.1896,5.2008,CLP
2015-02-25,5.2002,5.2224,5.1844,5.1921,CLP
2015-02-26,5.1884,5.2053,5.1661,5.1892,CLP
2015-02-27,5.1825,5.2134,5.1453,5.1645,CLP
2015-03-02,5.1526,5.1733,5.121,5.1316,CLP
2015-03-03,5.1236,5.1745,5.1176,5.1541,CLP
2015-03-04,5.1474,5.1971,5.1422,5.171,CLP
2015-03-05,5.1657,5.1852,5.1362,5.164,CLP
2015-03-06,5.1577,5.1952,5.1494,5.1773,CLP
2015-03-09,5.1717,5.2121,5.1585,5.1843,CLP
2015-03-10,5.1799,5.2573,5.1422,5.2475,CLP
2015-03-11,5.2423,5.2716,5.2254,5.2536,CLP
2015-03-12,5.2486,5.2776,5.1979,5.2271,CLP
2015-03-13,5.2226,5.2872,5.213,5.2721,CLP
2015-03-16,5.2668,5.2953,5.2485,5.2812,CLP
2015-03-17,5.276,5.3,5.2686,5.284,CLP
2015-03-18,5.2796,5.3297,5.2738,5.2954,CLP
2015-03-19,5.2909,5.3145,5.259,5.3011,CLP
2015-03-20,5.295,5.3095,5.2428,5.2626,CLP
2015-03-23,5.2561,5.2757,5.2024,5.2132,CLP
2015-03-24,5.2084,5.2377,5.1751,5.1956,CLP
2015-03-25,5.1916,5.2173,5.171,5.1972,CLP
2015-03-26,5.1909,5.2513,5.186,5.2265,CLP
2015-03-27,5.2228,5.2454,5.2107,5.2314,CLP
2015-03-30,5.2265,5.2489,5.1957,5.2208,CLP
2015-03-31,5.2139,5.2584,5.1821,5.1983,CLP
2015-04-01,5.1935,5.2331,5.143,5.1568,CLP
2015-04-02,5.1511,5.1767,5.1124,5.1397,CLP
2015-04-03,5.1332,5.1851,5.1285,5.1708,CLP
2015-04-06,5.1664,5.1765,5.1047,5.1169,CLP
2015-04-07,5.1142,5.1197,5.0565,5.072,CLP
2015-04-08,5.0715,5.1132,5.0623,5.0907,CLP
2015-04-09,5.0853,5.1242,5.0751,5.1115,CLP
