Date,Open,High,Low,Close,Currency
2015-01-02,0.0518,0.0519,0.0508,0.0515,CNY
2015-01-04,0.0517,0.0519,0.0517,0.0518,CNY
2015-01-05,0.0518,0.0521,0.0516,0.0521,CNY
2015-01-06,0.0521,0.0526,0.052,0.0523,CNY
2015-01-07,0.0523,0.0524,0.0519,0.0521,CNY
2015-01-08,0.0521,0.0521,0.0518,0.0519,CNY
2015-01-09,0.0519,0.0524,0.0518,0.0523,CNY
2015-01-11,0.0524,0.0524,0.0523,0.0524,CNY
2015-01-12,0.0524,0.0525,0.052,0.0524,CNY
2015-01-13,0.0524,0.0527,0.0522,0.0526,CNY
2015-01-14,0.0526,0.0534,0.0525,0.0528,CNY
2015-01-15,0.0528,0.0534,0.0525,0.0532,CNY
2015-01-16,0.0532,0.0535,0.0527,0.0528,CNY
2015-01-18,0.0529,0.0529,0.0528,0.0528,CNY
2015-01-19,0.0528,0.0531,0.0528,0.0528,CNY
2015-01-20,0.0528,0.0528,0.0523,0.0524,CNY
2015-01-21,0.0524,0.053,0.0521,0.0527,CNY
2015-01-22,0.0527,0.0529,0.0522,0.0523,CNY
2015-01-23,0.0523,0.053,0.0523,0.0529,CNY
2015-01-25,0.0533,0.0536,0.0532,0.0535,CNY
2015-01-26,0.0533,0.0533,0.0527,0.0528,CNY
2015-01-27,0.0528,0.0532,0.0527,0.053,CNY
2015-01-28,0.053,0.0533,0.0528,0.0531,CNY
2015-01-29,0.0531,0.0531,0.0527,0.0528,CNY
2015-01-30,0.0528,0.0533,0.0528,0.0532,CNY
2015-02-01,0.0533,0.0533,0.0532,0.0532,CNY
2015-02-02,0.0532,0.0535,0.0523,0.0533,CNY
2015-02-03,0.0533,0.0535,0.0531,0.0532,CNY
2015-02-04,0.0532,0.0534,0.0529,0.0533,CNY
2015-02-05,0.0533,0.0535,0.0531,0.0532,CNY
2015-02-06,0.0532,0.0533,0.0523,0.0524,CNY
2015-02-08,0.0526,0.0526,0.0524,0.0525,CNY
2015-02-09,0.0525,0.0528,0.0524,0.0527,CNY
2015-02-10,0.0527,0.0528,0.0522,0.0523,CNY
2015-02-11,0.0523,0.0523,0.0518,0.052,CNY
2015-02-12,0.052,0.0527,0.0519,0.0525,CNY
2015-02-13,0.0525,0.0527,0.0523,0.0525,CNY
2015-02-15,0.0526,0.0526,0.0525,0.0526,CNY
2015-02-16,0.0525,0.0528,0.0524,0.0527,CNY
2015-02-17,0.0527,0.0529,0.0524,0.0525,CNY
2015-02-18,0.0525,0.0528,0.0524,0.0527,CNY
2015-02-19,0.0527,0.0528,0.0525,0.0526,CNY
2015-02-20,0.0526,0.0529,0.0525,0.0525,CNY
2015-02-22,0.0524,0.0525,0.0524,0.0525,CNY
2015-02-23,0.0525,0.0527,0.0524,0.0526,CNY
2015-02-24,0.0526,0.0527,0.0523,0.0526,CNY
2015-02-25,0.0526,0.0528,0.0525,0.0527,CNY
2015-02-26,0.0527,0.0528,0.0524,0.0524,CNY
2015-02-27,0.0524,0.0526,0.0523,0.0524,CNY
2015-03-01,0.0524,0.0525,0.0524,0.0525,CNY
2015-03-02,0.0525,0.0525,0.0522,0.0522,CNY
2015-03-03,0.0522,0.0525,0.0522,0.0524,CNY
2015-03-04,0.0524,0.0525,0.0523,0.0524,CNY
2015-03-05,0.0524,0.0524,0.0521,0.0522,CNY
2015-03-06,0.0522,0.0523,0.0516,0.0519,CNY
2015-03-08,0.0519,0.052,0.0519,0.0519,CNY
2015-03-09,0.0519,0.0519,0.0515,0.0516,CNY
2015-03-10,0.0516,0.0518,0.0513,0.0518,CNY
2015-03-11,0.0518,0.0518,0.0515,0.0516,CNY
2015-03-12,0.0516,0.0519,0.0515,0.0516,CNY
2015-03-13,0.0516,0.0517,0.0515,0.0516,CNY
2015-03-15,0.0517,0.0517,0.0515,0.0517,CNY
2015-03-16,0.0517,0.0517,0.051,0.0516,CNY
2015-03-17,0.0516,0.0516,0.0514,0.0515,CNY
2015-03-18,0.0515,0.0522,0.0513,0.0519,CNY
2015-03-19,0.0519,0.0521,0.0512,0.0513,CNY
2015-03-20,0.0513,0.0518,0.0512,0.0517,CNY
2015-03-22,0.0517,0.0517,0.0515,0.0517,CNY
2015-03-23,0.0517,0.052,0.0517,0.0519,CNY
2015-03-24,0.0519,0.0521,0.0517,0.0518,CNY
2015-03-25,0.0518,0.0521,0.0518,0.052,CNY
2015-03-26,0.052,0.0525,0.052,0.0521,CNY
2015-03-27,0.0521,0.0523,0.052,0.0522,CNY
2015-03-29,0.0521,0.0522,0.0521,0.0521,CNY
2015-03-30,0.0521,0.0523,0.0516,0.0517,CNY
2015-03-31,0.0517,0.0518,0.0515,0.0517,CNY
2015-04-01,0.0517,0.0519,0.0515,0.0518,CNY
2015-04-02,0.0518,0.0519,0.0517,0.0518,CNY
2015-04-03,0.0518,0.0519,0.0515,0.0517,CNY
2015-04-05,0.0516,0.0516,0.0515,0.0516,CNY
2015-04-06,0.0516,0.0517,0.0514,0.0516,CNY
2015-04-07,0.0516,0.0518,0.0514,0.0515,CNY
2015-04-08,0.0515,0.0518,0.0515,0.0517,CNY
2015-04-09,0.0517,0.0518,0.0514,0.0515,CNY
2015-04-10,0.0515,0.0517,0.0513,0.0517,CNY
2015-04-12,0.0517,0.0517,0.0516,0.0516,CNY
2015-04-13,0.0516,0.0518,0.0509,0.0518,CNY
2015-04-14,0.0518,0.0522,0.0518,0.052,CNY
2015-04-15,0.052,0.0523,0.0518,0.0521,CNY
2015-04-16,0.0521,0.0522,0.0519,0.052,CNY
2015-04-17,0.052,0.0523,0.052,0.0521,CNY
2015-04-19,0.052,0.0522,0.052,0.0521,CNY
2015-04-20,0.0521,0.0524,0.0519,0.052,CNY
2015-04-21,0.052,0.052,0.0518,0.0518,CNY
2015-04-22,0.0518,0.0519,0.0516,0.0516,CNY
2015-04-23,0.0516,0.0519,0.0516,0.0518,CNY
2015-04-24,0.0518,0.0521,0.0518,0.0521,CNY
2015-04-26,0.0522,0.0522,0.0521,0.0521,CNY
2015-04-27,0.0521,0.0523,0.052,0.0522,CNY
2015-04-28,0.0522,0.0522,0.0521,0.0522,CNY
2015-04-29,0.0522,0.0523,0.0519,0.0521,CNY
2015-04-30,0.0521,0.0524,0.0517,0.0519,CNY
2015-05-01,0.0519,0.0519,0.0514,0.0517,CNY
2015-05-03,0.0517,0.0518,0.0517,0.0518,CNY
2015-05-04,0.0518,0.0518,0.0516,0.0517,CNY
2015-05-05,0.0517,0.0519,0.0515,0.0517,CNY
2015-05-06,0.0517,0.052,0.0517,0.0519,CNY
2015-05-07,0.0519,0.0522,0.0517,0.0519,CNY
2015-05-08,0.0519,0.0519,0.0516,0.0518,CNY
2015-05-10,0.0519,0.0519,0.0518,0.0519,CNY
2015-05-11,0.0519,0.0521,0.0517,0.0517,CNY
2015-05-12,0.0517,0.0519,0.0516,0.0518,CNY
2015-05-13,0.0518,0.0521,0.0517,0.052,CNY
2015-05-14,0.052,0.0522,0.052,0.052,CNY
2015-05-15,0.052,0.0521,0.0517,0.052,CNY
2015-05-17,0.052,0.052,0.052,0.052,CNY
2015-05-18,0.052,0.052,0.0517,0.0517,CNY
2015-05-19,0.0517,0.0518,0.0514,0.0515,CNY
2015-05-20,0.0515,0.0515,0.0511,0.0511,CNY
2015-05-21,0.0511,0.0513,0.0511,0.0512,CNY
2015-05-22,0.0512,0.0514,0.0509,0.051,CNY
2015-05-24,0.0511,0.0512,0.051,0.0511,CNY
2015-05-25,0.0511,0.0512,0.0509,0.051,CNY
2015-05-26,0.051,0.051,0.0503,0.0504,CNY
2015-05-27,0.0504,0.0505,0.05,0.0501,CNY
2015-05-28,0.0501,0.0502,0.0498,0.0501,CNY
2015-05-29,0.0501,0.0502,0.0499,0.0499,CNY
2015-05-31,0.05,0.0501,0.05,0.0501,CNY
2015-06-01,0.05,0.0502,0.0496,0.0497,CNY
2015-06-02,0.0497,0.0501,0.0499,0.05,CNY
2015-06-03,0.05,0.0501,0.0497,0.0499,CNY
2015-06-04,0.0499,0.0501,0.0497,0.0498,CNY
2015-06-05,0.0498,0.0499,0.0493,0.0494,CNY
2015-06-07,0.0495,0.0495,0.0494,0.0494,CNY
2015-06-08,0.0494,0.0499,0.0492,0.0498,CNY
2015-06-09,0.0498,0.0501,0.0498,0.0499,CNY
2015-06-10,0.0499,0.0506,0.0498,0.0505,CNY
2015-06-11,0.0505,0.0505,0.0501,0.0502,CNY
2015-06-12,0.0502,0.0504,0.0501,0.0503,CNY
2015-06-14,0.0506,0.0506,0.0505,0.0506,CNY
2015-06-15,0.0505,0.0506,0.0502,0.0503,CNY
2015-06-16,0.0503,0.0504,0.0502,0.0503,CNY
2015-06-17,0.0503,0.0505,0.0499,0.0503,CNY
2015-06-18,0.0503,0.0507,0.0503,0.0505,CNY
2015-06-19,0.0505,0.0507,0.0504,0.0506,CNY
2015-06-21,0.0504,0.0505,0.0504,0.0505,CNY
2015-06-22,0.0505,0.0506,0.0502,0.0503,CNY
2015-06-23,0.0503,0.0503,0.05,0.0501,CNY
2015-06-24,0.0501,0.0502,0.0499,0.0501,CNY
2015-06-25,0.0501,0.0503,0.0501,0.0503,CNY
2015-06-26,0.0503,0.0505,0.05,0.0502,CNY
2015-06-28,0.0513,0.0518,0.0513,0.0515,CNY
2015-06-29,0.0515,0.0515,0.0504,0.0506,CNY
2015-06-30,0.0506,0.0508,0.0506,0.0507,CNY
2015-07-01,0.0507,0.0507,0.0503,0.0503,CNY
2015-07-02,0.0503,0.0505,0.0502,0.0504,CNY
2015-07-03,0.0504,0.0507,0.0504,0.0506,CNY
2015-07-05,0.0515,0.0515,0.0511,0.0512,CNY
2015-07-06,0.0512,0.0512,0.0505,0.0506,CNY
2015-07-07,0.0506,0.0509,0.0505,0.0507,CNY
2015-07-08,0.0507,0.0516,0.0507,0.0514,CNY
2015-07-09,0.0514,0.0515,0.051,0.051,CNY
2015-07-10,0.051,0.0511,0.0505,0.0506,CNY
2015-07-12,0.0511,0.0511,0.0507,0.0508,CNY
2015-07-13,0.0508,0.0509,0.0501,0.0502,CNY
2015-07-14,0.0502,0.0505,0.0502,0.0503,CNY
2015-07-15,0.0503,0.0504,0.05,0.0501,CNY
2015-07-16,0.0501,0.0502,0.05,0.05,CNY
2015-07-17,0.05,0.0501,0.05,0.0501,CNY
2015-07-19,0.0501,0.0501,0.05,0.05,CNY
2015-07-20,0.05,0.0501,0.0495,0.05,CNY
2015-07-21,0.05,0.0502,0.0499,0.0501,CNY
