Date,Open,High,Low,Close,Currency
2015-01-02,0.0514,0.0516,0.0512,0.0515,DKK
2015-01-04,0.0517,0.0519,0.0517,0.0517,DKK
2015-01-05,0.0517,0.0523,0.0516,0.0522,DKK
2015-01-06,0.0522,0.0529,0.0522,0.0528,DKK
2015-01-07,0.0528,0.0529,0.0525,0.0527,DKK
2015-01-08,0.0527,0.0529,0.0525,0.0527,DKK
2015-01-09,0.0527,0.0531,0.0526,0.053,DKK
2015-01-11,0.0531,0.0531,0.053,0.053,DKK
2015-01-12,0.053,0.0532,0.0528,0.0531,DKK
2015-01-13,0.0532,0.0538,0.053,0.0536,DKK
2015-01-14,0.0536,0.0543,0.0536,0.0538,DKK
2015-01-15,0.0537,0.0552,0.0536,0.055,DKK
2015-01-16,0.055,0.0551,0.0546,0.0547,DKK
2015-01-18,0.0548,0.0548,0.0546,0.0547,DKK
2015-01-19,0.0547,0.055,0.0543,0.0545,DKK
2015-01-20,0.0544,0.0544,0.054,0.0543,DKK
2015-01-21,0.0543,0.0547,0.0542,0.0543,DKK
2015-01-22,0.0543,0.0554,0.0542,0.0553,DKK
2015-01-23,0.0553,0.0568,0.0552,0.0564,DKK
2015-01-25,0.0568,0.0572,0.0567,0.057,DKK
2015-01-26,0.0569,0.0569,0.0557,0.0559,DKK
2015-01-27,0.0559,0.0562,0.0555,0.0556,DKK
2015-01-28,0.0556,0.0562,0.0554,0.0561,DKK
2015-01-29,0.0561,0.0562,0.0555,0.0555,DKK
2015-01-30,0.0555,0.0562,0.0555,0.0561,DKK
2015-02-01,0.0562,0.0562,0.0561,0.0562,DKK
2015-02-02,0.0562,0.0562,0.0557,0.0558,DKK
2015-02-03,0.0558,0.0562,0.0551,0.0552,DKK
2015-02-04,0.0552,0.0562,0.055,0.0561,DKK
2015-02-05,0.0561,0.0561,0.0551,0.0552,DKK
2015-02-06,0.0552,0.0555,0.0551,0.0552,DKK
2015-02-08,0.0553,0.0554,0.0552,0.0553,DKK
