Date,Open,High,Low,Close,Currency
2015-07-03,20.5307,20.5676,20.4835,20.5114,CNY
2015-07-06,20.4927,20.5585,20.4927,20.5275,CNY
2015-07-07,20.524,20.5523,20.4943,20.5179,CNY
2015-07-08,20.5221,20.5577,20.5096,20.5309,CNY
2015-07-09,20.5374,20.5673,20.4912,20.5101,CNY
2015-07-10,20.506,20.5839,20.4858,20.5459,CNY
2015-07-13,20.5354,20.5646,20.4938,20.4965,CNY
2015-07-14,20.5013,20.567,20.4926,20.5253,CNY
2015-07-15,20.5119,20.536,20.4803,20.5094,CNY
2015-07-16,20.5199,20.5471,20.4806,20.4846,CNY
2015-07-17,20.4869,20.5268,20.4705,20.4738,CNY
2015-07-20,20.4977,20.4992,20.4666,20.4692,CNY
2015-07-21,20.477,20.4926,20.4551,20.4744,CNY
2015-07-22,20.485,20.5399,20.4762,20.4897,CNY
2015-07-23,20.4921,20.5458,20.4826,20.4948,CNY
2015-07-24,20.5044,20.5274,20.4626,20.4794,CNY
2015-07-27,20.5184,20.5489,20.4847,20.5151,CNY
2015-07-28,20.5246,20.5587,20.4528,20.5147,CNY
2015-07-29,20.4931,20.5308,20.4292,20.4901,CNY
2015-07-30,20.5078,20.5413,20.4737,20.4885,CNY
2015-07-31,20.5028,20.5504,20.4755,20.5146,CNY
2015-08-03,20.5028,20.5533,20.4894,20.4907,CNY
2015-08-04,20.4806,20.5445,20.4734,20.4768,CNY
2015-08-05,20.467,20.5074,20.4535,20.4703,CNY
2015-08-06,20.4718,20.4961,20.4556,20.4738,CNY
2015-08-07,20.4842,20.5044,20.4677,20.4772,CNY
2015-08-10,20.4977,20.521,20.4779,20.5109,CNY
2015-08-11,20.5125,20.9185,20.5023,20.8859,CNY
2015-08-12,20.9022,21.3321,20.8967,21.1225,CNY
2015-08-13,21.092,21.2803,21.0898,21.1532,CNY
2015-08-14,21.1649,21.1683,21.0986,21.1334,CNY
2015-08-17,21.123,21.1501,21.0796,21.113,CNY
2015-08-18,21.136,21.2232,21.0897,21.1135,CNY
2015-08-19,21.1068,21.1742,21.1048,21.1453,CNY
2015-08-20,21.1397,21.1705,21.0588,21.1389,CNY
2015-08-21,21.1414,21.2004,21.0972,21.1832,CNY
2015-08-24,21.202,21.3443,21.1429,21.3005,CNY
2015-08-25,21.304,21.3667,21.2024,21.2899,CNY
2015-08-26,21.2868,21.3543,21.1971,21.2033,CNY
2015-08-27,21.1787,21.2707,21.1536,21.1984,CNY
2015-08-28,21.2568,21.2742,21.14,21.14,CNY
2015-08-31,21.1165,21.1486,21.0663,21.0957,CNY
2015-09-01,21.0959,21.1245,21.0189,21.0794,CNY
2015-09-02,21.0821,21.0971,20.994,21.028,CNY
2015-09-03,21.0402,21.0703,21.0051,21.0182,CNY
2015-09-04,21.0231,21.069,21.0093,21.0217,CNY
2015-09-07,21.0234,21.0847,21.0163,21.0659,CNY
2015-09-08,21.0687,21.1076,21.0182,21.073,CNY
2015-09-09,21.0644,21.1229,21.0193,21.0836,CNY
2015-09-10,21.1158,21.1661,21.0739,21.0851,CNY
2015-09-11,21.0734,21.1301,21.0327,21.0911,CNY
2015-09-14,21.1058,21.1268,21.0628,21.0949,CNY
2015-09-15,21.0927,21.1225,21.0308,21.0998,CNY
2015-09-16,21.0927,21.1169,21.0312,21.1096,CNY
2015-09-17,21.1047,21.1087,21.0502,21.0753,CNY
2015-09-18,21.0719,21.1242,21.0593,21.1193,CNY
2015-09-21,21.0773,21.1145,21.0306,21.0905,CNY
2015-09-22,21.0916,21.1222,21.0437,21.0951,CNY
2015-09-23,21.0928,21.1549,21.0795,21.0997,CNY
2015-09-24,21.1253,21.1288,21.0905,21.1262,CNY
2015-09-25,21.1224,21.1224,21.056,21.0957,CNY
2015-09-28,21.0761,21.0884,21.0371,21.0541,CNY
2015-09-29,21.0632,21.1029,21.0275,21.067,CNY
2015-09-30,21.0538,21.0663,21.0031,21.0323,CNY
2015-10-01,21.0434,21.0455,20.9945,21.0292,CNY
2015-10-02,21.0097,21.0535,20.9979,21.0152,CNY
2015-10-05,21.0465,21.0535,20.9874,21.0256,CNY
2015-10-06,21.0027,21.0423,20.953,21.0395,CNY
2015-10-07,21.0301,21.065,20.9961,21.0413,CNY
2015-10-08,21.0426,21.0462,20.9875,21.0257,CNY
2015-10-09,21.0265,21.0369,20.9726,21.0073,CNY
2015-10-12,21.013,21.034,20.9184,20.9509,CNY
2015-10-13,20.9449,21.0114,20.9311,20.9975,CNY
2015-10-14,21.0459,21.1032,21.0344,21.0434,CNY
2015-10-15,21.016,21.1023,21.0021,21.0053,CNY
2015-10-16,20.9934,21.0979,20.974,21.0388,CNY
2015-10-19,21.0748,21.1239,21.0512,21.0512,CNY
2015-10-20,21.074,21.1083,20.9934,21.0351,CNY
2015-10-21,21.0324,21.0532,20.9885,21.0368,CNY
2015-10-22,21.0309,21.0724,21.0169,21.0252,CNY
2015-10-23,21.0215,21.0776,20.9505,21.0123,CNY
2015-10-26,20.974,21.0086,20.9352,20.9815,CNY
2015-10-27,20.9746,21.0417,20.9048,20.9891,CNY
2015-10-28,20.9891,21.0315,20.9675,20.9876,CNY
2015-10-29,20.9931,21.0208,20.955,20.9654,CNY
2015-10-30,20.9572,20.9766,20.8243,20.8346,CNY
2015-11-02,20.8681,20.9693,20.8524,20.9326,CNY
2015-11-03,20.9813,21.0119,20.8907,20.9112,CNY
2015-11-04,20.9022,20.9977,20.8722,20.8722,CNY
2015-11-05,20.8739,20.9972,20.8589,20.9307,CNY
2015-11-06,20.9465,21.0133,20.9222,20.926,CNY
2015-11-09,20.9137,21.0073,20.8926,20.9352,CNY
2015-11-10,20.8893,20.9431,20.8396,20.9301,CNY
2015-11-11,20.9963,21.048,20.9559,20.9559,CNY
2015-11-12,20.9561,21.0069,20.9205,20.9585,CNY
2015-11-13,20.9517,21.0326,20.9312,20.9802,CNY
2015-11-16,20.99,21.0099,20.8909,20.9536,CNY
2015-11-17,21.0134,21.0319,20.9584,20.9824,CNY
2015-11-18,21.0202,21.0723,20.9607,20.9962,CNY
2015-11-19,21.0447,21.0659,20.9596,21.0176,CNY
2015-11-20,21.0318,21.0461,20.9586,21.0034,CNY
2015-11-23,21.015,21.0633,20.9692,21.0036,CNY
2015-11-24,21.049,21.0791,20.9677,20.9985,CNY
2015-11-25,21.0022,21.0186,20.9108,20.9823,CNY
2015-11-26,20.9892,21.0209,20.963,20.9683,CNY
2015-11-27,20.9816,21.0188,20.9328,20.9842,CNY
2015-11-30,20.9913,21.0327,20.93,20.9947,CNY
2015-12-01,20.9954,21.0278,20.935,21.0271,CNY
2015-12-02,21.0719,21.0788,20.9848,21.0072,CNY
2015-12-03,21.016,21.1948,20.932,21.0754,CNY
2015-12-04,21.0512,21.1054,20.9817,21.0762,CNY
2015-12-07,21.1214,21.1556,21.0581,21.0798,CNY
2015-12-08,21.0412,21.1506,21.0205,21.1301,CNY
2015-12-09,21.1335,21.2053,21.095,21.1935,CNY
2015-12-10,21.1917,21.2845,21.1414,21.2286,CNY
