Date,Open,High,Low,Close,Currency
2015-01-01,0.4689,0.4713,0.4689,0.4703,BOB
2015-01-02,0.4703,0.4715,0.4652,0.4659,BOB
2015-01-04,0.4659,0.4659,0.4648,0.4648,BOB
2015-01-05,0.4655,0.4692,0.4611,0.4621,BOB
2015-01-06,0.4622,0.4662,0.4595,0.4642,BOB
2015-01-07,0.4638,0.4697,0.4638,0.4687,BOB
2015-01-08,0.4693,0.4735,0.4689,0.4714,BOB
2015-01-09,0.4716,0.4746,0.4689,0.4736,BOB
2015-01-11,0.4729,0.4739,0.4729,0.4739,BOB
2015-01-12,0.4738,0.4741,0.4689,0.4716,BOB
2015-01-13,0.472,0.4752,0.4691,0.4731,BOB
2015-01-14,0.473,0.477,0.4709,0.477,BOB
2015-01-15,0.4767,0.4787,0.4707,0.4717,BOB
2015-01-16,0.4713,0.475,0.4708,0.474,BOB
2015-01-18,0.4745,0.4746,0.4742,0.4742,BOB
2015-01-19,0.4742,0.4756,0.4707,0.4717,BOB
2015-01-20,0.4717,0.4735,0.4709,0.4709,BOB
2015-01-21,0.4711,0.4737,0.467,0.4681,BOB
2015-01-22,0.4679,0.4736,0.4664,0.4727,BOB
2015-01-23,0.4729,0.4841,0.4712,0.4734,BOB
2015-01-25,0.474,0.474,0.469,0.469,BOB
2015-01-26,0.469,0.4748,0.4682,0.4739,BOB
2015-01-27,0.4739,0.4746,0.4715,0.4725,BOB
2015-01-28,0.4722,0.4725,0.4681,0.4681,BOB
2015-01-29,0.4688,0.4722,0.464,0.4671,BOB
2015-01-30,0.4675,0.4678,0.4586,0.4606,BOB
2015-02-01,0.4605,0.464,0.4605,0.464,BOB
2015-02-02,0.464,0.4653,0.4621,0.4653,BOB
2015-02-03,0.4649,0.4712,0.4629,0.4702,BOB
2015-02-04,0.4702,0.4708,0.465,0.4659,BOB
2015-02-05,0.4656,0.4727,0.4647,0.4676,BOB
2015-02-06,0.4668,0.4689,0.4619,0.4649,BOB
2015-02-08,0.4652,0.4652,0.4646,0.4652,BOB
2015-02-09,0.4647,0.472,0.4647,0.4655,BOB
2015-02-10,0.4659,0.4669,0.4608,0.4618,BOB
2015-02-11,0.4619,0.4619,0.4558,0.458,BOB
2015-02-12,0.4576,0.4637,0.4574,0.4628,BOB
2015-02-13,0.462,0.4658,0.4583,0.4649,BOB
2015-02-15,0.464,0.4641,0.4636,0.4641,BOB
2015-02-16,0.4637,0.4656,0.4627,0.4627,BOB
2015-02-17,0.4631,0.4697,0.4631,0.4645,BOB
2015-02-18,0.4638,0.4656,0.4615,0.4646,BOB
2015-02-19,0.4646,0.4647,0.4598,0.4607,BOB
2015-02-20,0.4607,0.4631,0.4571,0.4597,BOB
2015-02-22,0.4592,0.4602,0.4587,0.4587,BOB
2015-02-23,0.4587,0.4599,0.4551,0.4579,BOB
2015-02-24,0.4578,0.4643,0.4558,0.4626,BOB
2015-02-25,0.4625,0.4645,0.4613,0.4625,BOB
2015-02-26,0.4625,0.4659,0.4604,0.4604,BOB
2015-02-27,0.461,0.4674,0.4593,0.4621,BOB
2015-03-01,0.4625,0.4625,0.4622,0.4622,BOB
2015-03-02,0.4624,0.465,0.4598,0.4598,BOB
2015-03-03,0.4598,0.4632,0.459,0.461,BOB
2015-03-04,0.461,0.4612,0.4571,0.4593,BOB
2015-03-05,0.4591,0.4618,0.4591,0.4606,BOB
2015-03-06,0.4549,0.4549,0.4549,0.4549,BOB
2015-03-08,0.4458,0.4458,0.4458,0.4458,BOB
2015-03-09,0.4465,0.4465,0.4465,0.4465,BOB
2015-03-10,0.4459,0.4459,0.4459,0.4459,BOB
2015-03-11,0.4421,0.4421,0.4421,0.4421,BOB
2015-03-12,0.4464,0.4464,0.4464,0.4464,BOB
2015-03-13,0.4491,0.4491,0.4491,0.4491,BOB
2015-03-15,0.4461,0.4461,0.4461,0.4461,BOB
2015-03-16,0.446,0.446,0.446,0.446,BOB
2015-03-17,0.4481,0.4481,0.4481,0.4481,BOB
2015-03-18,0.4484,0.4484,0.4484,0.4484,BOB
2015-03-19,0.4566,0.4566,0.4566,0.4566,BOB
2015-03-20,0.4533,0.4533,0.4533,0.4533,BOB
2015-03-22,0.4579,0.4579,0.4579,0.4579,BOB
2015-03-23,0.4581,0.4581,0.4581,0.4581,BOB
2015-03-24,0.4628,0.4628,0.4628,0.4628,BOB
2015-03-25,0.4621,0.4621,0.4621,0.4621,BOB
2015-03-26,0.4605,0.4605,0.4605,0.4605,BOB
2015-03-27,0.4559,0.4559,0.4559,0.4559,BOB
2015-03-29,0.4533,0.4533,0.4533,0.4533,BOB
2015-03-30,0.4539,0.4539,0.4539,0.4539,BOB
2015-03-31,0.4523,0.4523,0.4523,0.4523,BOB
2015-04-01,0.4528,0.4528,0.4528,0.4528,BOB
2015-04-02,0.4564,0.4564,0.4564,0.4564,BOB
2015-04-03,0.458,0.458,0.458,0.458,BOB
2015-04-05,0.464,0.464,0.464,0.464,BOB
2015-04-06,0.4644,0.4644,0.4644,0.4644,BOB
2015-04-07,0.4573,0.4647,0.4573,0.4628,BOB
2015-04-08,0.463,0.4663,0.4621,0.463,BOB
2015-04-09,0.4634,0.468,0.4567,0.4567,BOB
2015-04-10,0.4573,0.462,0.4527,0.4527,BOB
2015-04-12,0.4529,0.453,0.4527,0.453,BOB
2015-04-13,0.453,0.4536,0.4486,0.4495,BOB
2015-04-14,0.449,0.4547,0.4469,0.4529,BOB
2015-04-15,0.4528,0.454,0.4475,0.452,BOB
2015-04-16,0.452,0.4568,0.4471,0.4532,BOB
2015-04-17,0.4531,0.4569,0.4495,0.4515,BOB
2015-04-19,0.451,0.4526,0.451,0.451,BOB
2015-04-20,0.4517,0.453,0.4464,0.4464,BOB
2015-04-21,0.4467,0.4494,0.4452,0.4464,BOB
2015-04-22,0.447,0.4491,0.4443,0.4467,BOB
2015-04-23,0.4485,0.4512,0.4461,0.4494,BOB
2015-04-24,0.4497,0.451,0.4456,0.449,BOB
2015-04-26,0.4491,0.4492,0.4466,0.4466,BOB
2015-04-27,0.4467,0.4509,0.4455,0.4491,BOB
2015-04-28,0.4487,0.455,0.4464,0.4531,BOB
2015-04-29,0.4527,0.4563,0.4507,0.4544,BOB
2015-04-30,0.4537,0.4543,0.4477,0.4499,BOB
2015-05-01,0.4503,0.4503,0.4422,0.4433,BOB
2015-05-03,0.4428,0.4435,0.4421,0.4435,BOB
2015-05-04,0.4432,0.4469,0.4426,0.4459,BOB
2015-05-05,0.4459,0.4516,0.4451,0.4497,BOB
2015-05-06,0.4493,0.4524,0.447,0.4489,BOB
2015-05-07,0.4491,0.4531,0.4427,0.4522,BOB
2015-05-08,0.4522,0.457,0.4508,0.456,BOB
2015-05-10,0.4567,0.4569,0.456,0.4569,BOB
2015-05-11,0.4565,0.4573,0.4496,0.4496,BOB
2015-05-12,0.4503,0.4523,0.4482,0.4503,BOB
2015-05-13,0.4512,0.4557,0.4511,0.4523,BOB
2015-05-14,0.4524,0.4588,0.4469,0.4588,BOB
2015-05-15,0.4583,0.4611,0.4562,0.4602,BOB
2015-05-17,0.4604,0.4605,0.4594,0.4605,BOB
2015-05-18,0.4604,0.4604,0.4553,0.4575,BOB
2015-05-19,0.4579,0.4621,0.4538,0.4549,BOB
2015-05-20,0.4547,0.4578,0.4527,0.4539,BOB
2015-05-21,0.4543,0.4564,0.4529,0.4538,BOB
2015-05-22,0.454,0.4573,0.4509,0.453,BOB
2015-05-24,0.4527,0.4531,0.4522,0.4522,BOB
2015-05-25,0.4524,0.4613,0.4518,0.4527,BOB
2015-05-26,0.4526,0.4532,0.45,0.4518,BOB
2015-05-27,0.4518,0.4541,0.4485,0.4516,BOB
2015-05-28,0.4515,0.4517,0.4488,0.4508,BOB
2015-05-29,0.4516,0.4516,0.4475,0.4486,BOB
2015-05-31,0.4491,0.4492,0.4484,0.4484,BOB
2015-06-01,0.4485,0.4494,0.4448,0.4458,BOB
2015-06-02,0.4463,0.4484,0.4456,0.4474,BOB
2015-06-03,0.447,0.4474,0.4411,0.4455,BOB
2015-06-04,0.4451,0.4455,0.4377,0.4435,BOB
2015-06-05,0.4441,0.4494,0.438,0.4396,BOB
2015-06-07,0.4396,0.4399,0.4394,0.4394,BOB
2015-06-08,0.4394,0.4456,0.4394,0.4421,BOB
2015-06-09,0.4417,0.4438,0.4355,0.4426,BOB
2015-06-10,0.4428,0.4477,0.4412,0.4457,BOB
2015-06-11,0.4457,0.4497,0.4434,0.4497,BOB
2015-06-12,0.4491,0.4505,0.4463,0.4481,BOB
2015-06-14,0.4476,0.4481,0.447,0.447,BOB
2015-06-15,0.4476,0.4487,0.445,0.4477,BOB
2015-06-16,0.4477,0.4481,0.4447,0.4481,BOB
2015-06-17,0.4479,0.4522,0.4467,0.4522,BOB
2015-06-18,0.4518,0.4545,0.4472,0.4494,BOB
2015-06-19,0.4496,0.4512,0.4486,0.4495,BOB
2015-06-21,0.4473,0.4475,0.447,0.447,BOB
2015-06-22,0.4472,0.4506,0.4466,0.4486,BOB
2015-06-23,0.448,0.4497,0.4471,0.448,BOB
2015-06-24,0.4482,0.4507,0.4449,0.4449,BOB
2015-06-25,0.445,0.4466,0.4446,0.4456,BOB
2015-06-26,0.4454,0.4454,0.4428,0.4439,BOB
2015-06-28,0.444,0.444,0.4399,0.4408,BOB
2015-06-29,0.4407,0.4507,0.4394,0.4403,BOB
2015-06-30,0.44,0.4422,0.4353,0.4393,BOB
2015-07-01,0.4395,0.4416,0.4364,0.4373,BOB
2015-07-02,0.4372,0.4411,0.4356,0.4402,BOB
2015-07-03,0.4397,0.4407,0.4383,0.4383,BOB
2015-07-05,0.4384,0.4384,0.4359,0.4371,BOB
2015-07-06,0.437,0.4409,0.4356,0.4395,BOB
2015-07-07,0.4395,0.4395,0.4356,0.4374,BOB
2015-07-08,0.437,0.4373,0.4339,0.4354,BOB
2015-07-09,0.4354,0.4382,0.4329,0.4364,BOB
2015-07-10,0.4363,0.4397,0.4357,0.4388,BOB
2015-07-12,0.4388,0.4388,0.4373,0.4373,BOB
2015-07-13,0.4375,0.4413,0.4369,0.4387,BOB
2015-07-14,0.438,0.4426,0.438,0.4396,BOB
2015-07-15,0.4401,0.442,0.4366,0.4366,BOB
