Date,Open,High,Low,Close,Currency
2015-01-01,0.0674,0.0674,0.0673,0.0674,CHF
2015-01-02,0.0674,0.0677,0.067,0.0675,CHF
2015-01-05,0.0675,0.0681,0.0671,0.0674,CHF
2015-01-06,0.0674,0.0681,0.0671,0.0678,CHF
2015-01-07,0.0678,0.069,0.0678,0.0689,CHF
2015-01-08,0.0689,0.0697,0.0689,0.0694,CHF
2015-01-09,0.0694,0.07,0.0691,0.0695,CHF
2015-01-12,0.0694,0.0697,0.0691,0.0693,CHF
2015-01-13,0.0692,0.0701,0.0691,0.0698,CHF
2015-01-14,0.0698,0.0704,0.0692,0.0703,CHF
2015-01-15,0.0703,0.0705,0.0512,0.0585,CHF
2015-01-16,0.0585,0.0601,0.0578,0.0589,CHF
2015-01-19,0.0589,0.0602,0.0587,0.0602,CHF
2015-01-20,0.0602,0.0603,0.0593,0.0597,CHF
2015-01-21,0.0597,0.0599,0.0581,0.0583,CHF
2015-01-22,0.0583,0.06,0.0579,0.0596,CHF
2015-01-23,0.0595,0.0602,0.0592,0.0601,CHF
2015-01-26,0.06,0.0621,0.0597,0.062,CHF
2015-01-27,0.0619,0.0629,0.0611,0.0618,CHF
2015-01-28,0.0618,0.0622,0.0611,0.0614,CHF
2015-01-29,0.0613,0.0626,0.0612,0.0624,CHF
2015-01-30,0.0624,0.0629,0.0611,0.0615,CHF
2015-02-02,0.0617,0.0625,0.0613,0.0625,CHF
2015-02-03,0.0624,0.0631,0.062,0.0631,CHF
2015-02-04,0.0631,0.0633,0.062,0.0622,CHF
2015-02-05,0.0622,0.063,0.0619,0.0623,CHF
2015-02-06,0.0623,0.0627,0.0617,0.0623,CHF
2015-02-09,0.0624,0.0626,0.0621,0.0623,CHF
2015-02-10,0.0622,0.0625,0.0618,0.0619,CHF
2015-02-11,0.0619,0.0622,0.0612,0.0616,CHF
2015-02-12,0.0616,0.0626,0.0613,0.0624,CHF
2015-02-13,0.0624,0.0628,0.0619,0.0626,CHF
2015-02-16,0.0625,0.0628,0.0622,0.0625,CHF
2015-02-17,0.0624,0.063,0.0624,0.0628,CHF
2015-02-18,0.0628,0.0636,0.0625,0.0634,CHF
2015-02-19,0.0634,0.0636,0.0629,0.0633,CHF
2015-02-20,0.0633,0.0637,0.0623,0.0626,CHF
2015-02-23,0.0624,0.0633,0.0624,0.0629,CHF
2015-02-24,0.0629,0.0638,0.0627,0.0637,CHF
2015-02-25,0.0637,0.0638,0.0634,0.0635,CHF
2015-02-26,0.0635,0.064,0.0634,0.0635,CHF
2015-02-27,0.0635,0.064,0.063,0.0638,CHF
2015-03-02,0.0638,0.0641,0.0636,0.0638,CHF
2015-03-03,0.0638,0.0643,0.0636,0.0641,CHF
2015-03-04,0.0641,0.0643,0.0634,0.064,CHF
2015-03-05,0.064,0.0645,0.0638,0.0641,CHF
2015-03-06,0.0641,0.0646,0.0633,0.0636,CHF
2015-03-09,0.0636,0.0639,0.0634,0.0637,CHF
2015-03-10,0.0637,0.0643,0.0635,0.064,CHF
2015-03-11,0.0639,0.0654,0.0638,0.0651,CHF
2015-03-12,0.0651,0.0654,0.0647,0.0651,CHF
2015-03-13,0.0651,0.0654,0.0646,0.0649,CHF
2015-03-16,0.0649,0.0654,0.0646,0.0654,CHF
2015-03-17,0.0653,0.0655,0.0648,0.0655,CHF
2015-03-18,0.0654,0.0655,0.064,0.0648,CHF
2015-03-19,0.0648,0.0656,0.0645,0.0648,CHF
2015-03-20,0.0648,0.0651,0.0646,0.0648,CHF
2015-03-23,0.0647,0.0652,0.0645,0.0647,CHF
2015-03-24,0.0647,0.0649,0.0638,0.0641,CHF
2015-03-25,0.0641,0.0645,0.064,0.064,CHF
2015-03-26,0.064,0.0641,0.0632,0.0636,CHF
2015-03-27,0.0636,0.0639,0.063,0.0631,CHF
2015-03-30,0.0631,0.0636,0.063,0.0634,CHF
2015-03-31,0.0633,0.0639,0.0632,0.0637,CHF
2015-04-01,0.0637,0.0641,0.0634,0.0638,CHF
2015-04-02,0.0638,0.064,0.0633,0.064,CHF
2015-04-03,0.064,0.0644,0.0632,0.0643,CHF
2015-04-06,0.0641,0.0644,0.064,0.0643,CHF
2015-04-07,0.0643,0.0649,0.0641,0.0647,CHF
2015-04-08,0.0647,0.0649,0.0644,0.0648,CHF
2015-04-09,0.0648,0.0653,0.0646,0.0648,CHF
2015-04-10,0.0648,0.0649,0.0643,0.0643,CHF
2015-04-13,0.0643,0.0644,0.0634,0.0636,CHF
2015-04-14,0.0635,0.064,0.0634,0.0637,CHF
2015-04-15,0.0637,0.0639,0.063,0.0632,CHF
2015-04-16,0.0631,0.0635,0.0628,0.063,CHF
2015-04-17,0.063,0.0632,0.0619,0.0621,CHF
2015-04-20,0.062,0.0627,0.0618,0.0619,CHF
2015-04-21,0.0619,0.0623,0.0616,0.0619,CHF
2015-04-22,0.0619,0.0629,0.0617,0.0629,CHF
2015-04-23,0.0629,0.063,0.062,0.0622,CHF
2015-04-24,0.0622,0.0624,0.0618,0.062,CHF
2015-04-27,0.0619,0.0624,0.0618,0.0622,CHF
2015-04-28,0.0622,0.0629,0.062,0.0626,CHF
2015-04-29,0.0626,0.0627,0.0615,0.0617,CHF
2015-04-30,0.0617,0.0619,0.0606,0.0608,CHF
2015-05-01,0.0607,0.0609,0.0598,0.0599,CHF
2015-05-04,0.0599,0.0606,0.0598,0.0604,CHF
2015-05-05,0.0604,0.0608,0.0601,0.0604,CHF
2015-05-06,0.0604,0.0604,0.0595,0.0597,CHF
2015-05-07,0.0596,0.0604,0.0588,0.0602,CHF
2015-05-08,0.0602,0.0617,0.0601,0.0616,CHF
2015-05-11,0.0616,0.0617,0.0608,0.0608,CHF
2015-05-12,0.0608,0.061,0.0599,0.0606,CHF
2015-05-13,0.0605,0.0609,0.06,0.0601,CHF
2015-05-14,0.06,0.0607,0.0595,0.0604,CHF
2015-05-15,0.0604,0.0613,0.0603,0.061,CHF
2015-05-18,0.0609,0.0613,0.0609,0.0613,CHF
2015-05-19,0.0613,0.062,0.0611,0.0617,CHF
2015-05-20,0.0617,0.0619,0.0614,0.0617,CHF
2015-05-21,0.0617,0.0618,0.0612,0.0615,CHF
2015-05-22,0.0615,0.0619,0.061,0.0619,CHF
