Date,Open,High,Low,Close,Currency
2015-01-01,41.1,41.12,41.06,41.11,CLP
2015-01-02,41.1,41.52,40.93,41.37,CLP
2015-01-05,41.37,41.62,41.12,41.32,CLP
2015-01-06,41.29,41.59,41.15,41.39,CLP
2015-01-07,41.35,41.88,41.29,41.74,CLP
2015-01-08,41.7,41.99,41.57,41.79,CLP
2015-01-09,41.76,42.29,41.63,42.08,CLP
2015-01-12,42.02,42.18,41.88,42.08,CLP
2015-01-13,42.05,42.64,41.97,42.39,CLP
2015-01-14,42.35,43.23,42.08,43.21,CLP
2015-01-15,43.15,43.23,42.56,42.67,CLP
2015-01-16,42.61,43.15,42.52,43.13,CLP
2015-01-19,43.05,43.12,42.77,42.97,CLP
2015-01-20,42.95,43.05,42.73,42.89,CLP
2015-01-21,42.85,43.14,42.4,42.57,CLP
2015-01-22,42.53,42.88,42.45,42.68,CLP
2015-01-23,42.63,42.84,42.52,42.69,CLP
2015-01-26,42.66,42.92,42.53,42.78,CLP
2015-01-27,42.73,42.89,42.53,42.64,CLP
2015-01-28,42.61,42.66,42.13,42.21,CLP
2015-01-29,42.16,42.46,42.03,42.4,CLP
2015-01-30,42.38,42.55,42.03,42.27,CLP
2015-02-02,42.21,42.53,42.21,42.38,CLP
2015-02-03,42.34,42.8,42.18,42.69,CLP
2015-02-04,42.66,42.75,42.01,42.09,CLP
2015-02-05,42.06,42.46,42.03,42.18,CLP
2015-02-06,42.15,42.32,41.83,42.28,CLP
2015-02-09,42.23,42.45,42.04,42.09,CLP
2015-02-10,42.05,42.33,41.73,41.89,CLP
2015-02-11,41.86,41.96,41.56,41.79,CLP
2015-02-12,41.77,41.96,41.62,41.68,CLP
2015-02-13,41.66,41.79,41.43,41.57,CLP
2015-02-16,41.53,41.81,41.43,41.65,CLP
2015-02-17,41.63,41.92,41.54,41.63,CLP
2015-02-18,41.58,41.89,41.37,41.7,CLP
2015-02-19,41.68,41.73,41.15,41.3,CLP
2015-02-20,41.25,41.4,40.77,40.98,CLP
2015-02-23,40.92,41.51,40.73,41.29,CLP
2015-02-24,41.24,41.71,41.14,41.5,CLP
2015-02-25,41.49,41.62,41.29,41.33,CLP
2015-02-26,41.29,41.62,41.2,41.32,CLP
2015-02-27,41.26,41.46,41.17,41.29,CLP
2015-03-02,41.29,41.4,40.97,41.05,CLP
2015-03-03,41.02,41.39,40.96,41.15,CLP
2015-03-04,41.11,41.33,40.95,41.11,CLP
2015-03-05,41.07,41.2,40.71,40.83,CLP
2015-03-06,40.79,41.07,40.28,40.37,CLP
2015-03-09,40.32,40.77,40.3,40.59,CLP
2015-03-10,40.56,40.91,40.24,40.68,CLP
2015-03-11,40.65,41.45,40.52,41.18,CLP
2015-03-12,41.15,41.51,40.91,41.2,CLP
2015-03-13,41.14,41.36,40.79,41.33,CLP
2015-03-16,41.29,41.64,41.15,41.56,CLP
2015-03-17,41.51,41.73,41.44,41.72,CLP
2015-03-18,41.68,42.44,41.49,42.14,CLP
2015-03-19,42.09,42.19,41.54,41.92,CLP
2015-03-20,41.85,42.29,41.81,41.96,CLP
2015-03-23,41.93,42.19,41.7,41.81,CLP
2015-03-24,41.76,41.97,41.52,41.64,CLP
2015-03-25,41.6,41.75,41.31,41.43,CLP
2015-03-26,41.37,41.56,41.04,41.15,CLP
2015-03-27,41.13,41.3,40.86,40.91,CLP
2015-03-30,40.88,41.33,40.79,41.08,CLP
2015-03-31,41.02,41.09,40.81,40.92,CLP
2015-04-01,40.87,41.14,40.66,40.77,CLP
2015-04-02,40.74,41.05,40.61,41.02,CLP
2015-04-03,40.96,41.7,40.9,41.54,CLP
2015-04-06,41.47,41.57,40.94,41.0,CLP
2015-04-07,40.96,41.14,40.8,40.86,CLP
2015-04-08,40.84,41.22,40.79,41.02,CLP
2015-04-09,40.99,41.17,40.64,40.85,CLP
2015-04-10,40.8,40.93,40.63,40.69,CLP
2015-04-13,40.64,40.84,40.01,40.09,CLP
2015-04-14,40.06,40.47,40.02,40.2,CLP
2015-04-15,40.15,40.51,39.97,40.18,CLP
2015-04-16,40.12,40.43,40.01,40.24,CLP
2015-04-17,40.2,40.44,39.81,39.9,CLP
2015-04-20,39.85,40.16,39.81,39.9,CLP
2015-04-21,39.85,40.1,39.75,39.93,CLP
2015-04-22,39.9,40.18,39.85,40.09,CLP
2015-04-23,40.02,40.34,39.94,40.04,CLP
2015-04-24,39.98,40.25,39.63,39.84,CLP
2015-04-27,39.77,39.93,39.63,39.77,CLP
2015-04-28,39.71,39.93,39.56,39.77,CLP
2015-04-29,39.74,40.23,39.63,40.05,CLP
2015-04-30,40.01,40.13,39.65,39.86,CLP
2015-05-01,39.79,39.97,39.17,39.27,CLP
2015-05-04,39.24,39.88,39.22,39.77,CLP
2015-05-05,39.71,40.03,39.57,39.76,CLP
2015-05-06,39.71,40.01,39.66,39.87,CLP
2015-05-07,39.83,39.9,39.63,39.79,CLP
2015-05-08,39.77,40.07,39.53,40.02,CLP
2015-05-11,39.98,40.04,39.68,39.73,CLP
2015-05-12,39.69,39.83,39.25,39.37,CLP
2015-05-13,39.34,39.66,39.26,39.48,CLP
2015-05-14,39.43,39.67,39.27,39.37,CLP
2015-05-15,39.33,39.85,39.23,39.81,CLP
2015-05-18,39.76,39.82,39.48,39.7,CLP
2015-05-19,39.68,39.93,39.54,39.79,CLP
2015-05-20,39.75,39.94,39.64,39.77,CLP
2015-05-21,39.71,39.95,39.55,39.67,CLP
2015-05-22,39.63,39.95,39.55,39.86,CLP
2015-05-25,39.87,40.1,39.74,40.04,CLP
2015-05-26,40.02,40.17,39.87,40.09,CLP
2015-05-27,40.06,40.33,39.96,40.24,CLP
2015-05-28,40.19,40.34,40.04,40.23,CLP
2015-05-29,40.22,40.26,39.97,40.19,CLP
2015-06-01,40.16,40.39,39.99,40.31,CLP
2015-06-02,40.27,40.52,40.07,40.32,CLP
2015-06-03,40.31,40.65,40.14,40.45,CLP
2015-06-04,40.41,40.54,40.24,40.45,CLP
2015-06-05,40.42,40.71,40.19,40.52,CLP
2015-06-08,40.5,40.66,40.22,40.37,CLP
2015-06-09,40.32,40.43,40.07,40.15,CLP
2015-06-10,40.12,40.91,40.0,40.91,CLP
2015-06-11,40.87,41.1,40.62,41.08,CLP
2015-06-12,41.03,41.12,40.76,40.99,CLP
2015-06-15,40.95,41.17,40.81,41.08,CLP
2015-06-16,41.04,41.36,40.95,41.29,CLP
2015-06-17,41.27,41.67,41.16,41.56,CLP
2015-06-18,41.51,41.78,40.88,41.01,CLP
2015-06-19,40.98,41.41,40.92,41.23,CLP
2015-06-22,41.18,41.4,40.97,41.18,CLP
2015-06-23,41.15,41.32,40.98,41.11,CLP
2015-06-24,41.08,41.28,40.78,40.85,CLP
2015-06-25,40.83,40.99,40.62,40.78,CLP
2015-06-26,40.74,40.91,40.6,40.85,CLP
2015-06-29,40.81,40.92,40.48,40.8,CLP
2015-06-30,40.75,40.88,40.58,40.62,CLP
2015-07-01,40.61,40.69,40.38,40.48,CLP
2015-07-02,40.48,40.68,40.32,40.54,CLP
2015-07-03,40.49,40.66,40.37,40.49,CLP
2015-07-06,40.38,40.84,40.12,40.84,CLP
2015-07-07,40.81,41.27,40.48,41.14,CLP
2015-07-08,41.13,41.39,40.86,41.15,CLP
2015-07-09,41.12,41.36,40.79,40.87,CLP
2015-07-10,40.84,41.23,40.78,41.22,CLP
2015-07-13,41.16,41.32,40.85,40.96,CLP
2015-07-14,40.93,41.22,40.77,40.96,CLP
2015-07-15,40.91,41.14,40.59,40.75,CLP
2015-07-16,40.72,40.83,40.52,40.6,CLP
2015-07-17,40.58,40.81,40.45,40.56,CLP
2015-07-20,40.51,40.82,40.43,40.59,CLP
2015-07-21,40.54,40.86,40.44,40.7,CLP
2015-07-22,40.65,40.87,40.45,40.63,CLP
2015-07-23,40.58,40.77,40.46,40.51,CLP
2015-07-24,40.48,40.83,40.27,40.62,CLP
2015-07-27,40.59,41.05,40.5,40.88,CLP
2015-07-28,40.84,41.05,40.7,40.9,CLP
2015-07-29,40.87,41.19,40.69,40.93,CLP
2015-07-30,40.87,41.52,40.58,41.3,CLP
2015-07-31,41.26,41.98,41.19,41.85,CLP
2015-08-03,41.84,42.31,41.63,42.05,CLP
2015-08-04,41.99,42.25,41.77,41.88,CLP
2015-08-05,41.84,42.04,41.52,41.63,CLP
2015-08-06,41.61,41.95,41.45,41.61,CLP
2015-08-07,41.59,42.06,41.46,42.0,CLP
2015-08-10,41.95,42.02,41.58,41.66,CLP
2015-08-11,41.64,41.88,41.25,41.78,CLP
2015-08-12,41.76,42.05,41.57,42.0,CLP
2015-08-13,41.97,42.11,41.73,41.78,CLP
2015-08-14,41.74,41.91,41.56,41.84,CLP
2015-08-17,41.81,42.15,41.56,42.08,CLP
2015-08-18,42.06,42.58,41.95,42.31,CLP
2015-08-19,42.29,42.36,41.64,41.75,CLP
2015-08-20,41.7,41.79,40.91,40.99,CLP
2015-08-21,40.91,41.35,40.8,41.1,CLP
2015-08-24,41.06,41.43,40.65,40.95,CLP
2015-08-25,40.94,41.74,40.92,41.04,CLP
2015-08-26,41.01,41.55,40.78,41.45,CLP
2015-08-27,41.4,41.64,41.01,41.11,CLP
2015-08-28,41.09,41.38,40.65,41.26,CLP
2015-08-31,41.23,41.62,40.99,41.36,CLP
2015-09-01,41.34,41.42,40.65,40.81,CLP
2015-09-02,40.81,41.04,40.54,40.99,CLP
2015-09-03,40.95,41.09,40.56,41.01,CLP
2015-09-04,41.02,41.19,40.71,40.86,CLP
2015-09-07,40.82,41.02,40.66,40.86,CLP
2015-09-08,40.78,41.24,40.62,41.07,CLP
2015-09-09,41.03,41.3,40.86,41.06,CLP
2015-09-10,41.02,41.17,40.62,40.85,CLP
2015-09-11,40.83,40.96,40.51,40.86,CLP
2015-09-14,40.84,41.21,40.81,41.07,CLP
2015-09-15,41.06,41.23,40.75,40.99,CLP
2015-09-16,40.96,41.17,40.74,40.89,CLP
2015-09-17,40.85,41.41,40.5,40.57,CLP
2015-09-18,40.56,41.12,40.49,40.77,CLP
2015-09-21,40.75,41.14,40.71,41.1,CLP
2015-09-22,41.08,41.48,40.69,41.36,CLP
2015-09-23,41.34,41.48,40.86,41.11,CLP
2015-09-24,41.08,41.49,40.73,41.32,CLP
