Date,Open,High,Low,Close,Currency
2015-01-01,0.4203,0.4206,0.4203,0.4206,CNY
2015-01-02,0.4207,0.4209,0.417,0.4184,CNY
2015-01-05,0.4186,0.4197,0.415,0.4163,CNY
2015-01-06,0.4162,0.4194,0.4142,0.4172,CNY
2015-01-07,0.417,0.423,0.4163,0.4223,CNY
2015-01-08,0.4222,0.4259,0.4214,0.4237,CNY
2015-01-09,0.4236,0.4267,0.4219,0.4252,CNY
2015-01-12,0.4249,0.4254,0.4226,0.4234,CNY
2015-01-13,0.4232,0.4264,0.4221,0.4241,CNY
2015-01-14,0.424,0.4281,0.4213,0.4277,CNY
2015-01-15,0.4275,0.4287,0.4213,0.4221,CNY
2015-01-16,0.4218,0.4265,0.4209,0.4264,CNY
2015-01-19,0.427,0.4272,0.4237,0.4255,CNY
2015-01-20,0.4251,0.4259,0.4233,0.4239,CNY
2015-01-21,0.4238,0.4257,0.4197,0.421,CNY
2015-01-22,0.4209,0.4259,0.42,0.4244,CNY
2015-01-23,0.4242,0.4265,0.4225,0.4251,CNY
2015-01-26,0.4258,0.4298,0.4254,0.4291,CNY
2015-01-27,0.4288,0.429,0.4261,0.4271,CNY
2015-01-28,0.427,0.4274,0.4232,0.4234,CNY
2015-01-29,0.4233,0.4245,0.4192,0.4221,CNY
2015-01-30,0.4221,0.4234,0.4148,0.417,CNY
2015-02-02,0.4168,0.4214,0.4168,0.4211,CNY
2015-02-03,0.4209,0.4273,0.4196,0.4271,CNY
2015-02-04,0.4269,0.4272,0.4189,0.4195,CNY
2015-02-05,0.4194,0.4244,0.4194,0.4227,CNY
2015-02-06,0.4226,0.424,0.4173,0.4205,CNY
2015-02-09,0.4205,0.4227,0.42,0.4212,CNY
2015-02-10,0.421,0.422,0.4163,0.4173,CNY
2015-02-11,0.4172,0.4183,0.4118,0.4142,CNY
2015-02-12,0.414,0.42,0.4136,0.4185,CNY
2015-02-13,0.4184,0.4206,0.4157,0.4193,CNY
2015-02-16,0.4193,0.4209,0.4182,0.4186,CNY
2015-02-17,0.4185,0.4222,0.4185,0.4194,CNY
2015-02-18,0.4192,0.4219,0.4177,0.4209,CNY
2015-02-19,0.421,0.4211,0.4158,0.4169,CNY
2015-02-20,0.4168,0.4181,0.414,0.4162,CNY
2015-02-23,0.4156,0.4165,0.4133,0.4145,CNY
2015-02-24,0.4144,0.4209,0.4128,0.4195,CNY
2015-02-25,0.4193,0.421,0.4187,0.4193,CNY
2015-02-26,0.419,0.4224,0.4166,0.4173,CNY
2015-02-27,0.4172,0.4207,0.4168,0.4194,CNY
2015-03-02,0.4195,0.4205,0.4173,0.4178,CNY
2015-03-03,0.4179,0.4203,0.4168,0.4184,CNY
2015-03-04,0.4185,0.4188,0.4147,0.4165,CNY
2015-03-05,0.4165,0.4171,0.4104,0.4124,CNY
2015-03-06,0.4124,0.4129,0.4034,0.4041,CNY
2015-03-09,0.404,0.4065,0.4033,0.4048,CNY
2015-03-10,0.4048,0.4052,0.4001,0.4007,CNY
2015-03-11,0.4007,0.4066,0.3995,0.4042,CNY
2015-03-12,0.4041,0.4081,0.4037,0.4069,CNY
2015-03-13,0.4066,0.4071,0.402,0.4042,CNY
2015-03-16,0.4041,0.4072,0.4034,0.4062,CNY
2015-03-17,0.406,0.4067,0.4045,0.4065,CNY
2015-03-18,0.4065,0.4154,0.4031,0.4128,CNY
2015-03-19,0.4125,0.4129,0.4034,0.4055,CNY
2015-03-20,0.4054,0.4143,0.4046,0.4122,CNY
2015-03-23,0.4121,0.4165,0.4114,0.4162,CNY
2015-03-24,0.4161,0.4173,0.4133,0.4153,CNY
2015-03-25,0.4151,0.418,0.4139,0.4144,CNY
2015-03-26,0.4143,0.4154,0.4092,0.4103,CNY
2015-03-27,0.4104,0.4116,0.4077,0.408,CNY
2015-03-30,0.4079,0.4086,0.4062,0.4067,CNY
2015-03-31,0.4065,0.4074,0.4037,0.4062,CNY
2015-04-01,0.406,0.4107,0.4049,0.4091,CNY
2015-04-02,0.4092,0.4134,0.4087,0.4131,CNY
2015-04-03,0.413,0.4193,0.4117,0.4182,CNY
2015-04-06,0.4178,0.4197,0.4144,0.4152,CNY
2015-04-07,0.4149,0.4169,0.4142,0.415,CNY
2015-04-08,0.4149,0.4182,0.4145,0.4161,CNY
2015-04-09,0.4161,0.4173,0.4108,0.4113,CNY
2015-04-10,0.411,0.412,0.4074,0.4078,CNY
2015-04-13,0.4075,0.4083,0.4034,0.4042,CNY
2015-04-14,0.4039,0.4087,0.4035,0.407,CNY
2015-04-15,0.4068,0.4083,0.4022,0.4064,CNY
2015-04-16,0.4062,0.4101,0.4042,0.4084,CNY
2015-04-17,0.4082,0.4101,0.4028,0.4043,CNY
2015-04-20,0.4045,0.4061,0.4007,0.4013,CNY
2015-04-21,0.4011,0.4039,0.4001,0.4017,CNY
2015-04-22,0.4016,0.4036,0.4,0.4011,CNY
2015-04-23,0.4009,0.4053,0.4001,0.4036,CNY
2015-04-24,0.4035,0.4054,0.4009,0.4025,CNY
2015-04-27,0.4023,0.4069,0.4019,0.4051,CNY
2015-04-28,0.4049,0.4085,0.403,0.4067,CNY
2015-04-29,0.4066,0.4094,0.4049,0.4073,CNY
2015-04-30,0.4073,0.4079,0.4024,0.4041,CNY
2015-05-01,0.4039,0.4045,0.3976,0.3982,CNY
2015-05-04,0.3978,0.4026,0.3978,0.4018,CNY
2015-05-05,0.4017,0.4063,0.4007,0.4046,CNY
2015-05-06,0.4044,0.4068,0.4033,0.4037,CNY
2015-05-07,0.4036,0.4065,0.4019,0.4052,CNY
2015-05-08,0.4052,0.411,0.405,0.4108,CNY
2015-05-11,0.4105,0.4109,0.4041,0.4042,CNY
2015-05-12,0.4042,0.4063,0.4022,0.4047,CNY
2015-05-13,0.4046,0.4094,0.4045,0.4064,CNY
2015-05-14,0.4064,0.4115,0.4053,0.4107,CNY
2015-05-15,0.4104,0.4143,0.4095,0.4135,CNY
2015-05-18,0.413,0.4134,0.4095,0.4104,CNY
2015-05-19,0.4104,0.4118,0.4073,0.4088,CNY
2015-05-20,0.4087,0.4101,0.4068,0.4084,CNY
2015-05-21,0.4081,0.4096,0.4058,0.407,CNY
2015-05-22,0.4068,0.4082,0.4041,0.4061,CNY
2015-05-25,0.4063,0.407,0.4053,0.4065,CNY
2015-05-26,0.4064,0.407,0.4041,0.4056,CNY
2015-05-27,0.4055,0.4068,0.4025,0.4058,CNY
2015-05-28,0.4057,0.406,0.4022,0.405,CNY
2015-05-29,0.4048,0.405,0.4013,0.4031,CNY
2015-06-01,0.403,0.4032,0.3988,0.4004,CNY
2015-06-02,0.4002,0.4028,0.3998,0.4017,CNY
2015-06-03,0.4017,0.402,0.3985,0.3994,CNY
2015-06-04,0.3992,0.4003,0.3977,0.3991,CNY
2015-06-05,0.3991,0.3998,0.3932,0.3949,CNY
2015-06-08,0.395,0.3978,0.3935,0.3971,CNY
2015-06-09,0.3969,0.3995,0.396,0.3984,CNY
2015-06-10,0.3982,0.4029,0.3975,0.4022,CNY
2015-06-11,0.402,0.4045,0.3986,0.4043,CNY
2015-06-12,0.4042,0.4044,0.4016,0.4031,CNY
2015-06-15,0.4027,0.4032,0.4014,0.4022,CNY
2015-06-16,0.4021,0.4035,0.4012,0.4034,CNY
2015-06-17,0.4034,0.4073,0.4021,0.407,CNY
2015-06-18,0.4067,0.4093,0.4036,0.4047,CNY
2015-06-19,0.4045,0.4064,0.4037,0.4046,CNY
2015-06-22,0.4042,0.4064,0.4039,0.4047,CNY
2015-06-23,0.4047,0.4052,0.4018,0.403,CNY
2015-06-24,0.4028,0.4042,0.4002,0.4004,CNY
2015-06-25,0.4004,0.4019,0.3999,0.4011,CNY
2015-06-26,0.4009,0.4011,0.3981,0.3992,CNY
2015-06-29,0.3972,0.3977,0.3949,0.3957,CNY
2015-06-30,0.3957,0.3968,0.3938,0.394,CNY
2015-07-01,0.394,0.3951,0.3921,0.393,CNY
2015-07-02,0.3929,0.3967,0.3914,0.3962,CNY
2015-07-03,0.3959,0.3964,0.3935,0.3945,CNY
2015-07-06,0.3934,0.3954,0.3911,0.3952,CNY
2015-07-07,0.3952,0.3955,0.3911,0.3933,CNY
2015-07-08,0.3933,0.3938,0.3911,0.3918,CNY
2015-07-09,0.3916,0.3947,0.3915,0.3926,CNY
2015-07-10,0.3924,0.3962,0.3922,0.3952,CNY
2015-07-13,0.395,0.3955,0.3925,0.3954,CNY
2015-07-14,0.3952,0.3973,0.3937,0.3963,CNY
2015-07-15,0.3961,0.397,0.3925,0.3934,CNY
2015-07-16,0.3933,0.3937,0.3918,0.3922,CNY
2015-07-17,0.3921,0.3932,0.3894,0.3898,CNY
2015-07-20,0.3898,0.3906,0.3869,0.388,CNY
2015-07-21,0.3877,0.3895,0.3874,0.388,CNY
2015-07-22,0.3878,0.3883,0.3843,0.3858,CNY
