Date,Open,High,Low,Close,Currency
2015-01-01,0.4171,0.4173,0.4168,0.4171,DKK
2015-01-02,0.417,0.4191,0.4151,0.4181,DKK
2015-01-05,0.4179,0.4211,0.4159,0.4174,DKK
2015-01-06,0.4173,0.4216,0.4159,0.4202,DKK
2015-01-07,0.42,0.4276,0.4199,0.4272,DKK
2015-01-08,0.4271,0.4318,0.4268,0.4301,DKK
2015-01-09,0.43,0.4339,0.4278,0.4305,DKK
2015-01-12,0.43,0.4315,0.4282,0.4291,DKK
2015-01-13,0.429,0.4342,0.4279,0.4323,DKK
2015-01-14,0.4322,0.4359,0.4287,0.4356,DKK
2015-01-15,0.4355,0.4411,0.4343,0.4359,DKK
2015-01-16,0.4356,0.4429,0.4342,0.4412,DKK
2015-01-19,0.4409,0.4418,0.4353,0.4381,DKK
2015-01-20,0.4381,0.4403,0.4361,0.439,DKK
2015-01-21,0.439,0.4399,0.4336,0.4341,DKK
2015-01-22,0.4339,0.4488,0.433,0.4476,DKK
2015-01-23,0.4475,0.4558,0.447,0.4534,DKK
2015-01-26,0.4543,0.4552,0.45,0.4548,DKK
2015-01-27,0.4548,0.4549,0.4465,0.4474,DKK
2015-01-28,0.4472,0.4496,0.4455,0.4471,DKK
2015-01-29,0.4469,0.4489,0.4417,0.4441,DKK
2015-01-30,0.444,0.4454,0.4364,0.4393,DKK
2015-02-02,0.4389,0.442,0.4383,0.4415,DKK
2015-02-03,0.4413,0.4446,0.439,0.4427,DKK
2015-02-04,0.4425,0.4441,0.4382,0.4407,DKK
2015-02-05,0.4406,0.4425,0.4379,0.4385,DKK
2015-02-06,0.4384,0.4428,0.4379,0.4427,DKK
2015-02-09,0.4428,0.4459,0.4411,0.4431,DKK
2015-02-10,0.4429,0.4451,0.4384,0.4396,DKK
2015-02-11,0.4395,0.4408,0.4349,0.4356,DKK
2015-02-12,0.4354,0.4389,0.4349,0.4375,DKK
2015-02-13,0.4374,0.4395,0.4347,0.4387,DKK
2015-02-16,0.4384,0.4406,0.4368,0.4393,DKK
2015-02-17,0.4392,0.4411,0.4371,0.4373,DKK
2015-02-18,0.4371,0.4428,0.4362,0.4395,DKK
2015-02-19,0.4396,0.4398,0.4356,0.4365,DKK
2015-02-20,0.4364,0.4405,0.434,0.4364,DKK
2015-02-23,0.4361,0.4379,0.4349,0.4362,DKK
2015-02-24,0.436,0.4424,0.4353,0.4412,DKK
2015-02-25,0.4411,0.4423,0.4391,0.4403,DKK
2015-02-26,0.4401,0.4466,0.4391,0.4443,DKK
2015-02-27,0.4442,0.4473,0.4417,0.446,DKK
2015-03-02,0.4462,0.447,0.4432,0.4436,DKK
2015-03-03,0.4435,0.4456,0.4428,0.4448,DKK
2015-03-04,0.4447,0.4486,0.4438,0.447,DKK
2015-03-05,0.447,0.4491,0.4433,0.4446,DKK
2015-03-06,0.4446,0.4507,0.442,0.4429,DKK
2015-03-09,0.4429,0.4456,0.4418,0.4437,DKK
2015-03-10,0.4437,0.4476,0.4434,0.4458,DKK
2015-03-11,0.4456,0.4583,0.4451,0.4561,DKK
2015-03-12,0.456,0.4584,0.4534,0.4556,DKK
2015-03-13,0.4554,0.4595,0.4525,0.459,DKK
2015-03-16,0.4589,0.4596,0.4556,0.458,DKK
