Date,Open,High,Low,Close,Currency
2015-01-01,1.7594,1.7606,1.7585,1.7598,DKK
2015-01-02,1.7589,1.7645,1.7535,1.7639,DKK
2015-01-05,1.7635,1.7715,1.7562,1.7649,DKK
2015-01-06,1.764,1.7655,1.749,1.7599,DKK
2015-01-07,1.7592,1.7651,1.7467,1.755,DKK
2015-01-08,1.7546,1.7747,1.7541,1.7689,DKK
2015-01-09,1.7679,1.7759,1.7618,1.7646,DKK
2015-01-12,1.7632,1.7706,1.7582,1.7626,DKK
2015-01-13,1.762,1.7637,1.746,1.7583,DKK
2015-01-14,1.7574,1.7675,1.7461,1.7555,DKK
2015-01-15,1.7547,1.8033,1.754,1.7932,DKK
2015-01-16,1.7922,1.8227,1.7857,1.8051,DKK
2015-01-19,1.8042,1.8096,1.7874,1.7931,DKK
2015-01-20,1.7925,1.7955,1.7695,1.7803,DKK
2015-01-21,1.7795,1.7822,1.7632,1.7721,DKK
2015-01-22,1.7718,1.8265,1.7681,1.8185,DKK
2015-01-23,1.8177,1.8594,1.8149,1.8445,DKK
2015-01-26,1.8436,1.852,1.8218,1.8315,DKK
2015-01-27,1.8306,1.8381,1.8092,1.8164,DKK
2015-01-28,1.8153,1.8249,1.8057,1.8233,DKK
2015-01-29,1.8221,1.8256,1.8031,1.8113,DKK
2015-01-30,1.8107,1.8175,1.8036,1.8138,DKK
2015-02-02,1.8121,1.8161,1.8037,1.8078,DKK
2015-02-03,1.807,1.8124,1.7771,1.7866,DKK
2015-02-04,1.7856,1.8484,1.7853,1.8442,DKK
2015-02-05,1.8433,1.8507,1.812,1.8163,DKK
2015-02-06,1.8153,1.8577,1.8139,1.856,DKK
2015-02-09,1.8558,1.858,1.8388,1.8456,DKK
2015-02-10,1.8446,1.8477,1.8296,1.8368,DKK
2015-02-11,1.8361,1.8382,1.8224,1.825,DKK
2015-02-12,1.8241,1.8304,1.8062,1.8103,DKK
2015-02-13,1.8094,1.8274,1.8084,1.8242,DKK
2015-02-16,1.8229,1.8367,1.8193,1.8313,DKK
2015-02-17,1.8307,1.8354,1.813,1.8196,DKK
2015-02-18,1.8189,1.822,1.8004,1.8043,DKK
2015-02-19,1.803,1.8106,1.7944,1.8087,DKK
2015-02-20,1.8075,1.827,1.8021,1.8117,DKK
2015-02-23,1.8096,1.8178,1.7977,1.8109,DKK
2015-02-24,1.8096,1.8157,1.8033,1.8069,DKK
2015-02-25,1.8059,1.8274,1.8054,1.8239,DKK
2015-02-26,1.8234,1.8625,1.8191,1.8595,DKK
2015-02-27,1.8583,1.8598,1.8375,1.8466,DKK
2015-03-02,1.8452,1.8461,1.8272,1.8343,DKK
2015-03-03,1.8334,1.8432,1.8297,1.8398,DKK
2015-03-04,1.8393,1.8483,1.8287,1.8459,DKK
2015-03-05,1.8448,1.8582,1.8367,1.8511,DKK
2015-03-06,1.8501,1.8804,1.8439,1.8793,DKK
2015-03-09,1.8794,1.8806,1.8569,1.8667,DKK
2015-03-10,1.8665,1.8825,1.8616,1.8818,DKK
2015-03-11,1.8809,1.9173,1.8694,1.911,DKK
2015-03-12,1.91,1.9234,1.8909,1.9,DKK
2015-03-13,1.8991,1.9324,1.8972,1.9272,DKK
2015-03-16,1.9269,1.9297,1.8961,1.9059,DKK
2015-03-17,1.9051,1.9133,1.8934,1.9036,DKK
2015-03-18,1.9029,1.9062,1.8833,1.8896,DKK
2015-03-19,1.8887,1.8945,1.8514,1.8864,DKK
2015-03-20,1.8855,1.888,1.8357,1.8464,DKK
2015-03-23,1.8425,1.8744,1.8381,1.8432,DKK
2015-03-24,1.8423,1.8773,1.8391,1.8725,DKK
2015-03-25,1.8714,1.8762,1.8486,1.8572,DKK
2015-03-26,1.8562,1.8802,1.8452,1.8756,DKK
2015-03-27,1.8747,1.8795,1.8505,1.8615,DKK
2015-03-30,1.8602,1.8624,1.8481,1.8573,DKK
2015-03-31,1.8562,1.8833,1.8534,1.88,DKK
2015-04-01,1.8787,1.8845,1.8693,1.8764,DKK
2015-04-02,1.8755,1.8887,1.8663,1.8716,DKK
2015-04-03,1.8705,1.8803,1.8459,1.8567,DKK
2015-04-06,1.8579,1.886,1.8579,1.8845,DKK
2015-04-07,1.8834,1.9025,1.874,1.9002,DKK
2015-04-08,1.8994,1.9115,1.8885,1.9106,DKK
2015-04-09,1.9097,1.9357,1.9049,1.932,DKK
2015-04-10,1.931,1.9324,1.9102,1.9219,DKK
2015-04-13,1.9219,1.9229,1.9,1.9078,DKK
2015-04-14,1.907,1.915,1.8842,1.8943,DKK
2015-04-15,1.8937,1.9059,1.8828,1.887,DKK
2015-04-16,1.8861,1.9225,1.8853,1.8976,DKK
2015-04-17,1.8967,1.917,1.8944,1.9042,DKK
2015-04-20,1.9028,1.9226,1.8974,1.9191,DKK
2015-04-21,1.9181,1.9232,1.9024,1.9111,DKK
2015-04-22,1.9103,1.9299,1.9089,1.9274,DKK
2015-04-23,1.9265,1.9289,1.8959,1.9007,DKK
2015-04-24,1.8998,1.9268,1.8996,1.915,DKK
2015-04-27,1.9148,1.9335,1.9132,1.9204,DKK
2015-04-28,1.9195,1.9345,1.9087,1.9115,DKK
2015-04-29,1.9103,1.9204,1.8726,1.8836,DKK
2015-04-30,1.8831,1.8969,1.859,1.8674,DKK
2015-05-01,1.866,1.8753,1.855,1.8717,DKK
2015-05-04,1.8707,1.884,1.8652,1.8796,DKK
2015-05-05,1.8781,1.8834,1.8417,1.8478,DKK
2015-05-06,1.8473,1.8656,1.8378,1.8422,DKK
2015-05-07,1.8412,1.848,1.8204,1.8432,DKK
2015-05-08,1.8424,1.8564,1.8338,1.8513,DKK
2015-05-11,1.851,1.8621,1.8492,1.8585,DKK
2015-05-12,1.8576,1.861,1.8287,1.8402,DKK
2015-05-13,1.8395,1.8514,1.8211,1.8275,DKK
2015-05-14,1.8265,1.8394,1.8203,1.8269,DKK
2015-05-15,1.8256,1.8498,1.8251,1.8301,DKK
2015-05-18,1.8286,1.8503,1.8235,1.8476,DKK
2015-05-19,1.847,1.8679,1.8354,1.8626,DKK
2015-05-20,1.8616,1.8641,1.8507,1.8603,DKK
2015-05-21,1.8595,1.8676,1.8509,1.8645,DKK
2015-05-22,1.8635,1.8911,1.8558,1.8894,DKK
2015-05-25,1.8892,1.8934,1.8752,1.879,DKK
