Date,Open,High,Low,Close,Currency
2015-01-01,0.133,0.1334,0.1329,0.1333,CHF
2015-01-02,0.1333,0.1336,0.1317,0.1319,CHF
2015-01-05,0.1318,0.1328,0.1311,0.1318,CHF
2015-01-06,0.1318,0.1321,0.13,0.1304,CHF
2015-01-07,0.1304,0.1321,0.129,0.1316,CHF
2015-01-08,0.1316,0.1341,0.1315,0.1336,CHF
2015-01-09,0.1336,0.1338,0.1319,0.1324,CHF
2015-01-12,0.1323,0.1326,0.1306,0.131,CHF
2015-01-13,0.131,0.1323,0.1305,0.1315,CHF
2015-01-14,0.1315,0.1338,0.1308,0.1336,CHF
2015-01-15,0.1337,0.1338,0.0961,0.1132,CHF
2015-01-16,0.1132,0.1162,0.1112,0.1135,CHF
2015-01-19,0.1136,0.1157,0.1132,0.1154,CHF
2015-01-20,0.1153,0.1157,0.1136,0.1142,CHF
2015-01-21,0.1141,0.1144,0.112,0.1133,CHF
2015-01-22,0.1133,0.1143,0.1117,0.1139,CHF
2015-01-23,0.1137,0.1144,0.1119,0.1134,CHF
2015-01-26,0.1132,0.1162,0.1125,0.1157,CHF
2015-01-27,0.1155,0.1184,0.1146,0.1169,CHF
2015-01-28,0.1167,0.1174,0.1151,0.1156,CHF
2015-01-29,0.1154,0.1185,0.1153,0.118,CHF
2015-01-30,0.1179,0.1198,0.1174,0.1192,CHF
2015-02-02,0.1196,0.1216,0.119,0.1213,CHF
2015-02-03,0.1213,0.1232,0.1206,0.123,CHF
2015-02-04,0.1229,0.1232,0.1213,0.1218,CHF
2015-02-05,0.1218,0.1232,0.121,0.1225,CHF
2015-02-06,0.1225,0.1238,0.1212,0.1213,CHF
2015-02-09,0.1214,0.1222,0.1207,0.1212,CHF
2015-02-10,0.1212,0.1225,0.1212,0.1222,CHF
2015-02-11,0.1221,0.1227,0.1208,0.1215,CHF
2015-02-12,0.1214,0.1221,0.1203,0.1218,CHF
2015-02-13,0.1218,0.1232,0.1212,0.1229,CHF
2015-02-16,0.1225,0.1237,0.1223,0.1232,CHF
2015-02-17,0.1231,0.1247,0.1227,0.1247,CHF
2015-02-18,0.1246,0.1256,0.1238,0.1251,CHF
2015-02-19,0.1251,0.1255,0.1242,0.1251,CHF
2015-02-20,0.1251,0.1255,0.1241,0.125,CHF
2015-02-23,0.1247,0.1255,0.1239,0.1247,CHF
2015-02-24,0.1246,0.1255,0.1242,0.1253,CHF
2015-02-25,0.1252,0.1258,0.1245,0.1258,CHF
2015-02-26,0.1257,0.126,0.1242,0.1245,CHF
2015-02-27,0.1243,0.1247,0.1235,0.1244,CHF
2015-03-02,0.1242,0.125,0.1238,0.1245,CHF
2015-03-03,0.1244,0.1252,0.1242,0.1246,CHF
2015-03-04,0.1245,0.125,0.1227,0.1238,CHF
2015-03-05,0.1238,0.1264,0.1234,0.1261,CHF
2015-03-06,0.1261,0.1263,0.1243,0.1247,CHF
2015-03-09,0.1247,0.125,0.1239,0.1243,CHF
2015-03-10,0.1242,0.1244,0.1229,0.1236,CHF
2015-03-11,0.1236,0.1237,0.1224,0.123,CHF
2015-03-12,0.1229,0.1242,0.1227,0.1237,CHF
2015-03-13,0.1236,0.1238,0.1219,0.1224,CHF
2015-03-16,0.1224,0.123,0.1215,0.1218,CHF
2015-03-17,0.1218,0.1222,0.1205,0.121,CHF
2015-03-18,0.121,0.1212,0.1181,0.1198,CHF
2015-03-19,0.1198,0.1232,0.1181,0.1225,CHF
2015-03-20,0.1224,0.1227,0.121,0.1215,CHF
2015-03-23,0.1212,0.1229,0.121,0.1225,CHF
2015-03-24,0.1224,0.1227,0.1211,0.122,CHF
