Date,Open,High,Low,Close,Currency
2015-01-01,0.9545,0.9581,0.9508,0.9532,AUD
2015-01-02,0.9525,0.956,0.9479,0.9526,AUD
2015-01-05,0.9529,0.9543,0.9453,0.9509,AUD
2015-01-06,0.9505,0.9626,0.9478,0.9598,AUD
2015-01-07,0.9596,0.9657,0.9575,0.9631,AUD
2015-01-08,0.9626,0.9643,0.9583,0.9632,AUD
2015-01-09,0.9629,0.9645,0.9522,0.9555,AUD
2015-01-12,0.9536,0.9573,0.9497,0.9543,AUD
2015-01-13,0.9538,0.9544,0.9448,0.9475,AUD
2015-01-14,0.9471,0.9566,0.9451,0.9466,AUD
2015-01-15,0.9453,0.9544,0.9389,0.9526,AUD
2015-01-16,0.9512,0.9557,0.9436,0.9474,AUD
2015-01-19,0.947,0.9506,0.9433,0.9476,AUD
2015-01-20,0.9474,0.9494,0.9315,0.9349,AUD
2015-01-21,0.9343,0.9382,0.9308,0.9338,AUD
2015-01-22,0.9337,0.9361,0.9283,0.935,AUD
2015-01-23,0.9345,0.9464,0.9333,0.9429,AUD
2015-01-26,0.9414,0.9459,0.9325,0.9369,AUD
2015-01-27,0.9363,0.9416,0.9341,0.9386,AUD
2015-01-28,0.9379,0.9417,0.925,0.9275,AUD
2015-01-29,0.927,0.9382,0.9255,0.9361,AUD
2015-01-30,0.9355,0.9383,0.9301,0.9348,AUD
2015-02-02,0.938,0.94,0.9302,0.9361,AUD
2015-02-03,0.9348,0.9488,0.9316,0.9445,AUD
2015-02-04,0.9436,0.9521,0.9393,0.9506,AUD
2015-02-05,0.9496,0.9516,0.9437,0.9483,AUD
2015-02-06,0.9477,0.9523,0.941,0.9441,AUD
2015-02-09,0.944,0.9526,0.9418,0.9498,AUD
2015-02-10,0.9486,0.9549,0.9474,0.9527,AUD
2015-02-11,0.9524,0.9587,0.951,0.9541,AUD
2015-02-12,0.9539,0.9635,0.9525,0.96,AUD
2015-02-13,0.9592,0.9616,0.9557,0.9598,AUD
2015-02-16,0.9594,0.9691,0.956,0.965,AUD
2015-02-17,0.964,0.9676,0.9605,0.9644,AUD
2015-02-18,0.9639,0.969,0.9618,0.9644,AUD
2015-02-19,0.964,0.9714,0.9631,0.9649,AUD
2015-02-20,0.9641,0.9665,0.9577,0.9595,AUD
2015-02-23,0.9596,0.9667,0.9573,0.9645,AUD
2015-02-24,0.9632,0.9662,0.953,0.9564,AUD
2015-02-25,0.9557,0.9596,0.9538,0.9581,AUD
2015-02-26,0.9575,0.9676,0.9568,0.9659,AUD
2015-02-27,0.9648,0.9694,0.9633,0.9683,AUD
2015-03-02,0.9672,0.9701,0.9647,0.967,AUD
2015-03-03,0.966,0.969,0.9607,0.9661,AUD
2015-03-04,0.965,0.9734,0.9641,0.9709,AUD
2015-03-05,0.9701,0.9733,0.959,0.9613,AUD
2015-03-06,0.9603,0.9638,0.9514,0.954,AUD
2015-03-09,0.9539,0.9575,0.951,0.9558,AUD
2015-03-10,0.9546,0.9567,0.9496,0.954,AUD
2015-03-11,0.9531,0.9618,0.9478,0.9603,AUD
2015-03-12,0.9593,0.9664,0.9564,0.9584,AUD
2015-03-13,0.958,0.9625,0.9556,0.9613,AUD
2015-03-16,0.9606,0.967,0.9572,0.9646,AUD
2015-03-17,0.9636,0.9687,0.9573,0.9591,AUD
2015-03-18,0.9588,0.9675,0.9568,0.9632,AUD
2015-03-19,0.9626,0.971,0.959,0.9694,AUD
2015-03-20,0.9681,0.9759,0.9665,0.9733,AUD
2015-03-23,0.9707,0.9785,0.9687,0.971,AUD
2015-03-24,0.9707,0.9747,0.9665,0.9717,AUD
2015-03-25,0.9712,0.9746,0.9669,0.9696,AUD
2015-03-26,0.9689,0.9735,0.966,0.9707,AUD
2015-03-27,0.9701,0.9798,0.9672,0.9763,AUD
2015-03-30,0.975,0.9854,0.9724,0.9816,AUD
2015-03-31,0.9804,0.9846,0.9775,0.9821,AUD
2015-04-01,0.9812,0.9831,0.9736,0.9806,AUD
2015-04-02,0.9795,0.9909,0.9771,0.989,AUD
2015-04-03,0.9885,0.9981,0.9773,0.9974,AUD
2015-04-06,0.9971,0.9984,0.9901,0.9935,AUD
2015-04-07,0.993,0.994,0.9776,0.9818,AUD
2015-04-08,0.9807,0.9863,0.9783,0.983,AUD
2015-04-09,0.9819,0.9845,0.9782,0.9835,AUD
2015-04-10,0.9827,0.9859,0.9782,0.9808,AUD
2015-04-13,0.9807,0.9857,0.9786,0.9822,AUD
2015-04-14,0.9817,0.9889,0.9797,0.9864,AUD
2015-04-15,0.9857,0.9931,0.9845,0.9884,AUD
2015-04-16,0.9872,0.9909,0.9775,0.983,AUD
2015-04-17,0.9823,0.9904,0.9809,0.9881,AUD
2015-04-20,0.9846,0.9935,0.9806,0.9919,AUD
2015-04-21,0.9909,0.9967,0.9898,0.995,AUD
2015-04-22,0.9936,0.9967,0.985,0.9885,AUD
2015-04-23,0.9874,0.9884,0.9727,0.9763,AUD
2015-04-24,0.9757,0.9777,0.9676,0.973,AUD
2015-04-27,0.9723,0.9768,0.9683,0.9728,AUD
2015-04-28,0.972,0.9749,0.9602,0.9618,AUD
2015-04-29,0.961,0.9667,0.9563,0.959,AUD
2015-04-30,0.9588,0.9676,0.9497,0.9635,AUD
2015-05-01,0.9624,0.9651,0.9589,0.9601,AUD
2015-05-04,0.9607,0.9643,0.9578,0.9617,AUD
2015-05-05,0.9611,0.967,0.949,0.9516,AUD
2015-05-06,0.9507,0.9538,0.934,0.9409,AUD
2015-05-07,0.9395,0.9456,0.9374,0.9421,AUD
2015-05-08,0.9413,0.9477,0.9356,0.9441,AUD
2015-05-11,0.9459,0.9476,0.9281,0.9296,AUD
2015-05-12,0.9291,0.9314,0.92,0.9232,AUD
2015-05-13,0.9228,0.9305,0.9164,0.9224,AUD
2015-05-14,0.922,0.9309,0.9206,0.9277,AUD
2015-05-15,0.9268,0.9321,0.9251,0.9304,AUD
2015-05-18,0.9296,0.9308,0.9212,0.925,AUD
2015-05-19,0.9242,0.9315,0.9209,0.9281,AUD
2015-05-20,0.9269,0.9313,0.9243,0.928,AUD
2015-05-21,0.9269,0.9315,0.9247,0.9314,AUD
2015-05-22,0.9306,0.9365,0.9281,0.9341,AUD
2015-05-25,0.9331,0.9364,0.9313,0.9343,AUD
2015-05-26,0.9329,0.9373,0.9316,0.9349,AUD
2015-05-27,0.9336,0.9409,0.9325,0.9402,AUD
2015-05-28,0.939,0.9461,0.9343,0.9383,AUD
2015-05-29,0.9374,0.941,0.9258,0.9302,AUD
2015-06-01,0.9276,0.9354,0.9245,0.9342,AUD
2015-06-02,0.9335,0.935,0.9215,0.9241,AUD
2015-06-03,0.9227,0.9245,0.9153,0.9185,AUD
2015-06-04,0.9175,0.9299,0.9165,0.9273,AUD
2015-06-05,0.9268,0.9314,0.9204,0.9238,AUD
2015-06-08,0.9226,0.9307,0.9205,0.9277,AUD
2015-06-09,0.9266,0.9318,0.9233,0.9277,AUD
2015-06-10,0.9267,0.9341,0.9245,0.9293,AUD
2015-06-11,0.9279,0.9291,0.9017,0.9043,AUD
2015-06-12,0.9038,0.9077,0.9004,0.9033,AUD
2015-06-15,0.9021,0.9064,0.8985,0.9014,AUD
2015-06-16,0.9002,0.9049,0.8986,0.9016,AUD
2015-06-17,0.9001,0.9061,0.8977,0.9018,AUD
2015-06-18,0.9009,0.9027,0.8853,0.8882,AUD
2015-06-19,0.8876,0.8919,0.8864,0.8893,AUD
