Date,Open,High,Low,Close,Currency
2015-01-01,1.5573,1.5697,1.5535,1.5663,BBD
2015-01-02,1.5569,1.5671,1.5339,1.5475,BBD
2015-01-05,1.5351,1.5506,1.5205,1.5436,BBD
2015-01-06,1.5341,1.5686,1.5331,1.5584,BBD
2015-01-07,1.5493,1.5654,1.5395,1.5627,BBD
2015-01-08,1.5533,1.5727,1.5493,1.5713,BBD
2015-01-09,1.5619,1.5771,1.5549,1.5743,BBD
2015-01-12,1.5639,1.5798,1.5443,1.5631,BBD
2015-01-13,1.5535,1.5669,1.5391,1.5539,BBD
2015-01-14,1.5443,1.5624,1.5349,1.5494,BBD
2015-01-15,1.5391,1.5847,1.5375,1.5712,BBD
2015-01-16,1.5617,1.579,1.5461,1.5654,BBD
2015-01-19,1.5499,1.5684,1.5499,1.5627,BBD
2015-01-20,1.5533,1.563,1.5213,1.534,BBD
2015-01-21,1.5247,1.5484,1.5066,1.5164,BBD
2015-01-22,1.5076,1.523,1.4926,1.5069,BBD
2015-01-23,1.4978,1.5128,1.4834,1.4975,BBD
2015-01-26,1.487,1.5001,1.4762,1.4912,BBD
2015-01-27,1.4818,1.5021,1.4786,1.496,BBD
2015-01-28,1.4866,1.5053,1.4594,1.4693,BBD
2015-01-29,1.4604,1.4758,1.4431,1.4589,BBD
2015-01-30,1.4499,1.4657,1.4401,1.4584,BBD
2015-02-02,1.4447,1.4722,1.4443,1.4668,BBD
2015-02-03,1.4572,1.4937,1.4323,1.4782,BBD
2015-02-04,1.4684,1.497,1.455,1.48,BBD
2015-02-05,1.4708,1.4922,1.4654,1.485,BBD
2015-02-06,1.4758,1.4956,1.464,1.4783,BBD
2015-02-09,1.4644,1.4944,1.4616,1.4884,BBD
2015-02-10,1.479,1.4951,1.4736,1.4867,BBD
2015-02-11,1.4778,1.4957,1.4664,1.4789,BBD
2015-02-12,1.4704,1.5036,1.4598,1.4912,BBD
2015-02-13,1.4818,1.5011,1.4792,1.4973,BBD
2015-02-16,1.4836,1.5131,1.4834,1.5065,BBD
2015-02-17,1.497,1.5181,1.4934,1.5141,BBD
2015-02-18,1.505,1.5208,1.4972,1.513,BBD
2015-02-19,1.5042,1.5213,1.4982,1.51,BBD
2015-02-20,1.5006,1.5185,1.4996,1.5114,BBD
2015-02-23,1.503,1.5166,1.4942,1.5112,BBD
2015-02-24,1.5018,1.5131,1.4814,1.5043,BBD
2015-02-25,1.4954,1.5192,1.4918,1.5173,BBD
