Date,Open,High,Low,Close,Currency
2015-01-01,0.906,0.9083,0.9037,0.9061,CAD
2015-01-02,0.9057,0.9083,0.8991,0.9081,CAD
2015-01-05,0.9059,0.9101,0.8993,0.9042,CAD
2015-01-06,0.9038,0.9223,0.9029,0.9185,CAD
2015-01-07,0.918,0.9222,0.9132,0.9194,CAD
2015-01-08,0.919,0.9262,0.917,0.9257,CAD
2015-01-09,0.9251,0.9314,0.9223,0.9303,CAD
2015-01-12,0.9286,0.9327,0.9205,0.932,CAD
2015-01-13,0.9314,0.9324,0.9203,0.9252,CAD
2015-01-14,0.925,0.9296,0.9202,0.9222,CAD
2015-01-15,0.9215,0.9373,0.9201,0.9357,CAD
2015-01-16,0.9353,0.9413,0.929,0.9341,CAD
2015-01-19,0.9325,0.9343,0.9274,0.929,CAD
2015-01-20,0.9287,0.9325,0.9223,0.9253,CAD
2015-01-21,0.9248,0.9441,0.9222,0.9318,CAD
2015-01-22,0.9313,0.9362,0.9263,0.9289,CAD
2015-01-23,0.9287,0.932,0.923,0.9261,CAD
2015-01-26,0.925,0.93,0.9189,0.9263,CAD
2015-01-27,0.9257,0.93,0.9214,0.9236,CAD
2015-01-28,0.9233,0.9329,0.9156,0.9172,CAD
2015-01-29,0.9169,0.9204,0.9101,0.9166,CAD
2015-01-30,0.9162,0.9257,0.9154,0.9245,CAD
2015-02-02,0.9239,0.9302,0.9148,0.9176,CAD
2015-02-03,0.9168,0.9205,0.9026,0.9139,CAD
2015-02-04,0.913,0.9308,0.9066,0.9266,CAD
2015-02-05,0.9258,0.9291,0.9155,0.9196,CAD
2015-02-06,0.919,0.9267,0.9148,0.922,CAD
2015-02-09,0.9187,0.9284,0.917,0.924,CAD
2015-02-10,0.9236,0.9354,0.9212,0.932,CAD
2015-02-11,0.931,0.9367,0.9277,0.9304,CAD
2015-02-12,0.9298,0.9329,0.9211,0.9286,CAD
2015-02-13,0.9285,0.9322,0.9253,0.9282,CAD
2015-02-16,0.9275,0.9381,0.9245,0.9352,CAD
2015-02-17,0.9346,0.9375,0.931,0.9342,CAD
2015-02-18,0.9332,0.9404,0.9323,0.9384,CAD
2015-02-19,0.9379,0.9438,0.9366,0.9396,CAD
2015-02-20,0.9388,0.9474,0.9364,0.9428,CAD
2015-02-23,0.9434,0.95,0.9405,0.9458,CAD
2015-02-24,0.9453,0.9475,0.9335,0.935,CAD
2015-02-25,0.9352,0.9425,0.9332,0.9396,CAD
2015-02-26,0.9391,0.9478,0.9381,0.9429,CAD
2015-02-27,0.9421,0.9479,0.9404,0.9462,CAD
2015-03-02,0.9489,0.9516,0.9392,0.9414,CAD
2015-03-03,0.9407,0.9453,0.9385,0.9435,CAD
2015-03-04,0.9432,0.9526,0.9403,0.9433,CAD
2015-03-05,0.9425,0.9446,0.9304,0.9342,CAD
2015-03-06,0.9332,0.9396,0.9273,0.9293,CAD
2015-03-09,0.928,0.9315,0.9234,0.9276,CAD
2015-03-10,0.9264,0.928,0.9174,0.923,CAD
2015-03-11,0.9225,0.9311,0.9162,0.93,CAD
2015-03-12,0.9292,0.9424,0.9261,0.9372,CAD
2015-03-13,0.9368,0.9402,0.9323,0.9385,CAD
2015-03-16,0.9352,0.9462,0.9349,0.9414,CAD
2015-03-17,0.9407,0.9452,0.9319,0.9344,CAD
2015-03-18,0.9342,0.9468,0.931,0.9406,CAD
2015-03-19,0.9391,0.9443,0.9353,0.9431,CAD
2015-03-20,0.9423,0.9534,0.9397,0.9498,CAD
2015-03-23,0.9481,0.9619,0.9475,0.9585,CAD
2015-03-24,0.9582,0.9605,0.9524,0.9562,CAD
2015-03-25,0.9558,0.9612,0.9492,0.9521,CAD
2015-03-26,0.9516,0.9531,0.9426,0.9485,CAD
2015-03-27,0.9481,0.9577,0.944,0.9543,CAD
2015-03-30,0.9533,0.9553,0.9489,0.9524,CAD
2015-03-31,0.9516,0.9562,0.9449,0.9478,CAD
2015-04-01,0.9471,0.9486,0.9381,0.9405,CAD
2015-04-02,0.9396,0.9451,0.9366,0.9428,CAD
2015-04-03,0.9425,0.9513,0.9386,0.9503,CAD
2015-04-06,0.9471,0.951,0.9392,0.9411,CAD
2015-04-07,0.9408,0.9426,0.9353,0.9372,CAD
2015-04-08,0.9363,0.95,0.935,0.9473,CAD
2015-04-09,0.9463,0.9536,0.945,0.9519,CAD
2015-04-10,0.9512,0.9562,0.9452,0.9472,CAD
2015-04-13,0.9471,0.9488,0.9349,0.9389,CAD
2015-04-14,0.9387,0.9428,0.9357,0.939,CAD
2015-04-15,0.9385,0.9475,0.9312,0.9328,CAD
2015-04-16,0.932,0.9414,0.9311,0.9348,CAD
2015-04-17,0.9345,0.9435,0.9287,0.9412,CAD
2015-04-20,0.9453,0.9459,0.9328,0.9368,CAD
2015-04-21,0.936,0.9451,0.9347,0.942,CAD
2015-04-22,0.9409,0.9466,0.9354,0.9381,CAD
2015-04-23,0.9371,0.9386,0.919,0.9223,CAD
2015-04-24,0.9215,0.9267,0.9157,0.9265,CAD
2015-04-27,0.9265,0.9289,0.9216,0.924,CAD
