Date,Open,High,Low,Close,Currency
2015-01-01,4.7987,4.8118,4.7875,4.7993,DKK
2015-01-02,4.7977,4.8082,4.7591,4.7791,DKK
2015-01-05,4.7758,4.8134,4.7437,4.7935,DKK
2015-01-06,4.7917,4.869,4.7889,4.8569,DKK
2015-01-07,4.8568,4.8933,4.8481,4.8905,DKK
2015-01-08,4.8893,4.9397,4.8792,4.9359,DKK
2015-01-09,4.9341,4.9471,4.9112,4.9276,DKK
2015-01-12,4.919,4.936,4.8747,4.8934,DKK
2015-01-13,4.8917,4.8971,4.8702,4.8888,DKK
2015-01-14,4.8868,4.9035,4.8497,4.8679,DKK
2015-01-15,4.8636,5.0173,4.8625,4.9992,DKK
2015-01-16,4.9978,5.0307,4.9769,5.0067,DKK
2015-01-19,5.0023,5.0179,4.9647,4.9833,DKK
2015-01-20,4.9829,4.9916,4.9028,4.9167,DKK
2015-01-21,4.9149,4.9406,4.8316,4.8355,DKK
2015-01-22,4.8355,4.9305,4.8145,4.9144,DKK
2015-01-23,4.913,5.002,4.9053,4.9537,DKK
2015-01-26,4.9473,4.9611,4.8837,4.9219,DKK
2015-01-27,4.9211,4.9338,4.8642,4.8718,DKK
2015-01-28,4.8694,4.9196,4.8228,4.8264,DKK
2015-01-29,4.825,4.8493,4.7557,4.7757,DKK
2015-01-30,4.7737,4.7977,4.7421,4.782,DKK
2015-02-02,4.7645,4.8063,4.7569,4.7939,DKK
2015-02-03,4.7883,4.8049,4.7031,4.7743,DKK
2015-02-04,4.772,4.8422,4.7352,4.8361,DKK
2015-02-05,4.8316,4.8521,4.7868,4.7958,DKK
2015-02-06,4.7938,4.8523,4.7717,4.839,DKK
2015-02-09,4.8234,4.898,4.8124,4.8716,DKK
2015-02-10,4.8689,4.8918,4.8553,4.8673,DKK
2015-02-11,4.8662,4.8934,4.8246,4.8352,DKK
2015-02-12,4.8351,4.8825,4.8055,4.848,DKK
2015-02-13,4.8453,4.8796,4.8337,4.8685,DKK
2015-02-16,4.8652,4.9309,4.8527,4.9188,DKK
2015-02-17,4.9161,4.9398,4.8984,4.9172,DKK
2015-02-18,4.9162,4.9719,4.9081,4.9211,DKK
2015-02-19,4.9211,4.9384,4.8927,4.9238,DKK
2015-02-20,4.9213,4.9958,4.9185,4.9364,DKK
2015-02-23,4.9363,4.9705,4.9219,4.9528,DKK
2015-02-24,4.9505,4.9571,4.8944,4.9286,DKK
2015-02-25,4.9276,4.9719,4.9157,4.9667,DKK
2015-02-26,4.964,5.0366,4.957,5.0201,DKK
2015-02-27,5.0178,5.0481,5.0076,5.0437,DKK
2015-03-02,5.056,5.0704,4.9935,5.0026,DKK
2015-03-03,4.9997,5.0434,4.9955,5.0358,DKK
2015-03-04,5.0339,5.1246,5.027,5.1082,DKK
2015-03-05,5.1038,5.1143,5.0285,5.0547,DKK
2015-03-06,5.0505,5.1077,5.0432,5.0542,DKK
2015-03-09,5.0487,5.0705,5.0293,5.0538,DKK
