Date,Open,High,Low,Close,Currency
2015-01-01,2.3219,2.3219,2.3099,2.3099,BOB
2015-01-02,2.3099,2.3276,2.3099,2.3114,BOB
2015-01-04,2.3114,2.3114,2.3114,2.3114,BOB
2015-01-05,2.3114,2.331,2.3087,2.3149,BOB
2015-01-06,2.3149,2.331,2.3115,2.3115,BOB
2015-01-07,2.314,2.3187,2.3113,2.3129,BOB
2015-01-08,2.3118,2.313,2.3103,2.3103,BOB
2015-01-09,2.3103,2.3131,2.304,2.3131,BOB
2015-01-11,2.3131,2.3131,2.3131,2.3131,BOB
2015-01-12,2.3131,2.3142,2.3091,2.3142,BOB
2015-01-13,2.3103,2.3141,2.3048,2.3133,BOB
2015-01-14,2.3133,2.3133,2.3081,2.3081,BOB
2015-01-15,2.3081,2.3125,2.3039,2.3039,BOB
2015-01-16,2.3039,2.3154,2.2893,2.2893,BOB
2015-01-18,2.2893,2.2893,2.2893,2.2893,BOB
2015-01-19,2.2893,2.3003,2.2893,2.2911,BOB
2015-01-20,2.2911,2.2911,2.2911,2.2911,BOB
2015-01-21,2.2911,2.2989,2.2855,2.2989,BOB
2015-01-22,2.2981,2.3015,2.2962,2.301,BOB
2015-01-23,2.2983,2.3531,2.2983,2.301,BOB
2015-01-25,2.3021,2.3021,2.3021,2.3021,BOB
2015-01-26,2.2991,2.3047,2.2896,2.2896,BOB
2015-01-27,2.2896,2.2915,2.2893,2.2893,BOB
2015-01-28,2.2893,2.2893,2.2765,2.2892,BOB
2015-01-29,2.2862,2.2862,2.2717,2.2788,BOB
2015-01-30,2.2791,2.2791,2.2544,2.2544,BOB
2015-02-01,2.2544,2.27,2.2544,2.27,BOB
2015-02-02,2.27,2.2701,2.256,2.256,BOB
2015-02-03,2.2598,2.2598,2.2559,2.2559,BOB
2015-02-04,2.2596,2.2795,2.2556,2.2632,BOB
2015-02-05,2.2636,2.2819,2.2548,2.2548,BOB
2015-02-06,2.2548,2.26,2.2493,2.2493,BOB
