Date,Open,High,Low,Close,Currency
2015-01-01,0.8857,0.889,0.8857,0.889,BRL
2015-01-02,0.8857,0.9125,0.8857,0.9088,BRL
2015-01-05,0.908,0.9194,0.9019,0.905,BRL
2015-01-06,0.9047,0.9091,0.9007,0.9042,BRL
2015-01-07,0.9032,0.9061,0.8936,0.8972,BRL
2015-01-08,0.8966,0.9037,0.8908,0.8932,BRL
2015-01-09,0.8844,0.8957,0.8789,0.8802,BRL
2015-01-12,0.8799,0.8963,0.8799,0.8955,BRL
2015-01-13,0.8938,0.8966,0.8793,0.8845,BRL
2015-01-14,0.8835,0.8877,0.8689,0.8725,BRL
2015-01-15,0.872,0.8813,0.8648,0.8801,BRL
2015-01-16,0.8783,0.8798,0.8668,0.869,BRL
2015-01-19,0.8683,0.8834,0.8676,0.8792,BRL
2015-01-20,0.8784,0.8794,0.8662,0.8679,BRL
2015-01-21,0.8673,0.8691,0.858,0.8649,BRL
2015-01-22,0.8635,0.8645,0.8502,0.8566,BRL
2015-01-23,0.8558,0.8644,0.8517,0.8543,BRL
2015-01-26,0.8535,0.864,0.8526,0.8558,BRL
2015-01-27,0.8534,0.8585,0.8451,0.8509,BRL
2015-01-28,0.8506,0.856,0.8459,0.8498,BRL
2015-01-29,0.8492,0.8597,0.8487,0.8553,BRL
2015-01-30,0.8547,0.8806,0.8547,0.8757,BRL
2015-02-02,0.8748,0.891,0.8695,0.8903,BRL
2015-02-03,0.8894,0.8905,0.879,0.8821,BRL
2015-02-04,0.8815,0.8981,0.88,0.8967,BRL
2015-02-05,0.8962,0.9027,0.8892,0.8977,BRL
2015-02-06,0.8972,0.9091,0.8932,0.9061,BRL
2015-02-09,0.9056,0.9128,0.9009,0.9032,BRL
2015-02-10,0.9021,0.9247,0.9021,0.9185,BRL
2015-02-11,0.9184,0.9336,0.9166,0.9307,BRL
2015-02-12,0.9254,0.932,0.9144,0.9194,BRL
2015-02-13,0.9183,0.9287,0.909,0.92,BRL
2015-02-16,0.9187,0.9192,0.9175,0.9186,BRL
