Date,Open,High,Low,Close,Currency
2015-01-01,0.1384,0.1386,0.1384,0.1386,CNY
2015-01-02,0.1382,0.1384,0.1382,0.1384,CNY
2015-01-05,0.1383,0.1387,0.1379,0.1381,CNY
2015-01-06,0.1381,0.1385,0.1378,0.1379,CNY
2015-01-07,0.1382,0.1383,0.1376,0.1378,CNY
2015-01-08,0.1378,0.1384,0.1377,0.1384,CNY
2015-01-09,0.1382,0.1385,0.138,0.1383,CNY
2015-01-12,0.1381,0.1384,0.138,0.1383,CNY
2015-01-13,0.1382,0.1387,0.1381,0.1387,CNY
2015-01-14,0.1385,0.139,0.1384,0.1387,CNY
2015-01-15,0.1386,0.1391,0.1384,0.1386,CNY
2015-01-16,0.1386,0.1394,0.1386,0.139,CNY
2015-01-19,0.1392,0.1396,0.139,0.1396,CNY
2015-01-20,0.1391,0.1395,0.1389,0.1394,CNY
2015-01-21,0.1393,0.1402,0.1393,0.14,CNY
2015-01-22,0.1399,0.1407,0.1397,0.1404,CNY
2015-01-23,0.1404,0.1418,0.1403,0.1413,CNY
2015-01-26,0.1414,0.142,0.1413,0.1419,CNY
2015-01-27,0.1418,0.1419,0.1414,0.1417,CNY
2015-01-28,0.1416,0.1419,0.1411,0.1415,CNY
2015-01-29,0.1417,0.142,0.1414,0.1419,CNY
2015-01-30,0.1418,0.142,0.1412,0.1414,CNY
2015-02-02,0.1415,0.142,0.1413,0.1417,CNY
2015-02-03,0.1419,0.1422,0.1416,0.1422,CNY
2015-02-04,0.1421,0.1421,0.1416,0.1416,CNY
2015-02-05,0.1415,0.1419,0.1414,0.1417,CNY
2015-02-06,0.1416,0.1417,0.1408,0.1411,CNY
2015-02-09,0.1409,0.1412,0.1405,0.1407,CNY
2015-02-10,0.1406,0.1411,0.1404,0.1406,CNY
2015-02-11,0.1408,0.141,0.1401,0.1404,CNY
2015-02-12,0.1403,0.1411,0.1403,0.141,CNY
2015-02-13,0.1409,0.1411,0.1407,0.1409,CNY
2015-02-16,0.1408,0.1414,0.1408,0.1412,CNY
2015-02-17,0.1409,0.1418,0.1409,0.1414,CNY
2015-02-18,0.1413,0.1419,0.1411,0.1417,CNY
2015-02-19,0.1416,0.1417,0.1413,0.1415,CNY
2015-02-20,0.1414,0.1417,0.1412,0.1414,CNY
2015-02-23,0.1414,0.1416,0.141,0.1411,CNY
2015-02-24,0.1412,0.1419,0.141,0.1419,CNY
2015-02-25,0.1414,0.1424,0.1414,0.1422,CNY
2015-02-26,0.1421,0.1426,0.1416,0.142,CNY
2015-02-27,0.1421,0.1423,0.1419,0.1421,CNY
2015-03-02,0.142,0.1424,0.1419,0.1421,CNY
2015-03-03,0.1421,0.1425,0.142,0.1423,CNY
2015-03-04,0.1422,0.1425,0.1418,0.1421,CNY
2015-03-05,0.1419,0.1423,0.1418,0.1419,CNY
2015-03-06,0.1418,0.1422,0.1412,0.1414,CNY
2015-03-09,0.1415,0.1418,0.1413,0.1416,CNY
2015-03-10,0.1415,0.1417,0.141,0.1412,CNY
2015-03-11,0.141,0.1416,0.1408,0.1412,CNY
2015-03-12,0.141,0.1418,0.141,0.1415,CNY
2015-03-13,0.1415,0.1417,0.1408,0.1411,CNY
2015-03-16,0.1409,0.1412,0.1408,0.141,CNY
2015-03-17,0.141,0.1411,0.1396,0.1398,CNY
2015-03-18,0.1397,0.1402,0.1387,0.1392,CNY
2015-03-19,0.1395,0.1398,0.1376,0.1379,CNY
2015-03-20,0.1381,0.1389,0.1377,0.1384,CNY
2015-03-23,0.1382,0.1391,0.1382,0.1391,CNY
2015-03-24,0.1388,0.1392,0.1384,0.1387,CNY
