Date,Open,High,Low,Close,Currency
2015-01-01,1.75,1.756,1.7466,1.7524,CNY
2015-01-02,1.7493,1.7529,1.7271,1.7311,CNY
2015-01-05,1.7296,1.7333,1.7168,1.7297,CNY
2015-01-06,1.7292,1.7325,1.7083,1.7107,CNY
2015-01-07,1.7096,1.7146,1.7007,1.7125,CNY
2015-01-08,1.7118,1.717,1.6988,1.7113,CNY
2015-01-09,1.7102,1.7271,1.7063,1.7222,CNY
2015-01-12,1.7168,1.7263,1.7078,1.7172,CNY
2015-01-13,1.7162,1.7221,1.6978,1.7035,CNY
2015-01-14,1.7025,1.7189,1.6914,1.7154,CNY
2015-01-15,1.7151,1.7184,1.6578,1.6679,CNY
2015-01-16,1.6666,1.6789,1.6479,1.6697,CNY
2015-01-19,1.6636,1.6756,1.6582,1.6665,CNY
2015-01-20,1.6655,1.6681,1.6527,1.6555,CNY
2015-01-21,1.6555,1.6851,1.6524,1.6769,CNY
2015-01-22,1.6756,1.6831,1.6506,1.658,CNY
2015-01-23,1.6565,1.6708,1.6385,1.6611,CNY
2015-01-26,1.6546,1.6781,1.6411,1.6676,CNY
2015-01-27,1.6661,1.6836,1.6611,1.6751,CNY
2015-01-28,1.674,1.6819,1.6563,1.6605,CNY
2015-01-29,1.6595,1.6904,1.6548,1.6782,CNY
2015-01-30,1.6772,1.6903,1.6745,1.6873,CNY
2015-02-02,1.6813,1.7044,1.6811,1.6953,CNY
2015-02-03,1.6941,1.7291,1.6877,1.721,CNY
2015-02-04,1.7203,1.7228,1.6957,1.6997,CNY
2015-02-05,1.6986,1.7251,1.6919,1.7207,CNY
2015-02-06,1.7198,1.7228,1.6929,1.6983,CNY
2015-02-09,1.6957,1.7067,1.6789,1.6907,CNY
2015-02-10,1.6898,1.6928,1.6722,1.6819,CNY
2015-02-11,1.6806,1.6876,1.6663,1.6806,CNY
2015-02-12,1.6798,1.7109,1.6749,1.7082,CNY
2015-02-13,1.7071,1.7143,1.6953,1.702,CNY
2015-02-16,1.697,1.712,1.6901,1.6985,CNY
2015-02-17,1.6972,1.7103,1.6904,1.7026,CNY
2015-02-18,1.7016,1.7052,1.69,1.704,CNY
2015-02-19,1.7027,1.7167,1.6996,1.7047,CNY
2015-02-20,1.7035,1.7137,1.686,1.7065,CNY
2015-02-23,1.7029,1.7094,1.6909,1.6961,CNY
2015-02-24,1.6932,1.7075,1.6909,1.7063,CNY
2015-02-25,1.7049,1.7128,1.7011,1.7092,CNY
