Date,Open,High,Low,Close,Currency
2015-01-01,1.736,1.7419,1.7327,1.7374,DKK
2015-01-02,1.7346,1.7391,1.7208,1.7299,DKK
2015-01-05,1.7295,1.7372,1.7218,1.7341,DKK
2015-01-06,1.7336,1.7358,1.72,1.7234,DKK
2015-01-07,1.7224,1.733,1.7192,1.7323,DKK
2015-01-08,1.7316,1.74,1.7273,1.7371,DKK
2015-01-09,1.736,1.7502,1.7328,1.7436,DKK
2015-01-12,1.7381,1.7443,1.7337,1.7405,DKK
2015-01-13,1.7394,1.7435,1.7327,1.7368,DKK
2015-01-14,1.7357,1.7481,1.7296,1.7468,DKK
2015-01-15,1.7465,1.761,1.7028,1.7224,DKK
2015-01-16,1.7211,1.7281,1.7113,1.7279,DKK
2015-01-19,1.7271,1.7301,1.7122,1.716,DKK
2015-01-20,1.7158,1.7205,1.7117,1.7148,DKK
2015-01-21,1.7148,1.7343,1.7122,1.729,DKK
2015-01-22,1.7276,1.7552,1.725,1.749,DKK
2015-01-23,1.7473,1.7743,1.745,1.7717,DKK
2015-01-26,1.7648,1.7734,1.7504,1.7674,DKK
2015-01-27,1.7666,1.7693,1.7515,1.7546,DKK
2015-01-28,1.7538,1.7628,1.7484,1.7532,DKK
2015-01-29,1.7521,1.7735,1.7476,1.7662,DKK
2015-01-30,1.7651,1.7806,1.7618,1.7777,DKK
2015-02-02,1.7714,1.7873,1.7711,1.7775,DKK
2015-02-03,1.7762,1.7906,1.7729,1.7838,DKK
2015-02-04,1.7831,1.7922,1.7772,1.7853,DKK
2015-02-05,1.7842,1.7895,1.7774,1.785,DKK
2015-02-06,1.7841,1.8068,1.7797,1.788,DKK
2015-02-09,1.7862,1.7923,1.7719,1.7791,DKK
2015-02-10,1.7779,1.7801,1.768,1.7718,DKK
2015-02-11,1.7705,1.7766,1.76,1.7675,DKK
2015-02-12,1.7667,1.7883,1.7635,1.786,DKK
2015-02-13,1.7849,1.7879,1.7747,1.7809,DKK
2015-02-16,1.7758,1.7873,1.7749,1.7824,DKK
2015-02-17,1.781,1.7838,1.7718,1.7754,DKK
2015-02-18,1.7743,1.7875,1.7714,1.7795,DKK
2015-02-19,1.7781,1.7921,1.7745,1.7848,DKK
2015-02-20,1.7834,1.7966,1.7785,1.7894,DKK
2015-02-23,1.7852,1.7921,1.7801,1.7847,DKK
2015-02-24,1.7816,1.7954,1.779,1.7948,DKK
2015-02-25,1.7939,1.7976,1.7884,1.795,DKK
2015-02-26,1.7936,1.8031,1.7906,1.7966,DKK
2015-02-27,1.7964,1.8019,1.7932,1.7985,DKK
2015-03-02,1.7952,1.8016,1.7889,1.7916,DKK
2015-03-03,1.7902,1.7982,1.7843,1.789,DKK
2015-03-04,1.7879,1.8064,1.7823,1.7963,DKK
2015-03-05,1.7952,1.8056,1.7915,1.7986,DKK
2015-03-06,1.7974,1.8257,1.7954,1.8032,DKK
2015-03-09,1.7969,1.8117,1.7951,1.8098,DKK
2015-03-10,1.809,1.8117,1.787,1.7917,DKK
2015-03-11,1.7893,1.8098,1.7844,1.8083,DKK
2015-03-12,1.807,1.8109,1.7952,1.8005,DKK
2015-03-13,1.7982,1.8043,1.7896,1.7984,DKK
2015-03-16,1.7963,1.8123,1.7884,1.8079,DKK
