Date,Open,High,Low,Close,Currency
2015-01-01,0.0458,0.0458,0.0458,0.0458,BRL
2015-01-02,0.0458,0.0462,0.0434,0.0459,BRL
2015-01-05,0.0458,0.0464,0.0443,0.0448,BRL
2015-01-06,0.0449,0.0452,0.0421,0.0428,BRL
2015-01-07,0.0427,0.0435,0.0417,0.0427,BRL
2015-01-08,0.0425,0.0452,0.0425,0.0445,BRL
2015-01-09,0.0446,0.0449,0.0423,0.0428,BRL
2015-01-12,0.0426,0.043,0.0416,0.0423,BRL
2015-01-13,0.0423,0.0427,0.0397,0.0405,BRL
2015-01-14,0.0404,0.0408,0.0392,0.0406,BRL
2015-01-15,0.0406,0.0414,0.0395,0.0405,BRL
2015-01-16,0.0404,0.0408,0.0399,0.0403,BRL
2015-01-19,0.0403,0.041,0.0398,0.0408,BRL
2015-01-20,0.0407,0.0411,0.0398,0.0401,BRL
2015-01-21,0.04,0.0401,0.0393,0.0398,BRL
2015-01-22,0.0398,0.0401,0.0394,0.0401,BRL
2015-01-23,0.0401,0.041,0.0393,0.0402,BRL
2015-01-26,0.0403,0.0404,0.0371,0.0377,BRL
2015-01-27,0.0376,0.0388,0.0376,0.038,BRL
2015-01-28,0.0379,0.0385,0.0376,0.0379,BRL
2015-01-29,0.0379,0.038,0.0371,0.0378,BRL
2015-01-30,0.0378,0.0392,0.0362,0.0387,BRL
2015-02-02,0.0385,0.0399,0.0379,0.0399,BRL
2015-02-03,0.0397,0.0416,0.0397,0.0413,BRL
2015-02-04,0.0413,0.0418,0.0399,0.0403,BRL
2015-02-05,0.0403,0.0415,0.0396,0.0413,BRL
2015-02-06,0.0412,0.0418,0.0408,0.0415,BRL
2015-02-09,0.0417,0.0428,0.0414,0.042,BRL
2015-02-10,0.042,0.0434,0.0419,0.0433,BRL
2015-02-11,0.0433,0.0441,0.0426,0.044,BRL
2015-02-12,0.044,0.0445,0.0424,0.0432,BRL
2015-02-13,0.0432,0.0449,0.0429,0.0447,BRL
2015-02-16,0.0446,0.0457,0.0444,0.0449,BRL
2015-02-17,0.0448,0.0456,0.0445,0.0453,BRL
