Date,Open,High,Low,Close,Currency
2015-01-01,10.45,10.45,10.44,10.45,CLP
2015-01-02,10.44,10.55,9.9,10.44,CLP
2015-01-05,10.44,10.57,10.08,10.22,CLP
2015-01-06,10.22,10.3,9.59,9.76,CLP
2015-01-07,9.75,9.94,9.56,9.76,CLP
2015-01-08,9.72,10.3,9.72,10.24,CLP
2015-01-09,10.26,10.33,9.8,9.99,CLP
2015-01-12,9.94,10.05,9.67,9.76,CLP
2015-01-13,9.74,9.84,9.24,9.48,CLP
2015-01-14,9.46,9.74,9.29,9.73,CLP
2015-01-15,9.72,9.88,9.43,9.59,CLP
2015-01-16,9.57,9.71,9.49,9.64,CLP
2015-01-19,9.66,9.79,9.53,9.66,CLP
2015-01-20,9.64,9.73,9.51,9.64,CLP
2015-01-21,9.61,9.68,9.5,9.62,CLP
2015-01-22,9.6,9.75,9.51,9.73,CLP
2015-01-23,9.72,9.94,9.53,9.75,CLP
2015-01-26,9.76,9.81,8.96,9.1,CLP
2015-01-27,9.06,9.39,9.06,9.22,CLP
2015-01-28,9.19,9.34,9.1,9.16,CLP
2015-01-29,9.15,9.19,8.96,9.11,CLP
2015-01-30,9.1,9.24,8.71,9.15,CLP
2015-02-02,9.09,9.3,8.96,9.22,CLP
2015-02-03,9.18,9.66,9.17,9.59,CLP
2015-02-04,9.58,9.7,9.12,9.23,CLP
2015-02-05,9.21,9.5,9.06,9.37,CLP
2015-02-06,9.36,9.51,9.19,9.35,CLP
2015-02-09,9.39,9.64,9.34,9.48,CLP
2015-02-10,9.47,9.6,9.32,9.57,CLP
2015-02-11,9.57,9.68,9.37,9.65,CLP
2015-02-12,9.65,9.77,9.31,9.53,CLP
2015-02-13,9.52,9.82,9.47,9.74,CLP
2015-02-16,9.74,9.97,9.72,9.84,CLP
2015-02-17,9.83,10.01,9.76,9.93,CLP
2015-02-18,9.92,10.17,9.83,10.06,CLP
2015-02-19,10.05,10.14,9.85,10.01,CLP
2015-02-20,10.0,10.1,9.87,9.95,CLP
2015-02-23,9.89,10.01,9.51,9.77,CLP
2015-02-24,9.78,9.93,9.69,9.79,CLP
2015-02-25,9.79,10.12,9.79,10.06,CLP
2015-02-26,10.04,10.33,9.96,10.13,CLP
2015-02-27,10.11,10.2,9.91,10.01,CLP
2015-03-02,10.02,10.08,9.8,9.85,CLP
2015-03-03,9.83,10.02,9.79,9.97,CLP
2015-03-04,9.96,10.08,9.9,9.99,CLP
2015-03-05,9.98,10.26,9.91,10.2,CLP
2015-03-06,10.19,10.51,10.12,10.35,CLP
2015-03-09,10.33,10.44,10.22,10.33,CLP
2015-03-10,10.31,10.47,10.1,10.18,CLP
2015-03-11,10.14,10.45,10.08,10.35,CLP
2015-03-12,10.34,10.53,10.28,10.37,CLP
2015-03-13,10.33,10.54,10.17,10.28,CLP
2015-03-16,10.25,10.37,10.19,10.3,CLP
2015-03-17,10.26,10.48,10.24,10.42,CLP
2015-03-18,10.39,10.77,10.39,10.71,CLP
2015-03-19,10.7,10.77,10.53,10.64,CLP
2015-03-20,10.63,10.76,10.48,10.65,CLP
2015-03-23,10.63,10.71,10.53,10.62,CLP
2015-03-24,10.62,10.86,10.54,10.78,CLP
2015-03-25,10.77,11.02,10.64,10.81,CLP
2015-03-26,10.82,11.08,10.74,10.86,CLP
2015-03-27,10.85,10.95,10.7,10.74,CLP
2015-03-30,10.72,10.91,10.55,10.88,CLP
2015-03-31,10.87,10.95,10.68,10.73,CLP
2015-04-01,10.7,10.85,10.64,10.72,CLP
2015-04-02,10.68,10.96,10.67,10.93,CLP
2015-04-03,10.89,11.0,10.75,10.88,CLP
2015-04-06,10.86,11.1,10.8,11.05,CLP
2015-04-07,11.01,11.17,10.94,11.09,CLP
2015-04-08,11.08,11.45,11.03,11.4,CLP
