Date,Open,High,Low,Close,Currency
2015-01-01,0.1069,0.1069,0.1069,0.1069,CNY
2015-01-02,0.1069,0.1071,0.1013,0.1056,CNY
2015-01-05,0.1058,0.1072,0.1017,0.1029,CNY
2015-01-06,0.1029,0.1035,0.0966,0.0983,CNY
2015-01-07,0.0983,0.1001,0.0968,0.0988,CNY
2015-01-08,0.0988,0.1046,0.0985,0.1038,CNY
2015-01-09,0.1037,0.1046,0.0993,0.1009,CNY
2015-01-12,0.1005,0.1013,0.0974,0.0982,CNY
2015-01-13,0.098,0.099,0.093,0.0949,CNY
2015-01-14,0.0947,0.0964,0.0927,0.0963,CNY
2015-01-15,0.0963,0.0978,0.0933,0.0949,CNY
2015-01-16,0.0947,0.096,0.0942,0.0953,CNY
2015-01-19,0.0955,0.097,0.0944,0.0956,CNY
2015-01-20,0.0955,0.0963,0.0942,0.0953,CNY
2015-01-21,0.095,0.0956,0.0938,0.0951,CNY
2015-01-22,0.095,0.0968,0.094,0.0968,CNY
2015-01-23,0.0967,0.0991,0.0948,0.0971,CNY
2015-01-26,0.0973,0.098,0.0899,0.0912,CNY
2015-01-27,0.091,0.094,0.0908,0.0923,CNY
2015-01-28,0.0921,0.0936,0.0913,0.0919,CNY
2015-01-29,0.0918,0.0922,0.0898,0.0907,CNY
2015-01-30,0.0906,0.0917,0.0868,0.0903,CNY
2015-02-02,0.0897,0.0921,0.0885,0.0916,CNY
2015-02-03,0.0915,0.0965,0.0911,0.096,CNY
2015-02-04,0.0959,0.0969,0.0908,0.092,CNY
2015-02-05,0.0918,0.0948,0.0904,0.094,CNY
2015-02-06,0.0939,0.0952,0.0922,0.093,CNY
2015-02-09,0.0935,0.096,0.093,0.0948,CNY
2015-02-10,0.0948,0.096,0.093,0.0953,CNY
2015-02-11,0.0953,0.096,0.0931,0.0957,CNY
2015-02-12,0.0957,0.0969,0.0923,0.0956,CNY
2015-02-13,0.0956,0.099,0.095,0.0983,CNY
2015-02-16,0.0983,0.1007,0.098,0.0989,CNY
2015-02-17,0.0989,0.1008,0.0983,0.1001,CNY
2015-02-18,0.1,0.1022,0.0993,0.1016,CNY
2015-02-19,0.1015,0.1022,0.0996,0.1011,CNY
2015-02-20,0.101,0.1021,0.1002,0.1012,CNY
2015-02-23,0.1005,0.1016,0.0966,0.098,CNY
2015-02-24,0.0983,0.1001,0.0973,0.099,CNY
2015-02-25,0.0989,0.1024,0.0989,0.1019,CNY
2015-02-26,0.1019,0.1048,0.1011,0.1023,CNY
2015-02-27,0.1022,0.1032,0.1008,0.1016,CNY
2015-03-02,0.1018,0.1023,0.0997,0.1003,CNY
2015-03-03,0.1001,0.1018,0.0998,0.1014,CNY
2015-03-04,0.1014,0.1021,0.1004,0.1012,CNY
2015-03-05,0.1012,0.1036,0.1005,0.1029,CNY
2015-03-06,0.103,0.1058,0.1023,0.1036,CNY
2015-03-09,0.1035,0.1041,0.1025,0.1031,CNY
2015-03-10,0.1029,0.1043,0.0996,0.1003,CNY
2015-03-11,0.1,0.1024,0.0992,0.1016,CNY
2015-03-12,0.1016,0.1038,0.101,0.1023,CNY
2015-03-13,0.1021,0.1035,0.0997,0.1006,CNY
2015-03-16,0.1004,0.1015,0.0997,0.1007,CNY
2015-03-17,0.1004,0.1021,0.1,0.1016,CNY
2015-03-18,0.1013,0.1054,0.1011,0.1049,CNY
2015-03-19,0.1048,0.1051,0.1027,0.103,CNY
2015-03-20,0.1029,0.1054,0.1021,0.1046,CNY
2015-03-23,0.1045,0.1061,0.1036,0.1057,CNY
2015-03-24,0.1058,0.1079,0.1048,0.1076,CNY
2015-03-25,0.1075,0.11,0.1068,0.1081,CNY
2015-03-26,0.1083,0.1109,0.1073,0.1083,CNY
2015-03-27,0.1083,0.1092,0.1067,0.1071,CNY
2015-03-30,0.107,0.1079,0.1051,0.1078,CNY
2015-03-31,0.1077,0.1083,0.1062,0.1065,CNY
2015-04-01,0.1063,0.108,0.1058,0.1076,CNY
2015-04-02,0.1073,0.1104,0.1071,0.1101,CNY
2015-04-03,0.1098,0.1108,0.1082,0.1095,CNY
2015-04-06,0.1094,0.1124,0.1088,0.1119,CNY
2015-04-07,0.1115,0.1131,0.1108,0.1126,CNY
2015-04-08,0.1126,0.116,0.1122,0.1156,CNY
2015-04-09,0.1156,0.1197,0.1152,0.1197,CNY
2015-04-10,0.1196,0.1234,0.1154,0.1158,CNY
2015-04-13,0.115,0.1198,0.115,0.1195,CNY
2015-04-14,0.1194,0.1226,0.118,0.122,CNY
2015-04-15,0.122,0.1252,0.1215,0.1247,CNY
2015-04-16,0.1245,0.1255,0.1229,0.1245,CNY
2015-04-17,0.1241,0.1251,0.1172,0.1194,CNY
2015-04-20,0.1194,0.121,0.1151,0.1162,CNY
2015-04-21,0.1162,0.1169,0.1144,0.1152,CNY
2015-04-22,0.1154,0.1193,0.1146,0.1187,CNY
2015-04-23,0.1187,0.1224,0.1176,0.122,CNY
2015-04-24,0.1218,0.1237,0.12,0.1216,CNY
2015-04-27,0.1215,0.123,0.119,0.12,CNY
2015-04-28,0.1191,0.1215,0.1178,0.1202,CNY
2015-04-29,0.1209,0.1224,0.1183,0.1217,CNY
2015-04-30,0.1213,0.1224,0.1186,0.12,CNY
2015-05-01,0.1198,0.1207,0.1187,0.1197,CNY
2015-05-04,0.1196,0.1208,0.1186,0.1192,CNY
2015-05-05,0.119,0.1234,0.1185,0.1226,CNY
2015-05-06,0.1227,0.1248,0.1213,0.1228,CNY
2015-05-07,0.1217,0.1242,0.1214,0.124,CNY
