Date,Open,High,Low,Close,Currency
2015-01-01,0.3768,0.3847,0.3768,0.3847,CZK
2015-01-02,0.3842,0.3957,0.3821,0.393,CZK
2015-01-04,0.3926,0.3949,0.3926,0.3949,CZK
2015-01-05,0.3944,0.3991,0.3795,0.381,CZK
2015-01-06,0.3814,0.3836,0.3625,0.369,CZK
2015-01-07,0.3688,0.3774,0.3646,0.3757,CZK
2015-01-08,0.3758,0.3976,0.3745,0.3924,CZK
2015-01-09,0.3923,0.3954,0.3807,0.3835,CZK
2015-01-11,0.3837,0.3837,0.3822,0.3822,CZK
2015-01-12,0.3827,0.3877,0.377,0.3786,CZK
2015-01-13,0.3787,0.3793,0.3607,0.366,CZK
2015-01-14,0.3662,0.3741,0.3575,0.37,CZK
2015-01-15,0.3703,0.376,0.3622,0.3695,CZK
2015-01-16,0.3689,0.3756,0.3658,0.3685,CZK
2015-01-18,0.3699,0.3699,0.3691,0.3691,CZK
2015-01-19,0.3694,0.3753,0.3672,0.3703,CZK
2015-01-20,0.3706,0.3724,0.3668,0.3708,CZK
2015-01-21,0.3712,0.3713,0.3642,0.368,CZK
2015-01-22,0.3682,0.3828,0.3673,0.3809,CZK
2015-01-23,0.3809,0.3899,0.3803,0.386,CZK
2015-01-25,0.3855,0.3888,0.3855,0.388,CZK
2015-01-26,0.3875,0.3897,0.3556,0.3637,CZK
2015-01-27,0.3631,0.3696,0.3596,0.3608,CZK
2015-01-28,0.3612,0.3687,0.3591,0.3627,CZK
2015-01-29,0.3626,0.3631,0.3539,0.3556,CZK
2015-01-30,0.3555,0.3579,0.3419,0.3509,CZK
2015-02-01,0.3511,0.3511,0.3499,0.3506,CZK
2015-02-02,0.3504,0.3594,0.3476,0.3586,CZK
2015-02-03,0.3581,0.3727,0.3579,0.3719,CZK
2015-02-04,0.3721,0.3749,0.3543,0.3612,CZK
2015-02-05,0.361,0.3674,0.3544,0.3632,CZK
2015-02-06,0.3634,0.3705,0.3592,0.3646,CZK
2015-02-08,0.3648,0.3656,0.3646,0.3646,CZK
2015-02-09,0.365,0.3748,0.3642,0.3721,CZK
2015-02-10,0.3726,0.3757,0.365,0.3742,CZK
2015-02-11,0.3737,0.3759,0.366,0.3751,CZK
2015-02-12,0.3751,0.3775,0.3637,0.3715,CZK
2015-02-13,0.3715,0.3842,0.3695,0.3826,CZK
2015-02-15,0.3827,0.3829,0.3823,0.3823,CZK
2015-02-16,0.3825,0.3904,0.3812,0.3854,CZK
2015-02-17,0.3859,0.3895,0.3786,0.3794,CZK
2015-02-18,0.3794,0.3947,0.3789,0.3878,CZK
2015-02-19,0.3879,0.3903,0.3835,0.3886,CZK
2015-02-20,0.3888,0.3942,0.3884,0.392,CZK
2015-02-22,0.392,0.392,0.392,0.392,CZK
2015-02-23,0.392,0.392,0.376,0.3799,CZK
2015-02-24,0.3796,0.387,0.3781,0.3854,CZK
2015-02-25,0.3854,0.394,0.3839,0.3921,CZK
2015-02-26,0.3922,0.405,0.3919,0.4021,CZK
2015-02-27,0.4018,0.4029,0.394,0.4011,CZK
2015-03-01,0.4018,0.4027,0.4017,0.4027,CZK
2015-03-02,0.4025,0.4026,0.3919,0.3919,CZK
2015-03-03,0.3925,0.3974,0.3916,0.3966,CZK
2015-03-04,0.3967,0.4014,0.3964,0.4014,CZK
2015-03-05,0.401,0.4042,0.4001,0.4042,CZK
2015-03-06,0.4056,0.4056,0.4056,0.4056,CZK
2015-03-08,0.4176,0.4176,0.4176,0.4176,CZK
2015-03-09,0.4175,0.4175,0.4175,0.4175,CZK
2015-03-10,0.4139,0.4139,0.4139,0.4139,CZK
2015-03-11,0.4103,0.4103,0.4103,0.4103,CZK
2015-03-12,0.4144,0.4144,0.4144,0.4144,CZK
2015-03-13,0.4195,0.4195,0.4195,0.4195,CZK
2015-03-15,0.4178,0.4178,0.4178,0.4178,CZK
2015-03-16,0.4178,0.4178,0.4178,0.4178,CZK
2015-03-17,0.4137,0.4137,0.4137,0.4137,CZK
2015-03-18,0.4182,0.4182,0.4182,0.4182,CZK
2015-03-19,0.4243,0.4243,0.4243,0.4243,CZK
2015-03-20,0.4282,0.4282,0.4282,0.4282,CZK
2015-03-22,0.4278,0.4278,0.4278,0.4278,CZK
2015-03-23,0.4278,0.4278,0.4278,0.4278,CZK
2015-03-24,0.4255,0.4255,0.4255,0.4255,CZK
2015-03-25,0.4351,0.4351,0.4351,0.4351,CZK
2015-03-26,0.4347,0.4347,0.4347,0.4347,CZK
2015-03-27,0.4404,0.4404,0.4404,0.4404,CZK
2015-03-29,0.4355,0.4355,0.4355,0.4355,CZK
2015-03-30,0.4356,0.4356,0.4356,0.4356,CZK
2015-03-31,0.4409,0.4409,0.4409,0.4409,CZK
2015-04-01,0.4408,0.4408,0.4408,0.4408,CZK
2015-04-02,0.4448,0.4448,0.4448,0.4448,CZK
2015-04-03,0.448,0.448,0.448,0.448,CZK
2015-04-05,0.4415,0.4415,0.4415,0.4415,CZK
2015-04-06,0.4416,0.4416,0.4416,0.4416,CZK
2015-04-07,0.4534,0.4619,0.4534,0.4609,CZK
