Date,Open,High,Low,Close,Currency
2015-01-01,0.708,0.7082,0.708,0.7082,BRL
2015-01-02,0.708,0.7216,0.7075,0.7177,BRL
2015-01-05,0.7174,0.7275,0.7173,0.721,BRL
2015-01-06,0.7208,0.7256,0.717,0.7194,BRL
2015-01-07,0.7191,0.7217,0.7121,0.7148,BRL
2015-01-08,0.7146,0.72,0.7085,0.7092,BRL
2015-01-09,0.7089,0.7122,0.6993,0.7005,BRL
2015-01-12,0.7006,0.7126,0.7002,0.7123,BRL
2015-01-13,0.7122,0.7146,0.6998,0.7042,BRL
2015-01-14,0.704,0.7069,0.6934,0.697,BRL
2015-01-15,0.697,0.705,0.691,0.704,BRL
2015-01-16,0.7036,0.7043,0.6962,0.6983,BRL
2015-01-19,0.6981,0.7096,0.6972,0.7062,BRL
2015-01-20,0.7059,0.7065,0.6942,0.6961,BRL
2015-01-21,0.6959,0.6966,0.6879,0.6922,BRL
2015-01-22,0.6919,0.6934,0.6784,0.6853,BRL
2015-01-23,0.685,0.6923,0.6833,0.686,BRL
2015-01-26,0.6863,0.6941,0.6857,0.6875,BRL
2015-01-27,0.6874,0.691,0.682,0.6844,BRL
2015-01-28,0.6843,0.6893,0.6823,0.6853,BRL
2015-01-29,0.6849,0.6966,0.6849,0.6928,BRL
2015-01-30,0.6926,0.7161,0.6919,0.7135,BRL
2015-02-02,0.7131,0.7268,0.7091,0.7262,BRL
2015-02-03,0.7258,0.7269,0.7158,0.7179,BRL
2015-02-04,0.7176,0.7325,0.7172,0.7305,BRL
2015-02-05,0.7303,0.736,0.7251,0.7314,BRL
2015-02-06,0.7312,0.7422,0.7306,0.7415,BRL
2015-02-09,0.7411,0.7456,0.7366,0.7383,BRL
2015-02-10,0.7378,0.757,0.7376,0.7554,BRL
2015-02-11,0.7552,0.7683,0.7552,0.7649,BRL
2015-02-12,0.7647,0.7673,0.7502,0.7519,BRL
2015-02-13,0.7517,0.7621,0.7501,0.7556,BRL
2015-02-16,0.7552,0.7559,0.7545,0.7556,BRL
2015-02-17,0.7552,0.7554,0.7534,0.7543,BRL
2015-02-18,0.7541,0.7596,0.7535,0.7563,BRL
2015-02-19,0.756,0.765,0.756,0.7641,BRL
2015-02-20,0.764,0.7694,0.7606,0.7645,BRL
2015-02-23,0.7642,0.7742,0.7626,0.7675,BRL
2015-02-24,0.7674,0.7709,0.7534,0.7553,BRL
2015-02-25,0.7552,0.7694,0.7549,0.7666,BRL
2015-02-26,0.7664,0.7756,0.7573,0.7755,BRL
2015-02-27,0.7753,0.779,0.7567,0.757,BRL
2015-03-02,0.7567,0.7726,0.7564,0.7723,BRL
2015-03-03,0.7722,0.7826,0.7707,0.7815,BRL
2015-03-04,0.7813,0.8002,0.781,0.7937,BRL
2015-03-05,0.7934,0.806,0.7933,0.8009,BRL
2015-03-06,0.8006,0.8195,0.7952,0.8164,BRL
2015-03-09,0.8156,0.8356,0.8151,0.8326,BRL
2015-03-10,0.8323,0.8461,0.8234,0.8272,BRL
2015-03-11,0.827,0.8374,0.8217,0.8334,BRL
2015-03-12,0.8332,0.8458,0.8198,0.8441,BRL
2015-03-13,0.8438,0.8749,0.8435,0.8663,BRL
2015-03-16,0.8657,0.8703,0.8547,0.8657,BRL
2015-03-17,0.8661,0.8754,0.8596,0.8637,BRL
2015-03-18,0.8636,0.8747,0.8498,0.8558,BRL
2015-03-19,0.8554,0.8816,0.855,0.8778,BRL
2015-03-20,0.8774,0.8845,0.8534,0.861,BRL
2015-03-23,0.8606,0.8612,0.8342,0.8351,BRL
2015-03-24,0.835,0.8458,0.8243,0.8372,BRL
2015-03-25,0.837,0.8543,0.8305,0.8535,BRL
2015-03-26,0.8532,0.8599,0.8453,0.8484,BRL
2015-03-27,0.8479,0.8663,0.8473,0.8662,BRL
2015-03-30,0.8659,0.8767,0.8548,0.8612,BRL
2015-03-31,0.8608,0.8716,0.8436,0.8519,BRL
2015-04-01,0.8514,0.8517,0.8348,0.8438,BRL
2015-04-02,0.8436,0.8494,0.8308,0.8319,BRL
