Date,Open,High,Low,Close,Currency
2015-01-01,0.3096,0.3098,0.3094,0.3096,CAD
2015-01-02,0.3094,0.314,0.309,0.314,CAD
2015-01-05,0.3137,0.3149,0.3127,0.3134,CAD
2015-01-06,0.3133,0.3155,0.3124,0.3154,CAD
2015-01-07,0.3152,0.3164,0.3146,0.3147,CAD
2015-01-08,0.3146,0.3155,0.314,0.3151,CAD
2015-01-09,0.315,0.3166,0.3142,0.316,CAD
2015-01-12,0.316,0.3191,0.3151,0.3191,CAD
2015-01-13,0.319,0.3195,0.3176,0.3186,CAD
2015-01-14,0.3185,0.3201,0.3177,0.3185,CAD
2015-01-15,0.3183,0.3196,0.3143,0.3186,CAD
2015-01-16,0.3186,0.3208,0.3183,0.3192,CAD
2015-01-19,0.319,0.3191,0.3177,0.318,CAD
2015-01-20,0.318,0.3227,0.3177,0.3226,CAD
2015-01-21,0.3225,0.33,0.321,0.3285,CAD
2015-01-22,0.3284,0.3306,0.3276,0.3296,CAD
2015-01-23,0.3295,0.3317,0.3289,0.3303,CAD
2015-01-26,0.3307,0.3324,0.33,0.3319,CAD
2015-01-27,0.3319,0.3326,0.3291,0.3298,CAD
2015-01-28,0.3298,0.3336,0.3294,0.3335,CAD
2015-01-29,0.3334,0.3373,0.3326,0.3357,CAD
2015-01-30,0.3357,0.3404,0.3352,0.3387,CAD
2015-02-02,0.3386,0.3399,0.3342,0.3346,CAD
2015-02-03,0.3346,0.3367,0.329,0.3308,CAD
2015-02-04,0.3307,0.3355,0.3299,0.335,CAD
2015-02-05,0.3349,0.3353,0.3301,0.3313,CAD
2015-02-06,0.3312,0.3344,0.3308,0.3338,CAD
2015-02-09,0.3337,0.3343,0.3311,0.3323,CAD
2015-02-10,0.3322,0.3364,0.3317,0.3356,CAD
2015-02-11,0.3354,0.3385,0.335,0.3367,CAD
2015-02-12,0.3366,0.3371,0.3314,0.3333,CAD
2015-02-13,0.3334,0.3342,0.3309,0.3318,CAD
2015-02-16,0.3316,0.333,0.3309,0.3323,CAD
2015-02-17,0.3322,0.3327,0.3294,0.3303,CAD
2015-02-18,0.3302,0.3323,0.3299,0.332,CAD
2015-02-19,0.3319,0.3345,0.3313,0.3331,CAD
2015-02-20,0.333,0.3349,0.331,0.3339,CAD
2015-02-23,0.3339,0.3366,0.3337,0.3351,CAD
2015-02-24,0.3351,0.3377,0.3326,0.3328,CAD
2015-02-25,0.3329,0.3333,0.3306,0.3316,CAD
2015-02-26,0.3315,0.3343,0.3302,0.3337,CAD
2015-02-27,0.3336,0.3342,0.3318,0.3335,CAD
2015-03-02,0.3337,0.3351,0.3326,0.3342,CAD
2015-03-03,0.3342,0.3345,0.3314,0.3332,CAD
2015-03-04,0.3332,0.3344,0.3307,0.3314,CAD
2015-03-05,0.3313,0.3338,0.3308,0.3329,CAD
2015-03-06,0.3329,0.3368,0.332,0.3366,CAD
2015-03-09,0.3364,0.3367,0.3351,0.3361,CAD
2015-03-10,0.336,0.3383,0.3358,0.3383,CAD
2015-03-11,0.3383,0.3413,0.3375,0.3399,CAD
2015-03-12,0.3399,0.3404,0.3364,0.3382,CAD
2015-03-13,0.3381,0.3419,0.3381,0.3408,CAD
2015-03-16,0.3408,0.3417,0.3395,0.3406,CAD
2015-03-17,0.3405,0.3413,0.3398,0.3409,CAD
2015-03-18,0.3409,0.3422,0.3326,0.3351,CAD
2015-03-19,0.3349,0.3402,0.3334,0.3391,CAD
2015-03-20,0.339,0.3393,0.3344,0.3347,CAD
2015-03-23,0.3346,0.3363,0.333,0.3338,CAD
2015-03-24,0.3338,0.3346,0.3313,0.3331,CAD
2015-03-25,0.333,0.3344,0.3324,0.3337,CAD
2015-03-26,0.3338,0.3342,0.3306,0.3327,CAD
2015-03-27,0.3327,0.3364,0.3321,0.3362,CAD
2015-03-30,0.3357,0.3387,0.3356,0.3378,CAD
2015-03-31,0.3378,0.3408,0.3372,0.3382,CAD
2015-04-01,0.3381,0.3388,0.3351,0.3365,CAD
2015-04-02,0.3363,0.3373,0.3346,0.3347,CAD
2015-04-03,0.3347,0.3353,0.3312,0.3328,CAD
2015-04-06,0.3319,0.3333,0.3314,0.3327,CAD
2015-04-07,0.3326,0.3339,0.3319,0.3334,CAD
2015-04-08,0.3333,0.3349,0.3301,0.3344,CAD
2015-04-09,0.3343,0.3363,0.3333,0.3354,CAD
2015-04-10,0.3352,0.3378,0.3349,0.3351,CAD
2015-04-13,0.3352,0.3372,0.3347,0.3358,CAD
2015-04-14,0.3358,0.3361,0.3316,0.3329,CAD
2015-04-15,0.3329,0.3352,0.3274,0.3276,CAD
2015-04-16,0.3276,0.3287,0.3236,0.325,CAD
2015-04-17,0.3249,0.3273,0.3219,0.3266,CAD
2015-04-20,0.3258,0.327,0.3246,0.326,CAD
2015-04-21,0.3258,0.3281,0.3255,0.3275,CAD
2015-04-22,0.3274,0.3276,0.3254,0.3264,CAD
2015-04-23,0.3262,0.3273,0.323,0.324,CAD
2015-04-24,0.3238,0.325,0.3226,0.3248,CAD
2015-04-27,0.3246,0.3252,0.322,0.3222,CAD
2015-04-28,0.3222,0.3232,0.3203,0.3209,CAD
2015-04-29,0.3209,0.322,0.3184,0.3205,CAD
2015-04-30,0.3205,0.3236,0.3198,0.3221,CAD
2015-05-01,0.3219,0.3256,0.3214,0.3243,CAD
2015-05-04,0.3241,0.3249,0.3222,0.3225,CAD
2015-05-05,0.3225,0.3236,0.3199,0.3217,CAD
2015-05-06,0.3217,0.3224,0.3183,0.3212,CAD
2015-05-07,0.3212,0.3244,0.3207,0.3234,CAD
2015-05-08,0.3234,0.324,0.3211,0.3219,CAD
2015-05-11,0.3219,0.324,0.3215,0.3227,CAD
2015-05-12,0.3225,0.3229,0.3192,0.3204,CAD
2015-05-13,0.3203,0.3208,0.318,0.3188,CAD
2015-05-14,0.3187,0.3202,0.3177,0.3195,CAD
2015-05-15,0.3195,0.3219,0.3193,0.3203,CAD
2015-05-18,0.3202,0.3246,0.3199,0.3242,CAD
2015-05-19,0.3242,0.3266,0.3233,0.3261,CAD
2015-05-20,0.3261,0.3268,0.3244,0.3256,CAD
2015-05-21,0.3254,0.3265,0.3244,0.3252,CAD
2015-05-22,0.3251,0.3286,0.3244,0.3274,CAD
2015-05-25,0.3272,0.3285,0.3271,0.3282,CAD
2015-05-26,0.3284,0.3319,0.3279,0.3316,CAD
2015-05-27,0.3315,0.3332,0.3304,0.3321,CAD
2015-05-28,0.332,0.3343,0.3311,0.3317,CAD
2015-05-29,0.3316,0.3341,0.3308,0.3319,CAD
2015-06-01,0.332,0.3351,0.3316,0.3339,CAD
2015-06-02,0.3338,0.3342,0.3296,0.3306,CAD
2015-06-03,0.3306,0.3336,0.3301,0.3321,CAD
2015-06-04,0.332,0.3335,0.3315,0.3334,CAD
2015-06-05,0.3333,0.335,0.3313,0.3317,CAD
2015-06-08,0.3315,0.3327,0.3301,0.331,CAD
2015-06-09,0.3309,0.3318,0.3281,0.329,CAD
2015-06-10,0.3289,0.3293,0.3252,0.3267,CAD
2015-06-11,0.3267,0.3296,0.3266,0.3278,CAD
2015-06-12,0.3276,0.3293,0.3272,0.3286,CAD
2015-06-15,0.3285,0.3296,0.3278,0.3286,CAD
2015-06-16,0.3286,0.3293,0.3274,0.3278,CAD
2015-06-17,0.3277,0.329,0.3258,0.3261,CAD
2015-06-18,0.3261,0.3267,0.3233,0.3259,CAD
2015-06-19,0.3259,0.3278,0.3255,0.3271,CAD
2015-06-22,0.327,0.3288,0.3256,0.3281,CAD
2015-06-23,0.3281,0.3302,0.3279,0.3287,CAD
2015-06-24,0.3286,0.3313,0.3273,0.3301,CAD
2015-06-25,0.3302,0.3306,0.3282,0.3287,CAD
2015-06-26,0.3286,0.3307,0.3282,0.3286,CAD
2015-06-29,0.3286,0.3311,0.328,0.3306,CAD
2015-06-30,0.3307,0.3334,0.3294,0.3331,CAD
2015-07-01,0.3331,0.3359,0.3325,0.3357,CAD
2015-07-02,0.3356,0.3368,0.3342,0.3343,CAD
2015-07-03,0.3343,0.3361,0.3342,0.3353,CAD
2015-07-06,0.3352,0.3378,0.3349,0.3373,CAD
2015-07-07,0.3373,0.3408,0.337,0.3387,CAD
2015-07-08,0.3387,0.3406,0.3382,0.3398,CAD
2015-07-09,0.3397,0.3399,0.3376,0.3387,CAD
2015-07-10,0.3387,0.3401,0.3373,0.3375,CAD
2015-07-13,0.3373,0.3411,0.3373,0.3397,CAD
2015-07-14,0.3397,0.3414,0.339,0.3392,CAD
2015-07-15,0.3393,0.3455,0.3391,0.3443,CAD
2015-07-16,0.3442,0.3459,0.344,0.3454,CAD
2015-07-17,0.3453,0.3469,0.3451,0.3459,CAD
2015-07-20,0.3458,0.3474,0.3453,0.3465,CAD
2015-07-21,0.3463,0.347,0.3443,0.3453,CAD
2015-07-22,0.3452,0.3481,0.3448,0.3475,CAD
2015-07-23,0.3474,0.3478,0.3452,0.3476,CAD
2015-07-24,0.3476,0.3494,0.347,0.3479,CAD
2015-07-27,0.3477,0.3479,0.346,0.3477,CAD
2015-07-28,0.3477,0.3478,0.3442,0.3446,CAD
2015-07-29,0.3445,0.3459,0.3429,0.3452,CAD
2015-07-30,0.3451,0.3478,0.345,0.3466,CAD
2015-07-31,0.3465,0.3492,0.345,0.349,CAD
2015-08-03,0.3491,0.3513,0.3487,0.3508,CAD
2015-08-04,0.3506,0.3521,0.3494,0.3518,CAD
2015-08-05,0.3518,0.3523,0.3495,0.3514,CAD
2015-08-06,0.3513,0.352,0.3491,0.3496,CAD
2015-08-07,0.3495,0.3516,0.3479,0.3501,CAD
2015-08-10,0.35,0.3515,0.3463,0.3467,CAD
2015-08-11,0.3466,0.3507,0.3464,0.3497,CAD
2015-08-12,0.3496,0.3508,0.345,0.3459,CAD
2015-08-13,0.3457,0.349,0.3452,0.348,CAD
2015-08-14,0.348,0.3492,0.3468,0.3489,CAD
2015-08-17,0.3488,0.3507,0.348,0.3486,CAD
2015-08-18,0.3486,0.35,0.3475,0.3481,CAD
2015-08-19,0.348,0.3514,0.347,0.35,CAD
2015-08-20,0.3499,0.3513,0.348,0.349,CAD
2015-08-21,0.3489,0.3517,0.3481,0.3516,CAD
2015-08-24,0.3514,0.3544,0.3508,0.3543,CAD
2015-08-25,0.3542,0.3561,0.3503,0.3557,CAD
2015-08-26,0.3555,0.3559,0.3532,0.3543,CAD
2015-08-27,0.3543,0.3548,0.3512,0.3518,CAD
2015-08-28,0.3517,0.3547,0.3509,0.3519,CAD
2015-08-31,0.3519,0.3554,0.3496,0.3503,CAD
2015-09-01,0.3502,0.3536,0.3496,0.3536,CAD
2015-09-02,0.3535,0.3553,0.3518,0.3538,CAD
2015-09-03,0.3536,0.3544,0.3501,0.3513,CAD
2015-09-04,0.3513,0.3544,0.3507,0.3543,CAD
2015-09-07,0.3538,0.3549,0.353,0.3548,CAD
2015-09-08,0.3548,0.355,0.3514,0.3521,CAD
2015-09-09,0.352,0.3538,0.3506,0.3537,CAD
2015-09-10,0.3535,0.3546,0.3513,0.3536,CAD
2015-09-11,0.3533,0.355,0.3523,0.3537,CAD
2015-09-14,0.3535,0.3543,0.3524,0.3537,CAD
2015-09-15,0.3535,0.3539,0.3525,0.3532,CAD
2015-09-16,0.3531,0.3536,0.3507,0.3513,CAD
2015-09-17,0.3511,0.3523,0.3485,0.3518,CAD
2015-09-18,0.3515,0.3529,0.3467,0.3527,CAD
2015-09-21,0.352,0.3538,0.3512,0.3536,CAD
2015-09-22,0.3534,0.3545,0.3523,0.3538,CAD
2015-09-23,0.3538,0.3563,0.3527,0.3551,CAD
2015-09-24,0.355,0.3578,0.3543,0.3547,CAD
2015-09-25,0.3546,0.3561,0.3545,0.3556,CAD
2015-09-28,0.3554,0.3573,0.3549,0.3573,CAD
2015-09-29,0.3572,0.3588,0.3564,0.3579,CAD
2015-09-30,0.3578,0.3582,0.3547,0.355,CAD
2015-10-01,0.3549,0.3555,0.3523,0.3538,CAD
2015-10-02,0.3537,0.3538,0.3505,0.3506,CAD
2015-10-05,0.3507,0.3513,0.3482,0.3489,CAD
2015-10-06,0.3488,0.3503,0.3474,0.3478,CAD
2015-10-07,0.3477,0.3487,0.3458,0.3482,CAD
2015-10-08,0.3481,0.3487,0.346,0.3471,CAD
2015-10-09,0.347,0.3473,0.3438,0.3451,CAD
2015-10-12,0.3453,0.3471,0.3439,0.3467,CAD
2015-10-13,0.3467,0.3488,0.3453,0.3478,CAD
2015-10-14,0.3474,0.3477,0.3444,0.3452,CAD
2015-10-15,0.3451,0.3455,0.342,0.343,CAD
2015-10-16,0.3428,0.3451,0.3424,0.3445,CAD
2015-10-19,0.3443,0.3478,0.3438,0.3473,CAD
2015-10-20,0.3472,0.3481,0.3447,0.346,CAD
2015-10-21,0.3459,0.3505,0.3456,0.3503,CAD
2015-10-22,0.3501,0.351,0.3487,0.3489,CAD
2015-10-23,0.3488,0.3521,0.3476,0.3513,CAD
2015-10-26,0.3512,0.3519,0.3497,0.3507,CAD
2015-10-27,0.3506,0.3539,0.3505,0.3538,CAD
2015-10-28,0.3536,0.3541,0.3489,0.3518,CAD
2015-10-29,0.3516,0.353,0.3501,0.3512,CAD
2015-10-30,0.3511,0.3518,0.348,0.3487,CAD
2015-11-02,0.3487,0.3498,0.3482,0.3491,CAD
2015-11-03,0.3489,0.351,0.3474,0.3483,CAD
2015-11-04,0.3482,0.3518,0.3477,0.3508,CAD
2015-11-05,0.3506,0.3518,0.3502,0.351,CAD
2015-11-06,0.351,0.3552,0.3506,0.3548,CAD
2015-11-09,0.3548,0.3549,0.353,0.3542,CAD
2015-11-10,0.3541,0.3547,0.353,0.3539,CAD
2015-11-11,0.3539,0.3543,0.3526,0.3536,CAD
2015-11-12,0.3535,0.3558,0.3525,0.3544,CAD
2015-11-13,0.3543,0.3559,0.3536,0.3553,CAD
2015-11-16,0.3552,0.3567,0.3543,0.3555,CAD
2015-11-17,0.3552,0.3559,0.3545,0.3551,CAD
2015-11-18,0.355,0.3567,0.3544,0.3547,CAD
2015-11-19,0.3546,0.355,0.3531,0.3542,CAD
2015-11-20,0.3542,0.3562,0.3537,0.3558,CAD
2015-11-23,0.3555,0.3583,0.3552,0.3563,CAD
2015-11-24,0.3562,0.3565,0.3535,0.3541,CAD
2015-11-25,0.354,0.3552,0.3533,0.3538,CAD
2015-11-26,0.3538,0.3549,0.3535,0.3541,CAD
2015-11-27,0.354,0.3564,0.3539,0.3563,CAD
2015-11-30,0.3559,0.3569,0.3544,0.3562,CAD
2015-12-01,0.3561,0.3567,0.3544,0.356,CAD
2015-12-02,0.3559,0.3573,0.3547,0.3557,CAD
2015-12-03,0.3556,0.3571,0.3542,0.3559,CAD
2015-12-04,0.3558,0.3574,0.3546,0.3562,CAD
2015-12-07,0.356,0.3605,0.3559,0.3597,CAD
2015-12-08,0.3597,0.3631,0.3596,0.3622,CAD
2015-12-09,0.3621,0.3631,0.36,0.362,CAD
2015-12-10,0.3617,0.3637,0.3605,0.3631,CAD
2015-12-11,0.363,0.3668,0.3629,0.3667,CAD
2015-12-14,0.3663,0.3674,0.3644,0.366,CAD
2015-12-15,0.3659,0.367,0.3642,0.3661,CAD
2015-12-16,0.366,0.369,0.3657,0.3673,CAD
2015-12-17,0.3671,0.3729,0.367,0.3716,CAD
2015-12-18,0.3715,0.373,0.3692,0.3719,CAD
2015-12-21,0.3713,0.373,0.3705,0.372,CAD
2015-12-22,0.3718,0.3721,0.3706,0.371,CAD
2015-12-23,0.3708,0.3715,0.3688,0.3692,CAD
2015-12-24,0.369,0.3698,0.3681,0.3684,CAD
2015-12-25,0.3682,0.369,0.3676,0.3686,CAD
2015-12-28,0.3682,0.371,0.3682,0.3708,CAD
2015-12-29,0.3705,0.3719,0.3683,0.3692,CAD
