Date,Open,High,Low,Close,Currency
2015-01-01,0.265,0.2651,0.2647,0.2649,CHF
2015-01-02,0.2648,0.2668,0.2646,0.2667,CHF
2015-01-05,0.2667,0.2693,0.2666,0.2683,CHF
2015-01-06,0.2682,0.2694,0.2674,0.2691,CHF
2015-01-07,0.2691,0.2711,0.2689,0.2702,CHF
2015-01-08,0.2701,0.2721,0.2699,0.2713,CHF
2015-01-09,0.2712,0.272,0.2699,0.2701,CHF
2015-01-12,0.2701,0.2715,0.2693,0.2704,CHF
2015-01-13,0.2703,0.2723,0.2697,0.2718,CHF
2015-01-14,0.2718,0.2729,0.27,0.2714,CHF
2015-01-15,0.2715,0.2723,0.1983,0.2287,CHF
2015-01-16,0.2286,0.2347,0.2251,0.2285,CHF
2015-01-19,0.2286,0.2344,0.2283,0.2342,CHF
2015-01-20,0.2342,0.2354,0.2312,0.2332,CHF
2015-01-21,0.2332,0.2337,0.2262,0.2289,CHF
2015-01-22,0.2288,0.2331,0.2268,0.2319,CHF
2015-01-23,0.2317,0.2345,0.231,0.2342,CHF
2015-01-26,0.234,0.2408,0.2332,0.2403,CHF
2015-01-27,0.2401,0.2439,0.2376,0.2402,CHF
2015-01-28,0.2402,0.242,0.2388,0.2408,CHF
2015-01-29,0.2405,0.2462,0.2404,0.2458,CHF
2015-01-30,0.2458,0.2471,0.2437,0.245,CHF
2015-02-02,0.246,0.2488,0.2446,0.2472,CHF
2015-02-03,0.247,0.2476,0.2446,0.2463,CHF
2015-02-04,0.2462,0.2473,0.2452,0.2468,CHF
2015-02-05,0.2467,0.2482,0.2452,0.2454,CHF
2015-02-06,0.2454,0.2476,0.2443,0.2466,CHF
2015-02-09,0.2469,0.2475,0.245,0.2462,CHF
2015-02-10,0.2461,0.2473,0.2455,0.2469,CHF
2015-02-11,0.2468,0.2479,0.2459,0.2475,CHF
2015-02-12,0.2475,0.2489,0.2466,0.2481,CHF
2015-02-13,0.248,0.2489,0.2469,0.2485,CHF
2015-02-16,0.2481,0.2487,0.2472,0.2485,CHF
2015-02-17,0.2484,0.2499,0.2475,0.2497,CHF
2015-02-18,0.2496,0.252,0.2482,0.2511,CHF
2015-02-19,0.2511,0.2532,0.25,0.2531,CHF
2015-02-20,0.253,0.2542,0.2497,0.2508,CHF
2015-02-23,0.25,0.254,0.25,0.2532,CHF
2015-02-24,0.2531,0.2539,0.2522,0.2534,CHF
2015-02-25,0.2534,0.2537,0.2521,0.2529,CHF
2015-02-26,0.2528,0.2546,0.2518,0.2541,CHF
2015-02-27,0.254,0.2546,0.2518,0.2542,CHF
2015-03-02,0.2541,0.256,0.254,0.2555,CHF
2015-03-03,0.2554,0.2565,0.2547,0.2563,CHF
2015-03-04,0.2562,0.2581,0.2556,0.2568,CHF
2015-03-05,0.2568,0.26,0.2567,0.2599,CHF
2015-03-06,0.2598,0.263,0.259,0.263,CHF
2015-03-09,0.2627,0.2633,0.2617,0.2629,CHF
2015-03-10,0.2628,0.2666,0.2626,0.2665,CHF
2015-03-11,0.2665,0.2696,0.2657,0.2691,CHF
2015-03-12,0.2691,0.2701,0.266,0.2673,CHF
2015-03-13,0.2672,0.2696,0.267,0.2679,CHF
2015-03-16,0.2679,0.2688,0.2671,0.2687,CHF
2015-03-17,0.2686,0.2691,0.2666,0.2683,CHF
2015-03-18,0.2682,0.2685,0.2566,0.2609,CHF
2015-03-19,0.2608,0.2662,0.2603,0.264,CHF
2015-03-20,0.2639,0.2642,0.2592,0.2601,CHF
2015-03-23,0.2602,0.2616,0.2569,0.2576,CHF
2015-03-24,0.2575,0.2585,0.2541,0.2555,CHF
2015-03-25,0.2554,0.2565,0.2545,0.2559,CHF
2015-03-26,0.2558,0.2575,0.2527,0.2567,CHF
2015-03-27,0.2566,0.2584,0.2546,0.2563,CHF
2015-03-30,0.2561,0.2584,0.2558,0.2579,CHF
2015-03-31,0.2577,0.2601,0.2573,0.2593,CHF
2015-04-01,0.2592,0.2598,0.2569,0.2577,CHF
2015-04-02,0.2577,0.258,0.2548,0.2559,CHF
2015-04-03,0.2558,0.2562,0.2526,0.2538,CHF
2015-04-06,0.2533,0.2561,0.253,0.2556,CHF
2015-04-07,0.2555,0.2579,0.2547,0.2575,CHF
2015-04-08,0.2575,0.2579,0.2557,0.2577,CHF
2015-04-09,0.2577,0.261,0.2574,0.2606,CHF
2015-04-10,0.2605,0.2623,0.2598,0.2611,CHF
2015-04-13,0.2611,0.263,0.2599,0.2607,CHF
2015-04-14,0.2606,0.2612,0.2577,0.2594,CHF
2015-04-15,0.2594,0.2605,0.2568,0.2572,CHF
2015-04-16,0.2571,0.259,0.2543,0.2549,CHF
2015-04-17,0.2549,0.2556,0.253,0.2538,CHF
2015-04-20,0.2535,0.256,0.2531,0.255,CHF
2015-04-21,0.255,0.2567,0.2533,0.2546,CHF
2015-04-22,0.2545,0.2591,0.2532,0.2591,CHF
2015-04-23,0.259,0.2593,0.2539,0.2548,CHF
2015-04-24,0.2546,0.2554,0.2534,0.2544,CHF
2015-04-27,0.2544,0.2556,0.253,0.2546,CHF
2015-04-28,0.2546,0.256,0.2533,0.2548,CHF
2015-04-29,0.2547,0.2554,0.2489,0.2506,CHF
2015-04-30,0.2504,0.252,0.2481,0.2487,CHF
2015-05-01,0.2486,0.2494,0.2472,0.2487,CHF
2015-05-04,0.2487,0.2503,0.2482,0.249,CHF
2015-05-05,0.2489,0.2511,0.2462,0.247,CHF
2015-05-06,0.247,0.2475,0.2429,0.2443,CHF
2015-05-07,0.2444,0.2461,0.2417,0.2458,CHF
2015-05-08,0.2458,0.2486,0.2453,0.2482,CHF
2015-05-11,0.2483,0.2496,0.2477,0.2491,CHF
2015-05-12,0.249,0.2495,0.2454,0.2478,CHF
2015-05-13,0.2477,0.248,0.2439,0.2445,CHF
2015-05-14,0.2444,0.2447,0.2419,0.2434,CHF
2015-05-15,0.2434,0.2468,0.2429,0.2442,CHF
2015-05-18,0.2437,0.2471,0.2437,0.2471,CHF
2015-05-19,0.247,0.2503,0.2464,0.2498,CHF
2015-05-20,0.2499,0.2509,0.2489,0.2499,CHF
2015-05-21,0.2499,0.2502,0.2479,0.2498,CHF
2015-05-22,0.2497,0.2523,0.2475,0.2517,CHF
2015-05-25,0.2516,0.2523,0.2506,0.252,CHF
2015-05-26,0.2519,0.2544,0.2519,0.2542,CHF
2015-05-27,0.2542,0.2546,0.2522,0.2532,CHF
2015-05-28,0.2531,0.2537,0.251,0.2516,CHF
2015-05-29,0.2515,0.2528,0.2491,0.2507,CHF
2015-06-01,0.2507,0.2529,0.2504,0.2522,CHF
2015-06-02,0.2522,0.2525,0.2482,0.2488,CHF
2015-06-03,0.2488,0.2513,0.248,0.249,CHF
2015-06-04,0.2489,0.25,0.2473,0.2489,CHF
2015-06-05,0.2489,0.2535,0.2478,0.2505,CHF
2015-06-08,0.2504,0.2515,0.2468,0.2472,CHF
2015-06-09,0.2472,0.2489,0.2464,0.2483,CHF
2015-06-10,0.2482,0.2487,0.246,0.2484,CHF
2015-06-11,0.2483,0.2509,0.2478,0.2489,CHF
2015-06-12,0.2489,0.2504,0.2463,0.2477,CHF
2015-06-15,0.2477,0.2503,0.2472,0.2478,CHF
2015-06-16,0.2478,0.2491,0.2471,0.2486,CHF
2015-06-17,0.2485,0.2487,0.2452,0.2461,CHF
2015-06-18,0.246,0.2466,0.2439,0.2457,CHF
2015-06-19,0.2456,0.2468,0.2442,0.2447,CHF
2015-06-22,0.2443,0.2461,0.244,0.2457,CHF
2015-06-23,0.2455,0.2504,0.2455,0.2491,CHF
2015-06-24,0.249,0.2499,0.2474,0.249,CHF
2015-06-25,0.2488,0.2512,0.2485,0.2498,CHF
2015-06-26,0.2496,0.2501,0.2478,0.2489,CHF
2015-06-29,0.2487,0.2513,0.2464,0.2466,CHF
2015-06-30,0.2465,0.2502,0.2464,0.2494,CHF
2015-07-01,0.2494,0.2531,0.2489,0.2529,CHF
2015-07-02,0.2528,0.2536,0.251,0.2516,CHF
2015-07-03,0.2516,0.2519,0.2504,0.2508,CHF
2015-07-06,0.2507,0.2527,0.2507,0.2513,CHF
2015-07-07,0.2512,0.2538,0.2511,0.2524,CHF
2015-07-08,0.2523,0.2537,0.2507,0.2521,CHF
2015-07-09,0.252,0.2538,0.2511,0.2528,CHF
2015-07-10,0.2525,0.2531,0.2487,0.2504,CHF
2015-07-13,0.2503,0.2535,0.2497,0.2534,CHF
2015-07-14,0.2531,0.2543,0.2506,0.2519,CHF
2015-07-15,0.2517,0.2547,0.2516,0.2538,CHF
2015-07-16,0.2538,0.2557,0.2535,0.2554,CHF
2015-07-17,0.2552,0.2567,0.2546,0.2563,CHF
2015-07-20,0.2561,0.2575,0.2558,0.2572,CHF
2015-07-21,0.2572,0.2575,0.2547,0.2556,CHF
2015-07-22,0.2556,0.2569,0.2548,0.2558,CHF
2015-07-23,0.2558,0.2562,0.2538,0.2559,CHF
2015-07-24,0.2558,0.2572,0.2551,0.2568,CHF
2015-07-27,0.2567,0.2571,0.2541,0.2568,CHF
2015-07-28,0.2566,0.2581,0.256,0.2567,CHF
2015-07-29,0.2565,0.2585,0.2558,0.2581,CHF
2015-07-30,0.2581,0.2593,0.2576,0.2585,CHF
2015-07-31,0.2584,0.2588,0.2545,0.2576,CHF
2015-08-03,0.2574,0.2588,0.2571,0.2585,CHF
2015-08-04,0.2583,0.2612,0.2577,0.261,CHF
2015-08-05,0.2608,0.2621,0.2601,0.2611,CHF
2015-08-06,0.261,0.2627,0.2604,0.2615,CHF
2015-08-07,0.2616,0.2637,0.261,0.2623,CHF
2015-08-10,0.2622,0.2638,0.2613,0.2623,CHF
2015-08-11,0.2623,0.2641,0.2611,0.2634,CHF
2015-08-12,0.2632,0.264,0.2579,0.2601,CHF
2015-08-13,0.2599,0.2614,0.2591,0.2603,CHF
2015-08-14,0.2601,0.2609,0.259,0.2601,CHF
2015-08-17,0.2601,0.2612,0.2595,0.261,CHF
2015-08-18,0.2609,0.2614,0.2598,0.2605,CHF
2015-08-19,0.2603,0.2609,0.257,0.2573,CHF
2015-08-20,0.2572,0.258,0.2552,0.2556,CHF
2015-08-21,0.2555,0.256,0.2521,0.2524,CHF
2015-08-24,0.2523,0.2528,0.2466,0.2481,CHF
2015-08-25,0.248,0.2534,0.2478,0.2504,CHF
2015-08-26,0.2504,0.2546,0.2501,0.2544,CHF
2015-08-27,0.2543,0.258,0.2535,0.2576,CHF
2015-08-28,0.2575,0.2579,0.2551,0.2566,CHF
2015-08-31,0.2565,0.2584,0.2554,0.2578,CHF
2015-09-01,0.2578,0.258,0.2549,0.2556,CHF
2015-09-02,0.2555,0.2588,0.2552,0.2583,CHF
2015-09-03,0.2582,0.2607,0.258,0.2595,CHF
2015-09-04,0.2593,0.2607,0.2581,0.2592,CHF
2015-09-07,0.259,0.2604,0.2586,0.26,CHF
2015-09-08,0.2598,0.2621,0.2585,0.2609,CHF
2015-09-09,0.2608,0.262,0.2589,0.2601,CHF
2015-09-10,0.2599,0.2614,0.2585,0.2596,CHF
2015-09-11,0.2594,0.2613,0.258,0.2584,CHF
2015-09-14,0.2586,0.2594,0.2576,0.2582,CHF
2015-09-15,0.2579,0.2604,0.2576,0.2596,CHF
2015-09-16,0.2595,0.2603,0.2576,0.2591,CHF
2015-09-17,0.2589,0.2596,0.2556,0.2561,CHF
2015-09-18,0.2558,0.2589,0.2538,0.2582,CHF
2015-09-21,0.258,0.26,0.257,0.2592,CHF
2015-09-22,0.2591,0.2603,0.2587,0.26,CHF
2015-09-23,0.2599,0.2615,0.2594,0.2612,CHF
2015-09-24,0.2611,0.2615,0.2576,0.26,CHF
2015-09-25,0.2598,0.2625,0.2596,0.2609,CHF
2015-09-28,0.2607,0.2619,0.2591,0.2596,CHF
2015-09-29,0.2595,0.2601,0.2582,0.259,CHF
2015-09-30,0.2589,0.2608,0.2585,0.2595,CHF
2015-10-01,0.2593,0.2612,0.2591,0.2606,CHF
2015-10-02,0.2605,0.2612,0.2571,0.2589,CHF
2015-10-05,0.2587,0.2605,0.2582,0.26,CHF
2015-10-06,0.2599,0.2605,0.2577,0.258,CHF
2015-10-07,0.2577,0.2599,0.2572,0.2596,CHF
2015-10-08,0.2595,0.2598,0.2565,0.2576,CHF
2015-10-09,0.2574,0.2581,0.2555,0.2564,CHF
2015-10-12,0.2561,0.2569,0.2557,0.2566,CHF
2015-10-13,0.2567,0.2575,0.2546,0.2554,CHF
2015-10-14,0.2553,0.2559,0.2529,0.2534,CHF
2015-10-15,0.2533,0.2548,0.2525,0.2535,CHF
2015-10-16,0.2534,0.2548,0.2529,0.2544,CHF
2015-10-19,0.2541,0.2555,0.2536,0.2553,CHF
2015-10-20,0.255,0.2556,0.253,0.2549,CHF
2015-10-21,0.2547,0.2564,0.254,0.2559,CHF
2015-10-22,0.2557,0.2599,0.2553,0.2594,CHF
2015-10-23,0.2594,0.2616,0.2589,0.2612,CHF
2015-10-26,0.261,0.2626,0.26,0.2623,CHF
2015-10-27,0.2621,0.2634,0.2613,0.2629,CHF
2015-10-28,0.2628,0.2656,0.2617,0.265,CHF
2015-10-29,0.2649,0.2656,0.2634,0.2638,CHF
2015-10-30,0.2637,0.2644,0.2624,0.2634,CHF
2015-11-02,0.2632,0.2638,0.2621,0.2631,CHF
2015-11-03,0.263,0.2649,0.2624,0.2643,CHF
2015-11-04,0.264,0.2656,0.2634,0.265,CHF
2015-11-05,0.2646,0.2663,0.2644,0.2653,CHF
2015-11-06,0.2653,0.2689,0.2645,0.2685,CHF
2015-11-09,0.268,0.2685,0.2665,0.2676,CHF
2015-11-10,0.2674,0.2691,0.2671,0.2683,CHF
2015-11-11,0.2682,0.2688,0.2673,0.268,CHF
2015-11-12,0.2678,0.2692,0.2663,0.2667,CHF
2015-11-13,0.2665,0.2694,0.2663,0.2684,CHF
2015-11-16,0.268,0.2696,0.2677,0.2691,CHF
2015-11-17,0.269,0.2715,0.2683,0.2705,CHF
2015-11-18,0.2702,0.2726,0.27,0.272,CHF
2015-11-19,0.2717,0.2723,0.2697,0.27,CHF
2015-11-20,0.2699,0.2721,0.2695,0.2716,CHF
2015-11-23,0.2713,0.2727,0.2712,0.2715,CHF
2015-11-24,0.2714,0.2719,0.2699,0.2707,CHF
2015-11-25,0.2705,0.2732,0.2698,0.272,CHF
2015-11-26,0.272,0.2733,0.2717,0.2727,CHF
2015-11-27,0.2726,0.2754,0.272,0.2746,CHF
2015-11-30,0.2742,0.2749,0.2731,0.2742,CHF
2015-12-01,0.2742,0.2746,0.273,0.2734,CHF
2015-12-02,0.2733,0.2748,0.2712,0.2714,CHF
2015-12-03,0.2715,0.2734,0.2631,0.2647,CHF
2015-12-04,0.2646,0.2676,0.2641,0.2657,CHF
2015-12-07,0.2656,0.2676,0.2653,0.2666,CHF
2015-12-08,0.2664,0.267,0.2642,0.2645,CHF
2015-12-09,0.2644,0.2654,0.2615,0.2621,CHF
2015-12-10,0.2618,0.2641,0.2615,0.2632,CHF
2015-12-11,0.2631,0.264,0.2611,0.2621,CHF
2015-12-14,0.2618,0.2633,0.2607,0.2626,CHF
2015-12-15,0.2624,0.2647,0.261,0.2643,CHF
2015-12-16,0.2641,0.2645,0.2615,0.2639,CHF
2015-12-17,0.2636,0.2664,0.2626,0.2654,CHF
2015-12-18,0.2655,0.2659,0.264,0.2646,CHF
2015-12-21,0.2643,0.2656,0.2636,0.2643,CHF
2015-12-22,0.2641,0.265,0.2625,0.263,CHF
2015-12-23,0.2629,0.2655,0.2621,0.2642,CHF
2015-12-24,0.2639,0.2646,0.2608,0.2629,CHF
2015-12-25,0.2628,0.2637,0.2616,0.2633,CHF
2015-12-28,0.2631,0.2642,0.2626,0.2635,CHF
2015-12-29,0.2634,0.2654,0.2628,0.2649,CHF
2015-12-30,0.2647,0.2651,0.2625,0.2635,CHF
2015-12-31,0.2634,0.2674,0.2629,0.267,CHF
2016-01-01,0.2667,0.2671,0.2666,0.2669,CHF
2016-01-04,0.2663,0.2684,0.2644,0.2671,CHF
2016-01-05,0.2671,0.27,0.2665,0.2688,CHF
2016-01-06,0.2686,0.2697,0.2677,0.2684,CHF
2016-01-07,0.2683,0.2688,0.2642,0.2646,CHF
2016-01-08,0.2645,0.2678,0.2644,0.2651,CHF
2016-01-11,0.2646,0.2672,0.2628,0.2668,CHF
2016-01-12,0.2666,0.268,0.2652,0.2672,CHF
2016-01-13,0.2672,0.2695,0.2669,0.2681,CHF
2016-01-14,0.2678,0.2694,0.2667,0.268,CHF
2016-01-15,0.2678,0.2684,0.2654,0.2674,CHF
2016-01-18,0.2671,0.2687,0.2666,0.2681,CHF
2016-01-19,0.2679,0.269,0.2666,0.2676,CHF
2016-01-20,0.2676,0.2684,0.266,0.2679,CHF
2016-01-21,0.2677,0.2705,0.2665,0.2684,CHF
2016-01-22,0.2682,0.2712,0.268,0.2709,CHF
2016-01-25,0.2705,0.2712,0.2697,0.2701,CHF
2016-01-26,0.27,0.2721,0.2695,0.2711,CHF
2016-01-27,0.2709,0.2719,0.2698,0.2708,CHF
2016-01-28,0.2705,0.2716,0.2693,0.2703,CHF
2016-01-29,0.2701,0.2735,0.27,0.2728,CHF
2016-02-01,0.2724,0.2735,0.2707,0.272,CHF
2016-02-02,0.2718,0.2727,0.2709,0.2716,CHF
2016-02-03,0.2715,0.272,0.2661,0.2678,CHF
2016-02-04,0.2676,0.2688,0.2643,0.2648,CHF
2016-02-05,0.2647,0.2664,0.2633,0.2642,CHF
2016-02-08,0.2642,0.2661,0.2622,0.2632,CHF
2016-02-09,0.2632,0.2636,0.2583,0.2594,CHF
2016-02-10,0.2592,0.2618,0.2587,0.2596,CHF
2016-02-11,0.2595,0.2604,0.2574,0.2594,CHF
2016-02-12,0.2592,0.2611,0.2588,0.2605,CHF
2016-02-15,0.2602,0.2639,0.2599,0.2632,CHF
2016-02-16,0.263,0.264,0.2624,0.2636,CHF
2016-02-17,0.2634,0.2653,0.2625,0.2646,CHF
2016-02-18,0.2644,0.266,0.2639,0.2648,CHF
2016-02-19,0.2645,0.2659,0.2635,0.264,CHF
2016-02-22,0.2638,0.2669,0.2633,0.2666,CHF
2016-02-23,0.2665,0.2669,0.2636,0.2643,CHF
2016-02-24,0.2641,0.2655,0.2625,0.2637,CHF
2016-02-25,0.2635,0.2654,0.2632,0.2641,CHF
2016-02-26,0.2639,0.2664,0.263,0.2658,CHF
2016-02-29,0.2655,0.2678,0.2651,0.2662,CHF
2016-03-01,0.2661,0.2671,0.2654,0.266,CHF
2016-03-02,0.2658,0.267,0.2653,0.2658,CHF
2016-03-03,0.2657,0.2666,0.2635,0.2648,CHF
2016-03-04,0.2645,0.2664,0.2632,0.265,CHF
2016-03-07,0.2648,0.2671,0.2645,0.2654,CHF
2016-03-08,0.2652,0.266,0.2638,0.2657,CHF
2016-03-09,0.2654,0.2676,0.2649,0.2659,CHF
2016-03-10,0.2657,0.2694,0.2613,0.2627,CHF
2016-03-11,0.2625,0.2639,0.2612,0.262,CHF
2016-03-14,0.2617,0.2636,0.2616,0.2633,CHF
2016-03-15,0.2631,0.264,0.2625,0.2632,CHF
2016-03-16,0.263,0.2645,0.2598,0.2605,CHF
