Date,Open,High,Low,Close,Currency
2015-01-01,1.9053,1.9055,1.9053,1.9055,EGP
2015-01-02,1.9053,1.9055,1.9039,1.9047,EGP
2015-01-05,1.9046,1.9079,1.8992,1.9021,EGP
2015-01-06,1.8993,1.9053,1.8993,1.9049,EGP
2015-01-07,1.9046,1.9051,1.9043,1.9046,EGP
2015-01-08,1.9046,1.9051,1.9038,1.9042,EGP
2015-01-09,1.9041,1.9048,1.9036,1.9042,EGP
2015-01-12,1.9041,1.9051,1.9036,1.9051,EGP
2015-01-13,1.9049,1.9059,1.9036,1.9051,EGP
2015-01-14,1.9049,1.9059,1.9041,1.9051,EGP
2015-01-15,1.905,1.9059,1.9041,1.9051,EGP
2015-01-16,1.905,1.9051,1.9041,1.9049,EGP
2015-01-19,1.9181,1.9314,1.9168,1.9306,EGP
2015-01-20,1.9305,1.9446,1.93,1.944,EGP
2015-01-21,1.9437,1.9574,1.9433,1.9563,EGP
2015-01-22,1.956,1.9701,1.956,1.9698,EGP
2015-01-23,1.9697,1.9707,1.9673,1.9678,EGP
2015-01-26,1.9697,1.9806,1.9678,1.98,EGP
2015-01-27,1.9798,1.98,1.9785,1.9794,EGP
2015-01-28,1.9792,1.988,1.9779,1.9869,EGP
2015-01-29,1.9864,2.0198,1.9864,2.0198,EGP
2015-01-30,2.0197,2.0198,2.0178,2.0191,EGP
2015-02-02,2.0205,2.0323,2.0205,2.0264,EGP
2015-02-03,2.0261,2.0337,2.0254,2.0329,EGP
2015-02-04,2.0325,2.0362,2.0296,2.0316,EGP
2015-02-05,2.0298,2.0336,2.0297,2.033,EGP
2015-02-06,2.0327,2.0335,2.0327,2.0335,EGP
2015-02-09,2.0329,2.0348,2.0304,2.0337,EGP
2015-02-10,2.0334,2.0347,2.0281,2.0283,EGP
2015-02-11,2.0281,2.0358,2.0281,2.0325,EGP
2015-02-12,2.0311,2.0347,2.0305,2.0331,EGP
2015-02-13,2.0322,2.0333,2.0306,2.0333,EGP
2015-02-16,2.0339,2.0347,2.0309,2.0339,EGP
2015-02-17,2.0337,2.0345,2.0311,2.0339,EGP
2015-02-18,2.0338,2.0346,2.0319,2.0339,EGP
2015-02-19,2.0337,2.0345,2.0311,2.0338,EGP
2015-02-20,2.0337,2.0339,2.0337,2.0339,EGP
2015-02-23,2.0325,2.0346,2.0304,2.0342,EGP
2015-02-24,2.034,2.0345,2.0312,2.0343,EGP
2015-02-25,2.0342,2.0346,2.0311,2.0345,EGP
2015-02-26,2.0343,2.0347,2.0325,2.0345,EGP
2015-02-27,2.0343,2.0346,2.0342,2.0346,EGP
2015-03-02,2.0344,2.0346,2.0322,2.0345,EGP
2015-03-03,2.0344,2.0347,2.0326,2.0345,EGP
2015-03-04,2.0344,2.0346,2.0318,2.0345,EGP
2015-03-05,2.0344,2.0346,2.0326,2.0345,EGP
2015-03-06,2.0344,2.0346,2.0343,2.0346,EGP
2015-03-09,2.0336,2.0349,2.0322,2.0346,EGP
2015-03-10,2.0345,2.0355,2.0325,2.0345,EGP
2015-03-11,2.0344,2.0355,2.0318,2.0344,EGP
2015-03-12,2.0343,2.0358,2.0306,2.0337,EGP
2015-03-13,2.033,2.0347,2.0308,2.0337,EGP
2015-03-16,2.033,2.0355,2.0322,2.0337,EGP
2015-03-17,2.033,2.0354,2.0309,2.0343,EGP
2015-03-18,2.0342,2.0354,2.0312,2.0337,EGP
2015-03-19,2.033,2.0353,2.0308,2.0344,EGP
2015-03-20,2.0343,2.035,2.0327,2.0343,EGP
2015-03-23,2.0342,2.0352,2.0315,2.0343,EGP
2015-03-24,2.0343,2.0354,2.0322,2.0343,EGP
2015-03-25,2.0343,2.0352,2.0315,2.0343,EGP
2015-03-26,2.0342,2.0352,2.0306,2.0339,EGP
2015-03-27,2.0339,2.0347,2.0327,2.0339,EGP
2015-03-30,2.0339,2.0346,2.032,2.0341,EGP
2015-03-31,2.034,2.0352,2.032,2.0334,EGP
2015-04-01,2.0326,2.0343,2.0312,2.034,EGP
2015-04-02,2.0339,2.0352,2.0324,2.0334,EGP
