Date,Open,High,Low,Close,Currency
2015-01-01,0.3406,0.341,0.3401,0.341,BRL
2015-01-02,0.3408,0.3437,0.3378,0.3401,BRL
2015-01-05,0.3399,0.3449,0.3374,0.3408,BRL
2015-01-06,0.3409,0.3433,0.3396,0.3411,BRL
2015-01-07,0.3409,0.3414,0.3356,0.3365,BRL
2015-01-08,0.3363,0.3377,0.3308,0.3316,BRL
2015-01-09,0.3314,0.3327,0.3262,0.3267,BRL
2015-01-12,0.3268,0.332,0.3253,0.3311,BRL
2015-01-13,0.331,0.3355,0.3252,0.3275,BRL
2015-01-14,0.3274,0.3285,0.3227,0.3236,BRL
2015-01-15,0.3235,0.3264,0.3185,0.3261,BRL
2015-01-16,0.3262,0.3266,0.3213,0.3228,BRL
2015-01-19,0.3228,0.3283,0.3223,0.3259,BRL
2015-01-20,0.3258,0.3271,0.3184,0.3201,BRL
2015-01-21,0.3197,0.3215,0.3156,0.3182,BRL
2015-01-22,0.3179,0.3204,0.3115,0.3128,BRL
2015-01-23,0.3124,0.3135,0.3079,0.3094,BRL
2015-01-26,0.3097,0.3136,0.3073,0.3112,BRL
2015-01-27,0.3112,0.3157,0.3103,0.3146,BRL
2015-01-28,0.3143,0.3166,0.3098,0.3105,BRL
2015-01-29,0.3104,0.3165,0.31,0.3145,BRL
2015-01-30,0.3144,0.3257,0.3138,0.3242,BRL
2015-02-02,0.3238,0.3295,0.3225,0.3279,BRL
2015-02-03,0.3277,0.3302,0.3254,0.328,BRL
2015-02-04,0.3279,0.3329,0.326,0.3309,BRL
2015-02-05,0.3309,0.3341,0.3293,0.3329,BRL
2015-02-06,0.3327,0.3357,0.3294,0.3315,BRL
2015-02-09,0.3316,0.3348,0.3301,0.3313,BRL
2015-02-10,0.3317,0.3417,0.3304,0.3404,BRL
2015-02-11,0.3403,0.3435,0.3387,0.3425,BRL
2015-02-12,0.3424,0.3434,0.3338,0.334,BRL
2015-02-13,0.334,0.3397,0.3337,0.3369,BRL
2015-02-16,0.3366,0.3384,0.3359,0.3367,BRL
2015-02-17,0.3369,0.3405,0.3352,0.3398,BRL
2015-02-18,0.3401,0.3404,0.3355,0.3393,BRL
2015-02-19,0.3393,0.3416,0.3373,0.3403,BRL
2015-02-20,0.3402,0.3451,0.3378,0.3426,BRL
2015-02-23,0.343,0.3432,0.3382,0.3421,BRL
2015-02-24,0.3421,0.3435,0.3364,0.3367,BRL
2015-02-25,0.3366,0.3469,0.3365,0.3464,BRL
2015-02-26,0.3464,0.3475,0.342,0.346,BRL
2015-02-27,0.3459,0.3503,0.34,0.3402,BRL
2015-03-02,0.3403,0.3478,0.3389,0.3476,BRL
2015-03-03,0.3476,0.3548,0.347,0.3543,BRL
2015-03-04,0.3541,0.36,0.3526,0.3574,BRL
2015-03-05,0.3572,0.3621,0.3557,0.3601,BRL
2015-03-06,0.3598,0.3631,0.3558,0.362,BRL
2015-03-09,0.3616,0.3695,0.3608,0.3679,BRL
2015-03-10,0.3679,0.3712,0.3609,0.3624,BRL
2015-03-11,0.3622,0.3649,0.3575,0.3623,BRL
2015-03-12,0.3622,0.3696,0.3595,0.3687,BRL
2015-03-13,0.3684,0.3776,0.3673,0.3728,BRL
2015-03-16,0.3727,0.3756,0.3698,0.3749,BRL
2015-03-17,0.375,0.38,0.3712,0.373,BRL
2015-03-18,0.3728,0.3778,0.3662,0.3742,BRL
2015-03-19,0.3739,0.3801,0.3708,0.3796,BRL
2015-03-20,0.3794,0.3829,0.3702,0.3745,BRL
2015-03-23,0.3747,0.3783,0.3679,0.3684,BRL
2015-03-24,0.3683,0.372,0.3654,0.3698,BRL
2015-03-25,0.3695,0.3777,0.3677,0.3771,BRL
2015-03-26,0.3769,0.38,0.3701,0.3705,BRL
2015-03-27,0.3704,0.3792,0.3681,0.3785,BRL
2015-03-30,0.3778,0.3825,0.3727,0.376,BRL
2015-03-31,0.3758,0.3781,0.3659,0.3703,BRL
2015-04-01,0.37,0.372,0.3636,0.3653,BRL
2015-04-02,0.3651,0.3685,0.3612,0.3615,BRL
2015-04-03,0.3612,0.3667,0.3609,0.3649,BRL
2015-04-06,0.3647,0.3663,0.3606,0.3645,BRL
2015-04-07,0.3644,0.366,0.3592,0.3605,BRL
2015-04-08,0.3604,0.3636,0.3506,0.3517,BRL
2015-04-09,0.3515,0.3524,0.3459,0.3491,BRL
2015-04-10,0.3489,0.3519,0.3462,0.3486,BRL
2015-04-13,0.3484,0.3551,0.3461,0.3538,BRL
2015-04-14,0.3537,0.355,0.3485,0.3495,BRL
2015-04-15,0.3495,0.3522,0.3464,0.3472,BRL
2015-04-16,0.347,0.353,0.3467,0.3518,BRL
2015-04-17,0.3517,0.3551,0.3492,0.3522,BRL
2015-04-20,0.352,0.3533,0.3473,0.3488,BRL
2015-04-21,0.3485,0.352,0.3468,0.3502,BRL
2015-04-22,0.35,0.3526,0.3431,0.3449,BRL
2015-04-23,0.3447,0.3487,0.3433,0.344,BRL
2015-04-24,0.3438,0.3465,0.3413,0.3418,BRL
2015-04-27,0.3419,0.3431,0.3369,0.3392,BRL
2015-04-28,0.339,0.3455,0.3357,0.3448,BRL
2015-04-29,0.3448,0.3556,0.344,0.3555,BRL
2015-04-30,0.3554,0.3621,0.3524,0.3619,BRL
2015-05-01,0.3617,0.3647,0.3577,0.3589,BRL
2015-05-04,0.3589,0.3696,0.3578,0.3687,BRL
2015-05-05,0.3685,0.3692,0.3638,0.366,BRL
2015-05-06,0.3655,0.3725,0.3653,0.369,BRL
2015-05-07,0.3687,0.3711,0.3643,0.3665,BRL
2015-05-08,0.3661,0.368,0.3598,0.36,BRL
2015-05-11,0.3599,0.3692,0.3575,0.3689,BRL
2015-05-12,0.3686,0.3717,0.3615,0.3625,BRL
2015-05-13,0.3622,0.3699,0.3602,0.369,BRL
2015-05-14,0.3687,0.3713,0.3621,0.3634,BRL
2015-05-15,0.3637,0.3662,0.3595,0.3659,BRL
2015-05-18,0.3658,0.3682,0.3632,0.3653,BRL
2015-05-19,0.3652,0.3657,0.3598,0.3644,BRL
2015-05-20,0.3641,0.3646,0.3593,0.3597,BRL
2015-05-21,0.3596,0.3661,0.3589,0.3643,BRL
2015-05-22,0.3643,0.3697,0.3638,0.3689,BRL
2015-05-25,0.3689,0.3725,0.3671,0.3679,BRL
2015-05-26,0.3678,0.373,0.3651,0.372,BRL
2015-05-27,0.372,0.374,0.3688,0.3692,BRL
