Date,Open,High,Low,Close,Currency
2015-01-02,12.72,12.782,12.62,12.62,CHF
2015-01-04,12.67,12.67,12.64,12.64,CHF
2015-01-05,12.64,12.7359,12.615,12.7,CHF
2015-01-06,12.7,12.7709,12.68,12.76,CHF
2015-01-07,12.76,12.7914,12.7,12.72,CHF
2015-01-08,12.72,12.8009,12.64,12.68,CHF
2015-01-09,12.68,12.6972,12.57,12.58,CHF
2015-01-11,12.58,12.59,12.58,12.59,CHF
2015-01-12,12.59,12.61,12.5234,12.56,CHF
2015-01-13,12.56,12.7585,12.5455,12.65,CHF
2015-01-14,12.65,12.6975,12.5772,12.59,CHF
2015-01-15,12.6,12.6423,9.433,10.53,CHF
2015-01-16,10.53,10.8509,10.407,10.62,CHF
2015-01-18,10.61,10.66,10.6,10.6,CHF
2015-01-19,10.6,10.838,10.5305,10.8,CHF
2015-01-20,10.8,10.8491,10.6461,10.69,CHF
2015-01-21,10.69,10.7334,10.4477,10.54,CHF
2015-01-22,10.54,10.6499,10.47,10.57,CHF
2015-01-23,10.57,10.6356,10.47,10.57,CHF
2015-01-25,10.57,10.63,10.57,10.63,CHF
2015-01-26,10.64,10.9016,10.5,10.86,CHF
2015-01-27,10.86,11.109,10.8152,10.97,CHF
2015-01-28,10.97,11.103,10.89,10.92,CHF
2015-01-29,10.92,11.2145,10.91,11.16,CHF
2015-01-30,11.16,11.259,11.0787,11.11,CHF
2015-02-01,11.11,11.15,11.05,11.15,CHF
2015-02-02,11.14,11.337,11.13,11.15,CHF
2015-02-03,11.15,11.26,11.11,11.22,CHF
2015-02-04,11.22,11.2782,11.13,11.15,CHF
2015-02-05,11.15,11.2766,11.133,11.18,CHF
2015-02-06,11.18,11.238,10.9989,11.03,CHF
2015-02-08,11.02,11.03,10.99,11.0,CHF
2015-02-09,11.0,11.0985,10.99,11.06,CHF
2015-02-10,11.06,11.159,11.0336,11.13,CHF
2015-02-11,11.13,11.1445,11.007,11.05,CHF
2015-02-12,11.05,11.113,10.87,11.01,CHF
2015-02-13,11.02,11.1037,10.99,11.06,CHF
2015-02-15,11.07,11.09,11.07,11.08,CHF
2015-02-16,11.08,11.1121,11.04,11.05,CHF
2015-02-17,11.05,11.2648,11.05,11.24,CHF
2015-02-18,11.24,11.28,11.1814,11.27,CHF
2015-02-19,11.27,11.3135,11.2295,11.27,CHF
2015-02-20,11.27,11.308,11.19,11.21,CHF
2015-02-22,11.2,11.22,11.19,11.21,CHF
2015-02-23,11.21,11.3118,11.19,11.29,CHF
2015-02-24,11.29,11.3258,11.2651,11.3,CHF
2015-02-25,11.3,11.45,11.29,11.44,CHF
2015-02-26,11.44,11.46,11.32,11.34,CHF
2015-02-27,11.34,11.4429,11.2874,11.44,CHF
2015-03-01,11.45,11.45,11.41,11.41,CHF
2015-03-02,11.41,11.5079,11.4098,11.49,CHF
2015-03-03,11.49,11.6303,11.46,11.61,CHF
2015-03-04,11.61,11.6408,11.4889,11.57,CHF
2015-03-05,11.56,11.6841,11.54,11.67,CHF
2015-03-06,11.67,11.6976,11.5762,11.64,CHF
2015-03-08,11.63,11.63,11.62,11.62,CHF
2015-03-09,11.62,11.65,11.6,11.62,CHF
2015-03-10,11.62,11.7003,11.6,11.66,CHF
2015-03-11,11.66,11.7507,11.63,11.69,CHF
2015-03-12,11.69,11.7552,11.5949,11.67,CHF
2015-03-13,11.67,11.6857,11.5105,11.52,CHF
2015-03-15,11.52,11.55,11.52,11.53,CHF
2015-03-16,11.52,11.6715,11.52,11.64,CHF
2015-03-17,11.64,11.6596,11.56,11.57,CHF
2015-03-18,11.57,11.6333,11.3119,11.4,CHF
2015-03-19,11.4,11.4635,11.3575,11.4,CHF
2015-03-20,11.4,11.4237,11.2852,11.3077,CHF
2015-03-22,11.3115,11.35,11.3115,11.34,CHF
2015-03-23,11.34,11.4057,11.3074,11.36,CHF
2015-03-24,11.36,11.36,11.203,11.27,CHF
2015-03-25,11.27,11.3338,11.2541,11.3,CHF
2015-03-26,11.3,11.325,11.19,11.21,CHF
2015-03-27,11.21,11.2544,11.1655,11.1923,CHF
2015-03-29,11.19,11.19,11.17,11.19,CHF
2015-03-30,11.19,11.267,11.16,11.26,CHF
2015-03-31,11.26,11.2902,11.2175,11.26,CHF
2015-04-01,11.26,11.2869,11.14,11.16,CHF
2015-04-02,11.16,11.1816,11.0905,11.11,CHF
2015-04-03,11.11,11.15,11.04,11.13,CHF
2015-04-05,11.11,11.11,11.05,11.06,CHF
2015-04-06,11.06,11.21,11.05,11.18,CHF
2015-04-07,11.18,11.2011,11.1195,11.13,CHF
2015-04-08,11.13,11.178,11.12,11.13,CHF
2015-04-09,11.13,11.1881,11.12,11.15,CHF
2015-04-10,11.15,11.1675,11.08,11.09,CHF
2015-04-12,11.08,11.11,11.08,11.1,CHF
2015-04-13,11.1,11.1304,11.07,11.08,CHF
2015-04-14,11.08,11.1215,11.0145,11.09,CHF
2015-04-15,11.09,11.1085,11.0261,11.06,CHF
2015-04-16,11.06,11.1785,11.06,11.13,CHF
2015-04-17,11.13,11.1616,11.0,11.02,CHF
2015-04-19,11.02,11.03,11.01,11.01,CHF
2015-04-20,11.01,11.0795,10.97,10.98,CHF
2015-04-21,10.98,11.0503,10.97,11.02,CHF
2015-04-22,11.02,11.143,11.01,11.1,CHF
2015-04-23,11.1,11.1176,11.0227,11.06,CHF
2015-04-24,11.06,11.0945,11.0084,11.05,CHF
2015-04-26,11.08,11.08,11.03,11.04,CHF
2015-04-27,11.04,11.1213,11.03,11.09,CHF
2015-04-28,11.09,11.23,11.0726,11.23,CHF
2015-04-29,11.23,11.3687,11.2045,11.27,CHF
2015-04-30,11.27,11.3487,11.17,11.19,CHF
2015-05-01,11.19,11.2451,11.09,11.1,CHF
2015-05-03,11.09,11.12,11.09,11.09,CHF
2015-05-04,11.09,11.2014,11.09,11.15,CHF
2015-05-05,11.15,11.1941,11.0628,11.1,CHF
2015-05-06,11.1,11.1697,11.0873,11.13,CHF
2015-05-07,11.13,11.1649,11.057,11.13,CHF
2015-05-08,11.13,11.3315,11.102,11.29,CHF
2015-05-10,11.26,11.29,11.26,11.28,CHF
2015-05-11,11.29,11.3,11.216,11.24,CHF
2015-05-12,11.24,11.2955,11.126,11.14,CHF
2015-05-13,11.14,11.2105,11.12,11.12,CHF
2015-05-14,11.12,11.1538,11.0509,11.06,CHF
2015-05-15,11.06,11.1869,11.06,11.18,CHF
2015-05-17,11.19,11.19,11.16,11.16,CHF
2015-05-18,11.16,11.25,11.15,11.25,CHF
2015-05-19,11.25,11.2565,11.1753,11.22,CHF
2015-05-20,11.22,11.253,11.176,11.21,CHF
2015-05-21,11.21,11.2538,11.2,11.23,CHF
2015-05-22,11.23,11.3519,11.2281,11.24,CHF
2015-05-24,11.26,11.26,11.22,11.22,CHF
2015-05-25,11.22,11.244,11.1857,11.23,CHF
2015-05-26,11.23,11.2883,11.1998,11.23,CHF
2015-05-27,11.23,11.241,11.1178,11.16,CHF
2015-05-28,11.16,11.2007,11.1192,11.14,CHF
2015-05-29,11.14,11.1666,11.0028,11.03,CHF
2015-05-31,11.02,11.02,11.0,11.0,CHF
2015-06-01,11.0,11.0646,11.0,11.01,CHF
2015-06-02,11.01,11.0773,11.0218,11.05,CHF
2015-06-03,11.05,11.2775,11.04,11.23,CHF
2015-06-04,11.23,11.3338,11.23,11.26,CHF
2015-06-05,11.26,11.3497,11.179,11.21,CHF
2015-06-07,11.21,11.21,11.19,11.2,CHF
2015-06-08,11.2,11.2238,11.142,11.17,CHF
2015-06-09,11.17,11.2355,11.1495,11.22,CHF
2015-06-10,11.22,11.29,11.175,11.26,CHF
2015-06-11,11.26,11.4005,11.2562,11.36,CHF
2015-06-12,11.36,11.3726,11.3192,11.34,CHF
2015-06-14,11.32,11.33,11.32,11.33,CHF
2015-06-15,11.33,11.4566,11.3292,11.39,CHF
2015-06-16,11.39,11.4005,11.34,11.39,CHF
2015-06-17,11.39,11.3985,11.2912,11.37,CHF
2015-06-18,11.37,11.4091,11.3066,11.34,CHF
2015-06-19,11.34,11.3549,11.2762,11.3,CHF
2015-06-21,11.3,11.31,11.29,11.31,CHF
2015-06-22,11.31,11.366,11.2806,11.31,CHF
2015-06-23,11.31,11.375,11.29,11.31,CHF
2015-06-24,11.31,11.3505,11.2825,11.33,CHF
2015-06-25,11.33,11.4481,11.3198,11.35,CHF
2015-06-26,11.35,11.3556,11.2284,11.23,CHF
2015-06-28,11.23,11.23,11.17,11.18,CHF
2015-06-29,11.18,11.301,11.18,11.24,CHF
2015-06-30,11.24,11.332,11.23,11.25,CHF
2015-07-01,11.25,11.3465,11.25,11.3,CHF
2015-07-02,11.3,11.343,11.15,11.16,CHF
2015-07-03,11.16,11.191,11.1,11.14,CHF
2015-07-05,11.15,11.21,11.15,11.17,CHF
2015-07-06,11.17,11.21,11.0814,11.13,CHF
2015-07-07,11.13,11.1627,11.0808,11.11,CHF
2015-07-08,11.11,11.2385,11.069,11.17,CHF
2015-07-09,11.17,11.231,11.1375,11.19,CHF
2015-07-10,11.19,11.2351,11.0993,11.13,CHF
2015-07-12,11.13,11.14,11.11,11.12,CHF
2015-07-13,11.12,11.2145,11.1,11.18,CHF
2015-07-14,11.18,11.2,11.0688,11.1,CHF
2015-07-15,11.1,11.207,11.073,11.18,CHF
2015-07-16,11.19,11.2328,11.17,11.2,CHF
2015-07-17,11.2,11.21,11.1,11.11,CHF
2015-07-19,11.08,11.13,11.08,11.11,CHF
2015-07-20,11.11,11.2048,11.09,11.18,CHF
2015-07-21,11.18,11.2311,11.1226,11.21,CHF
2015-07-22,11.21,11.2296,11.13,11.164,CHF
2015-07-23,11.164,11.2158,11.12,11.2,CHF
2015-07-24,11.2,11.22,11.1466,11.2,CHF
2015-07-26,11.22,11.22,11.19,11.19,CHF
2015-07-27,11.19,11.3366,11.1729,11.3,CHF
2015-07-28,11.3,11.3218,11.22,11.23,CHF
2015-07-29,11.23,11.2406,11.1782,11.19,CHF
2015-07-30,11.19,11.2861,11.18,11.23,CHF
2015-07-31,11.23,11.2358,11.1642,11.2,CHF
2015-08-02,11.2,11.21,11.19,11.2,CHF
2015-08-03,11.2,11.2308,11.172,11.2,CHF
2015-08-04,11.2,11.276,11.1742,11.23,CHF
2015-08-05,11.23,11.26,11.2,11.25,CHF
2015-08-06,11.25,11.286,11.19,11.22,CHF
2015-08-07,11.22,11.233,11.1767,11.22,CHF
2015-08-09,11.2,11.23,11.2,11.21,CHF
2015-08-10,11.21,11.3343,11.181,11.31,CHF
2015-08-11,11.31,11.4154,11.239,11.41,CHF
2015-08-12,11.41,11.4465,11.3,11.34,CHF
2015-08-13,11.34,11.5289,11.33,11.52,CHF
