Date,Open,High,Low,Close,Currency
2015-01-01,0.9167,0.9175,0.9152,0.9175,EGP
2015-01-02,0.9171,0.9175,0.902,0.9025,EGP
2015-01-05,0.903,0.9044,0.8925,0.8992,EGP
2015-01-06,0.8983,0.9077,0.8974,0.9032,EGP
2015-01-07,0.903,0.904,0.8943,0.8964,EGP
2015-01-08,0.8962,0.8997,0.887,0.8904,EGP
2015-01-09,0.8902,0.8926,0.8864,0.8881,EGP
2015-01-12,0.8884,0.8913,0.8818,0.8855,EGP
2015-01-13,0.8853,0.897,0.8834,0.886,EGP
2015-01-14,0.8858,0.8936,0.8823,0.8844,EGP
2015-01-15,0.8843,0.8881,0.8706,0.8823,EGP
2015-01-16,0.883,0.8845,0.8744,0.8806,EGP
2015-01-19,0.887,0.8967,0.8854,0.8912,EGP
2015-01-20,0.8911,0.9002,0.8891,0.8942,EGP
2015-01-21,0.8931,0.9079,0.8907,0.8993,EGP
2015-01-22,0.8986,0.9132,0.8958,0.8992,EGP
2015-01-23,0.8984,0.9011,0.8838,0.8876,EGP
2015-01-26,0.8888,0.9002,0.8818,0.8962,EGP
2015-01-27,0.8964,0.9129,0.8937,0.9099,EGP
2015-01-28,0.9091,0.9168,0.8986,0.9002,EGP
2015-01-29,0.9003,0.9252,0.8989,0.917,EGP
2015-01-30,0.9167,0.9222,0.9149,0.9173,EGP
2015-02-02,0.9177,0.9264,0.9141,0.915,EGP
2015-02-03,0.9148,0.9338,0.9138,0.9288,EGP
2015-02-04,0.9287,0.9308,0.9167,0.9203,EGP
2015-02-05,0.9196,0.9275,0.9164,0.9253,EGP
2015-02-06,0.9248,0.9276,0.907,0.909,EGP
2015-02-09,0.9097,0.9153,0.9056,0.9125,EGP
2015-02-10,0.9141,0.9193,0.9093,0.914,EGP
2015-02-11,0.9138,0.9183,0.9049,0.9101,EGP
2015-02-12,0.9094,0.9124,0.8918,0.9031,EGP
2015-02-13,0.903,0.9095,0.9024,0.9067,EGP
2015-02-16,0.9064,0.9106,0.9045,0.9065,EGP
2015-02-17,0.9074,0.9179,0.904,0.9164,EGP
2015-02-18,0.9174,0.9176,0.9043,0.9124,EGP
2015-02-19,0.9127,0.9155,0.9045,0.9058,EGP
2015-02-20,0.9056,0.9154,0.9026,0.9115,EGP
2015-02-23,0.9123,0.9128,0.8994,0.9067,EGP
2015-02-24,0.9067,0.9104,0.9034,0.9067,EGP
2015-02-25,0.9066,0.9204,0.9064,0.9193,EGP
2015-02-26,0.9194,0.9224,0.9071,0.9078,EGP
2015-02-27,0.9074,0.9188,0.9071,0.9143,EGP
2015-03-02,0.9149,0.9173,0.9103,0.9154,EGP
2015-03-03,0.9159,0.9244,0.9141,0.9222,EGP
2015-03-04,0.922,0.9229,0.9118,0.9162,EGP
2015-03-05,0.916,0.919,0.9107,0.9148,EGP
2015-03-06,0.9144,0.9163,0.8972,0.9022,EGP
2015-03-09,0.9016,0.9036,0.8973,0.899,EGP
2015-03-10,0.8988,0.9006,0.8902,0.8911,EGP
2015-03-11,0.8911,0.8941,0.8801,0.8844,EGP
2015-03-12,0.8846,0.8947,0.8798,0.8882,EGP
2015-03-13,0.8877,0.8883,0.873,0.8752,EGP
2015-03-16,0.8753,0.8855,0.8718,0.8806,EGP
2015-03-17,0.8802,0.8854,0.8772,0.8786,EGP
2015-03-18,0.8789,0.8923,0.8641,0.8894,EGP
2015-03-19,0.8887,0.8913,0.8733,0.8798,EGP
2015-03-20,0.8794,0.8893,0.877,0.8849,EGP
2015-03-23,0.8858,0.9,0.8807,0.8976,EGP
2015-03-24,0.8974,0.9051,0.8933,0.8985,EGP
2015-03-25,0.8984,0.9026,0.8944,0.899,EGP
2015-03-26,0.8987,0.9054,0.8868,0.8883,EGP
2015-03-27,0.888,0.8942,0.8824,0.8889,EGP
2015-03-30,0.8873,0.8897,0.8832,0.8881,EGP
2015-03-31,0.8878,0.8892,0.8798,0.8839,EGP
2015-04-01,0.8836,0.8887,0.8793,0.8805,EGP
2015-04-02,0.88,0.8896,0.8795,0.8834,EGP
2015-04-03,0.8829,0.8964,0.8822,0.8919,EGP
2015-04-06,0.8918,0.8996,0.8893,0.8897,EGP
