Date,Open,High,Low,Close,Currency
2015-01-01,1.5154,1.5259,1.5154,1.5228,BBD
2015-01-02,1.5234,1.5264,1.5083,1.5083,BBD
2015-01-04,1.5086,1.5086,1.5045,1.5045,BBD
2015-01-05,1.5051,1.5194,1.5026,1.5026,BBD
2015-01-06,1.5047,1.5083,1.4981,1.5043,BBD
2015-01-07,1.5053,1.5082,1.4955,1.4991,BBD
2015-01-08,1.5,1.5042,1.4972,1.5042,BBD
2015-01-09,1.5022,1.5063,1.497,1.5063,BBD
2015-01-11,1.5056,1.5079,1.5038,1.5079,BBD
2015-01-12,1.5077,1.5089,1.4949,1.5062,BBD
2015-01-13,1.5051,1.5062,1.4967,1.5062,BBD
2015-01-14,1.506,1.5094,1.502,1.505,BBD
2015-01-15,1.5047,1.5195,1.5013,1.5158,BBD
2015-01-16,1.5166,1.528,1.5106,1.5137,BBD
2015-01-18,1.5126,1.5149,1.5126,1.5126,BBD
2015-01-19,1.5127,1.5188,1.5044,1.5044,BBD
2015-01-20,1.5049,1.505,1.4978,1.5009,BBD
2015-01-21,1.4997,1.5096,1.4983,1.5034,BBD
2015-01-22,1.5035,1.5074,1.4978,1.4978,BBD
2015-01-23,1.498,1.5375,1.4979,1.5013,BBD
2015-01-25,1.501,1.501,1.4848,1.4848,BBD
2015-01-26,1.4861,1.4968,1.4859,1.4936,BBD
2015-01-27,1.4942,1.4996,1.4919,1.4996,BBD
2015-01-28,1.4985,1.4985,1.4759,1.4858,BBD
2015-01-29,1.4832,1.4966,1.4822,1.4852,BBD
2015-01-30,1.4846,1.4858,1.4807,1.4837,BBD
2015-02-01,1.482,1.4918,1.482,1.4918,BBD
2015-02-02,1.4912,1.4918,1.4842,1.4851,BBD
2015-02-03,1.4858,1.4923,1.4815,1.4893,BBD
2015-02-04,1.4902,1.4972,1.4755,1.4941,BBD
2015-02-05,1.4941,1.5085,1.4905,1.4936,BBD
2015-02-06,1.4928,1.4949,1.482,1.482,BBD
2015-02-08,1.4825,1.4836,1.4821,1.4836,BBD
2015-02-09,1.4834,1.5017,1.4804,1.4837,BBD
2015-02-10,1.4821,1.4833,1.4777,1.4809,BBD
2015-02-11,1.4814,1.4814,1.469,1.4728,BBD
2015-02-12,1.4751,1.4785,1.4713,1.4754,BBD
2015-02-13,1.478,1.4844,1.4709,1.4844,BBD
2015-02-15,1.4828,1.4833,1.4822,1.4822,BBD
2015-02-16,1.4827,1.4843,1.4794,1.4794,BBD
2015-02-17,1.4802,1.4937,1.48,1.481,BBD
2015-02-18,1.4825,1.4852,1.4751,1.4787,BBD
2015-02-19,1.4794,1.4802,1.4745,1.4802,BBD
2015-02-20,1.4784,1.4834,1.4746,1.4746,BBD
2015-02-22,1.4749,1.4767,1.4736,1.4736,BBD
2015-02-23,1.4749,1.4786,1.4661,1.4786,BBD
2015-02-24,1.4768,1.4791,1.4711,1.4791,BBD
2015-02-25,1.4785,1.4839,1.4758,1.4839,BBD
2015-02-26,1.4832,1.4876,1.4785,1.4785,BBD
2015-02-27,1.4804,1.4987,1.4726,1.4726,BBD
2015-03-01,1.4736,1.4736,1.4709,1.4709,BBD
2015-03-02,1.4712,1.4808,1.4696,1.4696,BBD
2015-03-03,1.4699,1.4797,1.4699,1.4724,BBD
2015-03-04,1.474,1.4742,1.4651,1.4689,BBD
2015-03-05,1.4692,1.4761,1.4686,1.4731,BBD
2015-03-06,1.465,1.465,1.465,1.465,BBD
2015-03-08,1.4566,1.4566,1.4566,1.4566,BBD
2015-03-09,1.4556,1.4556,1.4556,1.4556,BBD
2015-03-10,1.4537,1.4537,1.4537,1.4537,BBD
2015-03-11,1.4448,1.4448,1.4448,1.4448,BBD
2015-03-12,1.4469,1.4469,1.4469,1.4469,BBD
2015-03-13,1.4553,1.4553,1.4553,1.4553,BBD
2015-03-15,1.4416,1.4416,1.4416,1.4416,BBD
2015-03-16,1.4423,1.4423,1.4423,1.4423,BBD
2015-03-17,1.4452,1.4452,1.4452,1.4452,BBD
2015-03-18,1.4439,1.4439,1.4439,1.4439,BBD
2015-03-19,1.4557,1.4557,1.4557,1.4557,BBD
2015-03-20,1.4507,1.4507,1.4507,1.4507,BBD
2015-03-22,1.4532,1.4532,1.4532,1.4532,BBD
2015-03-23,1.4543,1.4543,1.4543,1.4543,BBD
2015-03-24,1.4674,1.4674,1.4674,1.4674,BBD
2015-03-25,1.4681,1.4681,1.4681,1.4681,BBD
2015-03-26,1.465,1.465,1.465,1.465,BBD
2015-03-27,1.4654,1.4654,1.4654,1.4654,BBD
2015-03-29,1.4669,1.4669,1.4669,1.4669,BBD
2015-03-30,1.465,1.465,1.465,1.465,BBD
2015-03-31,1.4585,1.4585,1.4585,1.4585,BBD
2015-04-01,1.4623,1.4623,1.4623,1.4623,BBD
2015-04-02,1.473,1.473,1.473,1.473,BBD
2015-04-03,1.4726,1.4726,1.4726,1.4726,BBD
2015-04-05,1.4804,1.4804,1.4804,1.4804,BBD
2015-04-06,1.4825,1.4825,1.4825,1.4825,BBD
2015-04-07,1.4599,1.4805,1.4599,1.4775,BBD
2015-04-08,1.4762,1.4885,1.4761,1.4801,BBD
2015-04-09,1.4809,1.4962,1.4754,1.4754,BBD
2015-04-10,1.4767,1.4928,1.4668,1.4668,BBD
2015-04-12,1.4683,1.4683,1.466,1.466,BBD
2015-04-13,1.4674,1.468,1.4596,1.4628,BBD
2015-04-14,1.4624,1.4797,1.4624,1.4767,BBD
2015-04-15,1.4766,1.4812,1.4625,1.4812,BBD
2015-04-16,1.4794,1.4875,1.4673,1.4798,BBD
2015-04-17,1.4788,1.4978,1.4788,1.4914,BBD
2015-04-19,1.4932,1.4977,1.4932,1.4977,BBD
2015-04-20,1.4974,1.4988,1.487,1.487,BBD
2015-04-21,1.4885,1.4887,1.481,1.4873,BBD
2015-04-22,1.4857,1.4951,1.4766,1.492,BBD
2015-04-23,1.4964,1.4996,1.4895,1.4959,BBD
