Date,Open,High,Low,Close,Currency
2015-01-01,2.0038,2.0082,2.0038,2.0065,BRL
2015-01-02,2.0069,2.0372,1.9982,2.0237,BRL
2015-01-05,2.0226,2.045,2.0123,2.0268,BRL
2015-01-06,2.0254,2.0396,2.0162,2.0252,BRL
2015-01-07,2.0238,2.0255,1.996,2.005,BRL
2015-01-08,2.0034,2.0194,1.9892,1.9923,BRL
2015-01-09,1.9904,2.0,1.9667,1.9723,BRL
2015-01-12,1.971,2.005,1.9664,2.0035,BRL
2015-01-13,2.0029,2.0075,1.9679,1.982,BRL
2015-01-14,1.9809,1.9867,1.9521,1.9606,BRL
2015-01-15,1.9598,1.9928,1.9574,1.9922,BRL
2015-01-16,1.9908,1.9983,1.9692,1.9766,BRL
2015-01-19,1.9754,1.9989,1.9661,1.9882,BRL
2015-01-20,1.9872,1.9909,1.9479,1.955,BRL
2015-01-21,1.9539,1.9598,1.9392,1.947,BRL
2015-01-22,1.947,1.9533,1.9109,1.9224,BRL
2015-01-23,1.9211,1.9336,1.9119,1.9183,BRL
2015-01-26,1.9185,1.94,1.9116,1.9211,BRL
2015-01-27,1.9199,1.9343,1.9138,1.9213,BRL
2015-01-28,1.9208,1.9225,1.8944,1.9042,BRL
2015-01-29,1.903,1.9336,1.9009,1.923,BRL
2015-01-30,1.9221,1.9889,1.9212,1.9819,BRL
2015-02-02,1.9795,2.0199,1.9703,2.0173,BRL
2015-02-03,2.0155,2.0213,1.9951,2.0011,BRL
2015-02-04,2.0,2.0394,1.9983,2.0333,BRL
2015-02-05,2.0319,2.0526,2.0221,2.0412,BRL
2015-02-06,2.0407,2.0645,2.037,2.0565,BRL
2015-02-09,2.0535,2.0665,2.0417,2.0463,BRL
2015-02-10,2.0444,2.0955,2.0412,2.092,BRL
2015-02-11,2.0911,2.117,2.0817,2.1084,BRL
2015-02-12,2.1072,2.1191,2.0735,2.0797,BRL
2015-02-13,2.0785,2.1077,2.076,2.0916,BRL
2015-02-16,2.0908,2.0934,2.0861,2.0891,BRL
