Date,Open,High,Low,Close,Currency
2015-01-01,457.32,458.32,456.94,457.91,CLP
2015-01-02,457.89,462.73,455.91,460.93,CLP
2015-01-05,460.48,462.94,458.14,462.33,CLP
2015-01-06,461.9,464.14,459.35,462.37,CLP
2015-01-07,461.8,462.49,457.74,458.87,CLP
2015-01-08,458.18,459.88,456.41,458.5,CLP
2015-01-09,458.04,461.6,457.25,460.81,CLP
2015-01-12,460.16,462.54,459.28,462.04,CLP
2015-01-13,461.71,465.77,460.37,464.55,CLP
2015-01-14,464.0,470.65,462.78,469.03,CLP
2015-01-15,468.48,473.34,467.92,471.62,CLP
2015-01-16,471.14,474.47,470.13,473.52,CLP
2015-01-19,473.2,473.9,470.1,470.93,CLP
2015-01-20,470.73,471.99,466.73,470.38,CLP
2015-01-21,469.72,473.04,468.74,470.3,CLP
2015-01-22,470.02,471.94,465.32,466.31,CLP
2015-01-23,465.81,467.41,464.03,465.12,CLP
2015-01-26,465.03,467.34,462.9,463.59,CLP
2015-01-27,463.08,465.98,462.94,465.6,CLP
2015-01-28,465.24,465.94,458.83,460.24,CLP
2015-01-29,459.66,464.77,459.15,463.62,CLP
2015-01-30,463.14,469.54,462.94,468.11,CLP
2015-02-02,467.17,468.92,465.09,466.03,CLP
2015-02-03,465.51,466.95,461.99,464.61,CLP
2015-02-04,464.23,466.67,463.69,464.87,CLP
2015-02-05,464.31,466.27,462.52,463.92,CLP
2015-02-06,463.47,464.89,459.99,463.98,CLP
2015-02-09,463.09,464.34,460.3,461.25,CLP
2015-02-10,460.71,462.76,459.91,462.41,CLP
2015-02-11,462.08,464.05,459.96,462.91,CLP
2015-02-12,462.67,463.87,457.84,458.5,CLP
2015-02-13,458.18,460.4,455.5,456.57,CLP
2015-02-16,456.35,458.66,454.48,458.12,CLP
2015-02-17,457.96,459.32,455.34,458.07,CLP
2015-02-18,457.59,458.02,454.63,457.14,CLP
2015-02-19,456.58,459.15,454.04,456.26,CLP
2015-02-20,455.65,456.04,451.92,452.68,CLP
2015-02-23,452.63,459.63,451.35,458.25,CLP
2015-02-24,457.59,459.88,455.24,455.91,CLP
2015-02-25,455.75,458.39,455.2,456.01,CLP
2015-02-26,455.57,458.13,454.63,456.26,CLP
2015-02-27,455.65,457.38,452.0,453.02,CLP
2015-03-02,452.56,454.47,450.53,451.48,CLP
2015-03-03,450.77,454.4,450.47,452.81,CLP
2015-03-04,452.2,454.54,450.98,452.46,CLP
2015-03-05,451.96,454.36,451.01,452.56,CLP
2015-03-06,451.91,455.61,451.71,454.16,CLP
2015-03-09,453.72,457.07,452.01,454.91,CLP
2015-03-10,454.45,458.33,451.83,457.11,CLP
2015-03-11,456.61,461.5,456.37,459.33,CLP
2015-03-12,458.97,463.21,457.04,458.98,CLP
2015-03-13,458.36,461.38,456.02,459.56,CLP
2015-03-16,459.18,462.25,458.03,460.82,CLP
2015-03-17,460.34,462.69,460.28,461.88,CLP
2015-03-18,461.37,463.6,459.79,462.0,CLP
2015-03-19,461.52,463.4,457.72,461.59,CLP
2015-03-20,460.93,462.44,456.65,458.13,CLP
2015-03-23,457.98,460.54,456.22,457.34,CLP
2015-03-24,456.76,458.39,453.57,455.33,CLP
2015-03-25,454.79,455.83,451.25,453.0,CLP
2015-03-26,452.29,456.2,452.14,454.63,CLP
2015-03-27,454.05,456.39,453.6,455.09,CLP
2015-03-30,454.53,458.0,452.54,455.46,CLP
2015-03-31,454.81,458.98,453.05,455.14,CLP
2015-04-01,454.61,457.62,451.29,453.02,CLP
2015-04-02,452.55,455.41,450.43,453.31,CLP
2015-04-03,452.54,457.4,451.9,455.65,CLP
2015-04-06,455.13,456.21,449.25,451.92,CLP
2015-04-07,451.62,452.48,447.55,448.4,CLP
2015-04-08,448.16,452.32,447.73,450.78,CLP
2015-04-09,450.22,454.12,449.74,453.49,CLP
2015-04-10,452.9,454.98,451.07,452.81,CLP
2015-04-13,452.39,453.85,447.44,449.59,CLP
2015-04-14,449.3,453.88,448.6,451.13,CLP
2015-04-15,450.54,454.9,449.19,452.0,CLP
2015-04-16,451.53,454.0,450.44,452.29,CLP
2015-04-17,451.85,457.05,451.62,454.45,CLP
2015-04-20,453.47,457.73,453.47,457.22,CLP
2015-04-21,456.74,457.33,454.73,456.09,CLP
2015-04-22,455.79,460.71,454.97,459.34,CLP
2015-04-23,458.66,460.81,456.94,458.27,CLP
2015-04-24,457.46,462.36,456.87,460.19,CLP
2015-04-27,459.34,461.06,457.77,459.64,CLP
2015-04-28,459.1,462.45,457.78,460.55,CLP
2015-04-29,460.01,462.93,457.79,461.39,CLP
2015-04-30,460.84,463.0,458.44,462.2,CLP
2015-05-01,459.32,459.97,459.32,459.97,CLP
2015-05-04,458.97,462.94,458.25,461.54,CLP
2015-05-05,460.82,461.56,456.56,457.81,CLP
2015-05-06,457.37,463.12,456.99,462.63,CLP
2015-05-07,462.12,462.65,455.57,457.52,CLP
2015-05-08,457.03,459.38,452.78,455.29,CLP
2015-05-11,454.95,457.63,451.59,456.31,CLP
2015-05-12,455.81,457.94,451.69,452.59,CLP
2015-05-13,452.28,455.76,450.84,454.87,CLP
2015-05-14,454.13,458.39,449.14,450.42,CLP
2015-05-15,449.81,452.72,447.89,452.37,CLP
2015-05-18,452.4,453.47,449.74,451.6,CLP
2015-05-19,451.46,453.39,449.8,452.11,CLP
2015-05-20,451.63,454.06,450.67,451.81,CLP
2015-05-21,451.19,453.06,450.82,451.91,CLP
2015-05-22,451.52,455.91,451.25,455.19,CLP
2015-05-25,454.65,455.88,452.54,455.09,CLP
2015-05-26,454.9,455.79,452.28,454.28,CLP
2015-05-27,453.83,456.88,452.91,455.21,CLP
2015-05-28,454.6,458.21,454.24,456.95,CLP
2015-05-29,456.7,459.78,454.23,458.57,CLP
2015-06-01,458.36,461.31,456.44,460.14,CLP
2015-06-02,459.68,463.38,458.44,461.31,CLP
2015-06-03,461.08,468.41,460.47,467.4,CLP
2015-06-04,467.05,468.35,464.31,466.53,CLP
2015-06-05,465.98,470.44,465.44,468.75,CLP
2015-06-08,468.16,469.12,463.98,466.23,CLP
2015-06-09,465.79,467.18,461.19,462.73,CLP
2015-06-10,462.67,471.15,460.57,470.57,CLP
2015-06-11,470.22,471.45,467.08,468.86,CLP
2015-06-12,468.47,471.5,466.0,469.77,CLP
2015-06-15,469.49,472.19,467.3,471.04,CLP
2015-06-16,470.63,474.11,468.57,473.47,CLP
2015-06-17,473.04,475.44,470.99,474.77,CLP
2015-06-18,474.25,477.62,470.02,471.64,CLP
2015-06-19,471.22,475.74,469.88,474.08,CLP
2015-06-22,473.99,475.93,470.31,473.02,CLP
2015-06-23,472.49,474.5,470.79,472.08,CLP
2015-06-24,471.86,473.22,469.1,471.39,CLP
2015-06-25,470.94,472.23,468.8,469.7,CLP
2015-06-26,469.28,471.88,468.08,470.75,CLP
2015-06-29,469.14,475.72,467.58,475.53,CLP
2015-06-30,474.93,475.95,473.22,474.47,CLP
2015-07-01,474.08,475.34,471.24,472.13,CLP
2015-07-02,471.87,474.41,469.19,471.1,CLP
2015-07-03,470.69,473.71,469.58,473.33,CLP
2015-07-06,473.08,476.26,470.43,475.86,CLP
2015-07-07,475.39,480.24,472.32,479.71,CLP
2015-07-08,479.37,484.25,477.69,483.31,CLP
2015-07-09,482.79,483.31,477.04,478.81,CLP
2015-07-10,478.27,480.13,476.17,479.4,CLP
2015-07-13,478.84,480.28,473.0,474.11,CLP
2015-07-14,473.84,475.02,470.78,471.4,CLP
2015-07-15,470.92,473.04,469.06,470.97,CLP
2015-07-16,470.49,471.72,468.82,470.22,CLP
2015-07-17,470.11,473.41,469.64,472.36,CLP
2015-07-20,471.56,474.65,469.48,474.03,CLP
2015-07-21,473.42,478.77,472.55,477.62,CLP
2015-07-22,477.2,481.49,476.08,478.88,CLP
2015-07-23,478.51,481.19,476.53,479.86,CLP
2015-07-24,479.4,482.56,477.62,481.7,CLP
2015-07-27,481.24,488.47,480.64,486.56,CLP
2015-07-28,486.17,489.76,484.03,488.21,CLP
2015-07-29,487.68,488.81,485.17,487.02,CLP
2015-07-30,486.65,490.16,484.22,488.59,CLP
2015-07-31,488.17,491.94,487.3,491.4,CLP
2015-08-03,491.29,495.03,488.92,493.87,CLP
2015-08-04,493.14,495.62,489.99,494.21,CLP
2015-08-05,493.85,494.27,491.21,492.56,CLP
2015-08-06,492.13,495.45,489.74,490.9,CLP
2015-08-07,490.73,493.0,485.25,489.88,CLP
2015-08-10,489.64,491.07,486.02,487.21,CLP
2015-08-11,486.83,487.75,479.01,486.37,CLP
2015-08-12,486.29,488.98,480.78,488.87,CLP
2015-08-13,488.51,492.38,486.67,490.62,CLP
2015-08-14,490.19,491.86,485.94,486.99,CLP
2015-08-17,486.33,491.32,484.84,491.05,CLP
2015-08-18,490.94,498.29,490.21,494.44,CLP
2015-08-19,493.94,497.46,491.95,494.53,CLP
2015-08-20,493.85,497.33,489.46,491.06,CLP
2015-08-21,490.78,497.57,488.12,495.73,CLP
2015-08-24,495.3,502.39,492.3,499.44,CLP
2015-08-25,499.23,505.66,497.0,502.5,CLP
2015-08-26,502.18,505.34,500.11,501.07,CLP
2015-08-27,500.74,504.07,494.36,495.93,CLP
2015-08-28,495.66,496.62,486.75,490.56,CLP
2015-08-31,490.47,494.96,488.34,490.86,CLP
2015-09-01,490.49,493.92,485.57,490.29,CLP
2015-09-02,490.06,491.1,482.77,487.35,CLP
2015-09-03,486.83,488.5,484.3,486.59,CLP
2015-09-04,486.23,488.26,484.05,486.1,CLP
2015-09-07,485.96,487.66,483.16,486.26,CLP
2015-09-08,485.71,489.62,482.33,487.44,CLP
2015-09-09,487.01,490.01,484.32,487.55,CLP
2015-09-10,487.16,490.71,482.82,484.85,CLP
2015-09-11,484.77,487.37,479.05,487.11,CLP
2015-09-14,486.92,491.38,486.37,489.11,CLP
2015-09-15,488.77,492.07,486.67,488.0,CLP
2015-09-16,487.34,489.5,483.19,484.55,CLP
2015-09-17,483.9,488.52,481.28,481.71,CLP
2015-09-18,481.48,487.69,479.89,485.08,CLP
2015-09-21,484.29,486.75,479.38,485.86,CLP
2015-09-22,485.27,493.35,481.85,493.06,CLP
2015-09-23,492.77,494.53,488.63,493.51,CLP
2015-09-24,492.99,496.97,488.59,490.24,CLP
2015-09-25,489.74,493.1,486.01,491.6,CLP
2015-09-28,491.44,495.97,490.1,494.44,CLP
2015-09-29,493.88,495.15,491.36,493.05,CLP
2015-09-30,492.65,495.24,487.89,489.5,CLP
2015-10-01,489.39,489.9,484.73,486.54,CLP
2015-10-02,486.13,487.39,479.58,480.89,CLP
2015-10-05,480.42,485.92,479.48,480.83,CLP
2015-10-06,480.3,481.55,476.51,479.86,CLP
2015-10-07,479.57,483.14,477.34,481.04,CLP
2015-10-08,480.63,485.96,479.68,482.39,CLP
2015-10-09,481.99,487.3,480.16,484.45,CLP
2015-10-12,485.59,486.21,469.39,483.26,CLP
2015-10-13,483.06,489.39,481.1,487.55,CLP
2015-10-14,487.0,494.32,486.51,493.11,CLP
2015-10-15,492.7,496.72,487.45,489.26,CLP
2015-10-16,488.75,489.99,485.35,487.88,CLP
2015-10-19,487.22,491.7,486.02,489.85,CLP
2015-10-20,489.27,495.55,488.18,494.52,CLP
2015-10-21,494.11,498.74,493.22,496.96,CLP
2015-10-22,496.49,498.19,492.76,494.15,CLP
2015-10-23,493.87,498.14,490.2,491.04,CLP
2015-10-26,490.31,496.19,490.0,494.12,CLP
2015-10-27,493.79,495.8,490.36,492.38,CLP
2015-10-28,491.84,494.96,489.28,490.38,CLP
2015-10-29,489.91,493.37,489.09,490.74,CLP
2015-10-30,490.43,494.92,489.64,493.75,CLP
2015-11-02,492.9,495.4,492.03,494.97,CLP
2015-11-03,494.28,495.88,491.05,493.41,CLP
2015-11-04,492.98,494.24,490.5,493.18,CLP
2015-11-05,492.88,494.34,491.34,493.64,CLP
2015-11-06,493.5,494.64,489.51,491.03,CLP
2015-11-09,490.86,494.92,488.96,493.43,CLP
2015-11-10,493.11,496.65,490.94,492.3,CLP
2015-11-11,491.84,493.83,490.22,492.22,CLP
2015-11-12,491.55,496.54,490.99,494.7,CLP
