Date,Open,High,Low,Close,Currency
2015-01-01,5.3922,5.4032,5.3922,5.3983,EGP
2015-01-02,5.4007,5.408,5.3687,5.3707,EGP
2015-01-05,5.3699,5.3786,5.3329,5.3472,EGP
2015-01-06,5.3369,5.373,5.3365,5.3628,EGP
2015-01-07,5.3602,5.3634,5.3263,5.3422,EGP
2015-01-08,5.339,5.3552,5.335,5.3492,EGP
2015-01-09,5.3462,5.3659,5.3346,5.3619,EGP
2015-01-12,5.3586,5.3753,5.3462,5.3584,EGP
2015-01-13,5.357,5.3622,5.345,5.3619,EGP
2015-01-14,5.3598,5.3695,5.3462,5.3586,EGP
2015-01-15,5.3566,5.4101,5.3502,5.391,EGP
2015-01-16,5.3897,5.4089,5.3759,5.3922,EGP
2015-01-19,5.4278,5.4493,5.4038,5.4359,EGP
2015-01-20,5.4344,5.4622,5.4036,5.4603,EGP
2015-01-21,5.4579,5.5257,5.4465,5.503,EGP
2015-01-22,5.504,5.5587,5.4937,5.5255,EGP
2015-01-23,5.524,5.5381,5.4949,5.5027,EGP
2015-01-26,5.506,5.5473,5.486,5.5324,EGP
2015-01-27,5.5295,5.5584,5.5295,5.5568,EGP
2015-01-28,5.556,5.5593,5.4795,5.5207,EGP
2015-01-29,5.519,5.621,5.5129,5.6065,EGP
2015-01-30,5.6052,5.626,5.5973,5.6077,EGP
2015-02-02,5.6105,5.6476,5.6051,5.6294,EGP
2015-02-03,5.6262,5.6781,5.6216,5.6668,EGP
2015-02-04,5.6644,5.6845,5.6465,5.6547,EGP
2015-02-05,5.6474,5.6793,5.6449,5.6738,EGP
2015-02-06,5.6733,5.6838,5.6302,5.6394,EGP
2015-02-09,5.6331,5.6446,5.6236,5.6371,EGP
2015-02-10,5.6343,5.6415,5.6142,5.6171,EGP
2015-02-11,5.6154,5.6301,5.5906,5.6029,EGP
2015-02-12,5.5972,5.629,5.5853,5.6231,EGP
2015-02-13,5.619,5.6384,5.6132,5.6283,EGP
2015-02-16,5.6306,5.6349,5.6137,5.6234,EGP
2015-02-17,5.6223,5.6339,5.6157,5.6281,EGP
2015-02-18,5.6277,5.63,5.6009,5.6279,EGP
2015-02-19,5.6252,5.631,5.6046,5.6182,EGP
2015-02-20,5.6165,5.6208,5.5984,5.6084,EGP
2015-02-23,5.6046,5.6192,5.5894,5.6117,EGP
2015-02-24,5.6095,5.6225,5.5935,5.6217,EGP
2015-02-25,5.6198,5.6402,5.6169,5.6381,EGP
2015-02-26,5.636,5.6599,5.6132,5.6178,EGP
2015-02-27,5.6169,5.6255,5.5951,5.5991,EGP
2015-03-02,5.5967,5.6016,5.5828,5.5882,EGP
2015-03-03,5.5861,5.6058,5.5824,5.5989,EGP
2015-03-04,5.5979,5.6033,5.569,5.5784,EGP
