Date,Open,High,Low,Close,Currency
2015-01-01,0.0372,0.0372,0.037,0.0371,AUD
2015-01-02,0.0371,0.0375,0.0371,0.0375,AUD
2015-01-04,0.0374,0.0376,0.0372,0.0374,AUD
2015-01-05,0.0376,0.0377,0.0373,0.0375,AUD
2015-01-06,0.0375,0.0377,0.0372,0.0377,AUD
2015-01-07,0.0377,0.0379,0.0376,0.0377,AUD
2015-01-08,0.0377,0.0377,0.0374,0.0375,AUD
2015-01-09,0.0375,0.0375,0.0371,0.0371,AUD
2015-01-11,0.0371,0.0371,0.037,0.0371,AUD
2015-01-12,0.0371,0.0374,0.0369,0.0373,AUD
2015-01-13,0.0373,0.0374,0.0371,0.0373,AUD
2015-01-14,0.0373,0.0378,0.0372,0.0375,AUD
2015-01-15,0.0375,0.0375,0.0368,0.0372,AUD
2015-01-16,0.0372,0.0376,0.0371,0.0373,AUD
2015-01-18,0.0373,0.0374,0.0373,0.0373,AUD
2015-01-19,0.0373,0.0375,0.0371,0.0374,AUD
2015-01-20,0.0375,0.0375,0.0372,0.0374,AUD
2015-01-21,0.0374,0.038,0.0372,0.0379,AUD
2015-01-22,0.0379,0.0384,0.0377,0.0383,AUD
2015-01-23,0.0383,0.0389,0.0382,0.0388,AUD
2015-01-25,0.0388,0.039,0.0387,0.0387,AUD
2015-01-26,0.0388,0.039,0.0386,0.0388,AUD
2015-01-27,0.0388,0.0389,0.0385,0.0388,AUD
2015-01-28,0.0388,0.039,0.0382,0.0389,AUD
2015-01-29,0.0389,0.0396,0.0386,0.0392,AUD
2015-01-30,0.0392,0.0395,0.0392,0.0393,AUD
2015-02-01,0.0393,0.0395,0.0393,0.0393,AUD
2015-02-02,0.0393,0.0395,0.0392,0.0394,AUD
2015-02-03,0.0393,0.0403,0.0391,0.0395,AUD
2015-02-04,0.0395,0.0396,0.0391,0.0395,AUD
2015-02-05,0.0396,0.0396,0.0392,0.0393,AUD
2015-02-06,0.0393,0.0394,0.0391,0.0393,AUD
2015-02-08,0.0395,0.0395,0.0394,0.0395,AUD
2015-02-09,0.0395,0.0396,0.0391,0.0393,AUD
2015-02-10,0.0393,0.0395,0.0391,0.0394,AUD
2015-02-11,0.0394,0.0398,0.0393,0.0396,AUD
2015-02-12,0.0396,0.04,0.0394,0.0395,AUD
2015-02-13,0.0395,0.0397,0.0394,0.0395,AUD
2015-02-15,0.0395,0.0396,0.0395,0.0395,AUD
2015-02-16,0.0395,0.0396,0.0394,0.0395,AUD
2015-02-17,0.0396,0.0396,0.0392,0.0393,AUD
2015-02-18,0.0393,0.0395,0.0392,0.0393,AUD
2015-02-19,0.0393,0.0396,0.0391,0.0394,AUD
2015-02-20,0.0394,0.0394,0.0391,0.0392,AUD
2015-02-22,0.0392,0.0392,0.0392,0.0392,AUD
2015-02-23,0.0392,0.0395,0.0391,0.0394,AUD
2015-02-24,0.0394,0.0396,0.0392,0.0392,AUD
2015-02-25,0.0392,0.0392,0.0389,0.039,AUD
2015-02-26,0.039,0.0397,0.039,0.0396,AUD
2015-02-27,0.0396,0.0397,0.0395,0.0396,AUD
2015-03-01,0.0395,0.0397,0.0395,0.0396,AUD
