Date,Open,High,Low,Close,Currency
2015-01-01,0.0808,0.0808,0.0804,0.0808,BRL
2015-01-02,0.0807,0.0822,0.0805,0.0818,BRL
2015-01-04,0.0814,0.0819,0.081,0.0813,BRL
2015-01-05,0.0817,0.0829,0.0813,0.0821,BRL
2015-01-06,0.0821,0.0827,0.0817,0.0821,BRL
2015-01-07,0.0821,0.0824,0.0813,0.0816,BRL
2015-01-08,0.0817,0.0822,0.081,0.081,BRL
2015-01-09,0.081,0.0813,0.08,0.08,BRL
2015-01-11,0.0801,0.0803,0.08,0.0803,BRL
2015-01-12,0.0803,0.0814,0.0799,0.0814,BRL
2015-01-13,0.0814,0.0817,0.08,0.0806,BRL
2015-01-14,0.0805,0.0809,0.0795,0.0799,BRL
2015-01-15,0.0798,0.0809,0.0792,0.0808,BRL
2015-01-16,0.0807,0.0811,0.0801,0.0805,BRL
2015-01-18,0.0804,0.0806,0.0804,0.0806,BRL
2015-01-19,0.0805,0.0818,0.0801,0.0814,BRL
2015-01-20,0.0814,0.0814,0.0797,0.0799,BRL
2015-01-21,0.0799,0.0803,0.0794,0.0798,BRL
2015-01-22,0.0798,0.08,0.0783,0.0789,BRL
2015-01-23,0.079,0.0797,0.0788,0.0792,BRL
2015-01-25,0.0793,0.0793,0.0785,0.0787,BRL
2015-01-26,0.0788,0.08,0.0788,0.0794,BRL
2015-01-27,0.0794,0.0798,0.0789,0.0791,BRL
2015-01-28,0.0791,0.0796,0.0785,0.0792,BRL
2015-01-29,0.0792,0.08,0.0786,0.0794,BRL
2015-01-30,0.0795,0.0823,0.0794,0.082,BRL
2015-02-01,0.0819,0.0822,0.0819,0.082,BRL
2015-02-02,0.082,0.0838,0.0819,0.0837,BRL
2015-02-03,0.0837,0.0841,0.0824,0.0826,BRL
2015-02-04,0.0827,0.0844,0.0824,0.084,BRL
2015-02-05,0.0841,0.0846,0.0835,0.0841,BRL
2015-02-06,0.0842,0.0854,0.0841,0.0852,BRL
