Date,Open,High,Low,Close,Currency
2015-01-01,0.6943,0.6966,0.693,0.6946,CZK
2015-01-02,0.6941,0.7004,0.6931,0.6997,CZK
2015-01-05,0.6992,0.7066,0.6965,0.7041,CZK
2015-01-06,0.7031,0.7082,0.7012,0.7081,CZK
2015-01-07,0.7075,0.7182,0.7053,0.7159,CZK
2015-01-08,0.7154,0.722,0.7138,0.7195,CZK
2015-01-09,0.7186,0.7292,0.7165,0.7234,CZK
2015-01-12,0.7222,0.7345,0.7195,0.7278,CZK
2015-01-13,0.7269,0.7373,0.7234,0.7275,CZK
2015-01-14,0.7266,0.7351,0.7243,0.7259,CZK
2015-01-15,0.7254,0.7392,0.7234,0.7332,CZK
2015-01-16,0.7323,0.7465,0.7299,0.7389,CZK
2015-01-19,0.7385,0.7418,0.7341,0.7387,CZK
2015-01-20,0.7377,0.7429,0.7313,0.7387,CZK
2015-01-21,0.7377,0.7432,0.7348,0.7391,CZK
2015-01-22,0.7381,0.7571,0.7346,0.7522,CZK
2015-01-23,0.7512,0.7672,0.7496,0.7597,CZK
2015-01-26,0.7607,0.7625,0.7533,0.7584,CZK
2015-01-27,0.758,0.7597,0.7496,0.7544,CZK
2015-01-28,0.7535,0.7568,0.7487,0.7553,CZK
2015-01-29,0.7549,0.7568,0.7466,0.7481,CZK
2015-01-30,0.7471,0.7527,0.7456,0.7504,CZK
2015-02-02,0.7494,0.7554,0.7483,0.752,CZK
2015-02-03,0.751,0.7549,0.7373,0.7422,CZK
2015-02-04,0.7415,0.751,0.7404,0.7489,CZK
2015-02-05,0.7478,0.7527,0.7387,0.7411,CZK
2015-02-06,0.7402,0.7514,0.7392,0.7496,CZK
2015-02-09,0.7494,0.7541,0.7445,0.7507,CZK
2015-02-10,0.7498,0.7551,0.7471,0.749,CZK
2015-02-11,0.748,0.7519,0.745,0.7471,CZK
2015-02-12,0.7461,0.7491,0.7408,0.7435,CZK
2015-02-13,0.7427,0.7443,0.7397,0.7429,CZK
2015-02-16,0.7426,0.7496,0.7405,0.7471,CZK
2015-02-17,0.7461,0.7496,0.7391,0.7417,CZK
2015-02-18,0.7409,0.7458,0.7322,0.734,CZK
2015-02-19,0.7331,0.7408,0.7312,0.7396,CZK
2015-02-20,0.7386,0.7499,0.7378,0.7437,CZK
2015-02-23,0.7417,0.7485,0.74,0.7435,CZK
2015-02-24,0.7425,0.747,0.7411,0.7447,CZK
2015-02-25,0.7437,0.7451,0.7391,0.7422,CZK
2015-02-26,0.7413,0.7613,0.7399,0.7592,CZK
2015-02-27,0.7582,0.7609,0.7537,0.76,CZK
2015-03-02,0.7584,0.7625,0.755,0.7602,CZK
2015-03-03,0.7592,0.7613,0.7553,0.7592,CZK
2015-03-04,0.7583,0.767,0.7577,0.7659,CZK
2015-03-05,0.7649,0.7689,0.76,0.7629,CZK
2015-03-06,0.7617,0.7752,0.7609,0.7735,CZK
2015-03-09,0.7743,0.776,0.7663,0.7713,CZK
2015-03-10,0.7703,0.7799,0.7696,0.7796,CZK
2015-03-11,0.7787,0.7901,0.7752,0.7874,CZK
2015-03-12,0.786,0.7902,0.7775,0.7817,CZK
2015-03-13,0.7803,0.7927,0.78,0.7903,CZK
2015-03-16,0.7898,0.7919,0.7782,0.7829,CZK
2015-03-17,0.782,0.785,0.7729,0.7805,CZK
2015-03-18,0.7794,0.7843,0.7628,0.7694,CZK
2015-03-19,0.7686,0.7896,0.7639,0.786,CZK
2015-03-20,0.7852,0.7878,0.7739,0.7786,CZK
2015-03-23,0.7775,0.7839,0.7669,0.7689,CZK
2015-03-24,0.7679,0.7746,0.7638,0.7722,CZK
2015-03-25,0.7713,0.7744,0.7637,0.7671,CZK
2015-03-26,0.7657,0.778,0.7601,0.7756,CZK
2015-03-27,0.7746,0.7826,0.7701,0.7749,CZK
2015-03-30,0.7744,0.7815,0.7723,0.7785,CZK
2015-03-31,0.7775,0.7906,0.7767,0.789,CZK
2015-04-01,0.788,0.7912,0.7832,0.7889,CZK
2015-04-02,0.7879,0.7915,0.776,0.7801,CZK
2015-04-03,0.7788,0.7813,0.7698,0.7744,CZK
2015-04-06,0.7745,0.7759,0.7639,0.7726,CZK
2015-04-07,0.7711,0.7796,0.7689,0.7782,CZK
2015-04-08,0.7769,0.7819,0.7711,0.7802,CZK
2015-04-09,0.7792,0.7923,0.7784,0.79,CZK
2015-04-10,0.789,0.7968,0.7874,0.7923,CZK
2015-04-13,0.7913,0.7999,0.7892,0.7943,CZK
2015-04-14,0.7929,0.8,0.786,0.7897,CZK
2015-04-15,0.7885,0.8004,0.7872,0.7923,CZK
2015-04-16,0.7913,0.7985,0.7825,0.7876,CZK
2015-04-17,0.7867,0.7916,0.7823,0.7845,CZK
2015-04-20,0.7848,0.7906,0.7817,0.7885,CZK
2015-04-21,0.7874,0.7949,0.7848,0.7893,CZK
2015-04-22,0.7884,0.792,0.7842,0.7894,CZK
2015-04-23,0.7887,0.7927,0.7775,0.7808,CZK
2015-04-24,0.7798,0.7833,0.7735,0.776,CZK
2015-04-27,0.7747,0.777,0.7709,0.7746,CZK
2015-04-28,0.7735,0.7766,0.7641,0.7657,CZK
2015-04-29,0.7647,0.7673,0.7451,0.7507,CZK
2015-04-30,0.7497,0.754,0.7368,0.741,CZK
2015-05-01,0.7335,0.7346,0.7335,0.7346,CZK
2015-05-04,0.7338,0.7408,0.7315,0.7364,CZK
2015-05-05,0.7354,0.7407,0.731,0.7344,CZK
2015-05-06,0.7334,0.7376,0.7231,0.7266,CZK
2015-05-07,0.7256,0.7278,0.7161,0.7247,CZK
2015-05-08,0.7235,0.7313,0.7228,0.7305,CZK
2015-05-11,0.7277,0.7353,0.7259,0.7279,CZK
2015-05-12,0.7273,0.7298,0.7171,0.725,CZK
2015-05-13,0.7241,0.7297,0.7186,0.7221,CZK
2015-05-14,0.721,0.7256,0.7151,0.7198,CZK
2015-05-15,0.7187,0.7211,0.7123,0.7147,CZK
2015-05-18,0.7137,0.7268,0.7119,0.7254,CZK
2015-05-19,0.7244,0.7359,0.7224,0.7329,CZK
2015-05-20,0.7317,0.7359,0.7293,0.7334,CZK
2015-05-21,0.7324,0.7388,0.7306,0.7375,CZK
2015-05-22,0.7364,0.745,0.7311,0.7441,CZK
2015-05-25,0.744,0.7466,0.7398,0.7423,CZK
2015-05-26,0.7415,0.7498,0.7403,0.7483,CZK
2015-05-27,0.7474,0.7486,0.7404,0.7452,CZK
2015-05-28,0.7442,0.7479,0.7402,0.742,CZK
2015-05-29,0.741,0.745,0.7374,0.7401,CZK
2015-06-01,0.7398,0.7485,0.7389,0.7453,CZK
2015-06-02,0.7444,0.7461,0.7262,0.7309,CZK
2015-06-03,0.7292,0.7357,0.7229,0.7246,CZK
2015-06-04,0.7237,0.7261,0.7153,0.7237,CZK
2015-06-05,0.7227,0.7322,0.7194,0.7276,CZK
2015-06-08,0.7276,0.7302,0.7174,0.7191,CZK
2015-06-09,0.719,0.724,0.7153,0.7207,CZK
2015-06-10,0.7198,0.7214,0.7126,0.7167,CZK
2015-06-11,0.7157,0.7238,0.7129,0.7194,CZK
2015-06-12,0.7186,0.726,0.7168,0.7201,CZK
2015-06-15,0.7156,0.7241,0.7153,0.7175,CZK
2015-06-16,0.7165,0.7223,0.7137,0.7193,CZK
2015-06-17,0.7183,0.7208,0.7124,0.7154,CZK
2015-06-18,0.7143,0.7161,0.7068,0.7123,CZK
2015-06-19,0.7113,0.7167,0.7094,0.7136,CZK
2015-06-22,0.713,0.7157,0.7072,0.7115,CZK
2015-06-23,0.7104,0.7236,0.7101,0.7214,CZK
2015-06-24,0.7204,0.7228,0.7162,0.7198,CZK
2015-06-25,0.7185,0.7244,0.7167,0.7194,CZK
2015-06-26,0.7184,0.7246,0.7163,0.7218,CZK
2015-06-29,0.7211,0.733,0.715,0.7195,CZK
2015-06-30,0.7185,0.7288,0.716,0.7246,CZK
2015-07-01,0.7236,0.7308,0.7215,0.7295,CZK
2015-07-02,0.7285,0.7311,0.7239,0.7272,CZK
2015-07-03,0.7265,0.7282,0.7206,0.7225,CZK
2015-07-06,0.7209,0.7302,0.7205,0.7263,CZK
2015-07-07,0.7253,0.7316,0.72,0.7239,CZK
2015-07-08,0.723,0.7271,0.7185,0.7218,CZK
2015-07-09,0.7208,0.7271,0.7178,0.7237,CZK
2015-07-10,0.7225,0.7245,0.7113,0.7158,CZK
2015-07-13,0.7143,0.7249,0.7118,0.7245,CZK
2015-07-14,0.723,0.7265,0.7175,0.7219,CZK
2015-07-15,0.721,0.7254,0.7187,0.7228,CZK
2015-07-16,0.7217,0.7306,0.7212,0.7284,CZK
2015-07-17,0.7274,0.7305,0.7252,0.73,CZK
2015-07-20,0.729,0.7308,0.7223,0.7258,CZK
2015-07-21,0.7246,0.7286,0.7173,0.7203,CZK
2015-07-22,0.7193,0.7213,0.7115,0.7125,CZK
2015-07-23,0.7115,0.7136,0.7035,0.7073,CZK
2015-07-24,0.7064,0.7098,0.703,0.7052,CZK
2015-07-27,0.7047,0.7076,0.6959,0.699,CZK
2015-07-28,0.6975,0.7034,0.697,0.7021,CZK
2015-07-29,0.7003,0.7072,0.6977,0.7055,CZK
2015-07-30,0.7042,0.7075,0.6998,0.704,CZK
2015-07-31,0.7031,0.7059,0.6938,0.7042,CZK
2015-08-03,0.7037,0.7056,0.7008,0.7039,CZK
2015-08-04,0.7031,0.7087,0.7016,0.7082,CZK
2015-08-05,0.7071,0.7108,0.7032,0.7048,CZK
2015-08-06,0.7039,0.7073,0.7018,0.7046,CZK
2015-08-07,0.7036,0.708,0.6997,0.7019,CZK
2015-08-10,0.6999,0.7041,0.6966,0.699,CZK
2015-08-11,0.698,0.6999,0.6883,0.6924,CZK
2015-08-12,0.6913,0.6935,0.6827,0.6865,CZK
2015-08-13,0.6855,0.692,0.6842,0.6895,CZK
2015-08-14,0.6885,0.6913,0.6844,0.69,CZK
2015-08-17,0.6887,0.6912,0.6838,0.6866,CZK
2015-08-18,0.6857,0.6905,0.6829,0.69,CZK
2015-08-19,0.6891,0.6904,0.6812,0.684,CZK
2015-08-20,0.6829,0.6847,0.6741,0.6755,CZK
2015-08-21,0.6746,0.6768,0.6634,0.6647,CZK
2015-08-24,0.6652,0.6672,0.6457,0.6524,CZK
2015-08-25,0.6516,0.6695,0.6511,0.6612,CZK
2015-08-26,0.6603,0.6743,0.656,0.6732,CZK
2015-08-27,0.6723,0.6778,0.6674,0.6753,CZK
2015-08-28,0.6745,0.6773,0.666,0.6739,CZK
2015-08-31,0.6733,0.6753,0.6679,0.6728,CZK
2015-09-01,0.6722,0.6738,0.6664,0.6684,CZK
2015-09-02,0.6674,0.6744,0.6668,0.6732,CZK
2015-09-03,0.6724,0.6805,0.669,0.6781,CZK
2015-09-04,0.6771,0.6803,0.671,0.6739,CZK
2015-09-07,0.6718,0.6753,0.6686,0.6705,CZK
2015-09-08,0.6696,0.673,0.6645,0.6708,CZK
2015-09-09,0.6698,0.6747,0.6655,0.6671,CZK
2015-09-10,0.6662,0.6699,0.663,0.665,CZK
2015-09-11,0.6645,0.6676,0.6606,0.6634,CZK
2015-09-14,0.6617,0.6664,0.6602,0.6631,CZK
2015-09-15,0.6622,0.6709,0.6615,0.6692,CZK
2015-09-16,0.6683,0.6708,0.6643,0.6701,CZK
2015-09-17,0.6686,0.6725,0.6613,0.6626,CZK
2015-09-18,0.6619,0.6738,0.6611,0.672,CZK
2015-09-21,0.6705,0.6756,0.6666,0.6746,CZK
2015-09-22,0.6741,0.6766,0.6695,0.6752,CZK
2015-09-23,0.674,0.6771,0.6685,0.6704,CZK
2015-09-24,0.67,0.6731,0.6626,0.67,CZK
2015-09-25,0.6691,0.6759,0.6691,0.6731,CZK
2015-09-28,0.672,0.6736,0.6644,0.6662,CZK
