Date,Open,High,Low,Close,Currency
2015-01-01,0.2171,0.2175,0.2169,0.217,EGP
2015-01-02,0.2169,0.2175,0.2164,0.2169,EGP
2015-01-05,0.2168,0.2177,0.216,0.2166,EGP
2015-01-06,0.2163,0.2178,0.2159,0.2176,EGP
2015-01-07,0.2175,0.2177,0.2168,0.2175,EGP
2015-01-08,0.2174,0.2178,0.217,0.2175,EGP
2015-01-09,0.2175,0.2179,0.2171,0.2178,EGP
2015-01-12,0.2175,0.2183,0.2171,0.2175,EGP
2015-01-13,0.2175,0.2181,0.2173,0.2179,EGP
2015-01-14,0.2178,0.2185,0.2176,0.2183,EGP
2015-01-15,0.2182,0.2186,0.2178,0.2183,EGP
2015-01-16,0.2181,0.2199,0.2179,0.2195,EGP
2015-01-19,0.221,0.2227,0.2205,0.2225,EGP
2015-01-20,0.2224,0.2237,0.221,0.2232,EGP
2015-01-21,0.2232,0.2261,0.2227,0.2256,EGP
2015-01-22,0.2256,0.2276,0.2249,0.227,EGP
2015-01-23,0.2269,0.2276,0.2264,0.2271,EGP
2015-01-26,0.2276,0.2287,0.2266,0.2284,EGP
2015-01-27,0.2284,0.2291,0.2281,0.2289,EGP
2015-01-28,0.2288,0.2297,0.2277,0.2294,EGP
2015-01-29,0.2293,0.2324,0.2283,0.2315,EGP
2015-01-30,0.2314,0.2325,0.2313,0.2319,EGP
2015-02-02,0.2321,0.2344,0.2319,0.2336,EGP
2015-02-03,0.2336,0.2348,0.2333,0.234,EGP
2015-02-04,0.2339,0.2345,0.2332,0.2335,EGP
2015-02-05,0.2332,0.2343,0.2332,0.234,EGP
2015-02-06,0.2339,0.2348,0.2333,0.2337,EGP
2015-02-09,0.2337,0.2345,0.2333,0.234,EGP
2015-02-10,0.2341,0.2343,0.233,0.2332,EGP
2015-02-11,0.2331,0.2341,0.2329,0.2335,EGP
2015-02-12,0.2334,0.234,0.2327,0.2339,EGP
2015-02-13,0.2337,0.2343,0.2333,0.234,EGP
2015-02-16,0.234,0.2347,0.2336,0.2341,EGP
2015-02-17,0.234,0.2346,0.2337,0.2341,EGP
2015-02-18,0.2341,0.2346,0.2338,0.2343,EGP
2015-02-19,0.2342,0.2347,0.2336,0.2343,EGP
2015-02-20,0.2343,0.2347,0.2341,0.2346,EGP
2015-02-23,0.234,0.2348,0.2337,0.2344,EGP
2015-02-24,0.2343,0.2348,0.2337,0.2346,EGP
2015-02-25,0.2343,0.2348,0.234,0.2346,EGP
2015-02-26,0.2345,0.2364,0.2343,0.2356,EGP
2015-02-27,0.2356,0.2363,0.2353,0.2358,EGP
2015-03-02,0.2354,0.2363,0.2352,0.2359,EGP
2015-03-03,0.2359,0.2362,0.2355,0.2358,EGP
2015-03-04,0.2356,0.2362,0.235,0.2356,EGP
2015-03-05,0.2354,0.2358,0.2349,0.2353,EGP
2015-03-06,0.2351,0.2356,0.2337,0.2343,EGP
2015-03-09,0.2344,0.2348,0.2336,0.2341,EGP
2015-03-10,0.234,0.2343,0.2328,0.2333,EGP
2015-03-11,0.2331,0.2342,0.2311,0.2323,EGP
2015-03-12,0.2321,0.2332,0.2315,0.2322,EGP
2015-03-13,0.2322,0.2328,0.2311,0.2318,EGP
2015-03-16,0.2312,0.2324,0.2307,0.2316,EGP
2015-03-17,0.2316,0.2321,0.2311,0.2318,EGP
2015-03-18,0.2316,0.2338,0.2314,0.2333,EGP
2015-03-19,0.2331,0.2338,0.2323,0.233,EGP
2015-03-20,0.2331,0.2346,0.2326,0.2342,EGP
2015-03-23,0.2341,0.2349,0.2336,0.2344,EGP
2015-03-24,0.2345,0.2351,0.2339,0.2348,EGP
2015-03-25,0.2347,0.2351,0.2337,0.2346,EGP
2015-03-26,0.2344,0.2348,0.2335,0.2343,EGP
2015-03-27,0.2343,0.2347,0.2337,0.2343,EGP
2015-03-30,0.2346,0.2348,0.2336,0.234,EGP
2015-03-31,0.234,0.2349,0.2339,0.2344,EGP
2015-04-01,0.2343,0.2352,0.234,0.2349,EGP
2015-04-02,0.2348,0.2356,0.2341,0.235,EGP
2015-04-03,0.2347,0.2356,0.2343,0.2353,EGP
2015-04-06,0.2354,0.2356,0.2347,0.2352,EGP
2015-04-07,0.235,0.2353,0.2336,0.2343,EGP
2015-04-08,0.2343,0.2348,0.2339,0.2343,EGP
2015-04-09,0.2343,0.2348,0.2338,0.2343,EGP
2015-04-10,0.2343,0.2348,0.234,0.2344,EGP
2015-04-13,0.2343,0.2347,0.2337,0.2342,EGP
2015-04-14,0.2343,0.2354,0.2342,0.2349,EGP
2015-04-15,0.2348,0.2356,0.2344,0.2353,EGP
2015-04-16,0.2351,0.236,0.2348,0.2356,EGP
2015-04-17,0.2354,0.2365,0.2352,0.2359,EGP
2015-04-20,0.2361,0.2363,0.235,0.2356,EGP
2015-04-21,0.2354,0.2361,0.235,0.2356,EGP
2015-04-22,0.2356,0.2362,0.2351,0.2356,EGP
2015-04-23,0.2355,0.2358,0.2346,0.2351,EGP
2015-04-24,0.235,0.2356,0.2338,0.2343,EGP
2015-04-27,0.2341,0.2345,0.2329,0.234,EGP
2015-04-28,0.234,0.2343,0.2332,0.2338,EGP
2015-04-29,0.2337,0.2342,0.2317,0.2323,EGP
2015-04-30,0.2322,0.2328,0.2304,0.2311,EGP
2015-05-01,0.2295,0.2296,0.2295,0.2296,EGP
2015-05-04,0.2297,0.2298,0.2284,0.2289,EGP
2015-05-05,0.2287,0.2302,0.228,0.2288,EGP
2015-05-06,0.2287,0.2301,0.2285,0.2294,EGP
2015-05-07,0.2291,0.2294,0.2267,0.2276,EGP
2015-05-08,0.2276,0.2282,0.227,0.2274,EGP
2015-05-11,0.2274,0.2278,0.2258,0.2262,EGP
2015-05-12,0.2261,0.2265,0.2249,0.2261,EGP
2015-05-13,0.2261,0.228,0.226,0.2276,EGP
2015-05-14,0.2275,0.2291,0.2271,0.2279,EGP
2015-05-15,0.2278,0.2281,0.2266,0.2278,EGP
2015-05-18,0.2278,0.2292,0.2272,0.2284,EGP
2015-05-19,0.2283,0.2291,0.2271,0.2275,EGP
2015-05-20,0.2274,0.2278,0.2265,0.2272,EGP
