Date,Open,High,Low,Close,Currency
2015-01-01,0.5231,0.5254,0.5231,0.5244,AUD
2015-01-02,0.5239,0.528,0.5215,0.5273,AUD
2015-01-05,0.5277,0.5324,0.5259,0.5306,AUD
2015-01-06,0.5302,0.5326,0.5253,0.5325,AUD
2015-01-07,0.5323,0.5349,0.5302,0.5337,AUD
2015-01-08,0.5333,0.5367,0.5301,0.5354,AUD
2015-01-09,0.535,0.5379,0.5302,0.5311,AUD
2015-01-12,0.5306,0.5376,0.5276,0.5365,AUD
2015-01-13,0.536,0.5395,0.5333,0.5357,AUD
2015-01-14,0.5353,0.5403,0.5331,0.5378,AUD
2015-01-15,0.5374,0.5389,0.5215,0.527,AUD
2015-01-16,0.5251,0.5288,0.5197,0.5232,AUD
2015-01-19,0.523,0.5238,0.5179,0.5209,AUD
2015-01-20,0.5206,0.5251,0.5173,0.5216,AUD
2015-01-21,0.5212,0.5274,0.5174,0.5262,AUD
2015-01-22,0.5259,0.5379,0.5223,0.5361,AUD
2015-01-23,0.5353,0.5416,0.5331,0.5385,AUD
2015-01-26,0.5385,0.5419,0.5319,0.5359,AUD
2015-01-27,0.5355,0.5383,0.5292,0.5329,AUD
2015-01-28,0.5321,0.5354,0.5245,0.5313,AUD
2015-01-29,0.5309,0.5368,0.528,0.5333,AUD
2015-01-30,0.533,0.5353,0.5244,0.5262,AUD
2015-02-02,0.5283,0.5319,0.5243,0.5272,AUD
2015-02-03,0.5265,0.544,0.5243,0.5343,AUD
2015-02-04,0.534,0.5368,0.5208,0.523,AUD
2015-02-05,0.5225,0.5269,0.5201,0.5261,AUD
2015-02-06,0.5256,0.5268,0.5158,0.5184,AUD
2015-02-09,0.5196,0.522,0.511,0.5174,AUD
2015-02-10,0.5172,0.52,0.5126,0.5155,AUD
2015-02-11,0.5149,0.5206,0.513,0.5181,AUD
2015-02-12,0.5177,0.526,0.5164,0.5241,AUD
2015-02-13,0.5236,0.5246,0.5191,0.5237,AUD
2015-02-16,0.5233,0.5266,0.5197,0.5238,AUD
2015-02-17,0.5231,0.5255,0.52,0.5217,AUD
2015-02-18,0.5211,0.5244,0.5174,0.5243,AUD
2015-02-19,0.5238,0.5289,0.5213,0.5223,AUD
2015-02-20,0.5219,0.5231,0.5162,0.5198,AUD
2015-02-23,0.5187,0.5213,0.5155,0.5178,AUD
2015-02-24,0.5172,0.5242,0.5153,0.5183,AUD
