Date,Open,High,Low,Close,Currency
2015-01-01,0.4966,0.4986,0.4966,0.4984,CAD
2015-01-02,0.4979,0.5028,0.4939,0.5027,CAD
2015-01-05,0.5022,0.5069,0.5011,0.5045,CAD
2015-01-06,0.5042,0.5098,0.5029,0.5096,CAD
2015-01-07,0.5093,0.5106,0.5063,0.5095,CAD
2015-01-08,0.5091,0.5153,0.5085,0.5146,CAD
2015-01-09,0.5141,0.5196,0.5114,0.5171,CAD
2015-01-12,0.5166,0.5242,0.5156,0.5239,CAD
2015-01-13,0.5236,0.5266,0.5215,0.5231,CAD
2015-01-14,0.5228,0.5266,0.5185,0.5239,CAD
2015-01-15,0.5235,0.5266,0.5113,0.5176,CAD
2015-01-16,0.5172,0.5206,0.5116,0.5159,CAD
2015-01-19,0.515,0.5156,0.5089,0.5107,CAD
2015-01-20,0.5102,0.5169,0.509,0.5163,CAD
2015-01-21,0.5159,0.5284,0.5135,0.5251,CAD
2015-01-22,0.5247,0.5346,0.522,0.5327,CAD
2015-01-23,0.532,0.5343,0.5263,0.5289,CAD
2015-01-26,0.529,0.5309,0.5248,0.5298,CAD
2015-01-27,0.5292,0.5327,0.5222,0.5245,CAD
2015-01-28,0.5238,0.5281,0.5207,0.5254,CAD
2015-01-29,0.525,0.5255,0.5181,0.5222,CAD
2015-01-30,0.5218,0.5262,0.5173,0.5204,CAD
2015-02-02,0.5204,0.5268,0.5161,0.5169,CAD
2015-02-03,0.5164,0.5242,0.515,0.517,CAD
2015-02-04,0.5167,0.5188,0.5084,0.5098,CAD
2015-02-05,0.5094,0.5139,0.5072,0.5102,CAD
2015-02-06,0.5097,0.5134,0.5034,0.5063,CAD
2015-02-09,0.505,0.5067,0.498,0.5034,CAD
2015-02-10,0.5029,0.5057,0.498,0.5043,CAD
2015-02-11,0.5036,0.5082,0.5022,0.5052,CAD
2015-02-12,0.5049,0.5073,0.5021,0.507,CAD
2015-02-13,0.5068,0.5083,0.5036,0.5065,CAD
2015-02-16,0.5059,0.5104,0.5035,0.5075,CAD
2015-02-17,0.5072,0.5085,0.5033,0.5053,CAD
2015-02-18,0.5049,0.5102,0.5018,0.5101,CAD
2015-02-19,0.5096,0.513,0.5076,0.5086,CAD
2015-02-20,0.5082,0.5118,0.5046,0.5108,CAD
2015-02-23,0.51,0.5121,0.5056,0.5078,CAD
2015-02-24,0.5076,0.5135,0.5054,0.5067,CAD
2015-02-25,0.5062,0.5077,0.4982,0.4997,CAD
2015-02-26,0.4992,0.5038,0.497,0.4998,CAD
2015-02-27,0.4995,0.5006,0.493,0.4986,CAD
2015-03-02,0.4978,0.5002,0.4954,0.498,CAD
2015-03-03,0.4977,0.499,0.4897,0.4928,CAD
2015-03-04,0.4926,0.4937,0.4825,0.4847,CAD
2015-03-05,0.4844,0.485,0.4743,0.479,CAD
2015-03-06,0.4787,0.4848,0.4754,0.4809,CAD
2015-03-09,0.48,0.4863,0.4782,0.4845,CAD
2015-03-10,0.4842,0.4856,0.4769,0.4809,CAD
2015-03-11,0.4807,0.4897,0.4788,0.4885,CAD
2015-03-12,0.4881,0.4916,0.4858,0.4909,CAD
2015-03-13,0.4906,0.4918,0.4811,0.4842,CAD
2015-03-16,0.4858,0.4915,0.4834,0.4863,CAD
2015-03-17,0.4861,0.4905,0.4845,0.4897,CAD
2015-03-18,0.4895,0.4908,0.4858,0.4889,CAD
2015-03-19,0.4886,0.4921,0.4859,0.4879,CAD
2015-03-20,0.4875,0.4913,0.4855,0.4878,CAD
2015-03-23,0.4875,0.4931,0.4856,0.4926,CAD
2015-03-24,0.492,0.4934,0.4855,0.4896,CAD
2015-03-25,0.4893,0.49,0.482,0.4838,CAD
2015-03-26,0.4836,0.4845,0.4753,0.4809,CAD
2015-03-27,0.4806,0.4838,0.4764,0.483,CAD
2015-03-30,0.4827,0.4884,0.4812,0.4861,CAD
2015-03-31,0.4857,0.4893,0.4847,0.4883,CAD
2015-04-01,0.488,0.489,0.4839,0.4856,CAD
2015-04-02,0.4853,0.4879,0.4836,0.4857,CAD
2015-04-03,0.4853,0.4875,0.4826,0.4854,CAD
2015-04-06,0.4856,0.4878,0.4834,0.4853,CAD
2015-04-07,0.4852,0.4859,0.4792,0.4806,CAD
2015-04-08,0.4802,0.4849,0.477,0.4826,CAD
2015-04-09,0.4823,0.4845,0.4791,0.4802,CAD
2015-04-10,0.4798,0.4819,0.4768,0.4781,CAD
2015-04-13,0.4793,0.4796,0.4703,0.4717,CAD
2015-04-14,0.4715,0.4728,0.4629,0.4645,CAD
2015-04-15,0.4641,0.4652,0.4527,0.4553,CAD
2015-04-16,0.4551,0.4577,0.4509,0.4549,CAD
2015-04-17,0.4546,0.4574,0.448,0.4574,CAD
2015-04-20,0.4541,0.4571,0.4501,0.4529,CAD
2015-04-21,0.4526,0.458,0.451,0.4572,CAD
2015-04-22,0.457,0.4578,0.4492,0.4512,CAD
2015-04-23,0.4509,0.4516,0.4466,0.4496,CAD
2015-04-24,0.4492,0.4499,0.4416,0.4487,CAD
2015-04-27,0.4486,0.4533,0.4438,0.4519,CAD
2015-04-28,0.4517,0.4545,0.449,0.4527,CAD
