Date,Open,High,Low,Close,Currency
2015-01-01,2.6521,2.6625,2.6521,2.6625,CNY
2015-01-02,2.6572,2.6626,2.6268,2.6474,CNY
2015-01-05,2.6513,2.6747,2.641,2.6677,CNY
2015-01-06,2.6663,2.6834,2.6549,2.6748,CNY
2015-01-07,2.6737,2.6797,2.6584,2.6793,CNY
2015-01-08,2.6777,2.7087,2.6737,2.7029,CNY
2015-01-09,2.7012,2.7195,2.6827,2.7054,CNY
2015-01-12,2.7041,2.7193,2.6957,2.7144,CNY
2015-01-13,2.7132,2.7291,2.7073,2.7113,CNY
2015-01-14,2.7107,2.7205,2.6788,2.7163,CNY
2015-01-15,2.7149,2.7258,2.6497,2.6782,CNY
2015-01-16,2.6714,2.695,2.6478,2.6721,CNY
2015-01-19,2.6597,2.6715,2.6453,2.6602,CNY
2015-01-20,2.6579,2.6749,2.6274,2.6484,CNY
2015-01-21,2.6463,2.6631,2.635,2.6429,CNY
2015-01-22,2.6414,2.6827,2.6274,2.6713,CNY
2015-01-23,2.6704,2.6866,2.6423,2.6523,CNY
2015-01-26,2.6331,2.6676,2.6315,2.6562,CNY
2015-01-27,2.6547,2.6714,2.6292,2.6409,CNY
2015-01-28,2.6385,2.6527,2.6147,2.6187,CNY
2015-01-29,2.6155,2.6196,2.5761,2.5854,CNY
2015-01-30,2.5834,2.5986,2.5481,2.5548,CNY
2015-02-02,2.555,2.5949,2.555,2.5754,CNY
2015-02-03,2.5731,2.616,2.5594,2.6058,CNY
2015-02-04,2.6044,2.6094,2.5282,2.5331,CNY
2015-02-05,2.5302,2.5684,2.5301,2.565,CNY
2015-02-06,2.5619,2.5745,2.5135,2.5239,CNY
2015-02-09,2.5174,2.5305,2.4945,2.5225,CNY
2015-02-10,2.5198,2.5306,2.4849,2.5,CNY
2015-02-11,2.4962,2.5154,2.4808,2.4967,CNY
2015-02-12,2.4947,2.5356,2.4871,2.5316,CNY
2015-02-13,2.5296,2.541,2.5151,2.5387,CNY
2015-02-16,2.5365,2.5575,2.5301,2.5439,CNY
2015-02-17,2.5422,2.5638,2.541,2.5511,CNY
2015-02-18,2.5499,2.563,2.5302,2.5617,CNY
2015-02-19,2.5602,2.5705,2.5396,2.5458,CNY
2015-02-20,2.5441,2.5545,2.5312,2.5503,CNY
2015-02-23,2.5314,2.5517,2.5129,2.527,CNY
2015-02-24,2.5251,2.5424,2.5094,2.5389,CNY
2015-02-25,2.5364,2.5528,2.5077,2.5152,CNY
2015-02-26,2.5139,2.5304,2.4941,2.4996,CNY
2015-02-27,2.4961,2.5136,2.4781,2.4991,CNY
2015-03-02,2.4937,2.5044,2.483,2.4922,CNY
2015-03-03,2.4886,2.502,2.4672,2.4744,CNY
2015-03-04,2.4711,2.4768,2.435,2.4456,CNY
2015-03-05,2.4435,2.4469,2.3806,2.4037,CNY
2015-03-06,2.4023,2.435,2.3621,2.3863,CNY
2015-03-09,2.3824,2.4194,2.3754,2.4078,CNY
2015-03-10,2.4068,2.4091,2.3633,2.3733,CNY
2015-03-11,2.3723,2.4049,2.3652,2.3989,CNY
2015-03-12,2.3978,2.424,2.3924,2.4236,CNY
2015-03-13,2.4221,2.4248,2.3608,2.3713,CNY
2015-03-16,2.3782,2.4077,2.3665,2.3846,CNY
2015-03-17,2.3831,2.3975,2.3719,2.3929,CNY
2015-03-18,2.392,2.4297,2.3671,2.4237,CNY
2015-03-19,2.4221,2.4327,2.3629,2.3767,CNY
2015-03-20,2.3747,2.4152,2.3694,2.4116,CNY
2015-03-23,2.4098,2.4483,2.394,2.4443,CNY
2015-03-24,2.4432,2.4451,2.4119,2.4314,CNY
2015-03-25,2.4299,2.4337,2.3923,2.4013,CNY
2015-03-26,2.4003,2.4031,2.3693,2.3927,CNY
2015-03-27,2.3923,2.3934,2.3633,2.381,CNY
2015-03-30,2.3794,2.3901,2.366,2.3809,CNY
