Date,Open,High,Low,Close,Currency
2015-01-01,0.1944,0.1947,0.1935,0.1947,DKK
2015-01-02,0.1945,0.1959,0.1943,0.1959,DKK
2015-01-04,0.1968,0.1977,0.1967,0.1967,DKK
2015-01-05,0.1966,0.1966,0.1943,0.1947,DKK
2015-01-06,0.1948,0.1962,0.1944,0.1958,DKK
2015-01-07,0.1959,0.197,0.1954,0.1966,DKK
2015-01-08,0.1965,0.1978,0.1963,0.1973,DKK
2015-01-09,0.1972,0.1981,0.1967,0.1971,DKK
2015-01-11,0.1966,0.1967,0.1963,0.1963,DKK
2015-01-12,0.1963,0.198,0.1963,0.1971,DKK
2015-01-13,0.1974,0.1986,0.197,0.1982,DKK
2015-01-14,0.1983,0.2045,0.1977,0.1985,DKK
2015-01-15,0.1983,0.2031,0.1982,0.2011,DKK
2015-01-16,0.201,0.2057,0.2006,0.2032,DKK
2015-01-18,0.2032,0.2033,0.2029,0.2029,DKK
2015-01-19,0.2031,0.2044,0.2028,0.2033,DKK
2015-01-20,0.2032,0.2035,0.2022,0.203,DKK
2015-01-21,0.2032,0.2044,0.2027,0.2027,DKK
2015-01-22,0.2029,0.2092,0.2029,0.2079,DKK
2015-01-23,0.2082,0.2139,0.2078,0.2113,DKK
2015-01-25,0.2114,0.2133,0.2114,0.2128,DKK
2015-01-26,0.2125,0.2134,0.2108,0.2117,DKK
2015-01-27,0.2113,0.2129,0.2085,0.2088,DKK
2015-01-28,0.2091,0.2116,0.2091,0.2106,DKK
2015-01-29,0.2107,0.2111,0.2078,0.2087,DKK
2015-01-30,0.2083,0.2091,0.207,0.2091,DKK
2015-02-01,0.209,0.209,0.2084,0.2084,DKK
2015-02-02,0.2087,0.2087,0.2071,0.2071,DKK
2015-02-03,0.2073,0.2084,0.2049,0.2051,DKK
2015-02-04,0.2055,0.2093,0.2053,0.2093,DKK
2015-02-05,0.209,0.2092,0.2056,0.2056,DKK
2015-02-06,0.2058,0.2089,0.2058,0.2089,DKK
2015-02-08,0.2092,0.2093,0.2088,0.2088,DKK
2015-02-09,0.209,0.2091,0.207,0.2083,DKK
2015-02-10,0.2083,0.2094,0.208,0.2089,DKK
2015-02-11,0.2088,0.2089,0.2077,0.2085,DKK
2015-02-12,0.2086,0.2091,0.2079,0.2089,DKK
2015-02-13,0.2088,0.2088,0.2072,0.2076,DKK
2015-02-15,0.2075,0.2076,0.2074,0.2076,DKK
2015-02-16,0.2075,0.2091,0.2072,0.2076,DKK
2015-02-17,0.2079,0.2089,0.206,0.206,DKK
2015-02-18,0.2064,0.2072,0.206,0.2064,DKK
2015-02-19,0.2064,0.2071,0.2054,0.2071,DKK
2015-02-20,0.2071,0.2082,0.2057,0.2073,DKK
2015-02-22,0.2069,0.2073,0.2069,0.2073,DKK
2015-02-23,0.2072,0.2083,0.2069,0.208,DKK
2015-02-24,0.208,0.2084,0.2074,0.2079,DKK
2015-02-25,0.2077,0.2094,0.2075,0.2085,DKK
2015-02-26,0.2085,0.2123,0.2084,0.2115,DKK
2015-02-27,0.2114,0.2124,0.2108,0.2116,DKK
2015-03-01,0.2119,0.2123,0.2118,0.2123,DKK
2015-03-02,0.2122,0.2127,0.211,0.211,DKK
2015-03-03,0.2112,0.2132,0.211,0.2116,DKK
2015-03-04,0.2115,0.2144,0.2115,0.2138,DKK
2015-03-05,0.2137,0.2148,0.2132,0.2142,DKK
2015-03-06,0.2144,0.2144,0.2144,0.2144,DKK
2015-03-08,0.2184,0.2184,0.2184,0.2184,DKK
2015-03-09,0.2184,0.2184,0.2184,0.2184,DKK
2015-03-10,0.2182,0.2182,0.2182,0.2182,DKK
2015-03-11,0.2205,0.2205,0.2205,0.2205,DKK
2015-03-12,0.2232,0.2232,0.2232,0.2232,DKK
2015-03-13,0.2217,0.2217,0.2217,0.2217,DKK
2015-03-15,0.2242,0.2242,0.2242,0.2242,DKK
2015-03-16,0.2244,0.2244,0.2244,0.2244,DKK
2015-03-17,0.2227,0.2227,0.2227,0.2227,DKK
2015-03-18,0.2224,0.2224,0.2224,0.2224,DKK
2015-03-19,0.2172,0.2172,0.2172,0.2172,DKK
2015-03-20,0.2217,0.2217,0.2217,0.2217,DKK
2015-03-22,0.2184,0.2184,0.2184,0.2184,DKK
2015-03-23,0.2184,0.2184,0.2184,0.2184,DKK
2015-03-24,0.2163,0.2163,0.2163,0.2163,DKK
2015-03-25,0.2181,0.2181,0.2181,0.2181,DKK
2015-03-26,0.2169,0.2169,0.2169,0.2169,DKK
2015-03-27,0.2185,0.2185,0.2185,0.2185,DKK
2015-03-29,0.2187,0.2187,0.2187,0.2187,DKK
2015-03-30,0.2188,0.2188,0.2188,0.2188,DKK
2015-03-31,0.2199,0.2199,0.2199,0.2199,DKK
2015-04-01,0.2216,0.2216,0.2216,0.2216,DKK
2015-04-02,0.2212,0.2212,0.2212,0.2212,DKK
2015-04-03,0.2219,0.2219,0.2219,0.2219,DKK
2015-04-05,0.2199,0.2199,0.2199,0.2199,DKK
2015-04-06,0.22,0.22,0.22,0.22,DKK
2015-04-07,0.2184,0.2228,0.2184,0.222,DKK
2015-04-08,0.2217,0.2232,0.221,0.2221,DKK
2015-04-09,0.222,0.2248,0.2215,0.2243,DKK
2015-04-10,0.2243,0.2264,0.2241,0.2256,DKK
2015-04-12,0.226,0.226,0.2254,0.2254,DKK
2015-04-13,0.2255,0.2269,0.2251,0.2256,DKK
2015-04-14,0.2255,0.227,0.2235,0.2239,DKK
2015-04-15,0.2241,0.226,0.2231,0.2231,DKK
2015-04-16,0.2233,0.2257,0.2215,0.2242,DKK
2015-04-17,0.2243,0.2243,0.2215,0.2215,DKK
2015-04-19,0.2213,0.2225,0.2213,0.2225,DKK
2015-04-20,0.2224,0.2242,0.222,0.2237,DKK
2015-04-21,0.2233,0.2249,0.2227,0.223,DKK
2015-04-22,0.223,0.2251,0.2226,0.224,DKK
2015-04-23,0.2233,0.225,0.2214,0.2214,DKK
2015-04-24,0.2217,0.225,0.221,0.2235,DKK
2015-04-26,0.2212,0.2239,0.221,0.2239,DKK
2015-04-27,0.2239,0.226,0.222,0.2225,DKK
2015-04-28,0.2223,0.2256,0.2204,0.2204,DKK
2015-04-29,0.2206,0.2238,0.2185,0.2185,DKK
2015-04-30,0.2188,0.2225,0.2162,0.2162,DKK
2015-05-01,0.2166,0.2182,0.2157,0.2166,DKK
2015-05-03,0.2169,0.2171,0.2168,0.2171,DKK
2015-05-04,0.217,0.2183,0.2168,0.2177,DKK
2015-05-05,0.2176,0.2197,0.2167,0.2167,DKK
2015-05-06,0.2168,0.2177,0.214,0.214,DKK
2015-05-07,0.2141,0.2158,0.2129,0.2158,DKK
2015-05-08,0.2155,0.2173,0.2135,0.2168,DKK
2015-05-10,0.2166,0.2168,0.2165,0.2168,DKK
2015-05-11,0.2167,0.2181,0.2166,0.2173,DKK
2015-05-12,0.2176,0.2178,0.2151,0.2161,DKK
2015-05-13,0.216,0.2172,0.2139,0.2139,DKK
2015-05-14,0.2141,0.2174,0.2132,0.2132,DKK
2015-05-15,0.2134,0.216,0.2131,0.2131,DKK
2015-05-17,0.213,0.2132,0.213,0.2132,DKK
2015-05-18,0.2132,0.2168,0.2132,0.2155,DKK
2015-05-19,0.2153,0.22,0.2146,0.2184,DKK
2015-05-20,0.2185,0.2208,0.2184,0.2191,DKK
2015-05-21,0.219,0.2209,0.2187,0.219,DKK
2015-05-22,0.219,0.2224,0.2188,0.2217,DKK
2015-05-24,0.2217,0.2226,0.2217,0.2221,DKK
2015-05-25,0.2221,0.223,0.219,0.2223,DKK
2015-05-26,0.2223,0.2238,0.2223,0.2231,DKK
2015-05-27,0.223,0.2245,0.2225,0.2225,DKK
2015-05-28,0.2227,0.2238,0.2207,0.2207,DKK
2015-05-29,0.221,0.2228,0.2199,0.2199,DKK
2015-05-31,0.2201,0.2207,0.2199,0.2207,DKK
2015-06-01,0.2206,0.2223,0.2205,0.2209,DKK
2015-06-02,0.2208,0.2215,0.2157,0.2157,DKK
2015-06-03,0.2159,0.2196,0.214,0.214,DKK
2015-06-04,0.2143,0.2176,0.2126,0.2144,DKK
2015-06-05,0.2143,0.2179,0.2128,0.2163,DKK
2015-06-07,0.2167,0.2167,0.2164,0.2164,DKK
2015-06-08,0.2165,0.2169,0.2111,0.2115,DKK
2015-06-09,0.2115,0.2149,0.211,0.211,DKK
2015-06-10,0.211,0.2143,0.211,0.2116,DKK
2015-06-11,0.2118,0.2156,0.2118,0.2127,DKK
2015-06-12,0.2129,0.216,0.212,0.212,DKK
2015-06-14,0.2121,0.2131,0.2121,0.2131,DKK
2015-06-15,0.2129,0.2157,0.2115,0.2115,DKK
2015-06-16,0.2117,0.2153,0.2117,0.2122,DKK
2015-06-17,0.2123,0.2148,0.2099,0.2099,DKK
2015-06-18,0.21,0.2145,0.21,0.2134,DKK
2015-06-19,0.2136,0.2148,0.2116,0.2116,DKK
2015-06-21,0.2142,0.2146,0.2142,0.2146,DKK
2015-06-22,0.2146,0.2147,0.2123,0.2123,DKK
2015-06-23,0.2124,0.2169,0.2124,0.2155,DKK
2015-06-24,0.2154,0.2166,0.2143,0.2143,DKK
2015-06-25,0.2144,0.216,0.2144,0.2144,DKK
2015-06-26,0.2145,0.2161,0.2145,0.2147,DKK
2015-06-28,0.2177,0.2187,0.2175,0.2184,DKK
2015-06-29,0.2183,0.2189,0.2129,0.2133,DKK
2015-06-30,0.2134,0.2173,0.2134,0.2156,DKK
2015-07-01,0.2157,0.2182,0.2156,0.217,DKK
2015-07-02,0.2174,0.2184,0.2158,0.218,DKK
2015-07-03,0.218,0.2184,0.2158,0.2158,DKK
2015-07-05,0.2181,0.2185,0.2172,0.2181,DKK
2015-07-06,0.218,0.2192,0.216,0.2166,DKK
2015-07-07,0.2169,0.2201,0.2169,0.2179,DKK
2015-07-08,0.2176,0.2194,0.2157,0.2157,DKK
2015-07-09,0.2159,0.2186,0.2157,0.2162,DKK
2015-07-10,0.2161,0.2179,0.2142,0.2142,DKK
2015-07-12,0.2154,0.2154,0.2144,0.2144,DKK
2015-07-13,0.2147,0.2184,0.2147,0.2174,DKK
2015-07-14,0.2178,0.2189,0.2164,0.2164,DKK
2015-07-15,0.2166,0.2195,0.2166,0.218,DKK
2015-07-16,0.2182,0.2209,0.2182,0.2191,DKK
2015-07-17,0.219,0.2214,0.2187,0.2201,DKK
2015-07-19,0.22,0.2206,0.2198,0.2206,DKK
2015-07-20,0.2206,0.2216,0.2191,0.2201,DKK
2015-07-21,0.2198,0.2209,0.2171,0.2171,DKK
2015-07-22,0.2173,0.2202,0.2173,0.2179,DKK
2015-07-23,0.2179,0.2189,0.2159,0.2159,DKK
