Date,Open,High,Low,Close,Currency
2015-01-01,0.3878,0.3892,0.3876,0.389,DKK
2015-01-02,0.3877,0.3921,0.3876,0.3921,DKK
2015-01-05,0.3909,0.3956,0.3907,0.3942,DKK
2015-01-06,0.393,0.3959,0.3918,0.3954,DKK
2015-01-07,0.3941,0.3982,0.3939,0.3971,DKK
2015-01-08,0.3958,0.3999,0.3955,0.3991,DKK
2015-01-09,0.3978,0.4001,0.3962,0.3979,DKK
2015-01-12,0.3965,0.3994,0.3953,0.3978,DKK
2015-01-13,0.3965,0.4001,0.3956,0.3994,DKK
2015-01-14,0.3982,0.4073,0.3958,0.3988,DKK
2015-01-15,0.3975,0.406,0.3974,0.4038,DKK
2015-01-16,0.4024,0.4093,0.402,0.4053,DKK
2015-01-19,0.404,0.4061,0.4015,0.4039,DKK
2015-01-20,0.4026,0.4069,0.4023,0.4068,DKK
2015-01-21,0.4055,0.4071,0.4016,0.4048,DKK
2015-01-22,0.4036,0.4158,0.4025,0.4141,DKK
2015-01-23,0.4127,0.4234,0.4124,0.42,DKK
2015-01-26,0.4186,0.4261,0.4146,0.4179,DKK
2015-01-27,0.4166,0.4254,0.3919,0.4101,DKK
2015-01-28,0.4087,0.4147,0.4086,0.4144,DKK
2015-01-29,0.413,0.4153,0.41,0.413,DKK
2015-01-30,0.4117,0.414,0.4043,0.4063,DKK
2015-02-02,0.405,0.4225,0.4032,0.4052,DKK
2015-02-03,0.404,0.4062,0.395,0.3982,DKK
2015-02-04,0.3969,0.3995,0.3861,0.3911,DKK
2015-02-05,0.3899,0.3913,0.2553,0.2663,DKK
2015-02-06,0.2663,0.3388,0.2561,0.2604,DKK
2015-02-09,0.2579,0.2643,0.257,0.263,DKK
2015-02-10,0.2577,0.2627,0.2527,0.2567,DKK
2015-02-11,0.2529,0.2601,0.2503,0.2525,DKK
2015-02-12,0.2506,0.2532,0.2423,0.2445,DKK
2015-02-13,0.2427,0.2541,0.2419,0.2502,DKK
2015-02-16,0.2482,0.2504,0.2432,0.2484,DKK
2015-02-17,0.2465,0.249,0.2444,0.2471,DKK
2015-02-18,0.2452,0.2477,0.2382,0.2411,DKK
2015-02-19,0.2393,0.2421,0.2364,0.2408,DKK
2015-02-20,0.2381,0.2413,0.2311,0.2343,DKK
2015-02-23,0.2321,0.2359,0.2318,0.2351,DKK
2015-02-24,0.2329,0.2364,0.1932,0.1965,DKK
2015-02-25,0.1935,0.3033,0.1927,0.2344,DKK
2015-02-26,0.2344,0.239,0.1902,0.1975,DKK
2015-02-27,0.1931,0.2534,0.1928,0.2449,DKK
2015-03-02,0.2383,0.2566,0.2381,0.2517,DKK
2015-03-03,0.2422,0.2757,0.2416,0.2753,DKK
2015-03-04,0.2668,0.3001,0.2665,0.2997,DKK
2015-03-05,0.2863,0.3011,0.2701,0.2939,DKK
2015-03-06,0.2875,0.3021,0.2816,0.3019,DKK
2015-03-09,0.2954,0.3024,0.2938,0.3019,DKK
2015-03-10,0.2954,0.3242,0.2931,0.3241,DKK
2015-03-11,0.3166,0.3257,0.3107,0.3215,DKK
2015-03-12,0.3141,0.3261,0.3113,0.3246,DKK
2015-03-13,0.3231,0.3301,0.3195,0.3284,DKK
2015-03-16,0.3242,0.3259,0.3194,0.3226,DKK
2015-03-17,0.3225,0.3241,0.3095,0.3146,DKK
2015-03-18,0.3145,0.3192,0.2927,0.2987,DKK
2015-03-19,0.2981,0.3081,0.2541,0.3032,DKK
2015-03-20,0.2999,0.3169,0.2937,0.3139,DKK
2015-03-23,0.3093,0.3188,0.2933,0.3008,DKK
2015-03-24,0.2988,0.3175,0.2878,0.2942,DKK
2015-03-25,0.2913,0.3131,0.2859,0.3128,DKK
2015-03-26,0.3127,0.3131,0.2834,0.2933,DKK
2015-03-27,0.2932,0.2939,0.2869,0.2927,DKK
2015-03-30,0.2926,0.2957,0.2892,0.2923,DKK
2015-03-31,0.2909,0.3003,0.2908,0.297,DKK
2015-04-01,0.2934,0.3026,0.2833,0.29,DKK
2015-04-02,0.284,0.3021,0.2801,0.2866,DKK
2015-04-03,0.2806,0.3027,0.2804,0.3003,DKK
2015-04-06,0.291,0.2951,0.2882,0.2918,DKK
2015-04-07,0.2912,0.2955,0.2817,0.2937,DKK
2015-04-08,0.2928,0.2949,0.2888,0.2949,DKK
2015-04-09,0.2945,0.3014,0.2942,0.3009,DKK
2015-04-10,0.3002,0.3136,0.2979,0.3125,DKK
2015-04-13,0.3106,0.3149,0.31,0.3136,DKK
2015-04-14,0.3115,0.3217,0.3069,0.3188,DKK
2015-04-15,0.3116,0.3421,0.2969,0.3113,DKK
2015-04-16,0.2974,0.3334,0.2965,0.3311,DKK
2015-04-17,0.3287,0.3318,0.2936,0.3295,DKK
2015-04-20,0.3279,0.3311,0.3012,0.3042,DKK
2015-04-21,0.3021,0.3201,0.3018,0.3055,DKK
2015-04-22,0.3035,0.31,0.303,0.3079,DKK
2015-04-23,0.3065,0.3095,0.3044,0.3064,DKK
2015-04-24,0.305,0.3084,0.2982,0.299,DKK
2015-04-27,0.2985,0.3004,0.2967,0.2984,DKK
2015-04-28,0.2977,0.3107,0.2974,0.3083,DKK
2015-04-29,0.3061,0.3274,0.2948,0.3231,DKK
2015-04-30,0.3193,0.3246,0.3082,0.3131,DKK
2015-05-01,0.3094,0.3144,0.3076,0.3138,DKK
2015-05-04,0.3102,0.3158,0.3093,0.3152,DKK
2015-05-05,0.3114,0.3232,0.3036,0.3193,DKK
2015-05-06,0.3162,0.3181,0.3112,0.3133,DKK
2015-05-07,0.3118,0.3236,0.3111,0.3228,DKK
2015-05-08,0.3226,0.3331,0.3078,0.3172,DKK
2015-05-11,0.3098,0.3194,0.3096,0.3188,DKK
2015-05-12,0.3112,0.3412,0.3062,0.3238,DKK
2015-05-13,0.3076,0.3256,0.3061,0.3176,DKK
2015-05-14,0.3161,0.321,0.3126,0.3192,DKK
2015-05-15,0.3183,0.3208,0.286,0.3121,DKK
2015-05-18,0.3105,0.3148,0.2904,0.3032,DKK
2015-05-19,0.2997,0.3215,0.2941,0.3167,DKK
2015-05-20,0.3133,0.3246,0.3132,0.3241,DKK
2015-05-21,0.3201,0.3246,0.3176,0.3234,DKK
2015-05-22,0.3195,0.3266,0.3168,0.3264,DKK
2015-05-25,0.3225,0.3279,0.3224,0.3274,DKK
2015-05-26,0.3234,0.3277,0.3147,0.3181,DKK
2015-05-27,0.3165,0.3266,0.3044,0.3241,DKK
2015-05-28,0.3226,0.3268,0.2909,0.3244,DKK
2015-05-29,0.3236,0.3258,0.319,0.3225,DKK
2015-06-01,0.3211,0.3255,0.321,0.3242,DKK
2015-06-02,0.3227,0.3247,0.3153,0.3175,DKK
2015-06-03,0.3163,0.3212,0.314,0.3159,DKK
2015-06-04,0.3143,0.3178,0.3092,0.3154,DKK
2015-06-05,0.3131,0.3208,0.312,0.3189,DKK
2015-06-08,0.3185,0.3198,0.3118,0.3127,DKK
2015-06-09,0.3123,0.3136,0.3079,0.3118,DKK
2015-06-10,0.3114,0.3141,0.3085,0.3127,DKK
2015-06-11,0.3123,0.3175,0.3122,0.3152,DKK
2015-06-12,0.3148,0.3187,0.313,0.3145,DKK
2015-06-15,0.3138,0.3188,0.3033,0.3075,DKK
2015-06-16,0.3046,0.3088,0.2871,0.3049,DKK
2015-06-17,0.3014,0.3063,0.2979,0.3024,DKK
2015-06-18,0.3017,0.3108,0.2995,0.3105,DKK
2015-06-19,0.3083,0.3117,0.2968,0.3029,DKK
2015-06-22,0.2998,0.3081,0.2981,0.3023,DKK
2015-06-23,0.3012,0.3144,0.2982,0.3045,DKK
2015-06-24,0.2982,0.3188,0.2965,0.3051,DKK
2015-06-25,0.3004,0.3178,0.2985,0.317,DKK
2015-06-26,0.3162,0.3195,0.3111,0.3183,DKK
2015-06-29,0.3179,0.3257,0.3111,0.3144,DKK
2015-06-30,0.3122,0.3196,0.3119,0.3188,DKK
2015-07-01,0.3184,0.3216,0.316,0.3213,DKK
2015-07-02,0.3209,0.3214,0.3183,0.3203,DKK
2015-07-03,0.3201,0.3227,0.3152,0.318,DKK
2015-07-06,0.3187,0.3218,0.3111,0.3149,DKK
2015-07-07,0.312,0.3201,0.309,0.3141,DKK
2015-07-08,0.3091,0.3213,0.2994,0.3084,DKK
2015-07-09,0.2995,0.3174,0.2983,0.3078,DKK
2015-07-10,0.3006,0.3069,0.298,0.3049,DKK
2015-07-13,0.3013,0.3211,0.2965,0.3055,DKK
2015-07-14,0.3041,0.3085,0.302,0.3054,DKK
2015-07-15,0.3039,0.3125,0.2988,0.3037,DKK
2015-07-16,0.2989,0.3238,0.2985,0.3087,DKK
2015-07-17,0.3056,0.3138,0.2964,0.305,DKK
2015-07-20,0.2967,0.3226,0.2906,0.302,DKK
2015-07-21,0.2906,0.3137,0.2904,0.309,DKK
2015-07-22,0.3065,0.311,0.3057,0.3093,DKK
2015-07-23,0.3066,0.315,0.2964,0.3036,DKK
2015-07-24,0.2967,0.3103,0.2964,0.3089,DKK
2015-07-27,0.3082,0.3204,0.3007,0.3042,DKK
2015-07-28,0.3017,0.3102,0.2985,0.3018,DKK
2015-07-29,0.2985,0.3106,0.2953,0.3067,DKK
2015-07-30,0.3045,0.3246,0.2981,0.3235,DKK
2015-07-31,0.3218,0.3272,0.307,0.3201,DKK
2015-08-03,0.3168,0.3224,0.3058,0.3084,DKK
2015-08-04,0.3069,0.3182,0.3043,0.3182,DKK
2015-08-05,0.3166,0.3228,0.3074,0.3107,DKK
2015-08-06,0.3075,0.3222,0.3064,0.3206,DKK
2015-08-07,0.3184,0.3253,0.3098,0.3221,DKK
2015-08-10,0.3216,0.3253,0.3106,0.3158,DKK
2015-08-11,0.3128,0.3203,0.3086,0.3129,DKK
2015-08-12,0.3114,0.3149,0.3068,0.3134,DKK
2015-08-13,0.3111,0.3161,0.308,0.3121,DKK
2015-08-14,0.3084,0.3108,0.2988,0.3049,DKK
2015-08-17,0.303,0.3153,0.2996,0.3021,DKK
2015-08-18,0.3008,0.3188,0.3003,0.3171,DKK
2015-08-19,0.3137,0.319,0.3024,0.3124,DKK
2015-08-20,0.3073,0.3078,0.299,0.2994,DKK
2015-08-21,0.299,0.3045,0.2855,0.2907,DKK
