Date,Open,High,Low,Close,Currency
2015-01-01,1.2247,1.226,1.2212,1.2222,AUD
2015-01-02,1.2217,1.2377,1.2213,1.2362,AUD
2015-01-05,1.2375,1.2445,1.2327,1.2372,AUD
2015-01-06,1.237,1.2374,1.2252,1.2369,AUD
2015-01-07,1.2369,1.2451,1.2352,1.2377,AUD
2015-01-08,1.2373,1.239,1.2291,1.2311,AUD
2015-01-09,1.2308,1.234,1.2174,1.2188,AUD
2015-01-12,1.2182,1.2298,1.2108,1.226,AUD
2015-01-13,1.2256,1.2304,1.2194,1.2245,AUD
2015-01-14,1.2243,1.24,1.2209,1.2269,AUD
2015-01-15,1.2265,1.2297,1.205,1.2176,AUD
2015-01-16,1.2168,1.2245,1.2108,1.2155,AUD
2015-01-19,1.216,1.2201,1.2127,1.2178,AUD
2015-01-20,1.2177,1.2257,1.2162,1.2239,AUD
2015-01-21,1.2235,1.238,1.2139,1.2368,AUD
2015-01-22,1.2366,1.2509,1.2285,1.246,AUD
2015-01-23,1.2455,1.2693,1.2418,1.2646,AUD
2015-01-26,1.2665,1.2732,1.2596,1.2618,AUD
2015-01-27,1.2615,1.2655,1.2533,1.2599,AUD
2015-01-28,1.2594,1.2686,1.2453,1.2677,AUD
2015-01-29,1.2676,1.2956,1.2644,1.2886,AUD
2015-01-30,1.2883,1.2937,1.2819,1.2873,AUD
2015-02-02,1.2923,1.294,1.2765,1.2816,AUD
2015-02-03,1.2812,1.3114,1.2734,1.2832,AUD
2015-02-04,1.2834,1.2919,1.2734,1.2899,AUD
2015-02-05,1.2897,1.2933,1.2773,1.2824,AUD
2015-02-06,1.2821,1.2862,1.269,1.2826,AUD
2015-02-09,1.287,1.2914,1.2757,1.2815,AUD
2015-02-10,1.2821,1.291,1.2747,1.287,AUD
2015-02-11,1.2867,1.2998,1.2824,1.2955,AUD
2015-02-12,1.295,1.3085,1.2849,1.2927,AUD
2015-02-13,1.2922,1.2946,1.2829,1.2873,AUD
2015-02-16,1.2873,1.2908,1.2824,1.2865,AUD
2015-02-17,1.2865,1.2911,1.2765,1.2792,AUD
2015-02-18,1.2784,1.2864,1.2753,1.2801,AUD
2015-02-19,1.2801,1.2893,1.2745,1.2833,AUD
2015-02-20,1.2829,1.2841,1.2732,1.2749,AUD
2015-02-23,1.274,1.2851,1.2731,1.2818,AUD
2015-02-24,1.2809,1.2928,1.2752,1.2768,AUD
2015-02-25,1.2765,1.2786,1.2649,1.2681,AUD
2015-02-26,1.2677,1.2845,1.2631,1.282,AUD
2015-02-27,1.2814,1.2859,1.2757,1.2802,AUD
2015-03-02,1.2753,1.2894,1.2737,1.2875,AUD
2015-03-03,1.287,1.2906,1.274,1.2795,AUD
2015-03-04,1.2784,1.2833,1.2716,1.2792,AUD
2015-03-05,1.2789,1.2901,1.275,1.285,AUD
2015-03-06,1.2847,1.2987,1.2739,1.2956,AUD
2015-03-09,1.2974,1.3013,1.2913,1.2984,AUD
2015-03-10,1.2982,1.3153,1.2957,1.3114,AUD
2015-03-11,1.3108,1.323,1.3075,1.3167,AUD
2015-03-12,1.316,1.3205,1.293,1.2974,AUD
2015-03-13,1.2962,1.3149,1.2957,1.3094,AUD
2015-03-16,1.3091,1.3138,1.3014,1.3088,AUD
2015-03-17,1.3084,1.315,1.3038,1.3127,AUD
2015-03-18,1.3127,1.3175,1.2744,1.2868,AUD
2015-03-19,1.2858,1.3144,1.2804,1.3075,AUD
2015-03-20,1.3068,1.3094,1.2807,1.2863,AUD
2015-03-23,1.2847,1.2879,1.265,1.2689,AUD
2015-03-24,1.2681,1.2759,1.2591,1.2696,AUD
2015-03-25,1.2692,1.2776,1.2644,1.2747,AUD
2015-03-26,1.2742,1.2821,1.2676,1.2774,AUD
2015-03-27,1.277,1.2923,1.2747,1.29,AUD
2015-03-30,1.2903,1.3105,1.287,1.3064,AUD
2015-03-31,1.3057,1.3175,1.3043,1.3146,AUD
2015-04-01,1.3142,1.3192,1.3043,1.3158,AUD
2015-04-02,1.3151,1.3277,1.3135,1.3173,AUD
2015-04-03,1.3168,1.3211,1.2995,1.3104,AUD
2015-04-06,1.3116,1.3195,1.3034,1.3174,AUD
2015-04-07,1.3161,1.32,1.2962,1.31,AUD
2015-04-08,1.3098,1.3103,1.2933,1.3015,AUD
2015-04-09,1.3011,1.3056,1.2915,1.2998,AUD
2015-04-10,1.2992,1.3105,1.2945,1.3014,AUD
2015-04-13,1.3021,1.3239,1.3004,1.3176,AUD
2015-04-14,1.3172,1.3237,1.3067,1.3114,AUD
2015-04-15,1.311,1.3209,1.298,1.302,AUD
2015-04-16,1.3012,1.3037,1.2776,1.2815,AUD
2015-04-17,1.2814,1.2897,1.2744,1.286,AUD
2015-04-20,1.2749,1.2979,1.2742,1.2944,AUD
2015-04-21,1.2938,1.3018,1.289,1.2971,AUD
2015-04-22,1.2967,1.2984,1.2802,1.2895,AUD
2015-04-23,1.2892,1.2969,1.2829,1.2856,AUD
2015-04-24,1.2849,1.2888,1.2747,1.2791,AUD
2015-04-27,1.2783,1.2838,1.2698,1.2725,AUD
2015-04-28,1.2721,1.2767,1.245,1.2462,AUD
2015-04-29,1.2458,1.2538,1.2378,1.2487,AUD
2015-04-30,1.2483,1.2719,1.2461,1.265,AUD
