Date,Open,High,Low,Close,Currency
2015-01-01,77.8,77.925,77.8,77.925,BDT
2015-01-02,77.8,77.925,77.77,77.895,BDT
2015-01-05,77.77,77.895,77.75,77.875,BDT
2015-01-06,77.75,78.075,77.75,78.005,BDT
2015-01-07,77.75,77.875,77.75,77.875,BDT
2015-01-08,77.75,77.875,77.73,77.875,BDT
2015-01-09,77.75,77.875,77.72,77.875,BDT
2015-01-12,77.75,77.875,77.7,77.825,BDT
2015-01-13,77.7,77.875,77.7,77.875,BDT
2015-01-14,77.75,77.875,77.7,77.845,BDT
2015-01-15,77.72,77.875,77.72,77.855,BDT
2015-01-16,77.73,77.875,77.73,77.875,BDT
2015-01-19,77.75,77.875,77.73,77.855,BDT
2015-01-20,77.75,77.875,77.75,77.875,BDT
2015-01-21,77.75,77.875,77.75,77.875,BDT
2015-01-22,77.75,77.875,77.73,77.875,BDT
2015-01-23,77.75,77.875,77.74,77.875,BDT
2015-01-26,77.75,77.875,77.74,77.865,BDT
2015-01-27,77.74,77.875,77.67,77.795,BDT
2015-01-28,77.67,77.875,77.65,77.875,BDT
2015-01-29,77.75,77.875,77.35,77.475,BDT
2015-01-30,77.35,77.475,77.35,77.475,BDT
2015-02-02,77.35,77.825,77.35,77.825,BDT
2015-02-03,77.7,77.825,77.7,77.825,BDT
2015-02-04,77.7,77.825,77.68,77.825,BDT
2015-02-05,77.7,77.875,77.7,77.875,BDT
2015-02-06,77.75,77.875,77.73,77.875,BDT
2015-02-09,77.75,77.875,77.75,77.875,BDT
2015-02-10,77.75,77.875,77.73,77.855,BDT
2015-02-11,77.73,77.875,77.73,77.875,BDT
2015-02-12,77.75,77.875,77.73,77.875,BDT
2015-02-13,77.75,77.875,77.73,77.875,BDT
2015-02-16,77.75,77.925,77.75,77.895,BDT
2015-02-17,77.77,77.925,77.75,77.905,BDT
2015-02-18,77.78,77.925,77.78,77.925,BDT
2015-02-19,77.8,77.925,77.78,77.925,BDT
2015-02-20,77.8,77.925,77.78,77.925,BDT
