Date,Open,High,Low,Close,Currency
2015-01-01,9.4967,9.5238,9.4877,9.5148,BWP
2015-01-02,9.4967,9.5238,9.4787,9.5058,BWP
2015-01-05,9.4967,9.6524,9.4877,9.6339,BWP
2015-01-06,9.4967,9.6617,9.4967,9.6247,BWP
2015-01-07,9.4967,9.6523,9.4967,9.6154,BWP
2015-01-08,9.4967,9.6522,9.4967,9.597,BWP
2015-01-09,9.4967,9.6059,9.4967,9.5603,BWP
2015-01-12,9.4967,9.5694,9.4967,9.542,BWP
2015-01-13,9.4967,9.5602,9.4967,9.5329,BWP
2015-01-14,9.4967,9.6059,9.4967,9.542,BWP
2015-01-15,9.4967,9.5873,9.4787,9.5058,BWP
2015-01-16,9.4967,9.606,9.4967,9.5786,BWP
2015-01-19,9.4967,9.6432,9.4967,9.6247,BWP
2015-01-20,9.4967,9.6616,9.4967,9.6062,BWP
2015-01-21,9.5969,9.6244,9.5511,9.5786,BWP
2015-01-22,9.5969,9.6242,9.5238,9.5511,BWP
2015-01-23,9.5969,9.6245,9.5238,9.597,BWP
2015-01-26,9.5969,9.6245,9.5511,9.597,BWP
2015-01-27,9.5969,9.6524,9.5602,9.6247,BWP
2015-01-28,9.5969,9.6337,9.5694,9.597,BWP
2015-01-29,9.5969,9.6712,9.5785,9.6525,BWP
2015-01-30,9.5969,9.6618,9.5785,9.6339,BWP
2015-02-02,9.5969,9.6617,9.5877,9.6154,BWP
2015-02-03,9.5969,9.6243,9.5329,9.5694,BWP
2015-02-04,9.5969,9.6242,9.4967,9.5329,BWP
2015-02-05,9.5969,9.6241,9.4967,9.5239,BWP
2015-02-06,9.5969,9.6238,9.4518,9.4787,BWP
2015-02-09,9.5969,9.6246,9.4607,9.6246,BWP
2015-02-10,9.6154,9.6711,9.5877,9.6525,BWP
2015-02-11,9.7371,9.7513,9.5969,9.7229,BWP
2015-02-12,9.7087,9.7416,9.5969,9.6665,BWP
2015-02-13,9.7466,9.7935,9.5969,9.6433,BWP
2015-02-16,9.5969,9.6805,9.5877,9.6525,BWP
2015-02-17,9.7371,9.7603,9.5785,9.6386,BWP
2015-02-18,9.6246,9.6757,9.5785,9.62,BWP
2015-02-19,9.7561,9.7839,9.5694,9.6247,BWP
2015-02-20,9.5969,9.657,9.5969,9.6107,BWP
2015-02-23,9.5969,9.6852,9.5969,9.6479,BWP
2015-02-24,9.7371,9.7744,9.5877,9.6154,BWP
2015-02-25,9.5969,9.6243,9.5057,9.5603,BWP
2015-02-26,9.5969,9.6242,9.4877,9.542,BWP
2015-02-27,9.5969,9.6804,9.5785,9.6433,BWP
2015-03-02,9.5969,9.7275,9.5969,9.6994,BWP
2015-03-03,9.5969,9.756,9.5969,9.7277,BWP
2015-03-04,9.5969,9.7799,9.5969,9.7609,BWP
2015-03-05,9.7371,9.823,9.5969,9.7848,BWP
2015-03-06,9.8135,9.901,9.5969,9.8815,BWP
2015-03-09,9.5969,9.9501,9.5969,9.9109,BWP
2015-03-10,9.9305,10.03,9.8912,10.0001,BWP
2015-03-11,9.98,10.1006,9.98,10.0202,BWP
2015-03-12,10.01,10.0499,9.9502,9.9901,BWP
2015-03-13,10.0402,10.1626,9.9502,10.1524,BWP
2015-03-16,10.1112,10.1317,10.0,10.101,BWP
2015-03-17,10.1112,10.1417,10.0,10.0808,BWP
2015-03-18,10.1112,10.1413,9.9602,10.0101,BWP
2015-03-19,9.98,10.1313,9.9108,10.0503,BWP
2015-03-20,10.0301,10.1407,9.8425,9.9109,BWP
2015-03-23,9.9502,9.9792,9.7943,9.8329,BWP
2015-03-24,9.8232,9.9493,9.5969,9.7848,BWP
2015-03-25,9.7847,9.852,9.5969,9.804,BWP
2015-03-26,9.8232,9.9597,9.5969,9.8717,BWP
2015-03-27,9.8232,9.96,9.5969,9.9109,BWP
2015-03-30,9.5969,10.0551,9.5969,9.9552,BWP
2015-03-31,9.9404,10.0148,9.8135,9.9552,BWP
2015-04-01,9.8135,9.9551,9.8135,9.9059,BWP
2015-04-02,9.901,9.9303,9.8425,9.8815,BWP
2015-04-03,9.5969,9.901,9.5969,9.8815,BWP
2015-04-06,9.5969,9.8912,9.5969,9.8815,BWP
2015-04-07,9.5969,9.935,9.5969,9.8281,BWP
2015-04-08,9.8814,9.9647,9.5969,9.8184,BWP
2015-04-09,9.9404,9.9896,9.5969,9.8912,BWP
2015-04-10,9.7371,9.9799,9.7371,9.9503,BWP
2015-04-13,9.901,10.015,9.901,10.005,BWP
2015-04-14,9.8135,10.0197,9.8135,9.9207,BWP
2015-04-15,9.901,10.0246,9.901,9.9256,BWP
2015-04-16,9.901,9.9453,9.8619,9.9059,BWP
2015-04-17,9.901,9.9947,9.8039,9.9157,BWP
2015-04-20,9.901,9.9702,9.8619,9.9603,BWP
2015-04-21,9.9305,10.0297,9.901,9.9603,BWP
2015-04-22,9.9305,10.0497,9.8912,9.9603,BWP
2015-04-23,10.0,10.0496,9.901,9.9405,BWP
2015-04-24,9.9206,10.0801,9.8039,9.9207,BWP
2015-04-27,9.901,9.9499,9.8135,9.8717,BWP
2015-04-28,9.8425,9.9199,9.5969,9.7752,BWP
2015-04-29,9.5969,9.8229,9.5969,9.7277,BWP
2015-04-30,9.7087,9.8327,9.5969,9.804,BWP
2015-05-01,9.5969,9.8135,9.5969,9.804,BWP
2015-05-04,9.5969,9.8716,9.5969,9.8523,BWP
2015-05-05,9.8328,9.8764,9.5969,9.8184,BWP
2015-05-06,9.8039,9.8329,9.5969,9.8135,BWP
2015-05-07,9.7847,9.8425,9.5969,9.8329,BWP
2015-05-08,9.8135,9.8615,9.5969,9.7752,BWP
2015-05-11,9.5969,9.8473,9.5969,9.828,BWP
2015-05-12,9.8232,9.8618,9.5969,9.8232,BWP
2015-05-13,9.8039,9.8326,9.5969,9.7752,BWP
2015-05-14,9.7182,9.7843,9.5969,9.6994,BWP
2015-05-15,9.6618,9.7843,9.5969,9.6994,BWP
2015-05-18,9.5969,9.7229,9.5969,9.7229,BWP
2015-05-19,9.5969,9.8134,9.5969,9.7848,BWP
2015-05-20,9.5969,9.8325,9.5969,9.7657,BWP
2015-05-21,9.7466,9.7846,9.6899,9.7467,BWP
2015-05-22,9.7466,9.8087,9.6899,9.8087,BWP
2015-05-25,9.7466,9.8474,9.7466,9.8377,BWP
2015-05-26,9.7466,9.9059,9.7466,9.9059,BWP
2015-05-27,9.7466,9.96,9.7466,9.9207,BWP
2015-05-28,9.7466,9.9701,9.7466,9.9405,BWP
2015-05-29,9.7466,9.96,9.7466,9.9207,BWP
2015-06-01,9.7466,10.0099,9.7466,9.9801,BWP
2015-06-02,9.7466,10.0196,9.7466,9.9306,BWP
2015-06-03,9.7466,9.9898,9.7466,9.9306,BWP
2015-06-04,9.8912,9.9998,9.8912,9.9405,BWP
2015-06-05,9.8912,10.1519,9.8912,10.0706,BWP
2015-06-08,9.8912,10.1212,9.8912,10.0706,BWP
2015-06-09,9.8912,10.0803,9.8912,10.0001,BWP
2015-06-10,9.8912,9.97,9.8912,9.9306,BWP
2015-06-11,9.8912,10.0396,9.8912,9.9306,BWP
2015-06-12,9.8912,10.0298,9.8912,9.9702,BWP
2015-06-15,9.8912,10.0099,9.8912,9.9801,BWP
2015-06-16,9.8912,10.0098,9.8912,9.9603,BWP
2015-06-17,9.8912,10.0,9.8912,9.9801,BWP
2015-06-18,9.8912,9.9893,9.8039,9.8523,BWP
2015-06-19,9.8912,9.9203,9.8135,9.8426,BWP
2015-06-22,9.8912,9.9201,9.7847,9.8136,BWP
2015-06-23,9.8912,9.9205,9.8232,9.8815,BWP
2015-06-24,9.8912,9.9204,9.8328,9.862,BWP
2015-06-25,9.8912,9.9202,9.8039,9.8329,BWP
2015-06-26,9.8912,9.9205,9.8135,9.8912,BWP
2015-06-29,9.8912,9.9699,9.8619,9.9109,BWP
2015-06-30,9.8912,9.9302,9.8328,9.862,BWP
2015-07-01,9.8912,9.9305,9.8425,9.9207,BWP
2015-07-02,9.8912,9.9996,9.8619,9.9207,BWP
2015-07-03,9.8912,9.9601,9.8912,9.9306,BWP
2015-07-06,9.8912,10.03,9.8912,10.0001,BWP
2015-07-07,9.8912,10.0755,9.8912,10.0453,BWP
2015-07-08,9.8912,10.0907,9.8912,10.0403,BWP
2015-07-09,9.8912,10.0805,9.8912,10.0302,BWP
2015-07-10,9.8912,10.05,9.8912,10.0001,BWP
2015-07-13,9.8912,10.0602,9.8912,10.0101,BWP
2015-07-14,9.8912,10.0602,9.8912,10.0101,BWP
2015-07-15,9.8912,10.0402,9.8912,10.0302,BWP
2015-07-16,9.8912,10.0602,9.8912,10.0101,BWP
2015-07-17,9.8912,10.0399,9.8912,9.9901,BWP
2015-07-20,9.8912,10.1297,9.8328,9.981,BWP
2015-07-21,9.98,10.1295,9.8717,9.9711,BWP
2015-07-22,9.9701,10.0986,9.8232,9.9314,BWP
2015-07-23,9.9404,10.0803,9.8328,10.0203,BWP
2015-07-24,9.9701,10.1624,9.8425,10.1217,BWP
2015-07-27,9.9305,10.2016,9.8912,10.0311,BWP
2015-07-28,10.02,10.1906,9.8814,9.991,BWP
2015-07-29,10.0,10.1209,9.8912,10.0404,BWP
2015-07-30,9.99,10.1933,9.8912,10.1319,BWP
2015-07-31,10.0806,10.2535,9.8912,10.0614,BWP
2015-08-03,9.9602,10.2434,9.8912,10.0715,BWP
2015-08-04,9.9701,10.2018,9.8912,10.0412,BWP
2015-08-05,10.0503,10.2607,9.8912,10.158,BWP
2015-08-06,10.1317,10.2667,9.8912,10.2051,BWP
2015-08-07,10.101,10.2242,10.0,10.1319,BWP
2015-08-10,9.8912,10.2432,9.8912,10.0614,BWP
2015-08-11,10.0908,10.2238,9.8912,10.1119,BWP
2015-08-12,10.0908,10.263,9.8912,10.021,BWP
2015-08-13,10.0705,10.2537,9.8912,10.0715,BWP
2015-08-14,10.0908,10.2638,9.8912,10.0614,BWP
2015-08-17,9.9602,10.2979,9.8912,10.2051,BWP
2015-08-18,10.1215,10.3072,10.0503,10.1533,BWP
2015-08-19,10.1523,10.3068,10.0301,10.1327,BWP
2015-08-20,10.0908,10.3169,9.8912,10.1225,BWP
2015-08-21,10.101,10.2745,9.8912,10.0816,BWP
2015-08-24,9.98,10.3701,9.8912,10.1637,BWP
2015-08-25,10.4058,10.476,9.9701,10.2198,BWP
2015-08-26,10.4058,10.4761,9.9701,10.2406,BWP
2015-08-27,10.1215,10.5969,9.8912,10.1844,BWP
2015-08-28,10.2564,10.5973,10.0806,10.2051,BWP
2015-08-31,10.101,10.3945,10.101,10.3095,BWP
2015-09-01,10.2564,10.4465,10.1523,10.2575,BWP
2015-09-02,10.2987,10.4901,10.1523,10.2891,BWP
2015-09-03,10.3306,10.5147,10.1833,10.4278,BWP
2015-09-04,10.3734,10.5707,10.2881,10.5377,BWP
2015-09-07,10.4822,10.638,10.2881,10.5823,BWP
2015-09-08,10.5263,10.6689,10.0604,10.4505,BWP
2015-09-09,10.4384,10.6127,10.3093,10.4178,BWP
2015-09-10,10.4275,10.6142,10.1729,10.4387,BWP
2015-09-11,10.3842,10.5033,10.2354,10.3953,BWP
