Date,Open,High,Low,Close,Currency
2015-01-01,1.1622,1.1624,1.1611,1.1617,CAD
2015-01-02,1.1613,1.1787,1.1598,1.1784,CAD
2015-01-05,1.1779,1.182,1.1741,1.1764,CAD
2015-01-06,1.1763,1.184,1.1729,1.1836,CAD
2015-01-07,1.1835,1.1875,1.1812,1.1814,CAD
2015-01-08,1.1812,1.1845,1.1793,1.1831,CAD
2015-01-09,1.1827,1.189,1.1803,1.1867,CAD
2015-01-12,1.1864,1.1976,1.1835,1.1974,CAD
2015-01-13,1.1975,1.1995,1.1924,1.1957,CAD
2015-01-14,1.1957,1.2018,1.1925,1.1951,CAD
2015-01-15,1.195,1.1997,1.1801,1.196,CAD
2015-01-16,1.1959,1.2046,1.1948,1.1985,CAD
2015-01-19,1.1976,1.1987,1.1932,1.1939,CAD
2015-01-20,1.1944,1.2117,1.1935,1.2114,CAD
2015-01-21,1.2113,1.2395,1.2062,1.234,CAD
2015-01-22,1.234,1.242,1.2311,1.238,CAD
2015-01-23,1.238,1.2456,1.2357,1.242,CAD
2015-01-26,1.2444,1.2492,1.2403,1.2475,CAD
2015-01-27,1.2473,1.25,1.2376,1.2399,CAD
2015-01-28,1.2397,1.2539,1.2386,1.2537,CAD
2015-01-29,1.2538,1.2679,1.2508,1.2618,CAD
2015-01-30,1.2616,1.2799,1.2604,1.2732,CAD
2015-02-02,1.2731,1.2772,1.2553,1.2567,CAD
2015-02-03,1.2561,1.2643,1.2351,1.2416,CAD
2015-02-04,1.2414,1.2591,1.2388,1.2574,CAD
2015-02-05,1.2576,1.2586,1.2391,1.2435,CAD
2015-02-06,1.2435,1.2548,1.2416,1.2525,CAD
2015-02-09,1.2536,1.2546,1.2426,1.2468,CAD
2015-02-10,1.2464,1.2624,1.2447,1.2587,CAD
2015-02-11,1.2588,1.27,1.2571,1.2633,CAD
2015-02-12,1.2633,1.2648,1.2439,1.2506,CAD
2015-02-13,1.251,1.2538,1.242,1.2449,CAD
2015-02-16,1.2446,1.249,1.2419,1.2466,CAD
2015-02-17,1.2467,1.248,1.2361,1.2389,CAD
2015-02-18,1.239,1.2466,1.2378,1.2456,CAD
2015-02-19,1.2456,1.2548,1.2433,1.2496,CAD
2015-02-20,1.2495,1.2566,1.242,1.2528,CAD
2015-02-23,1.2529,1.2626,1.2521,1.2573,CAD
2015-02-24,1.257,1.2665,1.2478,1.2483,CAD
2015-02-25,1.2488,1.2499,1.24,1.2436,CAD
2015-02-26,1.2436,1.2536,1.2385,1.2515,CAD
2015-02-27,1.2515,1.2531,1.2448,1.2508,CAD
2015-03-02,1.2479,1.2565,1.2473,1.2536,CAD
2015-03-03,1.2534,1.2545,1.2431,1.2496,CAD
2015-03-04,1.2499,1.2541,1.2407,1.2428,CAD
2015-03-05,1.2428,1.2519,1.2407,1.2485,CAD
2015-03-06,1.2487,1.2629,1.2456,1.2622,CAD
2015-03-09,1.2623,1.2628,1.2574,1.2603,CAD
2015-03-10,1.2603,1.2692,1.2599,1.2689,CAD
2015-03-11,1.269,1.2799,1.2664,1.2752,CAD
2015-03-12,1.2748,1.2769,1.2618,1.2685,CAD
2015-03-13,1.2683,1.2824,1.2681,1.2784,CAD
2015-03-16,1.2773,1.2818,1.2733,1.2773,CAD
2015-03-17,1.2772,1.2797,1.2748,1.2788,CAD
2015-03-18,1.2792,1.2836,1.2477,1.2566,CAD
2015-03-19,1.2565,1.276,1.2508,1.2719,CAD
2015-03-20,1.2719,1.2727,1.2549,1.2551,CAD
2015-03-23,1.2555,1.2616,1.2494,1.2523,CAD
2015-03-24,1.2525,1.2549,1.2429,1.2494,CAD
2015-03-25,1.2493,1.2541,1.2473,1.2516,CAD
2015-03-26,1.2522,1.2533,1.2408,1.2483,CAD
2015-03-27,1.248,1.2623,1.2465,1.261,CAD
2015-03-30,1.2599,1.2707,1.2593,1.2675,CAD
2015-03-31,1.2675,1.2784,1.2649,1.2687,CAD
2015-04-01,1.2684,1.2711,1.2574,1.2621,CAD
2015-04-02,1.2618,1.2656,1.2555,1.2557,CAD
2015-04-03,1.2559,1.2576,1.2428,1.2484,CAD
2015-04-06,1.2452,1.2507,1.2435,1.2479,CAD
2015-04-07,1.2481,1.2523,1.2454,1.2506,CAD
2015-04-08,1.2504,1.256,1.2386,1.2543,CAD
2015-04-09,1.2548,1.2615,1.2506,1.258,CAD
2015-04-10,1.2577,1.2669,1.2562,1.2562,CAD
2015-04-13,1.2576,1.2647,1.2556,1.2595,CAD
2015-04-14,1.2597,1.2605,1.2443,1.2485,CAD
2015-04-15,1.2486,1.2571,1.228,1.2288,CAD
2015-04-16,1.2289,1.2329,1.2141,1.2187,CAD
2015-04-17,1.2188,1.2273,1.2087,1.225,CAD
2015-04-20,1.2222,1.2261,1.218,1.2223,CAD
2015-04-21,1.222,1.2306,1.221,1.2281,CAD
