Date,Open,High,Low,Close,Currency
2015-01-01,606.4,606.7,605.9,606.5,CLP
2015-01-02,606.2,615.23,606.0,613.63,CLP
2015-01-05,613.13,618.4,613.13,617.35,CLP
2015-01-06,617.27,619.15,613.38,616.45,CLP
2015-01-07,616.0,616.85,613.25,614.14,CLP
2015-01-08,613.6,615.48,611.2,612.86,CLP
2015-01-09,612.58,615.95,612.55,614.49,CLP
2015-01-12,613.99,618.15,613.99,616.52,CLP
2015-01-13,616.25,621.25,615.15,619.48,CLP
2015-01-14,618.98,627.38,618.65,625.83,CLP
2015-01-15,625.33,626.71,620.52,625.52,CLP
2015-01-16,625.02,629.79,623.95,627.88,CLP
2015-01-19,627.7,630.0,627.2,628.1,CLP
2015-01-20,628.0,630.35,624.7,628.87,CLP
2015-01-21,628.25,630.3,626.35,628.16,CLP
2015-01-22,627.66,628.9,622.6,624.5,CLP
2015-01-23,624.0,628.4,624.0,625.5,CLP
2015-01-26,625.65,628.14,622.23,623.42,CLP
2015-01-27,623.08,624.99,621.4,623.38,CLP
2015-01-28,623.0,624.69,620.37,622.74,CLP
2015-01-29,622.15,628.3,622.15,627.64,CLP
2015-01-30,627.14,635.4,627.14,633.58,CLP
2015-02-02,632.83,634.0,629.4,630.0,CLP
2015-02-03,629.65,629.99,624.25,625.57,CLP
2015-02-04,625.32,628.05,624.25,626.85,CLP
2015-02-05,626.5,627.51,622.5,623.88,CLP
2015-02-06,623.5,628.62,619.38,627.75,CLP
2015-02-09,627.25,628.42,623.14,624.33,CLP
2015-02-10,623.9,627.32,623.75,626.48,CLP
2015-02-11,626.21,631.89,625.6,629.98,CLP
2015-02-12,629.88,630.06,621.55,621.92,CLP
2015-02-13,622.48,623.95,617.25,618.75,CLP
2015-02-16,618.4,622.2,616.75,621.6,CLP
2015-02-17,621.5,622.31,617.03,621.0,CLP
2015-02-18,619.58,622.7,618.5,619.77,CLP
2015-02-19,619.4,623.77,617.11,619.65,CLP
2015-02-20,619.0,619.45,614.55,615.85,CLP
2015-02-23,615.8,624.3,615.5,623.06,CLP
2015-02-24,622.41,625.82,618.3,618.8,CLP
2015-02-25,618.77,620.74,616.6,617.12,CLP
2015-02-26,616.75,620.55,614.4,619.7,CLP
2015-02-27,618.95,621.97,616.24,617.36,CLP
2015-03-02,616.97,619.45,615.7,616.45,CLP
2015-03-03,615.7,619.75,615.7,617.1,CLP
2015-03-04,616.35,621.36,616.35,618.87,CLP
2015-03-05,618.2,623.1,617.95,620.45,CLP
2015-03-06,619.7,628.23,619.6,625.62,CLP
2015-03-09,625.0,630.38,624.8,628.1,CLP
2015-03-10,627.5,636.57,627.5,635.65,CLP
2015-03-11,635.0,639.82,635.0,638.05,CLP
2015-03-12,637.25,638.63,630.2,634.05,CLP
2015-03-13,633.6,641.02,633.6,640.0,CLP
2015-03-16,639.5,641.8,636.8,640.79,CLP
2015-03-17,640.4,642.71,640.0,641.29,CLP
2015-03-18,640.7,643.73,635.3,636.0,CLP
2015-03-19,635.7,641.31,635.2,640.38,CLP
2015-03-20,639.63,641.25,630.03,631.7,CLP
2015-03-23,631.3,632.25,623.3,624.2,CLP
2015-03-24,623.8,625.75,620.55,622.2,CLP
2015-03-25,621.8,623.52,617.78,621.06,CLP
2015-03-26,620.4,623.88,617.85,623.0,CLP
2015-03-27,622.6,624.5,621.3,623.24,CLP
2015-03-30,622.59,629.27,622.59,626.89,CLP
2015-03-31,626.14,630.35,621.9,624.5,CLP
2015-04-01,623.9,625.35,615.7,617.6,CLP
2015-04-02,617.2,618.45,611.96,615.3,CLP
2015-04-03,614.7,616.1,613.95,615.2,CLP
2015-04-06,614.7,615.44,607.92,611.65,CLP
2015-04-07,611.4,614.12,608.6,610.03,CLP
2015-04-08,609.4,613.35,608.3,611.6,CLP
2015-04-09,611.1,617.3,609.7,616.4,CLP
2015-04-10,616.0,621.25,615.2,619.5,CLP
2015-04-13,619.0,623.58,614.6,616.65,CLP
2015-04-14,616.4,617.89,611.47,613.6,CLP
2015-04-15,613.2,618.72,611.97,613.36,CLP
2015-04-16,612.7,614.12,609.2,610.52,CLP
2015-04-17,610.0,615.3,609.35,611.57,CLP
2015-04-20,611.1,617.27,611.0,616.45,CLP
2015-04-21,615.9,617.9,614.2,616.33,CLP
2015-04-22,615.9,620.1,614.54,619.12,CLP
2015-04-23,618.5,620.93,613.55,614.8,CLP
2015-04-24,614.4,616.47,611.25,613.0,CLP
2015-04-27,612.9,614.24,608.19,610.5,CLP
2015-04-28,610.2,611.1,603.86,606.7,CLP
2015-04-29,606.0,610.58,604.38,609.5,CLP
2015-04-30,608.9,613.54,606.94,611.75,CLP
2015-05-01,611.4,613.65,610.45,611.78,CLP
2015-05-04,611.4,617.08,611.03,614.61,CLP
2015-05-05,613.8,615.5,608.6,609.9,CLP
2015-05-06,609.4,612.77,605.7,612.3,CLP
2015-05-07,611.5,613.37,607.5,609.53,CLP
2015-05-08,609.0,610.35,602.47,604.95,CLP
2015-05-11,604.7,611.59,603.1,610.23,CLP
2015-05-12,609.5,611.62,602.8,604.08,CLP
2015-05-13,603.6,605.0,597.35,602.65,CLP
2015-05-14,602.2,603.58,593.28,594.6,CLP
2015-05-15,594.2,598.8,592.5,597.42,CLP
2015-05-18,596.7,601.08,594.6,600.08,CLP
2015-05-19,599.8,605.27,599.3,604.1,CLP
2015-05-20,603.6,607.07,602.9,604.1,CLP
2015-05-21,603.5,604.8,602.4,604.0,CLP
2015-05-22,603.5,608.8,603.5,608.3,CLP
2015-05-25,607.7,611.53,607.6,610.9,CLP
2015-05-26,610.7,614.4,610.3,613.3,CLP
2015-05-27,613.7,617.97,612.6,614.95,CLP
2015-05-28,614.25,618.62,614.25,616.12,CLP
2015-05-29,615.9,619.72,613.2,618.03,CLP
2015-06-01,617.7,625.2,617.3,624.13,CLP
2015-06-02,623.7,624.36,619.5,622.25,CLP
2015-06-03,621.9,628.61,621.6,627.62,CLP
2015-06-04,627.3,629.71,625.7,628.54,CLP
2015-06-05,628.1,638.5,628.1,636.5,CLP
2015-06-08,635.8,637.3,629.4,630.9,CLP
2015-06-09,630.4,631.03,623.9,625.4,CLP
