Date,Open,High,Low,Close,Currency
2015-01-01,6.2061,6.2061,6.2061,6.2061,CNY
2015-01-02,6.2061,6.2061,6.2061,6.2061,CNY
2015-01-05,6.2178,6.224,6.2139,6.2206,CNY
2015-01-06,6.22,6.2204,6.206,6.213,CNY
2015-01-07,6.2112,6.2144,6.2063,6.2129,CNY
2015-01-08,6.2138,6.2203,6.2118,6.2146,CNY
2015-01-09,6.2097,6.2118,6.2045,6.2088,CNY
2015-01-12,6.2092,6.2092,6.1957,6.2032,CNY
2015-01-13,6.2029,6.205,6.197,6.1975,CNY
2015-01-14,6.1982,6.1982,6.1928,6.1959,CNY
2015-01-15,6.1946,6.1969,6.1875,6.1875,CNY
2015-01-16,6.1951,6.213,6.1925,6.207,CNY
2015-01-19,6.2209,6.224,6.2135,6.2195,CNY
2015-01-20,6.2192,6.2192,6.2113,6.214,CNY
2015-01-21,6.2163,6.2197,6.2099,6.2115,CNY
2015-01-22,6.2118,6.2118,6.2058,6.2088,CNY
2015-01-23,6.218,6.2286,6.2162,6.2285,CNY
2015-01-26,6.2449,6.2558,6.2449,6.254,CNY
2015-01-27,6.2481,6.2532,6.2421,6.2435,CNY
2015-01-28,6.238,6.2486,6.2375,6.248,CNY
2015-01-29,6.2475,6.2517,6.2453,6.2466,CNY
2015-01-30,6.247,6.2516,6.2465,6.25,CNY
2015-02-02,6.2498,6.2604,6.2498,6.2597,CNY
2015-02-03,6.2558,6.2586,6.2525,6.2578,CNY
2015-02-04,6.2458,6.2505,6.2446,6.2477,CNY
2015-02-05,6.2555,6.2555,6.2501,6.2521,CNY
2015-02-06,6.2526,6.2526,6.2365,6.244,CNY
2015-02-09,6.2446,6.2504,6.2444,6.247,CNY
2015-02-10,6.2467,6.2473,6.2401,6.241,CNY
2015-02-11,6.242,6.2456,6.2407,6.2427,CNY
2015-02-12,6.2428,6.2476,6.2428,6.2445,CNY
2015-02-13,6.2454,6.2454,6.2371,6.2403,CNY
2015-02-16,6.2438,6.2493,6.2424,6.2485,CNY
2015-02-17,6.2545,6.2554,6.2523,6.2551,CNY
2015-02-18,6.2551,6.2551,6.2551,6.2551,CNY
2015-02-19,6.2551,6.2551,6.2551,6.2551,CNY
2015-02-20,6.2551,6.2551,6.2551,6.2551,CNY
2015-02-23,6.2551,6.2551,6.2551,6.2551,CNY
2015-02-24,6.2551,6.2551,6.2551,6.2551,CNY
2015-02-25,6.2568,6.2602,6.2562,6.2593,CNY
2015-02-26,6.2598,6.2604,6.2578,6.2589,CNY
2015-02-27,6.2588,6.2698,6.2588,6.2696,CNY
2015-03-02,6.2733,6.2742,6.2719,6.2725,CNY
2015-03-03,6.2753,6.2763,6.273,6.2744,CNY
2015-03-04,6.272,6.2726,6.27,6.2706,CNY
2015-03-05,6.2717,6.2723,6.2652,6.266,CNY
2015-03-06,6.2645,6.2655,6.2622,6.2625,CNY
2015-03-09,6.265,6.2689,6.2633,6.264,CNY
2015-03-10,6.265,6.2651,6.2605,6.262,CNY
2015-03-11,6.263,6.2642,6.2611,6.2623,CNY
2015-03-12,6.2638,6.2646,6.2612,6.2624,CNY
2015-03-13,6.2597,6.2604,6.2573,6.2595,CNY
2015-03-16,6.2595,6.263,6.2595,6.2625,CNY
2015-03-17,6.26,6.26,6.2485,6.2495,CNY
2015-03-18,6.2465,6.2497,6.2282,6.2294,CNY
2015-03-19,6.2293,6.2293,6.1864,6.196,CNY
2015-03-20,6.1968,6.2233,6.18,6.2052,CNY
2015-03-23,6.2052,6.2185,6.1975,6.214,CNY
2015-03-24,6.2147,6.2147,6.1986,6.2051,CNY
2015-03-25,6.2064,6.217,6.2011,6.2121,CNY
2015-03-26,6.2126,6.2165,6.207,6.2108,CNY
2015-03-27,6.213,6.2186,6.2093,6.215,CNY
2015-03-30,6.213,6.215,6.202,6.207,CNY
2015-03-31,6.2065,6.2065,6.1946,6.1995,CNY
2015-04-01,6.2003,6.2003,6.1932,6.1985,CNY
2015-04-02,6.1967,6.1984,6.1927,6.197,CNY
2015-04-03,6.1935,6.1968,6.1886,6.1935,CNY
2015-04-06,6.1935,6.1935,6.1935,6.1935,CNY
2015-04-07,6.191,6.1981,6.1884,6.196,CNY
2015-04-08,6.1975,6.2065,6.1975,6.2025,CNY
2015-04-09,6.2022,6.2062,6.2018,6.2055,CNY
2015-04-10,6.2085,6.2119,6.2062,6.2085,CNY
2015-04-13,6.2093,6.218,6.2082,6.2167,CNY
2015-04-14,6.2143,6.2153,6.2101,6.2115,CNY
2015-04-15,6.207,6.2115,6.2031,6.2052,CNY
2015-04-16,6.1952,6.2005,6.1933,6.1962,CNY
2015-04-17,6.1892,6.198,6.1881,6.1978,CNY
2015-04-20,6.198,6.2047,6.1965,6.201,CNY
2015-04-21,6.202,6.2035,6.1988,6.201,CNY
2015-04-22,6.202,6.202,6.1938,6.194,CNY
2015-04-23,6.1935,6.1995,6.1935,6.197,CNY
2015-04-24,6.194,6.1994,6.1925,6.1935,CNY
2015-04-27,6.195,6.2208,6.1945,6.219,CNY
2015-04-28,6.217,6.2192,6.2018,6.204,CNY
