Date,Open,High,Low,Close,Currency
2015-01-01,533.3,540.81,533.3,540.8,CRC
2015-01-02,533.3,548.5,533.2,547.5,CRC
2015-01-05,540.0,548.5,533.2,540.7,CRC
2015-01-06,533.2,540.7,533.05,540.55,CRC
2015-01-07,533.2,548.5,532.75,540.25,CRC
2015-01-08,532.75,540.6,532.65,540.5,CRC
2015-01-09,533.0,548.5,533.0,540.5,CRC
2015-01-12,533.0,548.5,533.0,540.6,CRC
2015-01-13,533.1,540.7,533.05,540.55,CRC
2015-01-14,533.05,548.5,533.05,540.55,CRC
2015-01-15,533.05,548.5,530.5,538.0,CRC
2015-01-16,530.5,548.5,530.0,537.5,CRC
2015-01-19,530.0,537.54,530.0,537.5,CRC
2015-01-20,530.15,537.65,530.15,537.65,CRC
2015-01-21,530.15,537.65,530.15,537.65,CRC
2015-01-22,530.07,537.65,530.0,537.5,CRC
2015-01-23,530.0,537.6,530.0,537.55,CRC
2015-01-26,530.05,537.55,529.8,537.3,CRC
2015-01-27,529.8,537.48,529.7,537.4,CRC
2015-01-28,529.9,548.25,529.8,548.25,CRC
2015-01-29,529.87,548.5,529.75,537.25,CRC
2015-01-30,529.75,538.0,529.7,537.9,CRC
2015-02-02,530.4,538.35,529.87,538.35,CRC
2015-02-03,530.85,538.48,530.8,538.45,CRC
2015-02-04,530.95,538.45,530.8,538.3,CRC
2015-02-05,530.8,539.08,530.7,539.0,CRC
2015-02-06,531.5,539.95,531.5,539.95,CRC
2015-02-09,532.45,540.09,532.4,539.9,CRC
2015-02-10,532.4,544.15,532.3,544.15,CRC
2015-02-11,532.3,544.05,532.1,544.05,CRC
2015-02-12,532.1,539.6,532.05,539.55,CRC
2015-02-13,532.05,548.5,531.2,538.7,CRC
2015-02-16,531.2,538.7,531.05,538.55,CRC
2015-02-17,531.05,548.5,530.8,538.3,CRC
2015-02-18,530.8,548.5,530.75,538.25,CRC
2015-02-19,530.75,548.5,530.45,537.95,CRC
2015-02-20,530.45,537.95,530.25,537.75,CRC
2015-02-23,530.25,537.75,529.8,537.3,CRC
2015-02-24,529.8,548.5,529.75,537.25,CRC
2015-02-25,529.75,537.25,529.7,537.2,CRC
2015-02-26,529.7,548.5,528.72,537.1,CRC
2015-02-27,529.6,537.1,529.5,537.0,CRC
2015-03-02,529.5,548.5,528.65,536.15,CRC
2015-03-03,528.65,548.5,528.55,536.05,CRC
2015-03-04,528.55,536.05,527.2,534.7,CRC
2015-03-05,527.2,548.5,526.0,536.0,CRC
2015-03-06,528.5,548.5,528.4,535.9,CRC
2015-03-09,528.4,548.5,528.35,536.15,CRC
2015-03-10,528.65,548.5,528.65,536.25,CRC
2015-03-11,528.75,548.5,528.65,536.15,CRC
2015-03-12,528.65,548.5,528.55,536.05,CRC
2015-03-13,528.55,548.5,527.55,535.05,CRC
2015-03-16,527.55,535.05,526.8,534.3,CRC
2015-03-17,526.8,534.42,526.75,534.35,CRC
2015-03-18,526.85,541.3,526.6,541.3,CRC
2015-03-19,526.6,548.5,526.55,534.1,CRC
2015-03-20,526.6,534.1,526.48,534.05,CRC
2015-03-23,526.55,548.5,526.35,533.85,CRC
2015-03-24,526.35,534.04,526.2,533.7,CRC
2015-03-25,526.2,533.95,526.15,533.9,CRC
2015-03-26,526.4,533.92,526.3,533.85,CRC
2015-03-27,526.35,533.95,526.3,533.9,CRC
2015-03-30,526.4,548.5,526.3,533.9,CRC
2015-03-31,526.4,548.5,526.4,534.8,CRC
2015-04-01,527.3,534.85,527.25,534.8,CRC
2015-04-02,527.3,534.8,526.65,534.7,CRC
2015-04-03,527.2,548.5,527.1,534.6,CRC
2015-04-06,527.1,548.5,526.65,534.15,CRC
2015-04-07,526.65,548.5,526.55,534.05,CRC
2015-04-08,526.55,535.5,526.45,533.95,CRC
2015-04-09,526.45,535.5,526.4,533.9,CRC
2015-04-10,526.4,535.5,526.4,533.95,CRC
2015-04-13,526.45,535.5,526.25,533.75,CRC
