Date,Open,High,Low,Close,Currency
2015-01-01,177.0,177.5,177.0,177.5,DJF
2015-01-02,177.0,177.05,177.0,177.05,DJF
2015-01-03,177.0,177.0,177.0,177.0,DJF
2015-01-05,177.0,177.15,177.0,177.05,DJF
2015-01-06,177.0,177.15,177.0,177.1,DJF
2015-01-07,177.0,177.1,177.0,177.05,DJF
2015-01-08,177.0,177.05,177.0,177.0,DJF
2015-01-09,177.0,177.15,177.0,177.0,DJF
2015-01-10,177.0,177.0,177.0,177.0,DJF
2015-01-12,177.0,177.1,177.0,177.0,DJF
2015-01-13,177.0,177.05,177.0,177.0,DJF
2015-01-14,177.0,177.05,177.0,177.05,DJF
2015-01-15,177.0,177.05,177.0,177.05,DJF
2015-01-16,177.0,177.15,177.0,177.15,DJF
2015-01-17,177.15,177.15,177.15,177.15,DJF
2015-01-19,177.0,177.5,177.0,177.5,DJF
2015-01-20,177.0,177.1,177.0,177.0,DJF
2015-01-21,177.0,177.1,177.0,177.0,DJF
2015-01-22,177.15,177.15,177.0,177.05,DJF
2015-01-23,177.0,177.0,176.4,176.75,DJF
2015-01-24,176.75,176.75,176.75,176.75,DJF
2015-01-26,177.0,177.0,176.8,176.8,DJF
2015-01-27,177.0,177.5,177.0,177.5,DJF
2015-01-28,177.0,177.55,177.0,177.55,DJF
2015-01-29,177.0,177.5,177.0,177.5,DJF
2015-01-30,177.0,177.0,176.7,176.7,DJF
2015-01-31,176.7,176.7,176.7,176.7,DJF
2015-02-02,177.0,177.0,176.9,176.9,DJF
2015-02-03,177.0,177.0,176.8,176.8,DJF
2015-02-04,177.0,177.0,176.75,176.75,DJF
2015-02-05,177.0,177.0,176.85,176.9,DJF
2015-02-06,177.0,177.0,176.75,176.85,DJF
2015-02-07,176.85,176.85,176.85,176.85,DJF
2015-02-09,177.0,177.0,176.9,177.0,DJF
2015-02-10,176.85,177.55,176.85,177.55,DJF
2015-02-11,177.0,177.0,176.85,176.85,DJF
2015-02-12,177.0,177.0,176.85,176.9,DJF
2015-02-13,176.95,177.0,176.9,176.95,DJF
2015-02-14,176.9,176.9,176.9,176.9,DJF
2015-02-16,177.0,177.5,177.0,177.5,DJF
2015-02-17,177.0,177.55,176.75,177.55,DJF
2015-02-18,177.0,177.0,176.7,176.75,DJF
2015-02-19,176.85,177.0,176.85,176.9,DJF
2015-02-20,177.0,177.0,176.7,176.7,DJF
2015-02-21,176.7,176.7,176.7,176.7,DJF
2015-02-23,177.0,177.5,177.0,177.5,DJF
2015-02-24,177.0,177.05,176.85,176.9,DJF
2015-02-25,177.0,177.0,176.75,176.8,DJF
2015-02-26,177.0,177.0,176.8,176.85,DJF
2015-02-27,177.0,177.0,176.8,176.9,DJF
2015-02-28,176.9,176.9,176.9,176.9,DJF
2015-03-02,177.0,177.0,176.9,176.9,DJF
2015-03-03,177.0,177.0,176.85,176.85,DJF
2015-03-04,177.0,177.0,176.9,176.9,DJF
2015-03-05,176.95,177.0,176.9,176.9,DJF
2015-03-06,177.0,177.0,176.9,176.95,DJF
2015-03-07,176.95,176.95,176.95,176.95,DJF
2015-03-09,177.0,177.0,176.75,176.8,DJF
2015-03-10,177.0,177.0,176.85,176.95,DJF
2015-03-11,177.0,177.0,176.9,176.95,DJF
2015-03-12,176.9,177.0,176.9,176.95,DJF
2015-03-13,176.9,177.0,176.9,176.95,DJF
2015-03-14,176.95,176.95,176.95,176.95,DJF
2015-03-16,177.0,177.0,176.9,176.95,DJF
2015-03-17,177.0,177.0,176.9,176.95,DJF
2015-03-18,177.0,177.55,176.9,177.55,DJF
2015-03-19,177.0,177.0,176.9,176.9,DJF
2015-03-20,177.0,177.0,176.9,176.9,DJF
2015-03-21,176.9,176.9,176.9,176.9,DJF
2015-03-23,177.0,177.05,176.75,176.9,DJF
2015-03-24,177.0,177.0,176.9,176.9,DJF
2015-03-25,177.0,177.0,176.75,176.95,DJF
2015-03-26,177.0,177.0,176.7,176.75,DJF
2015-03-27,177.0,177.0,176.7,176.7,DJF
2015-03-28,176.7,176.7,176.7,176.7,DJF
2015-03-30,177.0,177.0,176.7,176.7,DJF
2015-03-31,177.0,177.0,176.7,176.8,DJF
2015-04-01,177.0,177.0,176.6,176.6,DJF
2015-04-02,177.0,177.0,176.6,176.7,DJF
2015-04-03,177.0,177.0,176.75,176.85,DJF
2015-04-04,176.85,176.85,176.85,176.85,DJF
2015-04-06,177.0,177.55,176.75,177.55,DJF
2015-04-07,177.0,177.0,176.85,176.9,DJF
2015-04-08,177.0,177.05,176.65,176.65,DJF
2015-04-09,177.0,177.0,176.6,176.6,DJF
2015-04-10,177.0,177.0,176.65,176.65,DJF
2015-04-11,176.65,176.65,176.65,176.65,DJF
2015-04-13,177.0,177.55,176.65,177.55,DJF
2015-04-14,177.0,177.0,176.5,176.5,DJF
2015-04-15,177.0,177.0,176.5,176.55,DJF
2015-04-16,177.0,177.0,176.5,176.65,DJF
2015-04-17,177.0,177.0,176.6,176.6,DJF
2015-04-18,176.6,176.6,176.6,176.6,DJF
2015-04-20,177.0,177.05,176.5,176.55,DJF
2015-04-21,177.0,177.55,176.5,177.55,DJF
2015-04-22,177.0,177.0,176.6,176.7,DJF
2015-04-23,177.0,177.0,176.6,176.65,DJF
2015-04-24,177.0,177.0,176.6,176.6,DJF
2015-04-25,176.6,176.6,176.6,176.6,DJF
2015-04-27,177.0,177.55,176.6,177.55,DJF
2015-04-28,177.0,177.0,176.5,176.5,DJF
2015-04-29,176.45,177.0,176.45,176.5,DJF
2015-04-30,177.0,177.0,176.5,176.55,DJF
2015-05-01,177.0,177.0,176.0,176.65,DJF
2015-05-02,176.65,176.65,176.65,176.65,DJF
2015-05-04,177.0,177.0,176.5,176.55,DJF
2015-05-05,177.0,177.0,176.45,176.6,DJF
2015-05-06,177.0,177.05,176.5,176.55,DJF
2015-05-07,177.0,177.0,176.5,176.5,DJF
2015-05-08,177.0,177.0,176.26,176.5,DJF
2015-05-09,176.5,176.5,176.5,176.5,DJF
2015-05-11,177.0,177.75,176.4,177.15,DJF
2015-05-12,176.5,177.7,176.2,177.2,DJF
2015-05-13,177.0,177.7,176.0,177.2,DJF
2015-05-14,177.0,177.65,176.5,177.25,DJF
2015-05-15,177.0,177.6,176.3,176.9,DJF
2015-05-16,176.3,176.9,176.3,176.9,DJF
2015-05-18,177.0,177.5,176.3,176.9,DJF
2015-05-19,177.0,177.55,176.3,176.85,DJF
2015-05-20,177.0,177.55,176.0,176.85,DJF
2015-05-21,177.0,177.55,176.0,176.85,DJF
2015-05-22,177.0,177.45,176.3,176.85,DJF
2015-05-23,176.4,176.85,176.4,176.85,DJF
2015-05-25,177.0,177.5,177.0,177.5,DJF
2015-05-26,177.0,177.5,176.3,176.8,DJF
2015-05-27,177.0,177.5,176.3,176.8,DJF
2015-05-28,177.0,177.5,176.3,176.8,DJF
2015-05-29,177.0,177.55,176.3,177.55,DJF
2015-05-30,177.05,177.55,177.05,177.55,DJF
2015-06-01,177.0,177.5,176.3,176.8,DJF
2015-06-02,177.0,177.65,176.0,176.95,DJF
2015-06-03,177.0,177.55,176.3,177.55,DJF
2015-06-04,177.0,177.65,176.0,176.95,DJF
2015-06-05,177.0,177.7,176.2,176.9,DJF
2015-06-06,176.2,176.9,176.2,176.9,DJF
2015-06-08,177.0,177.55,176.2,177.55,DJF
2015-06-09,177.0,177.65,176.3,176.95,DJF
2015-06-10,177.0,177.65,176.2,177.05,DJF
2015-06-11,177.0,177.65,176.3,176.95,DJF
2015-06-12,177.0,177.93,176.0,177.55,DJF
2015-06-13,177.05,177.55,177.05,177.55,DJF
2015-06-15,177.0,177.7,176.25,177.0,DJF
2015-06-16,177.0,177.65,176.27,176.95,DJF
2015-06-17,176.3,177.62,176.1,176.95,DJF
2015-06-18,176.35,177.51,176.2,176.95,DJF
2015-06-19,177.0,177.96,176.3,176.9,DJF
2015-06-20,176.3,176.85,176.3,176.85,DJF
2015-06-22,177.0,177.75,176.3,177.25,DJF
2015-06-23,177.0,177.52,176.37,176.95,DJF
2015-06-24,177.0,177.5,176.3,177.2,DJF
2015-06-25,176.6,177.6,176.45,177.55,DJF
2015-06-26,177.0,177.8,175.86,177.2,DJF
2015-06-27,176.6,177.1,176.6,177.1,DJF
2015-06-29,177.0,177.55,176.4,177.15,DJF
2015-06-30,177.0,177.85,176.27,177.15,DJF
2015-07-01,177.0,177.52,176.4,176.95,DJF
2015-07-02,176.51,177.65,176.0,177.05,DJF
2015-07-03,177.0,177.65,176.0,177.05,DJF
2015-07-04,176.4,177.05,176.4,177.05,DJF
2015-07-06,177.0,177.6,176.21,176.85,DJF
2015-07-07,177.0,177.7,176.16,177.2,DJF
2015-07-08,177.0,177.8,176.23,177.05,DJF
2015-07-09,177.0,177.85,176.0,177.15,DJF
2015-07-10,177.0,177.65,176.24,177.05,DJF
2015-07-11,176.4,177.05,176.4,177.05,DJF
2015-07-13,177.0,177.7,176.09,177.1,DJF
2015-07-14,177.0,177.6,176.09,177.0,DJF
2015-07-15,176.26,177.8,176.0,177.2,DJF
2015-07-16,177.0,178.23,176.21,177.15,DJF
2015-07-17,177.0,177.85,176.19,177.15,DJF
2015-07-18,176.4,177.1,176.4,177.1,DJF
2015-07-20,177.0,177.78,176.0,176.94,DJF
2015-07-21,177.0,177.32,176.25,176.94,DJF
2015-07-22,176.3,177.8,176.14,176.94,DJF
2015-07-23,176.1,178.29,176.0,177.1,DJF
2015-07-24,176.12,177.7,176.0,176.94,DJF
2015-07-25,176.6,177.25,176.6,177.25,DJF
2015-07-27,177.0,177.75,176.21,177.2,DJF
2015-07-28,177.0,177.9,176.5,177.4,DJF
2015-07-29,177.0,178.1,176.6,177.7,DJF
2015-07-30,177.0,178.25,176.5,177.75,DJF
2015-07-31,177.0,178.2,176.6,178.2,DJF
2015-08-01,177.6,178.2,177.6,178.2,DJF
2015-08-03,177.0,178.45,176.7,177.85,DJF
2015-08-04,177.0,178.55,176.9,177.75,DJF
2015-08-05,177.0,177.9,176.9,177.8,DJF
2015-08-06,177.0,177.95,176.9,177.85,DJF
2015-08-07,177.1,177.85,177.0,177.85,DJF
2015-08-08,177.0,177.8,177.0,177.8,DJF
2015-08-10,177.0,177.85,176.8,177.85,DJF
2015-08-11,176.8,177.85,176.8,177.65,DJF
2015-08-12,177.0,177.95,176.7,177.6,DJF
2015-08-13,177.0,177.5,176.8,177.3,DJF
2015-08-14,177.0,177.6,176.8,177.4,DJF
2015-08-15,176.8,177.4,176.8,177.4,DJF
2015-08-17,177.0,177.85,177.0,177.85,DJF
2015-08-18,177.0,177.6,177.0,177.55,DJF
2015-08-19,177.0,177.5,177.0,177.5,DJF
2015-08-20,177.0,177.5,177.0,177.5,DJF
2015-08-21,177.0,177.6,177.0,177.55,DJF
2015-08-22,177.0,177.55,177.0,177.55,DJF
2015-08-24,177.0,177.55,177.0,177.5,DJF
2015-08-25,177.0,177.5,177.0,177.5,DJF
2015-08-26,177.0,177.5,177.0,177.5,DJF
2015-08-27,177.0,177.5,177.0,177.5,DJF
2015-08-28,177.0,177.55,177.0,177.55,DJF
2015-08-29,177.05,177.55,177.05,177.55,DJF
2015-08-31,177.0,177.55,177.0,177.55,DJF
2015-09-01,177.0,177.55,177.0,177.55,DJF
2015-09-02,177.0,177.5,177.0,177.5,DJF
2015-09-03,177.0,177.5,177.0,177.5,DJF
2015-09-04,177.0,177.55,177.0,177.55,DJF
2015-09-05,177.05,177.55,177.05,177.55,DJF
2015-09-07,177.0,177.95,176.3,177.25,DJF
2015-09-08,177.0,178.0,176.0,177.0,DJF
2015-09-09,177.0,178.0,176.0,177.0,DJF
2015-09-10,176.0,178.0,176.0,177.0,DJF
2015-09-11,177.0,177.95,176.0,177.15,DJF
2015-09-12,176.2,177.15,176.2,177.15,DJF
2015-09-14,177.0,178.35,175.5,176.85,DJF
2015-09-15,176.3,177.3,176.0,177.0,DJF
2015-09-16,177.0,178.0,175.5,177.0,DJF
2015-09-17,176.3,177.35,176.0,177.25,DJF
2015-09-18,177.0,178.0,175.5,177.0,DJF
2015-09-19,176.0,177.0,176.0,177.0,DJF
2015-09-21,177.0,177.6,176.0,177.55,DJF
2015-09-22,177.0,177.95,176.0,177.15,DJF
2015-09-23,177.0,178.0,176.0,177.0,DJF
2015-09-24,176.1,177.9,176.0,177.2,DJF
2015-09-25,177.0,178.0,176.0,177.0,DJF
2015-09-26,176.0,177.0,176.0,177.0,DJF
2015-09-28,177.0,177.95,176.0,177.1,DJF
2015-09-29,177.0,177.9,176.2,177.5,DJF
2015-09-30,177.0,177.75,175.9,177.25,DJF
2015-10-01,177.0,177.7,175.6,177.3,DJF
2015-10-02,176.2,177.55,176.2,177.55,DJF
2015-10-03,177.05,177.55,177.05,177.55,DJF
2015-10-05,177.0,177.8,176.4,177.3,DJF
2015-10-06,176.2,178.0,176.0,177.0,DJF
2015-10-07,177.0,177.75,176.2,177.25,DJF
2015-10-08,177.0,177.6,176.2,177.55,DJF
2015-10-09,177.0,178.2,176.4,177.55,DJF
2015-10-10,177.05,177.55,177.05,177.55,DJF
2015-10-12,177.0,177.5,177.0,177.5,DJF
2015-10-13,177.0,178.25,176.5,177.55,DJF
2015-10-14,177.0,177.9,176.4,177.6,DJF
2015-10-15,177.0,177.7,176.7,177.7,DJF
2015-10-16,176.8,178.45,176.7,177.55,DJF
2015-10-17,176.8,177.55,176.8,177.55,DJF
2015-10-19,176.8,178.05,176.6,178.05,DJF
2015-10-20,176.7,178.6,176.5,177.5,DJF
2015-10-21,176.8,177.85,176.7,177.55,DJF
2015-10-22,176.7,177.8,176.7,177.6,DJF
2015-10-23,176.7,178.05,176.7,178.05,DJF
2015-10-24,177.7,178.05,177.7,178.05,DJF
2015-10-26,176.7,178.4,176.7,177.7,DJF
2015-10-27,176.7,178.5,176.7,177.6,DJF
2015-10-28,176.7,177.65,176.5,177.65,DJF
2015-10-29,176.7,178.55,176.7,177.55,DJF
2015-10-30,176.7,178.6,176.6,177.5,DJF
2015-10-31,176.6,177.5,176.6,177.5,DJF
2015-11-02,176.8,178.55,176.5,177.55,DJF
2015-11-03,176.8,178.5,176.7,177.6,DJF
2015-11-04,176.8,177.6,176.8,177.6,DJF
2015-11-05,176.8,177.55,176.0,177.55,DJF
2015-11-06,176.8,177.55,176.0,177.55,DJF
2015-11-07,176.8,177.6,176.8,177.6,DJF
2015-11-09,176.8,177.55,176.0,177.55,DJF
2015-11-10,176.8,177.55,176.8,177.55,DJF
2015-11-11,176.8,177.6,176.8,177.6,DJF
2015-11-12,176.8,177.55,176.8,177.55,DJF
2015-11-13,176.8,177.7,176.8,177.7,DJF
2015-11-14,176.9,177.7,176.9,177.7,DJF
2015-11-16,176.8,177.6,175.9,177.6,DJF
2015-11-17,176.8,177.55,175.9,177.55,DJF
2015-11-18,176.8,177.85,176.0,177.6,DJF
2015-11-19,176.8,178.05,175.9,177.15,DJF
2015-11-20,176.8,177.6,175.9,177.6,DJF
2015-11-21,176.8,177.6,176.8,177.6,DJF
2015-11-23,176.8,178.05,175.9,177.15,DJF
2015-11-24,176.8,178.05,175.9,177.15,DJF
2015-11-25,176.8,178.05,175.9,177.15,DJF
2015-11-26,176.8,177.6,176.8,177.6,DJF
2015-11-27,176.8,177.65,176.0,177.65,DJF
2015-11-28,176.8,177.65,176.8,177.65,DJF
2015-11-30,176.8,178.85,175.9,177.25,DJF
2015-12-01,176.8,177.8,175.9,177.8,DJF
2015-12-02,176.8,177.75,175.9,177.75,DJF
2015-12-03,176.8,177.7,175.9,177.7,DJF
2015-12-04,176.8,177.65,175.9,177.65,DJF
2015-12-05,176.9,177.65,176.9,177.65,DJF
2015-12-07,176.8,177.55,176.8,177.55,DJF
2015-12-08,176.8,177.85,176.0,177.75,DJF
2015-12-09,176.8,177.75,176.0,177.75,DJF
2015-12-10,176.8,177.7,175.9,177.7,DJF
2015-12-11,176.8,177.65,176.0,177.65,DJF
2015-12-12,176.8,177.65,176.8,177.65,DJF
2015-12-14,176.8,177.55,176.8,177.55,DJF
2015-12-15,176.8,177.8,176.0,177.7,DJF
2015-12-16,176.8,177.65,176.0,177.65,DJF
2015-12-17,176.8,177.65,175.9,177.65,DJF
2015-12-18,176.8,177.8,176.6,177.6,DJF
2015-12-19,176.6,177.6,176.6,177.6,DJF
2015-12-21,176.8,177.6,175.9,177.6,DJF
2015-12-22,176.8,177.65,176.0,177.65,DJF
2015-12-23,175.9,177.7,175.9,177.7,DJF
2015-12-24,176.8,177.7,176.0,177.7,DJF
2015-12-25,176.8,177.6,176.8,177.6,DJF
2015-12-26,176.8,177.6,176.8,177.6,DJF
2015-12-28,176.8,177.55,175.9,177.55,DJF
2015-12-29,176.8,177.65,176.0,177.65,DJF
2015-12-30,176.8,178.5,176.6,177.6,DJF
2015-12-31,176.0,177.65,176.0,177.65,DJF
2016-01-01,176.8,177.6,176.8,177.6,DJF
2016-01-02,176.8,177.6,176.8,177.6,DJF
2016-01-04,176.8,178.45,176.0,177.55,DJF
2016-01-05,176.8,177.65,176.0,177.65,DJF
2016-01-06,176.8,177.65,176.0,177.65,DJF
2016-01-07,176.0,178.35,176.0,177.65,DJF
2016-01-08,176.8,178.05,176.6,178.05,DJF
2016-01-09,177.5,178.05,177.5,178.05,DJF
2016-01-11,176.8,178.05,176.6,178.05,DJF
2016-01-12,176.8,178.0,176.6,177.55,DJF
2016-01-13,176.8,178.05,176.8,178.05,DJF
2016-01-14,176.8,178.05,176.8,178.05,DJF
2016-01-15,176.8,178.05,176.8,178.05,DJF
2016-01-16,177.5,178.05,177.5,178.05,DJF
2016-01-18,176.8,177.65,176.8,177.65,DJF
2016-01-19,176.8,178.15,176.8,177.95,DJF
2016-01-20,176.8,178.0,176.8,178.0,DJF
2016-01-21,176.8,178.45,176.6,177.55,DJF
2016-01-22,176.8,178.45,176.0,177.55,DJF
2016-01-23,176.6,177.55,176.6,177.55,DJF
2016-01-25,176.8,178.0,176.0,178.0,DJF
2016-01-26,176.8,178.45,176.6,177.55,DJF
2016-01-27,176.8,178.45,176.0,177.55,DJF
2016-01-28,176.8,178.45,176.6,177.55,DJF
2016-01-29,176.0,178.45,176.0,177.55,DJF
2016-01-30,176.6,177.55,176.6,177.55,DJF
2016-02-01,176.8,178.35,176.6,177.65,DJF
2016-02-02,176.8,177.75,176.0,177.55,DJF
2016-02-03,176.8,178.3,176.0,177.7,DJF
2016-02-04,176.8,177.65,176.0,177.65,DJF
2016-02-05,176.8,178.0,176.0,177.55,DJF
2016-02-06,177.05,177.55,177.05,177.55,DJF
2016-02-08,176.8,178.1,176.0,177.9,DJF
2016-02-09,176.8,178.35,176.5,177.65,DJF
2016-02-10,176.8,178.35,176.8,177.65,DJF
2016-02-11,176.8,178.35,176.6,177.65,DJF
2016-02-12,176.8,178.15,176.6,177.85,DJF
2016-02-13,177.2,177.85,177.2,177.85,DJF
2016-02-15,176.8,177.65,176.8,177.65,DJF
2016-02-16,176.8,178.45,176.0,177.55,DJF
2016-02-17,176.8,178.45,176.0,177.55,DJF
2016-02-18,176.6,178.45,176.6,177.55,DJF
2016-02-19,176.8,178.45,176.6,177.55,DJF
2016-02-20,176.6,177.55,176.6,177.55,DJF
2016-02-22,176.8,177.75,176.0,177.55,DJF
2016-02-23,176.8,178.45,176.6,177.55,DJF
2016-02-24,176.8,178.45,176.6,177.55,DJF
2016-02-25,176.8,178.1,176.8,177.9,DJF
2016-02-26,176.8,178.0,176.8,178.0,DJF
2016-02-27,177.5,178.0,177.5,178.0,DJF
2016-02-29,176.8,178.45,176.2,177.55,DJF
2016-03-01,176.8,177.65,176.0,177.65,DJF
2016-03-02,176.0,177.65,176.0,177.65,DJF
2016-03-03,176.8,178.35,176.5,177.65,DJF
2016-03-04,176.8,178.5,176.6,177.6,DJF
2016-03-05,176.6,177.6,176.6,177.6,DJF
2016-03-07,176.8,177.8,176.8,177.8,DJF
2016-03-08,176.8,178.0,176.8,178.0,DJF
2016-03-09,176.8,177.6,176.8,177.6,DJF
2016-03-10,176.8,178.35,176.8,177.65,DJF
2016-03-11,176.8,178.0,176.79,178.0,DJF
2016-03-12,177.5,178.0,177.5,178.0,DJF
2016-03-14,176.8,178.15,176.4,177.95,DJF
2016-03-15,176.8,178.85,176.0,177.65,DJF
2016-03-16,176.8,177.55,176.0,177.55,DJF
2016-03-17,176.8,177.75,176.0,177.55,DJF
2016-03-18,176.8,177.75,176.6,177.55,DJF
2016-03-19,176.6,177.55,176.6,177.55,DJF
2016-03-21,176.8,178.5,176.0,177.6,DJF
2016-03-22,176.8,177.7,176.6,177.5,DJF
2016-03-23,176.8,177.9,176.4,177.5,DJF
2016-03-24,176.8,178.6,176.4,177.5,DJF
2016-03-25,176.8,177.7,176.6,177.6,DJF
2016-03-26,176.7,177.6,176.7,177.6,DJF
2016-03-28,176.8,178.05,176.4,177.6,DJF
2016-03-29,176.8,177.8,176.4,177.6,DJF
2016-03-30,176.8,178.45,176.6,177.55,DJF
2016-03-31,176.8,178.5,176.6,177.6,DJF
2016-04-01,176.8,177.8,176.6,177.6,DJF
2016-04-02,176.6,177.6,176.6,177.6,DJF
2016-04-04,176.8,178.05,176.6,177.6,DJF
2016-04-05,176.8,178.5,176.6,177.6,DJF
2016-04-06,176.8,177.85,176.1,177.55,DJF
2016-04-07,176.5,177.7,176.5,177.7,DJF
2016-04-08,176.5,177.9,176.5,177.6,DJF
2016-04-09,176.6,177.6,176.6,177.6,DJF
2016-04-11,176.5,177.75,176.5,177.65,DJF
2016-04-12,176.5,178.45,176.5,177.65,DJF
2016-04-13,176.5,178.05,176.5,178.05,DJF
2016-04-14,176.5,178.65,176.4,177.55,DJF
2016-04-15,176.5,178.05,176.4,177.6,DJF
2016-04-16,176.6,177.6,176.6,177.6,DJF
2016-04-18,176.4,178.15,176.4,177.5,DJF
2016-04-19,176.4,177.8,176.4,177.6,DJF
2016-04-20,176.4,177.9,176.4,177.7,DJF
2016-04-21,176.4,178.65,176.4,177.75,DJF
2016-04-22,176.4,177.95,176.4,177.75,DJF
2016-04-23,176.6,177.75,176.6,177.75,DJF
2016-04-25,176.4,178.2,176.4,178.2,DJF
2016-04-26,176.4,178.65,176.0,177.75,DJF
2016-04-27,176.4,178.0,176.4,177.8,DJF
2016-04-28,176.4,178.2,176.4,178.2,DJF
2016-04-29,176.4,178.2,176.4,178.2,DJF
2016-04-30,176.6,177.6,176.6,177.6,DJF
2016-05-02,176.4,178.2,176.4,178.2,DJF
2016-05-03,176.4,178.05,176.4,178.05,DJF
2016-05-04,176.4,178.05,176.4,178.05,DJF
2016-05-05,176.4,178.5,176.4,177.6,DJF
2016-05-06,176.4,177.75,176.3,177.45,DJF
2016-05-07,176.3,177.45,176.3,177.45,DJF
2016-05-09,176.4,177.7,176.3,177.7,DJF
2016-05-10,176.4,177.9,176.16,177.5,DJF
2016-05-11,176.06,177.53,176.04,177.25,DJF
2016-05-12,176.4,177.9,176.08,177.6,DJF
2016-05-13,176.42,176.97,176.14,176.94,DJF
2016-05-14,176.87,176.94,176.87,176.94,DJF
2016-05-16,176.23,177.3,176.23,176.94,DJF
2016-05-17,176.57,177.7,176.45,177.7,DJF
2016-05-18,176.59,178.5,176.43,177.6,DJF
2016-05-19,176.73,178.35,176.19,177.75,DJF
2016-05-20,176.26,177.65,176.13,177.65,DJF
2016-05-21,177.5,177.65,177.5,177.65,DJF
2016-05-23,176.51,178.2,176.19,177.1,DJF
2016-05-24,176.29,178.0,176.29,177.8,DJF
2016-05-25,176.51,178.4,175.75,177.65,DJF
