Date,Open,High,Low,Close,Currency
2015-01-01,87.73,87.993,87.701,87.92,DZD
2015-01-02,87.723,88.144,87.633,87.919,DZD
2015-01-05,87.796,88.149,87.631,88.076,DZD
2015-01-06,87.82,88.196,87.574,87.897,DZD
2015-01-07,87.717,88.317,87.702,88.204,DZD
2015-01-08,87.984,88.493,87.801,88.221,DZD
2015-01-09,88.045,88.532,87.608,87.982,DZD
2015-01-12,87.688,88.052,87.451,87.77,DZD
2015-01-13,87.551,88.018,87.403,87.844,DZD
2015-01-14,87.62,88.055,87.382,87.618,DZD
2015-01-15,87.585,88.36,87.376,87.972,DZD
2015-01-16,88.014,88.709,87.696,88.511,DZD
2015-01-19,88.439,88.614,87.921,88.328,DZD
2015-01-20,88.087,88.573,87.932,88.401,DZD
2015-01-21,88.215,88.68,87.916,88.338,DZD
2015-01-22,88.155,88.696,87.92,88.339,DZD
2015-01-23,88.206,91.734,87.932,91.516,DZD
2015-01-26,91.419,92.297,91.162,92.244,DZD
2015-01-27,92.069,92.536,91.828,92.308,DZD
2015-01-28,92.046,92.553,91.777,92.296,DZD
2015-01-29,92.008,92.587,91.868,92.395,DZD
2015-01-30,92.218,93.081,92.004,92.55,DZD
2015-02-02,92.416,93.146,92.217,92.963,DZD
2015-02-03,92.723,93.152,92.251,92.693,DZD
2015-02-04,92.428,93.484,92.284,93.154,DZD
2015-02-05,93.066,93.593,92.744,93.305,DZD
2015-02-06,92.908,93.516,92.661,93.158,DZD
2015-02-09,92.797,93.869,92.797,93.707,DZD
2015-02-10,93.444,94.339,93.17,94.075,DZD
2015-02-11,93.817,94.219,93.663,94.187,DZD
2015-02-12,94.019,94.275,93.612,94.072,DZD
2015-02-13,93.755,94.31,93.557,94.146,DZD
2015-02-16,94.067,94.33,93.816,94.246,DZD
2015-02-17,94.067,94.529,93.815,94.162,DZD
2015-02-18,94.044,94.481,93.888,94.306,DZD
2015-02-19,94.087,94.545,93.792,94.357,DZD
2015-02-20,94.118,94.679,94.05,94.486,DZD
2015-02-23,94.289,94.723,94.139,94.493,DZD
2015-02-24,94.373,94.846,94.163,94.562,DZD
2015-02-25,94.388,94.606,93.956,94.461,DZD
2015-02-26,94.286,94.899,94.015,94.782,DZD
2015-02-27,94.688,95.124,94.431,95.065,DZD
2015-03-02,94.591,95.089,94.555,94.767,DZD
2015-03-03,94.81,95.312,94.584,95.0,DZD
2015-03-04,94.735,95.461,94.718,95.151,DZD
2015-03-05,95.05,95.728,94.876,95.532,DZD
2015-03-06,95.417,96.049,95.256,95.85,DZD
2015-03-09,95.662,96.294,95.557,96.134,DZD
2015-03-10,96.02,96.611,95.892,96.509,DZD
2015-03-11,96.257,97.477,96.248,97.421,DZD
2015-03-12,97.159,97.561,96.788,97.239,DZD
2015-03-13,96.888,97.697,96.876,97.349,DZD
2015-03-16,97.145,97.651,96.938,97.356,DZD
2015-03-17,97.205,97.486,96.751,97.156,DZD
2015-03-18,96.876,97.387,96.723,97.19,DZD
2015-03-19,96.928,97.517,96.481,96.96,DZD
2015-03-20,96.725,96.855,96.14,96.678,DZD
2015-03-23,96.793,96.903,95.695,96.003,DZD
2015-03-24,95.886,96.303,95.438,96.104,DZD
2015-03-25,95.888,96.235,95.453,96.145,DZD
2015-03-26,95.993,96.834,95.588,96.758,DZD
2015-03-27,96.556,97.4,96.305,97.133,DZD
2015-03-30,97.045,97.402,96.873,97.279,DZD
2015-03-31,97.077,97.798,96.972,97.617,DZD
2015-04-01,97.42,97.825,97.15,97.557,DZD
2015-04-02,97.269,97.616,96.814,97.296,DZD
2015-04-03,97.101,97.31,96.592,96.999,DZD
2015-04-06,96.989,97.24,96.664,97.191,DZD
2015-04-07,97.059,97.686,96.791,97.444,DZD
2015-04-08,97.182,97.853,96.985,97.608,DZD
