Date,Open,High,Low,Close,Currency
2015-01-01,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-02,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-03,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-04,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-05,7.1501,7.1501,7.145,7.1501,EGP
2015-01-06,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-07,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-08,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-09,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-10,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-11,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-12,7.1501,7.1501,7.1491,7.1501,EGP
2015-01-13,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-14,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-15,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-16,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-17,7.1501,7.1501,7.1501,7.1501,EGP
2015-01-18,7.1505,7.2006,7.1505,7.2005,EGP
2015-01-19,7.2001,7.25,7.2001,7.25,EGP
2015-01-20,7.25,7.3,7.25,7.3,EGP
2015-01-21,7.3001,7.35,7.3001,7.35,EGP
2015-01-22,7.35,7.4001,7.35,7.4001,EGP
2015-01-23,7.4001,7.4001,7.4001,7.4001,EGP
2015-01-24,7.4001,7.4001,7.4001,7.4001,EGP
2015-01-25,7.4001,7.4001,7.4001,7.4001,EGP
2015-01-26,7.4001,7.4401,7.4001,7.4401,EGP
2015-01-27,7.4401,7.4401,7.4401,7.4401,EGP
2015-01-28,7.4401,7.4701,7.4401,7.4701,EGP
2015-01-29,7.47,7.59,7.47,7.59,EGP
2015-01-30,7.59,7.59,7.59,7.59,EGP
2015-01-31,7.59,7.59,7.59,7.59,EGP
2015-02-01,7.595,7.615,7.585,7.605,EGP
2015-02-02,7.6101,7.63,7.6,7.6101,EGP
2015-02-03,7.63,7.63,7.62,7.63,EGP
2015-02-04,7.635,7.635,7.625,7.625,EGP
2015-02-05,7.63,7.63,7.625,7.63,EGP
2015-02-06,7.63,7.63,7.63,7.63,EGP
2015-02-07,7.63,7.63,7.63,7.63,EGP
2015-02-08,7.63,7.63,7.62,7.63,EGP
2015-02-09,7.63,7.63,7.62,7.63,EGP
2015-02-10,7.63,7.63,7.6101,7.6101,EGP
2015-02-11,7.6151,7.635,7.6151,7.625,EGP
2015-02-12,7.6326,7.6326,7.6226,7.6275,EGP
2015-02-13,7.6275,7.6275,7.6275,7.6275,EGP
2015-02-14,7.6275,7.6275,7.6275,7.6275,EGP
2015-02-15,7.63,7.63,7.62,7.63,EGP
2015-02-16,7.63,7.63,7.62,7.63,EGP
2015-02-17,7.63,7.63,7.62,7.63,EGP
2015-02-18,7.63,7.63,7.625,7.63,EGP
2015-02-19,7.63,7.63,7.62,7.63,EGP
2015-02-20,7.63,7.63,7.63,7.63,EGP
2015-02-21,7.63,7.63,7.63,7.63,EGP
2015-02-22,7.6326,7.6326,7.6226,7.6275,EGP
2015-02-23,7.63,7.63,7.62,7.63,EGP
2015-02-24,7.63,7.63,7.62,7.63,EGP
2015-02-25,7.63,7.63,7.62,7.63,EGP
2015-02-26,7.63,7.63,7.625,7.63,EGP
2015-02-27,7.63,7.63,7.63,7.63,EGP
2015-02-28,7.63,7.63,7.63,7.63,EGP
2015-03-01,7.63,7.63,7.62,7.63,EGP
2015-03-02,7.63,7.63,7.625,7.63,EGP
2015-03-03,7.63,7.63,7.625,7.63,EGP
2015-03-04,7.63,7.63,7.6201,7.63,EGP
2015-03-05,7.63,7.63,7.625,7.63,EGP
2015-03-06,7.63,7.63,7.63,7.63,EGP
2015-03-07,7.63,7.63,7.63,7.63,EGP
2015-03-08,7.63,7.63,7.62,7.63,EGP
2015-03-09,7.63,7.63,7.625,7.63,EGP
2015-03-10,7.63,7.63,7.625,7.63,EGP
2015-03-11,7.63,7.63,7.625,7.63,EGP
2015-03-12,7.6326,7.6326,7.6226,7.6275,EGP
2015-03-13,7.6275,7.6275,7.6275,7.6275,EGP
2015-03-14,7.63,7.63,7.63,7.63,EGP
2015-03-15,7.6326,7.6326,7.6275,7.6275,EGP
2015-03-16,7.6326,7.6326,7.6275,7.6275,EGP
2015-03-17,7.63,7.63,7.62,7.63,EGP
2015-03-18,7.6326,7.6326,7.6226,7.6275,EGP
2015-03-19,7.63,7.63,7.625,7.63,EGP
2015-03-20,7.63,7.63,7.63,7.63,EGP
2015-03-21,7.63,7.63,7.63,7.63,EGP
2015-03-22,7.63,7.63,7.625,7.63,EGP
2015-03-23,7.63,7.63,7.62,7.63,EGP
2015-03-24,7.63,7.63,7.625,7.63,EGP
2015-03-25,7.63,7.63,7.62,7.63,EGP
2015-03-26,7.63,7.63,7.625,7.63,EGP
2015-03-27,7.63,7.63,7.63,7.63,EGP
2015-03-28,7.63,7.63,7.63,7.63,EGP
2015-03-29,7.63,7.63,7.62,7.63,EGP
2015-03-30,7.63,7.63,7.625,7.63,EGP
2015-03-31,7.6326,7.6326,7.6275,7.6275,EGP
2015-04-01,7.63,7.63,7.62,7.63,EGP
2015-04-02,7.6326,7.6326,7.6275,7.6275,EGP
2015-04-03,7.6275,7.6275,7.6275,7.6275,EGP
2015-04-04,7.6275,7.6275,7.6275,7.6275,EGP
2015-04-05,7.629,7.63,7.625,7.63,EGP
2015-04-06,7.63,7.63,7.62,7.63,EGP
2015-04-07,7.63,7.63,7.62,7.63,EGP
2015-04-08,7.63,7.63,7.625,7.63,EGP
2015-04-09,7.625,7.63,7.625,7.63,EGP
2015-04-10,7.63,7.63,7.63,7.63,EGP
2015-04-11,7.63,7.63,7.63,7.63,EGP
2015-04-12,7.63,7.63,7.63,7.63,EGP
2015-04-13,7.63,7.63,7.63,7.63,EGP
2015-04-14,7.63,7.63,7.625,7.63,EGP
2015-04-15,7.63,7.63,7.62,7.63,EGP
2015-04-16,7.63,7.63,7.625,7.63,EGP
2015-04-17,7.63,7.63,7.63,7.63,EGP
2015-04-18,7.63,7.63,7.63,7.63,EGP
2015-04-19,7.6326,7.6326,7.6275,7.6275,EGP
2015-04-20,7.63,7.63,7.62,7.63,EGP
2015-04-21,7.63,7.63,7.62,7.63,EGP
2015-04-22,7.63,7.63,7.62,7.63,EGP
2015-04-23,7.6326,7.6326,7.6275,7.6275,EGP
2015-04-24,7.6275,7.6275,7.6275,7.6275,EGP
2015-04-25,7.6275,7.6275,7.6275,7.6275,EGP
2015-04-26,7.629,7.63,7.62,7.63,EGP
2015-04-27,7.62,7.63,7.62,7.63,EGP
2015-04-28,7.63,7.63,7.62,7.63,EGP
2015-04-29,7.6326,7.6326,7.6275,7.6275,EGP
2015-04-30,7.63,7.63,7.62,7.63,EGP
2015-05-01,7.63,7.63,7.63,7.63,EGP
2015-05-02,7.63,7.63,7.63,7.63,EGP
2015-05-03,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-04,7.63,7.63,7.62,7.63,EGP
2015-05-05,7.63,7.63,7.625,7.63,EGP
2015-05-06,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-07,7.63,7.63,7.62,7.63,EGP
2015-05-08,7.63,7.63,7.63,7.63,EGP
2015-05-09,7.63,7.63,7.63,7.63,EGP
2015-05-10,7.63,7.63,7.625,7.63,EGP
2015-05-11,7.63,7.63,7.62,7.63,EGP
2015-05-12,7.62,7.63,7.62,7.63,EGP
2015-05-13,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-14,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-15,7.6275,7.6275,7.6275,7.6275,EGP
2015-05-16,7.6275,7.6275,7.6275,7.6275,EGP
2015-05-17,7.63,7.63,7.62,7.63,EGP
2015-05-18,7.63,7.63,7.62,7.63,EGP
2015-05-19,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-20,7.63,7.63,7.62,7.63,EGP
2015-05-21,7.63,7.63,7.625,7.63,EGP
2015-05-22,7.63,7.63,7.63,7.63,EGP
2015-05-23,7.63,7.63,7.63,7.63,EGP
2015-05-24,7.6326,7.6326,7.6226,7.6275,EGP
2015-05-25,7.63,7.63,7.625,7.63,EGP
2015-05-26,7.63,7.63,7.62,7.63,EGP
2015-05-27,7.63,7.63,7.625,7.63,EGP
2015-05-28,7.63,7.63,7.62,7.63,EGP
2015-05-29,7.63,7.63,7.63,7.63,EGP
2015-05-30,7.63,7.63,7.63,7.63,EGP
2015-05-31,7.63,7.63,7.625,7.63,EGP
2015-06-01,7.63,7.63,7.625,7.63,EGP
2015-06-02,7.63,7.63,7.62,7.63,EGP
2015-06-03,7.63,7.63,7.625,7.63,EGP
2015-06-04,7.63,7.63,7.62,7.63,EGP
2015-06-05,7.63,7.63,7.63,7.63,EGP
2015-06-06,7.63,7.63,7.63,7.63,EGP
2015-06-07,7.635,7.635,7.625,7.625,EGP
2015-06-08,7.62,7.63,7.62,7.63,EGP
2015-06-09,7.63,7.63,7.62,7.63,EGP
2015-06-10,7.63,7.63,7.62,7.63,EGP
2015-06-11,7.63,7.63,7.62,7.63,EGP
2015-06-12,7.63,7.63,7.63,7.63,EGP
2015-06-13,7.63,7.63,7.63,7.63,EGP
2015-06-14,7.6326,7.6326,7.6275,7.6275,EGP
2015-06-15,7.6326,7.6326,7.6226,7.6275,EGP
2015-06-16,7.63,7.63,7.62,7.63,EGP
2015-06-17,7.63,7.63,7.625,7.63,EGP
2015-06-18,7.6326,7.6326,7.6126,7.6275,EGP
2015-06-19,7.6275,7.6275,7.6275,7.6275,EGP
2015-06-20,7.6275,7.6275,7.6275,7.6275,EGP
2015-06-21,7.63,7.63,7.62,7.63,EGP
2015-06-22,7.63,7.63,7.62,7.63,EGP
2015-06-23,7.6326,7.6326,7.6226,7.6275,EGP
2015-06-24,7.63,7.63,7.62,7.63,EGP
2015-06-25,7.635,7.635,7.625,7.625,EGP
2015-06-26,7.625,7.625,7.625,7.625,EGP
2015-06-27,7.625,7.625,7.625,7.625,EGP
2015-06-28,7.6326,7.6326,7.6275,7.6275,EGP
2015-06-29,7.63,7.63,7.62,7.63,EGP
2015-06-30,7.63,7.63,7.63,7.63,EGP
2015-07-01,7.63,7.63,7.625,7.63,EGP
2015-07-02,7.6326,7.7326,7.6276,7.7275,EGP
2015-07-03,7.7275,7.7275,7.7275,7.7275,EGP
2015-07-04,7.7275,7.7275,7.7275,7.7275,EGP
2015-07-05,7.7301,7.83,7.7202,7.83,EGP
2015-07-06,7.84,7.84,7.7301,7.7301,EGP
2015-07-07,7.83,7.83,7.8201,7.83,EGP
2015-07-08,7.8325,7.8325,7.8226,7.8276,EGP
2015-07-09,7.83,7.83,7.8201,7.83,EGP
2015-07-10,7.83,7.83,7.83,7.83,EGP
2015-07-11,7.83,7.83,7.83,7.83,EGP
2015-07-12,7.83,7.83,7.8251,7.83,EGP
2015-07-13,7.83,7.83,7.8251,7.83,EGP
2015-07-14,7.83,7.83,7.8251,7.83,EGP
2015-07-15,7.83,7.83,7.8251,7.83,EGP
2015-07-16,7.83,7.83,7.8251,7.83,EGP
2015-07-17,7.83,7.83,7.83,7.83,EGP
2015-07-18,7.83,7.83,7.83,7.83,EGP
2015-07-19,7.83,7.83,7.83,7.83,EGP
2015-07-20,7.83,7.83,7.83,7.83,EGP
2015-07-21,7.83,7.83,7.8251,7.83,EGP
2015-07-22,7.83,7.83,7.8251,7.83,EGP
2015-07-23,7.83,7.83,7.83,7.83,EGP
2015-07-24,7.83,7.83,7.83,7.83,EGP
2015-07-25,7.83,7.83,7.83,7.83,EGP
2015-07-26,7.83,7.83,7.8251,7.83,EGP
2015-07-27,7.83,7.83,7.8251,7.83,EGP
2015-07-28,7.83,7.83,7.8201,7.83,EGP
2015-07-29,7.83,7.83,7.8201,7.83,EGP
2015-07-30,7.8325,7.8325,7.8225,7.8276,EGP
2015-07-31,7.83,7.83,7.83,7.83,EGP
2015-08-01,7.83,7.83,7.83,7.83,EGP
2015-08-02,7.83,7.83,7.8201,7.83,EGP
2015-08-03,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-04,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-05,7.83,7.83,7.8251,7.83,EGP
2015-08-06,7.83,7.83,7.83,7.83,EGP
2015-08-07,7.83,7.83,7.83,7.83,EGP
2015-08-08,7.83,7.83,7.83,7.83,EGP
2015-08-09,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-10,7.83,7.83,7.8251,7.83,EGP
2015-08-11,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-12,7.83,7.83,7.8251,7.83,EGP
2015-08-13,7.83,7.83,7.8251,7.83,EGP
2015-08-14,7.83,7.83,7.83,7.83,EGP
2015-08-15,7.83,7.83,7.83,7.83,EGP
2015-08-16,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-17,7.83,7.83,7.8251,7.83,EGP
2015-08-18,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-19,7.83,7.83,7.8251,7.83,EGP
2015-08-20,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-21,7.8276,7.8276,7.8276,7.8276,EGP
2015-08-22,7.8276,7.8276,7.8276,7.8276,EGP
2015-08-23,7.8325,7.8325,7.8276,7.8276,EGP
2015-08-24,7.83,7.83,7.8251,7.83,EGP
2015-08-25,7.83,7.83,7.8251,7.83,EGP
2015-08-26,7.83,7.83,7.8251,7.83,EGP
