Date,Open,High,Low,Close,Currency
2015-01-01,20.102,20.2065,20.102,20.2065,ETB
2015-01-02,20.106,20.53,19.91,20.35,ETB
2015-01-05,20.11,20.508,19.95,20.355,ETB
2015-01-06,20.113,20.492,19.9,20.325,ETB
2015-01-07,20.117,20.487,19.96,20.33,ETB
2015-01-08,20.117,20.471,20.0,20.35,ETB
2015-01-09,20.121,20.454,20.01,20.36,ETB
2015-01-12,20.124,20.528,20.0,20.4,ETB
2015-01-13,20.128,20.481,20.05,20.4,ETB
2015-01-14,20.131,20.535,20.03,20.43,ETB
2015-01-15,20.135,20.534,20.04,20.445,ETB
2015-01-16,20.139,20.482,20.03,20.39,ETB
2015-01-19,20.142,20.2425,20.142,20.2425,ETB
2015-01-20,20.142,20.491,20.04,20.405,ETB
2015-01-21,20.146,20.499,20.1,20.45,ETB
2015-01-22,20.149,20.503,20.05,20.4,ETB
2015-01-23,20.153,20.496,20.05,20.39,ETB
2015-01-26,20.156,20.51,20.06,20.41,ETB
2015-01-27,20.16,20.51,20.05,20.4,ETB
2015-01-28,20.16,20.494,20.06,20.43,ETB
2015-01-29,20.164,20.523,20.05,20.405,ETB
2015-01-30,20.168,20.523,20.05,20.405,ETB
2015-02-02,20.168,20.526,20.0,20.35,ETB
2015-02-03,20.176,20.539,20.05,20.41,ETB
2015-02-04,20.179,20.523,20.08,20.44,ETB
2015-02-05,20.183,20.487,20.08,20.38,ETB
2015-02-06,20.187,20.491,20.09,20.4,ETB
2015-02-09,20.191,20.475,20.11,20.41,ETB
2015-02-10,20.195,20.494,20.15,20.455,ETB
2015-02-11,20.199,20.503,20.15,20.46,ETB
2015-02-12,20.203,20.497,20.15,20.46,ETB
2015-02-13,20.207,20.501,20.17,20.48,ETB
2015-02-16,20.211,20.316,20.211,20.316,ETB
2015-02-17,20.215,20.483,20.1,20.365,ETB
2015-02-18,20.218,20.462,20.13,20.39,ETB
2015-02-19,20.2,20.461,20.2,20.435,ETB
2015-02-20,20.226,20.485,20.2,20.455,ETB
2015-02-23,20.23,20.474,20.17,20.43,ETB
2015-02-24,20.234,20.543,20.15,20.455,ETB
2015-02-25,20.238,20.537,20.16,20.465,ETB
2015-02-26,20.242,20.505,20.16,20.505,ETB
2015-02-27,20.246,20.52,20.246,20.51,ETB
2015-03-02,20.249,20.51,20.249,20.5,ETB
2015-03-03,20.249,20.52,20.249,20.5,ETB
2015-03-04,20.253,20.607,20.2,20.55,ETB
2015-03-05,20.257,20.586,20.25,20.575,ETB
2015-03-06,20.261,20.645,20.2,20.575,ETB
2015-03-09,20.261,20.624,20.2,20.555,ETB
2015-03-10,20.269,20.613,20.21,20.57,ETB
2015-03-11,20.273,20.607,20.21,20.58,ETB
2015-03-12,20.2,20.53,20.15,20.5,ETB
2015-03-13,20.28,20.634,20.15,20.5,ETB
2015-03-16,20.284,20.588,20.15,20.45,ETB
2015-03-17,20.288,20.591,20.15,20.45,ETB
2015-03-18,20.291,20.62,20.1,20.425,ETB
2015-03-19,20.295,20.57,20.2,20.52,ETB
2015-03-20,20.299,20.633,20.15,20.48,ETB
2015-03-23,20.303,20.606,20.17,20.5,ETB
2015-03-24,20.306,20.605,20.25,20.555,ETB
2015-03-25,20.31,20.604,20.25,20.58,ETB
2015-03-26,20.314,20.628,20.2,20.56,ETB
2015-03-27,20.318,20.652,20.25,20.58,ETB
2015-03-30,20.322,20.626,20.29,20.59,ETB
2015-03-31,20.326,20.579,20.25,20.52,ETB
