Date,Open,High,Low,Close,Currency
2015-01-02,0.2878,0.2878,0.2835,0.2835,BOB
2015-01-04,0.2835,0.2835,0.2835,0.2835,BOB
2015-01-05,0.2835,0.2856,0.2833,0.2833,BOB
2015-01-06,0.2833,0.2864,0.2833,0.2864,BOB
2015-01-07,0.2864,0.2864,0.2855,0.2855,BOB
2015-01-08,0.2855,0.2855,0.2854,0.2855,BOB
2015-01-09,0.2855,0.2855,0.2851,0.2851,BOB
2015-01-11,0.2851,0.2851,0.2851,0.2851,BOB
2015-01-12,0.2851,0.2863,0.2828,0.2828,BOB
2015-01-13,0.2828,0.2828,0.2816,0.282,BOB
2015-01-14,0.282,0.282,0.2809,0.2809,BOB
2015-01-15,0.2809,0.2809,0.2792,0.2792,BOB
2015-01-16,0.2792,0.2792,0.2781,0.2781,BOB
2015-01-18,0.2781,0.2781,0.2781,0.2781,BOB
2015-01-19,0.2781,0.2806,0.2781,0.2806,BOB
2015-01-20,0.2806,0.2814,0.2805,0.2814,BOB
2015-01-21,0.2814,0.2814,0.2811,0.2811,BOB
2015-01-22,0.2811,0.2854,0.2811,0.2854,BOB
2015-01-23,0.2854,0.2854,0.2819,0.2819,BOB
2015-01-25,0.2819,0.2819,0.2819,0.2819,BOB
2015-01-26,0.2819,0.282,0.2819,0.282,BOB
2015-01-27,0.282,0.2822,0.2812,0.2812,BOB
2015-01-28,0.2812,0.2812,0.2796,0.2812,BOB
2015-01-29,0.2812,0.2846,0.2812,0.2846,BOB
2015-01-30,0.2846,0.2846,0.2841,0.2841,BOB
2015-02-01,0.2841,0.2841,0.2841,0.2841,BOB
2015-02-02,0.2841,0.2841,0.2834,0.2841,BOB
2015-02-03,0.2835,0.2835,0.2822,0.2822,BOB
2015-02-04,0.2822,0.2829,0.2822,0.2829,BOB
2015-02-05,0.2829,0.2851,0.2828,0.2839,BOB
2015-02-06,0.2839,0.2848,0.2837,0.2837,BOB
2015-02-08,0.2837,0.2837,0.2837,0.2837,BOB
2015-02-09,0.2837,0.2839,0.2837,0.2839,BOB
2015-02-10,0.2838,0.2838,0.2822,0.2822,BOB
2015-02-11,0.2822,0.2822,0.282,0.282,BOB
2015-02-12,0.282,0.282,0.2809,0.2809,BOB
2015-02-13,0.2809,0.2809,0.2781,0.2781,BOB
2015-02-15,0.2781,0.2781,0.2781,0.2781,BOB
2015-02-16,0.2781,0.2791,0.2781,0.2791,BOB
2015-02-17,0.2791,0.2806,0.2791,0.2806,BOB
2015-02-18,0.2806,0.2806,0.2806,0.2806,BOB
2015-02-19,0.2806,0.2806,0.2806,0.2806,BOB
2015-02-20,0.2806,0.2822,0.2806,0.2822,BOB
2015-02-22,0.2822,0.2822,0.2822,0.2822,BOB
2015-02-23,0.2822,0.2823,0.2804,0.2804,BOB
2015-02-24,0.2804,0.2804,0.28,0.28,BOB
2015-02-25,0.28,0.2801,0.2788,0.2788,BOB
2015-02-26,0.2788,0.28,0.2788,0.28,BOB
2015-02-27,0.28,0.2804,0.28,0.2804,BOB
2015-03-01,0.2804,0.2804,0.2804,0.2804,BOB
2015-03-02,0.2804,0.2812,0.2804,0.2812,BOB
2015-03-03,0.2812,0.2812,0.2802,0.2802,BOB
2015-03-04,0.2802,0.2815,0.2802,0.2815,BOB
2015-03-05,0.2815,0.2815,0.2802,0.2815,BOB
2015-03-06,0.2798,0.2798,0.2798,0.2798,BOB
2015-03-08,0.2788,0.2788,0.2788,0.2788,BOB
2015-03-09,0.2788,0.2788,0.2788,0.2788,BOB
2015-03-10,0.2795,0.2795,0.2795,0.2795,BOB
2015-03-11,0.2751,0.2751,0.2751,0.2751,BOB
2015-03-12,0.2751,0.2751,0.2751,0.2751,BOB
2015-03-13,0.2747,0.2747,0.2747,0.2747,BOB
2015-03-15,0.275,0.275,0.275,0.275,BOB
2015-03-16,0.275,0.275,0.275,0.275,BOB
2015-03-17,0.2747,0.2747,0.2747,0.2747,BOB
2015-03-18,0.2726,0.2726,0.2726,0.2726,BOB
2015-03-19,0.2725,0.2725,0.2725,0.2725,BOB
2015-03-20,0.2712,0.2712,0.2712,0.2712,BOB
2015-03-22,0.272,0.272,0.272,0.272,BOB
2015-03-23,0.272,0.272,0.272,0.272,BOB
2015-03-24,0.2697,0.2697,0.2697,0.2697,BOB
2015-03-25,0.2709,0.2709,0.2709,0.2709,BOB
2015-03-26,0.2709,0.2709,0.2709,0.2709,BOB
2015-03-27,0.2716,0.2716,0.2716,0.2716,BOB
2015-03-29,0.2707,0.2707,0.2707,0.2707,BOB
2015-03-30,0.2707,0.2707,0.2707,0.2707,BOB
2015-03-31,0.2691,0.2691,0.2691,0.2691,BOB
2015-04-01,0.2674,0.2674,0.2674,0.2674,BOB
2015-04-02,0.2676,0.2676,0.2676,0.2676,BOB
2015-04-03,0.2689,0.2689,0.2689,0.2689,BOB
2015-04-05,0.2689,0.2689,0.2689,0.2689,BOB
2015-04-06,0.2689,0.2689,0.2689,0.2689,BOB
2015-04-07,0.2689,0.2718,0.2688,0.2688,BOB
2015-04-08,0.2688,0.27,0.2688,0.27,BOB
2015-04-09,0.27,0.27,0.2677,0.2677,BOB
2015-04-10,0.2677,0.2677,0.2677,0.2677,BOB
2015-04-12,0.2677,0.2677,0.2677,0.2677,BOB
2015-04-13,0.2677,0.2677,0.2645,0.2645,BOB
2015-04-14,0.2645,0.2657,0.2614,0.2614,BOB
2015-04-15,0.2614,0.2627,0.2614,0.2627,BOB
2015-04-16,0.2627,0.2649,0.2598,0.2598,BOB
