Date,Open,High,Low,Close,Currency
2015-01-01,98.96,98.96,98.93,98.93,COP
2015-01-02,98.93,98.93,97.53,97.53,COP
2015-01-04,97.53,97.53,97.53,97.53,COP
2015-01-05,97.53,99.73,97.49,99.73,COP
2015-01-06,99.71,101.81,97.49,101.49,COP
2015-01-07,101.52,101.52,100.48,100.48,COP
2015-01-08,100.48,101.22,100.41,100.41,COP
2015-01-09,100.41,100.67,98.91,99.82,COP
2015-01-11,99.76,99.76,99.76,99.76,COP
2015-01-12,99.76,99.76,98.86,98.86,COP
2015-01-13,98.86,99.29,98.51,98.64,COP
2015-01-14,98.64,99.28,98.63,98.82,COP
2015-01-15,98.78,99.28,97.47,97.47,COP
2015-01-16,97.47,98.07,95.38,95.38,COP
2015-01-18,95.38,95.38,95.38,95.38,COP
2015-01-19,95.38,97.01,95.38,96.17,COP
2015-01-20,96.17,96.78,95.89,96.78,COP
2015-01-21,96.78,96.78,95.89,96.67,COP
2015-01-22,96.68,98.16,96.67,98.05,COP
2015-01-23,98.05,98.15,96.8,96.8,COP
2015-01-25,96.83,96.83,96.83,96.83,COP
2015-01-26,97.61,97.61,96.8,97.48,COP
2015-01-27,97.48,97.48,97.26,97.26,COP
2015-01-28,97.26,97.26,96.36,96.36,COP
2015-01-29,96.36,99.34,96.36,99.34,COP
2015-01-30,99.34,99.34,97.39,99.18,COP
2015-02-01,99.67,99.67,99.18,99.18,COP
2015-02-02,99.18,100.08,98.64,98.64,COP
2015-02-03,98.68,100.1,96.4,96.4,COP
2015-02-04,96.4,98.26,96.4,97.58,COP
2015-02-05,97.58,98.29,96.5,97.88,COP
2015-02-06,97.82,98.27,97.59,97.98,COP
2015-02-08,97.79,97.79,97.79,97.79,COP
2015-02-09,97.79,97.79,97.24,97.24,COP
2015-02-10,97.24,97.77,96.63,97.22,COP
2015-02-11,97.34,98.27,96.64,98.27,COP
2015-02-12,98.27,98.59,97.23,97.36,COP
2015-02-13,97.36,98.59,95.29,95.83,COP
2015-02-15,95.87,95.87,95.87,95.87,COP
2015-02-16,95.87,96.35,95.87,96.35,COP
2015-02-17,96.35,97.08,96.35,97.08,COP
2015-02-18,97.08,98.91,97.07,98.91,COP
2015-02-19,98.81,99.13,98.11,98.85,COP
2015-02-20,99.01,99.9,98.71,99.9,COP
2015-02-22,99.9,99.9,99.9,99.9,COP
2015-02-23,99.9,101.29,99.78,101.29,COP
2015-02-24,101.29,101.54,99.79,101.54,COP
2015-02-25,101.54,101.54,100.01,100.23,COP
2015-02-26,100.29,100.96,100.29,100.96,COP
2015-02-27,100.96,101.43,100.67,101.21,COP
2015-03-01,101.29,101.29,101.29,101.29,COP
2015-03-02,101.29,103.13,101.12,103.13,COP
2015-03-03,103.09,103.96,99.6,103.96,COP
2015-03-04,103.96,104.82,102.59,103.54,COP
2015-03-05,103.62,104.09,103.15,104.09,COP
2015-03-06,103.14,103.14,103.14,103.14,COP
2015-03-08,104.01,104.01,104.01,104.01,COP
2015-03-09,104.01,104.01,104.01,104.01,COP
2015-03-10,104.67,104.67,104.67,104.67,COP
2015-03-11,104.85,104.85,104.85,104.85,COP
2015-03-12,104.5,104.5,104.5,104.5,COP
2015-03-13,104.43,104.43,104.43,104.43,COP
2015-03-15,104.6,104.6,104.6,104.6,COP
2015-03-16,104.6,104.6,104.6,104.6,COP
2015-03-17,106.19,106.19,106.19,106.19,COP
2015-03-18,105.67,105.67,105.67,105.67,COP
2015-03-19,104.76,104.76,104.76,104.76,COP
2015-03-20,102.96,102.96,102.96,102.96,COP
2015-03-22,101.45,101.45,101.45,101.45,COP
2015-03-23,101.45,101.45,101.45,101.45,COP
2015-03-24,99.99,99.99,99.99,99.99,COP
2015-03-25,98.42,98.42,98.42,98.42,COP
2015-03-26,99.79,99.79,99.79,99.79,COP
2015-03-27,100.68,100.68,100.68,100.68,COP
2015-03-29,100.19,100.19,100.19,100.19,COP
2015-03-30,100.19,100.19,100.19,100.19,COP
2015-03-31,100.39,100.39,100.39,100.39,COP
2015-04-01,99.67,99.67,99.67,99.67,COP
2015-04-02,99.77,99.77,99.77,99.77,COP
2015-04-03,100.18,100.18,100.18,100.18,COP
2015-04-05,100.61,100.61,100.61,100.61,COP
2015-04-06,100.61,100.61,100.61,100.61,COP
2015-04-07,99.59,100.18,97.55,97.55,COP
2015-04-08,97.59,98.57,97.05,97.33,COP
2015-04-09,97.37,97.97,96.34,97.15,COP
2015-04-10,97.0,97.7,96.67,97.7,COP
2015-04-12,97.68,97.68,97.68,97.68,COP
2015-04-13,97.68,97.68,96.02,97.48,COP
2015-04-14,97.39,97.83,96.02,96.49,COP
2015-04-15,96.65,97.31,95.39,95.39,COP
2015-04-16,95.39,97.17,93.37,94.28,COP
