Date,Open,High,Low,Close,Currency
2015-01-01,52.37,52.56,52.35,52.52,CLP
2015-01-02,52.46,52.62,51.86,52.43,CLP
2015-01-05,52.37,52.8,52.15,52.73,CLP
2015-01-06,52.69,52.96,52.35,52.63,CLP
2015-01-07,52.57,52.81,52.28,52.59,CLP
2015-01-08,52.52,53.07,52.37,52.9,CLP
2015-01-09,52.85,53.65,52.65,53.45,CLP
2015-01-12,53.39,53.69,53.21,53.49,CLP
2015-01-13,53.44,53.99,53.41,53.72,CLP
2015-01-14,53.67,54.87,53.24,54.68,CLP
2015-01-15,54.62,54.81,53.97,54.09,CLP
2015-01-16,54.02,54.39,53.96,54.37,CLP
2015-01-19,54.36,54.39,53.76,53.96,CLP
2015-01-20,53.98,54.34,53.72,54.26,CLP
2015-01-21,54.19,54.7,54.1,54.56,CLP
2015-01-22,54.47,55.03,54.29,54.78,CLP
2015-01-23,54.72,55.04,54.51,54.8,CLP
2015-01-26,54.6,54.83,54.28,54.39,CLP
2015-01-27,54.34,54.48,53.62,53.8,CLP
2015-01-28,53.75,54.2,53.66,53.77,CLP
2015-01-29,53.7,54.5,53.31,54.32,CLP
2015-01-30,54.25,54.72,53.87,54.4,CLP
2015-02-02,54.3,54.92,54.3,54.78,CLP
2015-02-03,54.73,55.27,54.48,54.97,CLP
2015-02-04,54.92,55.03,54.48,54.63,CLP
2015-02-05,54.57,55.46,54.48,55.36,CLP
2015-02-06,55.3,55.38,54.2,54.53,CLP
2015-02-09,54.5,54.62,53.75,53.9,CLP
2015-02-10,53.84,54.07,53.33,53.62,CLP
2015-02-11,53.58,53.71,52.86,53.3,CLP
2015-02-12,53.27,53.61,52.88,53.1,CLP
2015-02-13,53.12,53.29,52.72,53.02,CLP
2015-02-16,53.06,53.44,52.87,53.37,CLP
2015-02-17,53.34,53.59,53.07,53.19,CLP
2015-02-18,53.11,53.51,52.72,53.43,CLP
2015-02-19,53.37,53.72,52.9,53.06,CLP
2015-02-20,52.99,53.31,52.72,52.99,CLP
2015-02-23,52.96,53.72,52.38,53.55,CLP
2015-02-24,53.47,54.04,53.29,53.91,CLP
2015-02-25,53.9,54.28,53.67,53.9,CLP
2015-02-26,53.9,54.37,53.54,53.73,CLP
2015-02-27,53.64,53.92,52.69,52.91,CLP
2015-03-02,52.94,53.02,52.26,52.36,CLP
2015-03-03,52.28,52.72,52.19,52.49,CLP
2015-03-04,52.41,52.8,52.17,52.38,CLP
2015-03-05,52.31,52.82,52.22,52.38,CLP
2015-03-06,52.31,52.89,51.76,51.96,CLP
2015-03-09,51.88,52.25,51.7,51.95,CLP
2015-03-10,51.9,51.96,51.24,51.39,CLP
