Date,Open,High,Low,Close,Currency
2015-01-01,0.5358,0.5378,0.5358,0.5374,CNY
2015-01-02,0.5369,0.5374,0.5284,0.5302,CNY
2015-01-05,0.5285,0.533,0.5285,0.5313,CNY
2015-01-06,0.531,0.5326,0.527,0.5304,CNY
2015-01-07,0.53,0.5322,0.5285,0.5319,CNY
2015-01-08,0.5317,0.538,0.5307,0.5364,CNY
2015-01-09,0.5362,0.5414,0.5336,0.54,CNY
2015-01-12,0.5403,0.5409,0.5371,0.5382,CNY
2015-01-13,0.5379,0.5407,0.5369,0.5374,CNY
2015-01-14,0.5373,0.5424,0.5329,0.5413,CNY
2015-01-15,0.5411,0.5419,0.5345,0.5351,CNY
2015-01-16,0.5347,0.5396,0.5343,0.5374,CNY
2015-01-19,0.5375,0.5389,0.5328,0.5343,CNY
2015-01-20,0.5346,0.537,0.5317,0.5362,CNY
2015-01-21,0.5359,0.5412,0.5346,0.5395,CNY
2015-01-22,0.539,0.5465,0.5365,0.5446,CNY
2015-01-23,0.5444,0.5475,0.5422,0.5456,CNY
2015-01-26,0.5441,0.5481,0.5437,0.5456,CNY
2015-01-27,0.5454,0.5465,0.5373,0.5389,CNY
2015-01-28,0.5386,0.5436,0.5383,0.5395,CNY
2015-01-29,0.5392,0.5427,0.5349,0.5406,CNY
2015-01-30,0.5403,0.5422,0.535,0.5366,CNY
2015-02-02,0.5363,0.545,0.5363,0.5443,CNY
2015-02-03,0.544,0.5508,0.5413,0.5498,CNY
2015-02-04,0.5496,0.5503,0.5433,0.5444,CNY
2015-02-05,0.5442,0.5554,0.5433,0.5548,CNY
2015-02-06,0.5546,0.5548,0.5408,0.5423,CNY
2015-02-09,0.5424,0.5438,0.5378,0.5393,CNY
2015-02-10,0.539,0.5405,0.5321,0.5342,CNY
2015-02-11,0.534,0.5353,0.5245,0.5282,CNY
2015-02-12,0.5279,0.5344,0.5253,0.5332,CNY
2015-02-13,0.5328,0.5369,0.5295,0.5348,CNY
2015-02-16,0.5354,0.538,0.5341,0.5364,CNY
2015-02-17,0.5362,0.5403,0.5348,0.5357,CNY
2015-02-18,0.5354,0.5401,0.5324,0.5393,CNY
2015-02-19,0.539,0.5419,0.5347,0.5356,CNY
2015-02-20,0.5354,0.5388,0.5349,0.5383,CNY
2015-02-23,0.5379,0.5387,0.5321,0.5375,CNY
2015-02-24,0.5373,0.5456,0.5355,0.545,CNY
2015-02-25,0.5449,0.5489,0.5428,0.5467,CNY
