Date,Open,High,Low,Close,Currency
2015-01-01,0.5317,0.5333,0.5313,0.5329,DKK
2015-01-02,0.5326,0.5339,0.5273,0.5299,DKK
2015-01-05,0.5297,0.5337,0.5285,0.5327,DKK
2015-01-06,0.5324,0.5353,0.5301,0.5343,DKK
2015-01-07,0.5341,0.5384,0.5332,0.5382,DKK
2015-01-08,0.5379,0.5457,0.5371,0.5445,DKK
2015-01-09,0.5442,0.5491,0.541,0.5468,DKK
2015-01-12,0.5464,0.5488,0.5445,0.5454,DKK
2015-01-13,0.5452,0.55,0.5446,0.5479,DKK
2015-01-14,0.5477,0.5525,0.542,0.5513,DKK
2015-01-15,0.551,0.5586,0.5489,0.5525,DKK
2015-01-16,0.5523,0.5595,0.5513,0.5561,DKK
2015-01-19,0.556,0.5572,0.5475,0.5502,DKK
2015-01-20,0.55,0.5563,0.5492,0.5554,DKK
2015-01-21,0.5552,0.5594,0.5528,0.5563,DKK
2015-01-22,0.5563,0.577,0.5534,0.5746,DKK
2015-01-23,0.5743,0.5875,0.5731,0.582,DKK
2015-01-26,0.5803,0.5848,0.5742,0.5782,DKK
2015-01-27,0.5781,0.5792,0.5638,0.5644,DKK
2015-01-28,0.5641,0.5721,0.5641,0.5696,DKK
2015-01-29,0.5692,0.5708,0.5629,0.569,DKK
2015-01-30,0.5688,0.57,0.5625,0.5654,DKK
2015-02-02,0.5649,0.5716,0.5645,0.5707,DKK
2015-02-03,0.5704,0.5741,0.5675,0.5699,DKK
2015-02-04,0.5697,0.5729,0.5673,0.5719,DKK
2015-02-05,0.5716,0.5786,0.5692,0.5755,DKK
2015-02-06,0.5753,0.5765,0.5689,0.571,DKK
2015-02-09,0.5709,0.5725,0.5652,0.5674,DKK
2015-02-10,0.5671,0.5695,0.5607,0.5627,DKK
2015-02-11,0.5625,0.5636,0.5531,0.5554,DKK
2015-02-12,0.5552,0.559,0.5529,0.5574,DKK
2015-02-13,0.5571,0.5618,0.5534,0.5595,DKK
2015-02-16,0.5592,0.5645,0.5575,0.563,DKK
2015-02-17,0.5627,0.5644,0.558,0.5586,DKK
2015-02-18,0.5583,0.5658,0.5564,0.5632,DKK
2015-02-19,0.5629,0.5646,0.5592,0.5607,DKK
2015-02-20,0.5605,0.5676,0.5604,0.5644,DKK
2015-02-23,0.5639,0.5666,0.5603,0.5656,DKK
2015-02-24,0.5653,0.5737,0.5634,0.5733,DKK
2015-02-25,0.5729,0.5761,0.5707,0.5741,DKK
2015-02-26,0.5739,0.58,0.5723,0.5777,DKK
2015-02-27,0.5773,0.5799,0.569,0.5715,DKK
2015-03-02,0.5721,0.5724,0.5649,0.5658,DKK
2015-03-03,0.5656,0.5695,0.5643,0.5674,DKK
2015-03-04,0.567,0.5716,0.5657,0.5696,DKK
2015-03-05,0.5692,0.576,0.569,0.5704,DKK
2015-03-06,0.5702,0.5783,0.5661,0.5702,DKK
2015-03-09,0.5697,0.5721,0.5653,0.5679,DKK
2015-03-10,0.5679,0.5696,0.5626,0.5632,DKK
2015-03-11,0.5629,0.5777,0.5625,0.5756,DKK
2015-03-12,0.5753,0.5791,0.5695,0.5701,DKK
2015-03-13,0.57,0.5735,0.564,0.5696,DKK
2015-03-16,0.5686,0.572,0.5661,0.5696,DKK
2015-03-17,0.5694,0.5706,0.5648,0.5696,DKK
2015-03-18,0.5693,0.5857,0.5664,0.5808,DKK
2015-03-19,0.5807,0.581,0.5658,0.5676,DKK
2015-03-20,0.5674,0.5751,0.5662,0.5734,DKK
2015-03-23,0.5722,0.5743,0.5678,0.5724,DKK
2015-03-24,0.5722,0.5802,0.5688,0.579,DKK
2015-03-25,0.5787,0.5796,0.5724,0.5744,DKK
2015-03-26,0.5742,0.5757,0.5676,0.5719,DKK
2015-03-27,0.5717,0.5751,0.568,0.5695,DKK
